"rownum","i32","[rid]","[rid]","i32","i32","bool","bool","bool","[i32]","i32","i32","i32","i32","i32","bool","i32","bool","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","i32","i32"
33,34,[4287],[],4,1,"","","",[],1,0,5,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
34,35,[4716],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
35,36,[4702],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",28,0,"","",1,0,"",1,13,13,0
36,37,[4743],[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"",1,13,13,0
37,38,[4823],[],3,1,"",1,"",[],1,0,7,0,0,1,1792,"","",20,0,"","","",0,"",1,13,13,0
38,39,[4885],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
39,40,[4974],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
40,41,[4975],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
41,42,[4938],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
42,43,[4939],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,"","",1,0,"",1,13,13,0
43,44,[5067],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"",1,15,0,"","","",0,"",1,13,13,0
44,45,[5104],[],2,1,"","","",[],1,0,4,180,0,"",1792,"",1,85,0,"","",1,0,1,1,13,13,0
45,46,[5102],[],3,1,"","","",[],4,0,2,0,0,"",1792,"","",35,0,"","",1,0,1,1,13,13,0
46,47,[5047],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"",1,161,0,"","",1,0,1,1,13,13,0
47,48,[5564],[],4,1,"",1,"",[],3,0,13,0,0,"",1792,"","",130,0,"","","",0,"",1,4,11,0
48,49,[5772],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,18,0,"","","",0,"","",13,13,0
49,50,[5782],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
50,51,[5810],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
51,52,[5923],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,75,0,"","","",0,"","",13,13,0
52,53,[5946],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",12,0,1,"","",0,1,1,13,13,0
53,54,[5949],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",23,0,"","","",0,1,1,13,13,0
54,55,[5978],[],2,1,"",1,"",[],1,0,2,0,0,1,1792,"",1,108,0,"","","",0,"","",13,13,0
55,56,[6262],[],3,1,"",1,"",[],1,0,13,0,0,"",1792,"","",35,0,1,"","",0,"","",4,3,0
56,57,[6472],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
57,58,[6473],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
58,59,[6519],[],2,1,"",1,"",[],4,11,4,0,0,1,1792,"","",37,10,1,"","",0,"","",13,13,0
59,60,[5923],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"",1,75,0,"","","",0,"","",13,13,0
60,61,[7409],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"",1,12,0,"","","",0,"",1,13,13,0
61,62,[7386],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",35,0,"","",1,0,"",1,13,13,0
62,63,[7056],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",37,0,"","",1,0,"",1,13,13,0
63,65,[7630],[],8,1,"",1,"",[],1,0,4,0,0,"",1792,"","",20,0,1,"","",0,"","",13,13,0
64,1000,[5342],[],3,1,"","","",[],1,0,2,0,0,"",1792,"","",9,0,1,"","",0,"","",13,13,0
65,1001,"[5393,5394,5397,5398,5401,5402,5405,5406]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
66,1002,"[5377,5378,5379,5380,5381,5382,5383,5384,5385,5386,5387,5388,5389,5390,5391,5392]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
67,1003,[5374],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"","",30,0,"","","",0,"","",13,13,0
68,1004,"[5395,5399,5403,5407,5416]",[],4,1,"",1,"","[1,5,3,5,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
69,1005,"[5396,5400,5404,5408,5417]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
70,1006,"[5395,5399,5403,5407,5416]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
71,1007,"[5396,5400,5404,5408,5417]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
72,1008,"[5377,5381,5385,5389,5410,5378,5382,5386,5390,5411]",[],4,1,"",1,"","[1,5,3,5,3,1,5,3,5,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
73,1009,"[5379,5383,5387,5391,5412]",[],4,1,"",1,"","[2,5,3,2,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
74,1010,"[5380,5384,5388,5392,5413]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
75,1011,"[5396,5400,5404,5408,5417]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
76,1012,[6607],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",33,0,"","","",0,"","",10,3,0
77,1013,[6623],[],4,1,"",1,"",[],4,0,4,0,0,"",1792,"","",0,0,"","",1,0,"",1,13,13,0
78,1014,[6645],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",14,0,"","",1,0,"",1,13,13,0
79,1015,[7118],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",42,0,"","","",0,"",1,3,10,0
80,1016,[7115],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",42,0,"","","",0,"",1,3,10,0
81,1017,[7159],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",18,0,"","","",0,"",1,10,3,0
82,1018,[4254],[],3,1,"",1,1,[],3,0,4,0,0,"",1792,"","",73,0,"","",1,0,"",1,13,13,0
83,1019,[7181],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",21,0,"","","",0,"","",13,13,0
84,1020,[7201],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",38,0,"","","",0,"","",3,10,0
85,1021,[7185],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",14,0,"","","",0,1,1,13,13,0
86,1022,[7269],[],4,1,"","","",[],1,0,7,0,0,"",1792,"","",12,0,"","","",0,"","",13,13,0
87,1023,"[7273,7274,7275,7276,7277]",[],4,1,"",1,"",[],1,0,13,0,0,1,1792,"","",10,0,"","","",0,1,1,13,13,0
88,1024,[7281],[],4,1,"",1,"",[],4,10,7,0,0,"",1792,"","",16,0,"","","",0,"","",13,13,0
89,1025,[7256],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",58,0,"","","",0,"","",10,3,0
90,1026,[7320],[],4,1,"",1,"",[],3,0,7,0,0,"",1792,"","",16,0,1,"",1,0,"","",13,13,0
91,1027,[7337],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
92,1028,[7322],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",38,0,"","","",0,"","",10,3,0
93,1029,[7354],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",90,0,"","","",0,"",1,3,10,0
94,1030,[7355],[],4,1,"",1,"",[],3,0,13,90,0,1,1792,"","",18,0,"","","",0,"",1,12,4,0
95,1031,[7347],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",55,0,"","","",0,"","",10,3,0
96,1032,[7648],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",50,0,"","","",0,"","",10,3,0
97,1033,[7319],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
98,1034,[7654],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",20,0,"","","",0,"",1,10,3,0
99,1035,[7659],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",49,0,"","","",0,"",1,10,3,0
100,1036,[7672],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
101,1037,[7714],[],12,1,"",1,"",[],4,0,13,0,0,1,1792,"","",18,0,"","","",0,"","",12,4,0
102,1038,[],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
103,1039,[7725],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",0,0,1,"","",0,"","",10,3,0
104,1040,[7808],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,0,0,"","","",0,"","",13,13,0
105,1041,[7808],[],4,1,"","","",[],1,0,2,180,0,"",1792,"",1,0,0,"","","",0,"","",13,13,0
106,1042,[7756],[],3,1,"",1,"",[],1,0,13,0,0,1,1792,"","",83,0,1,1,1,0,"","",2,6,100
107,1043,[7830],[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",0,0,1,1,1,0,"","",13,13,100
108,1044,[7861],[],3,1,"","","",[],3,0,13,0,0,"",1792,"","",46,0,"","","",0,"",1,10,3,0
109,1045,[7889],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
110,1046,[7890],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
111,1047,[7903],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",18,0,"","","",5500,"","",13,13,0
112,1048,[7356],[],4,1,"",1,"",[],3,0,13,90,0,1,1792,"","",18,0,"","","",0,"",1,12,4,0
113,1049,[7963],[],2,1,"",1,1,[],1,0,13,0,0,"",1792,"","",45,0,1,"",1,0,"","",2,6,100
114,1050,[8049],[],4,1,"",1,"",[],1,0,13,0,0,1,1792,"","",74,0,"","",1,10000,1,1,12,4,100
115,1051,[8075],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",9,0,"","",1,0,"","",13,13,0
116,1052,[7320],[],4,1,"",1,"",[],3,0,7,0,0,"",1792,"","",16,0,"","",1,0,1,"",13,13,0
117,1053,[8094],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",30,0,"","",1,0,1,1,13,13,0
118,1054,[8095],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",60,0,"","",1,0,1,1,13,13,0
119,1055,[8081],[],2,1,"",1,"",[],1,0,13,0,0,"",1792,"","",68,0,"","","",3000,1,"",2,4,0
120,1056,[8071],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",46,0,"","",1,0,1,"",13,13,0
121,1057,[8106],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
122,1058,[8114],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
123,1059,[8114],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
124,1060,[8114],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",60,0,"","","",0,"",1,10,3,0
125,1061,[8263],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",10,0,"","","",0,"","",2,6,200
126,1062,[8281],[],3,1,"",1,"",[],3,0,13,0,0,"",1792,"","",50,0,"","","",0,"","",3,10,0
127,1063,[8346],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",64,0,"","","",0,"","",10,3,0
128,1064,[8343],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
129,1065,[8597],[],2,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
130,1066,[8344],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
131,1067,[8383],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",45,0,"","",1,1700,1,1,13,13,0
132,1068,[6623],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",17,0,"","",1,0,1,"",13,13,0
133,1069,[8430],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",51,0,"","","",0,1,"",13,13,0
134,1070,[8502],[],3,1,"",1,"",[],1,0,13,0,0,1,1792,"","",110,0,"","","",0,"","",10,3,0
135,1071,[8556],[],12,1,"",1,"",[],3,0,13,0,0,1,1792,"","",44,0,"","",1,0,"",1,2,12,0
136,1072,[8345],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
137,1073,[8096],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",120,0,"","",1,0,1,1,13,13,0
138,1074,[5844],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",22,0,"","",1,0,1,"",13,13,0
139,1075,[8097],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",83,0,"","",1,0,1,1,13,13,0
140,1076,[8763],[],12,1,"",1,"",[],1,0,13,0,0,"",1792,"","",50,0,1,"","",0,"","",12,4,0
141,1077,[8620],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",36,0,"","","",0,"",1,10,3,0
142,1078,[8764],[],12,1,"",1,"",[],1,0,13,0,0,"",1792,"","",50,0,1,"","",0,"","",12,4,0
143,1079,[8821],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
144,1080,[8822],[],2,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
145,1081,[8823],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
146,1082,[8824],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
147,1083,"[8836,8840,8844,8848,8852,8856]",[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
148,1084,"[8837,8841,8845,8849,8857]",[],4,1,"","","","[1,5,3,5,3]",1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
149,1085,"[8838,8842,8846,8850,8858]",[],4,1,"","","","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
150,1086,[8872],[],3,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"",1,13,13,0
