"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool_80","Radius","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32_161","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool_189","Achievements","TextAudio","UniqueMapMod"
10,"FlamespitterDaemon1",[12],[],[],34,"","",0,"Raging Dead","Défunts enragés","Höllenschädel","怒れる死者","격노하는 시체","Mortos Furiosos","Неистовый мертвец","Muertos encolerizados","ศพเดือดดาล ระดับ 1","憤怒亡者","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5296,[],1,0,"Skulls will appear that spit Fire if you remain near them","Des crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く髑髏が出現する","해골이 1개 나타나서 당신이 근처에 있으면 불을 뱉습니다.","Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появятся черепа, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán unas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลก จะ​ปรากฏ​และ พ่น​ไฟ หาก​คุณ​ยืน​อยู่​ใกล้​มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11236,32306
11,"FlamespitterDaemon2","[12,22]",[],[],35,10,"",0,"Raging Dead II","Défunts enragés II","Höllenschädel II","怒れる死者 II","격노하는 시체 II","Mortos Furiosos II","Неистовый мертвец II","Muertos encolerizados II","ศพเดือดดาล ระดับ 2","憤怒亡者 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",26465,[],0,5296,[],2,0,"Many skulls will appear that spit Fire if you remain near them","De nombreux crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が出現する","해골이 여러 개 나타나서 당신이 근처에 있으면 불을 뱉습니다.","Vários Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появится множество черепов, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ พ่น​ไฟ หาก​คุณ​ยืน​อยู่​ใกล้​มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11242,32306
12,"FlamespitterDaemon3","[12,22]",[],[],36,11,"",0,"Raging Dead III","Défunts enragés III","Höllenschädel III","怒れる死者 III","격노하는 시체 III","Mortos Furiosos III","Неистовый мертвец III","Muertos encolerizados III","ศพเดือดดาล ระดับ 3","憤怒亡者 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",6748,[],0,5296,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 여러 개 나타나서 당신을 따라다니다가 근처에 오면 불을 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo Fogo quando próximos de você","Появится множество черепов, которые будут преследовать вас и изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán fuego cuando estén cerca de ti","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ​ตาม​ติด​คุณ และ พ่นไฟ เมื่อ​อยู่​ใกล้​คุณ","若你持續待在附近，會出現追著你的骷髏並噴火",[],"","[7896,7826]",11248,32306
13,"FlamespitterDaemon4","[12,22]",[],[],37,12,"",0,"Raging Dead IV","Défunts enragés IV","Höllenschädel IV","怒れる死者 IV","격노하는 시체 IV","Mortos Furiosos IV","Неистовый мертвец IV","Muertos encolerizados IV","ศพเดือดดาล ระดับ 4","憤怒亡者 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",39655,[],0,5296,[],4,0,"Many skulls will appear that pursue you and quickly spit a large wave of Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent rapidement une large vague de feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und eine schnelle große Feuerwelle spucken, wenn Ihr in der Nähe seid","近くにいると巨大な火の波を素早く吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 여러 개 나타나서 당신을 따라다니다가 근처에 오면 빠르게 커다란 화염의 파도를 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo uma grande onda de Fogo rapidamente quando próximos de você","Появится множество черепов, которые будут преследовать вас и быстро изрыгать большие волны огня, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán rápidamente una gran oleada de fuego cuando estén cerca de ti","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ​ตาม​ติด​คุณ และ พ่น​ไฟ​ขนาด​ใหญ่​อย่าง​รวดเร็ว เมื่อ​อยู่​ใกล้​คุณ","若你持續待在附近，會出現追著你的骷髏並快速噴大火",[],"",[],16714,32306
14,"FlamespitterDaemon1Trial",[12],[],[],38,"","",0,"Raging Dead","Défunts enragés","Höllenschädel","怒れる死者","격노하는 시체","Mortos Furiosos","Неистовый мертвец","Muertos encolerizados","ศพเดือดดาล ระดับ 1","憤怒亡者","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",28673,[],0,5296,[],1,0,"Skulls will appear that spit Fire if you remain near them","Des crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く髑髏が出現する","해골이 나타납니다. 플레이어가 근처에 있으면 불을 뱉습니다.","Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появятся черепа, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán unas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลก จะ​ปรากฏ​และ พ่นไฟ หาก​คุณ​ยืน​อยู่​ใกล้​มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11236,""
15,"FlamespitterDaemon2Trial","[12,22]",[],[],39,14,"",0,"Raging Dead II","Défunts enragés II","Höllenschädel II","怒れる死者 II","격노하는 시체 II","Mortos Furiosos II","Неистовый мертвец II","Muertos encolerizados II","ศพเดือดดาล ระดับ 2","憤怒亡者 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",38306,[],0,5296,[],2,0,"Many skulls will appear that spit Fire if you remain near them","De nombreux crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が出現する","해골이 많이 나타납니다. 플레이어가 근처에 있으면 불을 뱉습니다.","Vários Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появится множество черепов, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ พ่น​ไฟ หาก​คุณ​ยืน​อยู่​ใกล้​มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11242,""
16,"FlamespitterDaemon3Trial","[12,22]",[],[],40,15,"",0,"Raging Dead III","Défunts enragés III","Höllenschädel III","怒れる死者 III","격노하는 시체 III","Mortos Furiosos III","Неистовый мертвец III","Muertos encolerizados III","ศพเดือดดาล ระดับ 3","憤怒亡者 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",49977,[],0,5296,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 많이 나타납니다. 플레이어를 따라가다가 근처에 가면 불을 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo Fogo quando próximos de você","Появится множество черепов, которые будут преследовать вас и изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán fuego cuando estén cerca de ti","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ​ตาม​ติด​คุณ และ พ่น​ไฟ เมื่อ​อยู่​ใกล้​คุณ","若你持續待在附近，會出現追著你的骷髏並噴火",[],"","[7896,7826]",11248,""
17,"FlamespitterDaemon4Trial","[12,22]",[],[],41,16,"",0,"Raging Dead IV","Défunts enragés IV","Höllenschädel IV","怒れる死者 IV","격노하는 시체 IV","Mortos Furiosos IV","Неистовый мертвец IV","Muertos encolerizados IV","ศพเดือดดาล ระดับ 4","憤怒亡者 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",24954,[],0,5296,[],4,0,"Many skulls will appear that pursue you and quickly spit a large wave of Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent rapidement une large vague de feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und eine schnelle große Feuerwelle spucken, wenn Ihr in der Nähe seid","近くにいると巨大な火の波を素早く吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 여러 개 나타나서 당신을 따라다니다가 근처에 오면 빠르게 커다란 화염의 파도를 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo uma grande onda de Fogo rapidamente quando próximos de você","Появится множество черепов, которые будут преследовать вас и быстро изрыгать большие волны огня, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán rápidamente una gran oleada de fuego cuando estén cerca de ti","กะโหลก​จำนวน​มาก จะ​ปรากฏ​และ​ตาม​ติด​คุณ และ พ่น​ไฟ​ขนาด​ใหญ่​อย่าง​รวดเร็ว เมื่อ​อยู่​ใกล้​คุณ","若你持續待在附近，會出現追著你的骷髏並快速噴大火",[],"",[],16714,""
18,"FrostInfectionDaemon1",[13],[],[],42,"","",0,"Blistering Cold","Engelures instables","Eisige Kälte","猛烈な氷泡","맹렬한 냉기","Frio Escaldante","Обжигающий холод","Frío glacial","ความเย็นพุพอง ระดับ 1","極凍","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",13648,[],0,5484,[],1,0,"Frozen pustules will periodically appear and explode when you approach","Des pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules explosent lorsque vous vous en approchez.","Es erscheinen regelmäßig eisige Pusteln, die explodieren, wenn Ihr Euch nähert","凍った膿疱が定期的に出現し、近づくと爆発する","얼어붙은 농포가 주기적으로 나타나, 당신이 접근하면 폭발합니다.","Pústulas congeladas aparecerão periodicamente e explodirão quando você se aproximar","Периодически будут появляться замороженные пустулы, взрывающиеся при вашем приближении","Periódicamente aparecerán unas pústulas congeladas que explotarán cuando te acerques a ellas","ตุ่ม​หนอง​เยือก​แข็ง จะ​ปรากฏ​เป็น​ระยะ​และ​จะ ระเบิด เมื่อ​คุณ​เข้า​ใกล้","冰凍的膿瘡會持續出現，當你靠近時爆炸",[],"",[7827],11257,32307
19,"FrostInfectionDaemon2","[13,22]",[],[],43,18,"",0,"Blistering Cold II","Engelures instables II","Eisige Kälte II","猛烈な氷泡 II","맹렬한 냉기 II","Frio Escaldante II","Обжигающий холод II","Frío glacial II","ความเย็นพุพอง ระดับ 2","極凍 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",62444,[],0,5484,[],2,0,"Many frozen pustules will periodically appear and rapidly explode when you approach","De nombreuses pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules explosent rapidement lorsque vous vous en approchez.","Es erscheinen regelmäßig viele eisige Pusteln, die explodieren, wenn Ihr Euch nähert","複数の凍った膿疱が定期的に出現し、近づくと即座に爆発する","얼어붙은 농포 여러 개가 주기적으로 나타나, 당신이 접근하면 빠르게 폭발합니다.","Mais Pústulas congeladas aparecerão periodicamente e explodirão rapidamente quando você se aproximar","Периодически будет появляться множество замороженных пустул, стремительно взрывающихся при вашем приближении","Periódicamente aparecerán muchas pústulas congeladas que explotarán rápidamente cuando te acerques a ellas","ตุ่ม​หนอง​เยือก​แข็ง​จำนวน​มาก จะ​ปรากฏ​เป็น​ระยะ​และ​จะ ระเบิด​ถี่ๆ เมื่อ​คุณ​เข้า​ใกล้","許多冰凍的膿瘡會持續出現，當你靠近時迅速爆炸",[],"",[7827],11260,32307
