"rownum","BaseItemTypesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","rid_144","rid_160","rid_176","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]_424","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]_957","Level2"
26,113,"","","","","","","","","","","","","",787,787,799,4925,803,4925,4925,4925,4925,-1738015661,"[73,77]","[12965,12879,12981]",3,6,"[205,410]","","",1392,1403,"",4925,"",4925,4925,4925,803,1403,1392,1403,1403,1403,1403,1392,1392,1392,1392,1392,1392,1392,12877,0,4925,787,799,"",4925,"","","[12973,12879]",[0],[]
27,114,"","","","","","","","","","","","","",797,797,800,4926,804,4926,4926,4926,4926,1330507188,[],"[12966,12879,12982]",3,7,[0],"","",1396,1407,"",4926,"",4926,4926,4926,804,1407,1396,1407,1407,1407,1407,1396,1396,1396,1396,1396,1396,1396,12878,0,4926,797,800,"",4926,"","","[12974,12879]",[0],[]
28,115,"","","","","","","","","","","","","",90,"","","","","","","","",535092733,[12],"[12961,12984,12977]",4,2,[669],"","",9151,9157,"",90,"",90,90,90,90,9157,9151,9157,9157,9157,9157,9151,9151,9151,9151,9151,9151,9151,12866,45,90,90,90,90,90,90,"","[12969,12984]",[1657],[12]
29,116,"","","","","","","","","","","","","",91,"","","","","","","","",-267836319,[30],"[12962,12984,12978]",4,3,[736],"","",9152,9158,"",91,"",91,91,91,91,9158,9152,9158,9158,9158,9158,9152,9152,9152,9152,9152,9152,9152,12867,60,91,91,91,91,91,91,"","[12970,12984]",[1657],[30]
30,117,"","","","","","","","","","","","","",93,"","","","","","","","",-880120152,[48],"[12963,12984,12979]",4,4,[810],"","",9153,9159,"",93,"",93,93,93,93,9159,9153,9159,9159,9159,9159,9153,9153,9153,9153,9153,9153,9153,12868,75,93,93,93,93,93,93,"","[12971,12984]",[731],[48]
31,118,"","","","","","","","","","","","","",94,"","","","","","","","",1066624914,[68],"[12964,12984,12980]",4,5,[891],"","",9154,9160,"",94,"",94,94,94,94,9160,9154,9160,9160,9160,9160,9154,9154,9154,9154,9154,9154,9154,12869,0,94,94,94,94,94,94,1,"[12972,12984]",[49],[68]
32,119,"","","","","","","","","","","","","",96,"","","","","","","","",993214565,"[73,77]","[12965,12984,12981]",4,6,"[178,356]","","",9155,9161,"",96,"",96,96,96,96,9161,9155,9161,9161,9161,9161,9155,9155,9155,9155,9155,9155,9155,12870,0,96,96,96,96,96,96,"","[12973,12984]",[0],[]
33,120,"","","","","","","","","","","","","",99,"","","","","","","","",-558420537,[],"[12966,12984,12982]",4,7,[0],"","",9156,9162,"",99,"",99,99,99,99,9162,9156,9162,9162,9162,9162,9156,9156,9156,9156,9156,9156,9156,12871,0,99,99,99,99,99,99,"","[12974,12984]",[0],[]
34,121,"","","","","","","","","","","","",1890,3182,"","",3182,"","","","","",-36091224,[12],"[12961,12986,12977]",5,2,[669],1878,"","","",1890,3182,"",3182,3182,3182,3182,1890,1878,1890,1890,1890,1890,1878,1878,1878,1878,1878,1878,1878,12806,45,3182,3753,3753,3753,3182,"","","[12969,12986]",[1657],[12]
35,122,"","","","","","","","","","","","",1892,3183,"","",3183,"","","","","",-1327428615,[30],"[12962,12986,12978]",5,3,[736],1880,"","","",1892,3183,"",3183,3183,3183,3183,1892,1880,1892,1892,1892,1892,1880,1880,1880,1880,1880,1880,1880,12807,60,3183,3754,3754,3754,3183,"","","[12970,12986]",[1657],[30]
36,123,"","","","","","","","","","","","",1894,3184,"","",3184,"","","","","",891153638,[48],"[12963,12986,12979]",5,4,[810],1882,"","","",1894,3184,"",3184,3184,3184,3184,1894,1882,1894,1894,1894,1894,1882,1882,1882,1882,1882,1882,1882,12808,75,3184,3755,3755,3755,3184,"","","[12971,12986]",[731],[48]
37,124,"","","","","","","","","","","","",1896,3186,"","",3186,"","","","","",128783824,[68],"[12964,12986,12980]",5,5,[891],1884,"","","",1896,3186,"",3186,3186,3186,3186,1896,1884,1896,1896,1896,1896,1884,1884,1884,1884,1884,1884,1884,12809,0,3186,3756,3756,3756,3186,"",1,"[12972,12986]",[49],[68]
38,125,"","","","","","","","","","","","",1897,3187,"","",3187,"","","","","",-452117587,"[73,77]","[12965,12986,12981]",5,6,"[178,356]",1885,"","","",1897,3187,"",3187,3187,3187,3187,1897,1885,1897,1897,1897,1897,1885,1885,1885,1885,1885,1885,1885,12810,0,3187,3757,3757,3757,3187,"","","[12973,12986]",[0],[]
39,126,"","","","","","","","","","","","",1909,3188,"","",3188,"","","","","",1536872438,[],"[12966,12986,12982]",5,7,[0],1887,"","","",1909,3188,"",3188,3188,3188,3188,1909,1887,1909,1909,1909,1909,1887,1887,1887,1887,1887,1887,1887,12811,0,3188,3758,3758,3758,3188,"","","[12974,12986]",[0],[]
40,127,"","","","","","","","","","","","","",1008,"","",4914,998,4914,12429,4914,12429,-475311494,[12],"[12961,12985,12977]",6,2,[669],"","",10139,10177,"",4914,"",4914,12429,4914,998,10177,10139,10177,10177,10177,10177,10139,10139,10139,10139,10139,10139,10139,12830,45,4914,999,999,999,12429,"","","[12969,12985]",[1657],[12]
41,128,"","","","","","","","","","","","","",1010,"","",4915,999,4915,12430,4915,12430,1008794806,[30],"[12962,12985,12978]",6,3,[736],"","",10141,10179,"",4915,"",4915,12430,4915,999,10179,10141,10179,10179,10179,10179,10141,10141,10141,10141,10141,10141,10141,12831,60,4915,1001,1001,1001,12430,"","","[12970,12985]",[1657],[30]
42,129,"","","","","","","","","","","","","",1012,"","",4916,1000,4916,12431,4916,12431,-1179354155,[48],"[12963,12985,12979]",6,4,[810],"","",10143,10181,"",4916,"",4916,12431,4916,1000,10181,10143,10181,10181,10181,10181,10143,10143,10143,10143,10143,10143,10143,12832,75,4916,1003,1003,1003,12431,"","","[12971,12985]",[731],[48]
43,130,"","","","","","","","","","","","","",1014,"","",4917,1001,4917,12432,4917,12432,747230036,[68],"[12964,12985,12980]",6,5,[891],"","",10144,10182,"",4917,"",4917,12432,4917,1001,10182,10144,10182,10182,10182,10182,10144,10144,10144,10144,10144,10144,10144,12833,0,4917,1005,1005,1005,12432,"",1,"[12972,12985]",[49],[68]
44,131,"","","","","","","","","","","","","",1015,"","",4918,1002,4918,12433,4918,12433,-826006652,"[73,77]","[12965,12985,12981]",6,6,"[178,356]","","",10145,10183,"",4918,"",4918,12433,4918,1002,10183,10145,10183,10183,10183,10183,10145,10145,10145,10145,10145,10145,10145,12834,0,4918,1006,1006,1006,12433,"","","[12973,12985]",[0],[]
45,132,"","","","","","","","","","","","","",1016,"","",4919,1003,4919,12434,4919,12434,-1551618851,[],"[12966,12985,12982]",6,7,[0],"","",10146,10184,"",4919,"",4919,12434,4919,1003,10184,10146,10184,10184,10184,10184,10146,10146,10146,10146,10146,10146,10146,12835,0,4919,1017,1017,1017,12434,"","","[12974,12985]",[0],[]
46,133,"","","","","","","","","","","","","",4716,"","",4733,4765,"","",4759,"",697488794,[12],"[12961,12977]",7,2,[669],"","",20788,20799,"",4733,"",4759,4733,4733,4765,20799,20788,20799,20799,20799,20799,20788,20788,20788,20788,20788,20788,20788,12838,45,4733,4716,4716,4716,4733,"","",[12969],[1657],[12]
47,134,"","","","","","","","","","","","","",4717,"","",4734,4766,"","",4760,"",-185991819,[30],"[12962,12978]",7,3,[736],"","",20789,20800,"",4734,"",4760,4734,4734,4766,20800,20789,20800,20800,20800,20800,20789,20789,20789,20789,20789,20789,20789,12839,60,4734,4717,4717,4717,4734,"","",[12970],[1657],[30]
48,135,"","","","","","","","","","","","","",4718,"","",4735,4767,"","",4761,"",2034631909,[48],"[12963,12979]",7,4,[810],"","",20790,20801,"",4735,"",4761,4735,4735,4767,20801,20790,20801,20801,20801,20801,20790,20790,20790,20790,20790,20790,20790,12840,75,4735,4718,4718,4718,4735,"","",[12971],[731],[48]
49,136,"","","","","","","","","","","","","",4719,"","",4736,4768,"","",4762,"",-575837846,[68],"[12964,12980]",7,5,[891],"","",20795,20802,"",4736,"",4762,4736,4736,4768,20802,20795,20802,20802,20802,20802,20795,20795,20795,20795,20795,20795,20795,12841,0,4736,4719,4719,4719,4736,"",1,[12972],[49],[68]
50,137,"","","","","","","","","","","","","",4720,"","",4737,4769,"","",4763,"",117284401,"[73,77]","[12965,12981]",7,6,"[178,356]","","",20796,20803,"",4737,"",4763,4737,4737,4769,20803,20796,20803,20803,20803,20803,20796,20796,20796,20796,20796,20796,20796,12842,0,4737,4720,4720,4720,4737,"","",[12973],[0],[]
51,138,"","","","","","","","","","","","","",4721,"","",4738,4770,"","",4764,"",-779044208,[],"[12966,12982]",7,7,[0],"","",20797,20804,"",4738,"",4764,4738,4738,4770,20804,20797,20804,20804,20804,20804,20797,20797,20797,20797,20797,20797,20797,12843,0,4738,4721,4721,4721,4738,"","",[12974],[0],[]
52,139,"","","","","","","","","","","","","",963,"","",4961,952,4961,12424,4961,12424,836789809,[30],"[12962,12984,12978]",8,3,[640],"","",10123,10169,"",4961,"",4961,12424,4961,952,10169,10123,10169,10169,10169,10169,10123,10123,10123,10123,10123,10123,10123,12844,60,4961,954,954,954,12424,"","","[12970,12984]",[1441],[30]
53,140,"","","","","","","","","","","","","",965,"","",4962,953,4962,12425,4962,12425,-1267169214,[48],"[12963,12984,12979]",8,4,[704],"","",10125,10171,"",4962,"",4962,12425,4962,953,10171,10125,10171,10171,10171,10171,10125,10125,10125,10125,10125,10125,10125,12845,75,4962,956,956,956,12425,"","","[12971,12984]",[636],[48]
54,141,"","","","","","","","","","","","","",966,"","",4963,954,4963,12426,4963,12426,-1833058895,[68],"[12964,12984,12980]",8,5,[775],"","",10126,10172,"",4963,"",4963,12426,4963,954,10172,10126,10172,10172,10172,10172,10126,10126,10126,10126,10126,10126,10126,12846,0,4963,957,957,957,12426,"",1,"[12972,12984]",[42],[68]
55,142,"","","","","","","","","","","","","",968,"","",4964,955,4964,12427,4964,12427,864068417,"[73,77]","[12965,12984,12981]",8,6,"[155,310]","","",10127,10173,"",4964,"",4964,12427,4964,955,10173,10127,10173,10173,10173,10173,10127,10127,10127,10127,10127,10127,10127,12847,0,4964,959,959,959,12427,"","","[12973,12984]",[0],[]
56,143,"","","","","","","","","","","","","",969,"","",4965,956,4965,12428,4965,12428,222024053,[],"[12966,12984,12982]",8,7,[0],"","",10128,10174,"",4965,"",4965,12428,4965,956,10174,10128,10174,10174,10174,10174,10128,10128,10128,10128,10128,10128,10128,12848,0,4965,970,970,970,12428,"","","[12974,12984]",[0],[]
57,144,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,[30],"[12962,12986,8495,12978]",9,3,[640],"","",9140,9145,"",2,"",2,2,2,2,9145,9140,9145,9145,9145,9145,9140,9140,9140,9140,9140,9140,9140,12889,60,2,2,2,2,2,2,"","[12970,12986,8495]",[1441],[30]
58,145,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,[48],"[12963,12986,8495,12979]",9,4,[704],"","",9141,9146,"",4,"",4,4,4,4,9146,9141,9146,9146,9146,9146,9141,9141,9141,9141,9141,9141,9141,12890,75,4,4,4,4,4,4,"","[12971,12986,8495]",[636],[48]
59,146,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,[68],"[12964,12986,8495,12980]",9,5,[775],"","",9142,9147,"",5,"",5,5,5,5,9147,9142,9147,9147,9147,9147,9142,9142,9142,9142,9142,9142,9142,12891,0,5,5,5,5,5,5,1,"[12972,12986,8495]",[42],[68]
60,147,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,"[73,77]","[12965,12986,8495,12981]",9,6,"[155,310]","","",9143,9148,"",7,"",7,7,7,7,9148,9143,9148,9148,9148,9148,9143,9143,9143,9143,9143,9143,9143,12892,0,7,7,7,7,7,7,"","[12973,12986,8495]",[0],[]
61,148,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,[],"[12966,12986,8495,12982]",9,7,[0],"","",9144,9149,"",10,"",10,10,10,10,9149,9144,9149,9149,9149,9149,9144,9144,9144,9144,9144,9144,9144,12893,0,10,10,10,10,10,10,"","[12974,12986,8495]",[0],[]
62,149,"","","","","","","","","","","","",1998,3343,"","",3343,"","","","","",1046769873,[30],"[12962,12985,12978]",10,3,[640],1986,"",1986,"",1998,3343,"",3343,3343,3343,3343,1998,1986,1998,1998,1998,1998,1986,1986,1986,1986,1986,1986,1986,12819,60,3343,3824,3824,3824,3343,"","","[12970,12985]",[1441],[30]
63,150,"","","","","","","","","","","","",2000,3344,"","",3344,"","","","","",-383181272,[48],"[12963,12985,12979]",10,4,[704],1988,"",1988,"",2000,3344,"",3344,3344,3344,3344,2000,1988,2000,2000,2000,2000,1988,1988,1988,1988,1988,1988,1988,12820,75,3344,3825,3825,3825,3344,"","","[12971,12985]",[636],[48]
64,151,"","","","","","","","","","","","",2002,3346,"","",3346,"","","","","",491155825,[68],"[12964,12985,12980]",10,5,[775],1990,"",1990,"",2002,3346,"",3346,3346,3346,3346,2002,1990,2002,2002,2002,2002,1990,1990,1990,1990,1990,1990,1990,12821,0,3346,3827,3827,3827,3346,"",1,"[12972,12985]",[42],[68]
65,152,"","","","","","","","","","","","",2003,3347,"","",3347,"","","","","",-150361862,"[73,77]","[12965,12985,12981]",10,6,"[155,310]",1991,"",1991,"",2003,3347,"",3347,3347,3347,3347,2003,1991,2003,2003,2003,2003,1991,1991,1991,1991,1991,1991,1991,12822,0,3347,3828,3828,3828,3347,"","","[12973,12985]",[0],[]
66,153,"","","","","","","","","","","","",2015,3348,"","",3348,"","","","","",1926779813,[],"[12966,12985,12982]",10,7,[0],1993,"",1993,"",2015,3348,"",3348,3348,3348,3348,2015,1993,2015,2015,2015,2015,1993,1993,1993,1993,1993,1993,1993,12823,0,3348,3835,3835,3835,3348,"","","[12974,12985]",[0],[]
67,154,"","","","","","","","","","","","","",2938,2043,"","","","","","","",-557327777,[30],"[12962,12978]",11,3,[640],4517,"","","","",2099,"",2099,2099,2099,2099,4517,4517,4517,4517,4517,4517,4517,4517,4517,4517,4517,4517,4517,12911,60,2075,2043,2075,2075,2099,"","",[12970],[1441],[30]
68,155,"","","","","","","","","","","","","",2939,2044,"","",2113,2113,"","",2102,-1074439089,[48],"[12963,12979]",11,4,[704],4518,"","","","",2101,"",2101,2101,2113,2113,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,12912,75,2076,2044,2076,2076,2102,"","",[12971],[636],[48]
69,156,"","","","","","","","","","","","","",2940,2045,"","",2114,2114,2103,2109,2117,1419643846,[68],"[12964,12980]",11,5,[775],4519,"","","","",2114,"",2109,2103,2114,2114,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,4519,12913,0,2077,2045,2077,2077,2117,"",1,[12972],[42],[68]
70,157,"","","","","","","","","","","","","",2941,2048,"","",2115,2115,2105,2110,2118,2044538361,"[73,77]","[12965,12981]",11,6,"[155,310]",4520,"","","","",2115,"",2110,2105,2115,2115,4520,4520,4520,4520,4520,4520,4520,4520,4520,4520,4520,4520,4520,12914,0,2078,2048,2078,2078,2118,"","",[12973],[0],[]
71,158,"","","","","","","","","","","","","",2942,2049,"","",2116,2116,2107,2111,2119,-444339820,[],"[12966,12982]",11,7,[0],4521,"","","","",2116,"",2111,2107,2116,2116,4521,4521,4521,4521,4521,4521,4521,4521,4521,4521,4521,4521,4521,12915,0,2080,2049,2080,2080,2119,"","",[12974],[0],[]
72,159,"","","","","","","","","","","","","",918,"","",6571,906,6571,12420,6571,12420,-964777382,[48],"[12963,12986,13035,12979]",12,4,[612],"","",10107,10161,"",6571,"",6571,12420,6571,906,10161,10107,10161,10161,10161,10161,10107,10107,10107,10107,10107,10107,10107,12881,75,6571,909,909,909,12420,"","","[12971,12986,13035]",[553],[48]
73,160,"","","","","","","","","","","","","",920,"","",6572,907,6572,12421,6572,12421,1027011185,[68],"[12964,12986,13035,12980]",12,5,[673],"","",10108,10162,"",6572,"",6572,12421,6572,907,10162,10108,10162,10162,10162,10162,10108,10108,10108,10108,10108,10108,10108,12882,0,6572,911,911,911,12421,"",1,"[12972,12986,13035]",[37],[68]
74,161,"","","","","","","","","","","","","",921,"","",6573,908,6573,12422,6573,12422,-1839053998,"[73,77]","[12965,12986,13035,12981]",12,6,"[135,269]","","",10109,10163,"",6573,"",6573,12422,6573,908,10163,10109,10163,10163,10163,10163,10109,10109,10109,10109,10109,10109,10109,12883,0,6573,912,912,912,12422,"","","[12973,12986,13035]",[0],[]
75,162,"","","","","","","","","","","","","",922,"","",6574,909,6574,12423,6574,12423,1845632009,[],"[12966,12986,13035,12982]",12,7,[0],"","",10110,10164,"",6574,"",6574,12423,6574,909,10164,10110,10164,10164,10164,10164,10110,10110,10110,10110,10110,10110,10110,12884,0,6574,923,923,923,12423,"","","[12974,12986,13035]",[0],[]
