"rownum","GrantedEffectsKey","string_16","bool_24","bool_25","bool_26","MiscAnimated","bool_43","bool_44","i32_45","bool_49","bool_50","bool_51","bool_52"
57,8609,"<lock>",1,1,1,41,"",1,0,"","",1,""
58,10173,"<lock>",1,1,1,9,"",1,0,"","",1,""
59,10263,"<lock>",1,1,1,19,"",1,0,"","",1,""
60,10387,"<lock>",1,1,1,20,"",1,0,"","",1,""
61,3324,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
62,1988,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
63,1989,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
64,1990,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
65,359,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
66,360,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
67,361,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
68,655,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
69,656,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
70,657,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
71,1067,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
72,1068,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
73,1069,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
74,2212,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
75,2213,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
76,2214,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
77,1898,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
78,1899,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
79,1900,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
80,1878,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
81,1879,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
82,1880,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
83,5168,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
84,5169,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
85,5170,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
86,388,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
87,389,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
88,390,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
89,3886,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
90,3887,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
91,3888,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
92,10581,"<lock>",1,1,1,30,"",1,0,1,"","",""
93,10582,"<lock>",1,1,1,30,"",1,0,1,"","",""
94,10583,"<lock>",1,1,1,30,"",1,0,1,"","",""
95,3203,"<lock>",1,1,1,38,"",1,0,"","","",""
96,10809,"<lock>",1,1,1,42,"",1,0,"","","",""
97,11042,"<lock>",1,1,"",49,"",1,0,"","","",""
98,0,"<lock>",1,1,"",45,"",1,0,"","","",""
99,1,"<lock>",1,1,"",45,"",1,0,"","","",""
100,2,"<lock>",1,1,"",45,"",1,0,"","","",""
101,991,"<lock>",1,1,"",52,"",1,0,"","","",""
102,992,"<lock>",1,1,"",52,"",1,0,"","","",""
103,993,"<lock>",1,1,"",52,"",1,0,"","","",""
104,2257,"<lock>",1,1,"",51,"",1,0,"","","",""
105,2258,"<lock>",1,1,"",51,"",1,0,"","","",""
106,2259,"<lock>",1,1,"",51,"",1,0,"","","",""
107,11267,"<lock>",1,1,1,7,"",1,0,"","",1,""
108,1326,"<lock>",1,1,"",64,"",1,0,"","","",""
109,1327,"<lock>",1,1,"",64,"",1,0,"","","",""
110,1328,"<lock>",1,1,"",64,"",1,0,"","","",""
111,11365,"<root>",1,1,"",67,"","",0,"","","",""
112,11366,"<root>",1,1,"",67,"","",0,"","","",""
113,11367,"<root>",1,1,"",67,"","",0,"","","",""
114,11373,"<lock>",1,1,1,68,"",1,0,"","",1,""
115,3136,"<lock>",1,1,1,73,"",1,0,"","","",""
116,3137,"<lock>",1,1,1,73,"",1,0,"","","",""
117,3138,"<lock>",1,1,1,73,"",1,0,"","","",""
118,11438,"<lock>",1,1,1,74,"",1,0,"","",1,""
119,11397,"<lock>",1,1,1,76,"",1,0,"","","",""
120,11398,"<lock>",1,1,1,76,"",1,0,"","","",""
121,11399,"<lock>",1,1,1,76,"",1,0,"","","",""
122,11541,"<lock>",1,1,1,77,"",1,0,"","","",""
123,11542,"<lock>",1,1,1,77,"",1,0,"","","",""
124,11543,"<lock>",1,1,1,77,"",1,0,"","","",""
125,11553,"<lock>",1,1,"",80,"",1,0,"","","",""
126,11554,"<lock>",1,1,"",80,"",1,0,"","","",""
127,11555,"<lock>",1,1,"",80,"",1,0,"","","",""
128,1531,"<lock>",1,1,1,41,"",1,0,"","",1,""
129,11753,"<lock>",1,1,1,101,"",1,0,"","","",""
130,11816,"<lock>",1,1,1,110,"",1,0,"","","",""
131,11822,"<lock>",1,1,1,76,"",1,0,"","","",""
132,11830,"<lock>",1,1,1,5,"",1,0,"","","",""
133,11832,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
134,11828,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
135,11844,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
136,11043,"<lock>",1,1,"",4,"",1,0,"","","",""
137,11044,"<lock>",1,1,"",4,"",1,0,"","","",""
138,11045,"<lock>",1,1,"",4,"",1,0,"","","",""
139,11956,"<lock>",1,1,"",138,"","",0,"","","",""
140,11954,"<lock>",1,1,"",139,"","",0,"","","",""
141,12146,"<lock>",1,1,1,140,"",1,0,"","",1,""
142,5817,"<lock>",1,1,1,141,"",1,0,"","","",""
