"rownum","Id","i32_8","i32_12","i32_16","Stat","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SupportFamily","HASH16","GemIcon","Variant"
10,"BladeFallSpecificAddedVolleysHigh",0,0,0,[7939],[2],"Gilded Volleys","Volées dorées","Goldene Salven","金色の斉射","도금된 사격 공세","Salva Áurea","Позолоченный: Залп","Salvas doradas","Gilded Volleys","鍍金齊射","",1075,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
11,"SpellCascadeLow",0,0,0,[6851],[1],"Lesser Spell Cascade","Cascade de sorts mineure","Geringere Zauberkaskade","スペルカスケード（小）","하위 연속 주문","Sequência Mágica Menor","Малый каскад чар","Cascada de hechizos menor","Lesser Spell Cascade","低階秘能爆發",2,65120,"Art/2DItems/Gems/Support/SpellCascade.dds",1
12,"SpellCascadeHigh",0,0,0,[6851],[2],"Spell Cascade","Cascade de sorts","Zauberkaskade","スペルカスケード","연속 주문","Sequência Mágica","Каскад чар","Cascada de hechizos","Spell Cascade","秘能爆發",2,1751,"Art/2DItems/Gems/Support/SpellCascade.dds",3
13,"FlickerStrikeSpecificConsumeAllImpalesHigh",0,0,0,[18311],[50],"Gilded Impale Extraction","Extraction d'empalement dorée","Goldene Aufspießungsextraktion","金色の串刺し抽出","도금된 꿰뚫기 추출","Extração de Empalamento Áurea","Позолоченный: Извлечение Проколов","Extracción de empalamientos dorados","Gilded Impale Extraction","鍍金穿刺提取","",52383,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
14,"ScourgeArrowAltSpecificPodCountHigh",0,0,0,[19474],[1],"Gilded Additional Pods","Bulbes supplémentaires dorés","Goldene zusätzliche Sporenkapseln","金色の追加胞子嚢","도금된 추가 주머니","Esporângios Adicionais Áureos","Позолоченный: Дополнительные стручки","Vainas adicionales doradas","Gilded Additional Pods","鍍金額外黴孢","",20568,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
15,"CycloneSpecificMoveSpeedHigh",0,0,0,[1230],[35],"Gilded Faster Cyclone","Cyclone accéléré doré","Goldener schnellerer Wirbelsturm","金色の高速サイクロン","도금된 회오리바람 속도 증가","Ciclone Acelerado Áureo","Позолоченный: Ускоренный вихрь","Ciclón más rápido dorado","Gilded Faster Cyclone","鍍金旋風斬加快","",17178,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
16,"HolyRelicSpecificRegenHigh",0,0,0,[10248],[1500],"Gilded Relic Recovery","Récupération des Reliques dorée","Goldene Relikt-Wiederherstellung","金色のレリック回復","도금된 유물 회복","Recuperação de Relíquia Áurea","Позолоченный: Восстановление от реликвии","Recuperación de reliquias doradas","Gilded Relic Recovery","鍍金聖物恢復","",44238,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
17,"BladestormSpecificAdditionalStormHigh",0,0,0,[9285],[1],"Gilded Maximum Storms","Tempêtes maximales dorées","Goldene maximale Stürme","金色の最大ストーム","도금된 최대 폭풍","Tempestades Máximas Áureas","Позолоченный: Максимум ураганов","Tormentas máximas doradas","Gilded Maximum Storms","鍍金風暴上限","",10682,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
18,"PerforateSpecificSpikesHigh",0,0,0,[9316],[2],"Gilded Maximum Spikes","Pieux maximaux dorés","Goldene maximale Stachel","金色の最大トゲ","도금된 가시 최대치","Espinhos Máximos Áureos","Позолоченный: Максимум шипов","Estacas máximas doradas","Gilded Maximum Spikes","鍍金尖刺上限","",9460,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
19,"SacredWispsHigh",0,0,0,[20115],[1],"Greater Sacred Wisps","Flammeroles sacrées majeures","Größere Heilige Irrlichter","聖なるウィスプ（大）","상위 신성한 도깨비불","Lúmens Sagrados Maiores","Много священных огоньков","Fuegos fatuos sagrados mayores","Greater Sacred Wisps","高階神聖妖精","",45969,"Art/2DItems/Gems/Support/WandWispSupport.dds",3
20,"VigilantStrikeSpecificShareFortifyHigh",0,0,0,[5814],[8],"Gilded Fortification","Renforcement doré","Goldene Verstärkung","金色の堅牢化","도금된 방어 상승","Fortificação Áurea","Позолоченный: Укрепление","Fortificación dorada","Gilded Fortification","鍍金護體","",60910,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
21,"HeavyStrikeSpecificMoreMaxPhysHigh",0,0,0,[5676],[40],"Gilded Heft","Lourdeur dorée","Goldene Wucht","金色の重量","도금된 중량","Massa Áurea","Позолоченный: Тяжесть","Peso dorado","Gilded Heft","鍍金分量","",3194,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
22,"ForkHigh",0,0,0,[1113],[1],"Greater Fork","Scindement majeur","Größere Gabelung","分岐（大）","상위 갈래","Ramificar Maior","Большое разветвление","Bifurcación superior","Greater Fork","高階分岔","",32052,"Art/2DItems/Gems/Support/Fork.dds",3
23,"BleedLow",0,0,0,"[3625,5344]","[20,20]","Lesser Chance to Bleed","Chances de Saignement mineures","Geringere Chance auf Bluten","出血付与（小）","하위 출혈 확률","Chance de Sangramento Menor","Малый шанс кровотечения","Probabilidad de sangrado menor","Lesser Chance to Bleed","低階流血機率",9,42600,"Art/2DItems/Gems/Support/ChanceToBleed.dds",1
24,"BleedMid",0,0,0,"[3625,5344]","[35,20]","Chance to Bleed","Chances de Saignement","Chance auf Bluten","出血付与","출혈 확률","Chance de Sangramento","Шанс кровотечения","Probabilidad de sangrado","Chance to Bleed","流血機率",9,38948,"Art/2DItems/Gems/Support/ChanceToBleed.dds",2
25,"BleedHigh",0,0,0,"[3625,5344]","[50,40]","Greater Chance to Bleed","Chances de Saignement majeures","Größere Chance auf Bluten","出血付与（大）","상위 출혈 확률","Chance de Sangramento Maior","Большой шанс кровотечения","Probabilidad de sangrado mayor","Greater Chance to Bleed","高階流血機率",9,31439,"Art/2DItems/Gems/Support/ChanceToBleed.dds",3
26,"AddedChaosLow",0,0,0,"[64,65]","[10,16]","Lesser Added Chaos","Dégâts de chaos supplémentaires mineurs","Geringerer Zusätzlicher Chaosschaden","混沌追加（小）","하위 카오스 추가","Dano Adicional de Caos Menor","Малый урон хаосом","Caos agregado menor","Lesser Added Chaos","低階附加混沌",10,45284,"Art/2DItems/Gems/Support/AddedChaosDamage.dds",1
27,"AddedChaosMid",0,0,0,"[64,65]","[33,49]","Added Chaos","Dégâts de chaos supplémentaires","Zusätzlicher Chaosschaden","混沌追加","카오스 추가","Dano Adicional de Caos","Урон хаосом","Caos agregado","Added Chaos","附加混沌",10,31430,"Art/2DItems/Gems/Support/AddedChaosDamage.dds",2
28,"AddedChaosHigh",0,0,0,"[64,65]","[73,109]","Greater Added Chaos","Dégâts de chaos supplémentaires majeurs","Größerer Zusätzlicher Chaosschaden","混沌追加（大）","상위 카오스 추가","Dano Adicional de Caos Maior","Большой урон хаосом","Caos agregado mayor","Greater Added Chaos","高階附加混沌",10,11914,"Art/2DItems/Gems/Support/AddedChaosDamage.dds",3
29,"EnduringCrySpecificOnslaughtGainHigh",0,0,0,[12082],[1],"Gilded Onslaught on Cry","Assaut en Criant doré","Goldener Ansturm bei Kriegsschrei","金色のクライ時猛攻","도금된 함성 시 맹공","Agressividade Áurea no Clamor","Позолоченный: Боевой раж при кличе","Fervor dorado con grito de guerra","Gilded Onslaught on Cry","鍍金戰吼時猛攻","",52432,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
30,"WarcryRageLow",0,0,0,[7458],[10],"Lesser Raging Cry","Cri de rage mineur","Geringerer Rauschender Schrei","レイジングクライ（小）","하위 격노하는 함성","Clamor Tempestuoso Menor","Слабый свирепый клич","Grito enfurecedor menor","Lesser Raging Cry","低階憤怒戰吼",6,49237,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",1
31,"WarcryRageMid",0,0,0,[7458],[15],"Raging Cry","Cri de rage","Rauschender Schrei","レイジングクライ","격노하는 함성","Clamor Tempestuoso","Свирепый клич","Grito enfurecedor","Raging Cry","憤怒戰吼",6,36496,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",2
32,"WarcryRageHigh",0,0,0,[7458],[20],"Greater Raging Cry","Cri de rage majeur","Größerer Rauschender Schrei","レイジングクライ（大）","상위 격노하는 함성","Clamor Tempestuoso Maior","Сильный свирепый клич","Grito enfurecedor mayor","Greater Raging Cry","高階憤怒戰吼",6,13784,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",3
33,"PoisonChanceLow",0,0,0,[3364],[20],"Lesser Chance to Poison","Chances d'Empoisonnement mineures","Geringere Chance auf Vergiften","毒付与（小）","하위 중독 확률","Chance de Envenenar Menor","Малый шанс отравить","Probabilidad de envenenar menor","Lesser Chance to Poison","低階中毒機率",4,1864,"Art/2DItems/Gems/Support/Poison.dds",1
34,"PoisonChanceMid",0,0,0,[3364],[35],"Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","Chance to Poison","中毒機率",4,58384,"Art/2DItems/Gems/Support/Poison.dds",2
35,"PoisonChanceHigh",0,0,0,[3364],[50],"Greater Chance to Poison","Chances d'Empoisonnement majeures","Größere Chance auf Vergiften","毒付与（大）","상위 중독 확률","Chance de Envenenar Maior","Большой шанс отравить","Probabilidad de envenenar mayor","Greater Chance to Poison","高階中毒機率",4,9585,"Art/2DItems/Gems/Support/Poison.dds",3
36,"DarkPactSpecificMaledictionOnHitHigh",0,0,0,[12139],[1],"Gilded Malediction","Malédiction dorée","Goldene Malediktion","金色の呪詛","도금된 악담","Esconjuro Áureo","Позолоченный: Злословие","Maldición dorada","Gilded Malediction","鍍金惡語術","",48949,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
37,"CastSpeedLow",0,0,0,[216],[15],"Lesser Faster Casting","Vitesse d'incantation mineure","Geringeres schnelleres Zaubern","キャストスピード（小）","하위 시전 속도 증가","Conjuração Acelerada Menor","Малое ускорение сотворения чар","Lanzamiento rápido de hechizos menor","Lesser Faster Casting","低階快速施放",3,43469,"Art/2DItems/Gems/Support/FasterCast.dds",1
38,"CastSpeedMid",0,0,0,[216],[25],"Faster Casting","Vitesse d'incantation","Schnelleres Zaubern","キャストスピード","시전 속도 증가","Conjuração Acelerada","Ускорение сотворения чар","Lanzamiento rápido de hechizos","Faster Casting","快速施放",3,38851,"Art/2DItems/Gems/Support/FasterCast.dds",2
39,"CastSpeedHigh",0,0,0,[216],[35],"Greater Faster Casting","Vitesse d'incantation majeure","Größeres schnelleres Zaubern","キャストスピード（大）","상위 시전 속도 증가","Conjuração Acelerada Maior","Большое ускорение сотворения чар","Lanzamiento rápido de hechizos mayor","Greater Faster Casting","高階快速施放",3,8607,"Art/2DItems/Gems/Support/FasterCast.dds",3
40,"KnockbackLow",0,0,0,"[110,401]","[1,40]","Knockback","Repoussement","Rückstoß","ノックバック","밀어내기","Empurrar","Отбрасывание","Empuje","Knockback","擊退","",65002,"Art/2DItems/Gems/Support/Knockback.dds",1
41,"StormRainSpecificNumberOfBurstsHigh",0,0,0,[14373],[2],"Gilded Additional Pulses","Décharges supplémentaires dorées","Goldene zusätzliche Impulse","金色のパルス追加","도금된 추가 파동","Pulsos Adicionais Áureos","Позолоченный: Дополнительные разряды","Pulsos dorados adicionales","Gilded Additional Pulses","鍍金額外脈衝","",30722,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
42,"LightningDamageLuckyHigh",0,0,0,[11414],[1],"Greater Lucky Lightning Damage","Dégâts de foudre favorables majeurs","Größerer Günstiger Blitzschaden","雷ダメージ幸運（大）","상위 번개 피해에 행운 적용","Dano Adicional de Raio Sortudo Maior","Большой удачливый урон от молнии","Daño de rayo afortunado mayor","Greater Lucky Lightning Damage","高階幸運閃電傷害","",24343,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
43,"GenerosityLow",0,0,0,"[2409,3834]","[1,10]","Lesser Generosity","Générosité mineure","Geringere Großzügigkeit","寛大（小）","하위 관대함","Generosidade Menor","Малая щедрость","Generosidad menor","Lesser Generosity","低階和善",7,59349,"Art/2DItems/Gems/Support/GenerositySupport.dds",1
44,"GenerosityMid",0,0,0,"[2409,3834]","[1,20]","Generosity","Générosité","Großzügigkeit","寛大","관대함","Generosidade","Щедрость","Generosidad","Generosity","和善",7,35435,"Art/2DItems/Gems/Support/GenerositySupport.dds",2
45,"GenerosityHigh",0,0,0,"[2409,3834]","[1,30]","Greater Generosity","Générosité majeure","Größere Großzügigkeit","寛大（大）","상위 관대함","Generosidade Maior","Большая щедрость","Generosidad mayor","Greater Generosity","高階和善",7,53367,"Art/2DItems/Gems/Support/GenerositySupport.dds",3
46,"FortifyHigh",0,0,0,[5406],[1],"Greater Fortify","Renforcement majeur","Goldenes Verstärken","堅牢化（大）","상위 방어 상승","Fortificar Maior","Большое укрепление","Fortificar mayor","Greater Fortify","高階護體","",31664,"Art/2DItems/Gems/Support/FortifyGem.dds",3
47,"FlameLinkSpecificAddedFlatHigh",0,0,0,"[14813,14814]","[38,56]","Gilded Empowered Link","Lien amélioré doré","Goldene Verstärkte Verbindung","金色の強化リンク","도금된 강화된 연결","Vínculo Fortalecido Áureo","Позолоченный: Усиленная связь","Vínculo potenciado dorado","Gilded Empowered Link","鍍金烈焰連結","",36350,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
48,"IceCrashSpecificTertiaryRadiusHigh",0,0,0,[18301],[5],"Gilded Icecrash Radius","Rayon de Fracas de glace doré","Goldener Eishiebradius","金色のアイスクラッシュ半径","도금된 얼음충격 반경","Alcance da Colisão Gélida Áurea","Позолоченный: Радиус ледяного сокрушения","Radio de Choque de hielo dorado","Gilded Icecrash Radius","鍍金寒冰衝擊範圍","",29166,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
49,"IncreaseDurationLow",0,0,0,[20687],[15],"Lesser More Duration","Davantage de Durée mineure","Geringere mehr Dauer","持続時間上昇（小）","하위 지속시간 증폭","Mais Duração Menor","Малое продление","Más duración menor","Lesser More Duration","低階更多持續時間",8,2602,"Art/2DItems/Gems/Support/IncreasedDuration.dds",1
50,"IncreaseDurationMid",0,0,0,[20687],[25],"More Duration","Davantage de Durée","Mehr Dauer","持続時間上昇","지속시간 증폭","Mais Duração","Продление","Más duración","More Duration","更多持續時間",8,50222,"Art/2DItems/Gems/Support/IncreasedDuration.dds",2
51,"IncreaseDurationHigh",0,0,0,[20687],[40],"Greater More Duration","Davantage de Durée majeure","Größere mehr Dauer","持続時間上昇（大）","상위 지속시간 증폭","Mais Duração Maior","Большое продление","Más duración mayor","Greater More Duration","高階更多持續時間",8,26568,"Art/2DItems/Gems/Support/IncreasedDuration.dds",3
52,"ReduceDurationLow",0,0,0,[20687],[-15],"Lesser Less Duration","Perte de Durée mineure","Geringere verkürzte Dauer","持続時間低下（小）","하위 지속시간 감폭","Menos Duração Menor","Малое сокращение","Menos duración menor","Lesser Less Duration","低階更少持續時間",8,54768,"Art/2DItems/Gems/Support/ReduceDuration.dds",1
53,"ReduceDurationMid",0,0,0,[20687],[-25],"Less Duration","Perte de Durée","Verkürzte Dauer","持続時間低下","지속시간 감폭","Menos Duração","Сокращение","Menos duración","Less Duration","更少持續時間",8,65114,"Art/2DItems/Gems/Support/ReduceDuration.dds",2
54,"ReduceDurationHigh",0,0,0,[20687],[-40],"Greater Less Duration","Perte de Durée majeure","Größere verkürzte Dauer","持続時間低下（大）","상위 지속시간 감폭","Menos Duração Maior","Большое сокращение","Menos duración mayor","Greater Less Duration","高階更少持續時間",8,61947,"Art/2DItems/Gems/Support/ReduceDuration.dds",3
55,"DamageOverTimeReduceDurationLow",0,0,0,"[3458,14543]","[15,-20]","Lesser Swift Affliction","Affliction fulgurante mineure","Geringerer schneller Verfall","スウィフトアフリクション（小）","하위 고통 격화","Aflição Rápida Menor","Слабый стремительный недуг","Aflicción veloz menor","Lesser Swift Affliction","低階極速苦痛",12,834,"Art/2DItems/Gems/Support/SupportRapidDecayGem.dds",1
56,"DamageOverTimeReduceDurationMid",0,0,0,"[3458,14543]","[20,-20]","Swift Affliction","Affliction fulgurante","Schneller Verfall","スウィフトアフリクション","고통 격화","Aflição Rápida","Стремительный недуг","Aflicción veloz","Swift Affliction","極速苦痛",12,64281,"Art/2DItems/Gems/Support/SupportRapidDecayGem.dds",2
57,"DamageOverTimeReduceDurationHigh",0,0,0,"[3458,14543]","[30,-20]","Greater Swift Affliction","Affliction fulgurante majeure","Größerer schneller Verfall","スウィフトアフリクション（大）","상위 고통 격화","Aflição Rápida Maior","Сильный стремительный недуг","Aflicción veloz mayor","Greater Swift Affliction","高階極速苦痛",12,65240,"Art/2DItems/Gems/Support/SupportRapidDecayGem.dds",3
58,"CurseEffectHigh",0,0,0,[1385],[20],"Greater Curse Effect","Effet des Malédictions majeur","Größere Fluchwirkung","呪い効果（大）","상위 저주 효과","Efeito de Maldição Maior","Сильный эффект проклятий","Efecto de maldición mayor","Greater Curse Effect","高階詛咒效果","",3263,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
59,"HypothermiaLow",0,0,0,"[2911,7924]","[15,15]","Lesser Hypothermia","Hypothermie mineure","Geringere Hypothermie","低体温化（小）","하위 체온저하","Hipotermia Menor","Слабое переохлаждение","Hipotermia menor","Lesser Hypothermia","低階急凍",13,26146,"Art/2DItems/Gems/Support/DamageAgainstChilled.dds",1
60,"HypothermiaMid",0,0,0,"[2911,7924]","[20,20]","Hypothermia","Hypothermie","Hypothermie","低体温化","체온저하","Hipotermia","Переохлаждение","Hipotermia","Hypothermia","急凍",13,38571,"Art/2DItems/Gems/Support/DamageAgainstChilled.dds",2
61,"HypothermiaHigh",0,0,0,"[2911,7924]","[30,30]","Greater Hypothermia","Hypothermie majeure","Größere Hypothermie","低体温化（大）","상위 체온저하","Hipotermia Maior","Сильное переохлаждение","Hipotermia mayor","Greater Hypothermia","高階急凍",13,53145,"Art/2DItems/Gems/Support/DamageAgainstChilled.dds",3
62,"StrikeRangeLow",0,0,0,[1229],[2],"Lesser Strike Distance","Distance de frappe mineure","Geringere Schlagdistanz","ストライク距離（小）","하위 타격 거리","Alcance do Ataque Menor","Малая дистанция удара","Distancia de golpe menor","Lesser Strike Distance","低階打擊距離",14,30389,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",1
63,"StrikeRangeMid",0,0,0,[1229],[4],"Strike Distance","Distance de frappe","Schlagdistanz","ストライク距離","타격 거리","Alcance do Ataque","Дистанция удара","Distancia de golpe","Strike Distance","打擊距離",14,59784,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",2
64,"StrikeRangeHigh",0,0,0,[1229],[6],"Greater Strike Distance","Distance de frappe majeure","Größere Schlagdistanz","ストライク距離（大）","상위 타격 거리","Alcance do Ataque Maior","Большая дистанция удара","Distancia de golpe mayor","Greater Strike Distance","高階打擊距離",14,812,"Art/2DItems/Gems/Support/MercSilverStrSupportGem.dds",3
65,"CooldownSpeedLow",0,0,0,[3335],[20],"Lesser Cooldown Recovery","Vitesse de recharge mineure","Geringere Abklingzeit","クールダウン解消（小）","하위 재사용 대기시간 회복","Recuperação de Tempo de Recarga Menor","Малое ускорение перезарядки","Recuperación de tiempo de recarga menor","Lesser Cooldown Recovery","低階冷卻時間恢復",15,30881,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",1
66,"CooldownSpeedMid",0,0,0,[3335],[30],"Cooldown Recovery","Vitesse de recharge","Abklingzeit","クールダウン解消","재사용 대기시간 회복","Recuperação de Tempo de Recarga","Ускорение перезарядки","Recuperación de tiempo de recarga","Cooldown Recovery","冷卻時間恢復",15,48875,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",2
67,"CooldownSpeedHigh",0,0,0,[3335],[40],"Greater Cooldown Recovery","Vitesse de recharge majeure","Größere Abklingzeit","クールダウン解消（大）","상위 재사용 대기시간 회복","Recuperação de Tempo de Recarga Maior","Большое ускорение перезарядки","Recuperación de tiempo de recarga mayor","Greater Cooldown Recovery","高階冷卻時間恢復",15,10608,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
68,"ColdPenetrationLow",0,0,0,[593],[8],"Lesser Cold Penetration","Pénétration du froid mineure","Geringere durchdringende Kälte","冷気耐性突破（小）","하위 냉기 관통","Penetração de Gelo Menor","Слабый пронизывающий холод","Penetración de hielo menor","Lesser Cold Penetration","低階冰冷穿透",16,40565,"Art/2DItems/Gems/Support/ColdPenetration.dds",1
69,"ColdPenetrationMid",0,0,0,[593],[10],"Cold Penetration","Pénétration du froid","Durchdringende Kälte","冷気耐性突破","냉기 관통","Penetração de Gelo","Пронизывающий холод","Penetración de hielo","Cold Penetration","冰冷穿透",16,54628,"Art/2DItems/Gems/Support/ColdPenetration.dds",2
70,"ColdPenetrationHigh",0,0,0,[593],[12],"Greater Cold Penetration","Pénétration du froid majeure","Größere durchdringende Kälte","冷気耐性突破（大）","상위 냉기 관통","Penetração de Gelo Maior","Сильный пронизывающий холод","Penetración de hielo mayor","Greater Cold Penetration","高階冰冷穿透",16,26094,"Art/2DItems/Gems/Support/ColdPenetration.dds",3
71,"LightningPenetrationLow",0,0,0,[594],[8],"Lesser Lightning Penetration","Pénétration de la foudre mineure","Geringerer durchdringender Blitz","雷耐性突破（小）","하위 번개 관통","Penetração de Raio Menor","Слабые пронизывающие молнии","Penetración de rayo menor","Lesser Lightning Penetration","低階閃電穿透",17,37739,"Art/2DItems/Gems/Support/LightningPenetration.dds",1
72,"LightningPenetrationMid",0,0,0,[594],[10],"Lightning Penetration","Pénétration de la foudre","Durchdringender Blitz","雷耐性突破","번개 관통","Penetração de Raio","Пронизывающие молнии","Penetración de rayo","Lightning Penetration","閃電穿透",17,41256,"Art/2DItems/Gems/Support/LightningPenetration.dds",2
73,"LightningPenetrationHigh",0,0,0,[594],[12],"Greater Lightning Penetration","Pénétration de la foudre majeure","Größerer durchdringender Blitz","雷耐性突破（大）","상위 번개 관통","Penetração de Raio Maior","Сильные пронизывающие молнии","Penetración de rayo mayor","Greater Lightning Penetration","高階閃電穿透",17,26815,"Art/2DItems/Gems/Support/LightningPenetration.dds",3
74,"ArrowNovaHigh",0,0,0,"[1776,10517,10622,10944,173]","[1,1,1,1,3]","Arrow Nova","Nova de flèches","Pfeilnova","アローノヴァ","화살 산개","Nova de Flechas","Кольцо стрел","Nova de flechas","Arrow Nova","箭矢新星","",58429,"Art/2DItems/Gems/Support/GreenRainSupportGem.dds",3
75,"ExplosiveArrowSpecificMaxHigh",0,0,0,[11500],[2],"Gilded Maximum Explosions","Explosions maximales dorées","Goldene maximale Explosionen","金色の最大爆発","도금된 최대 폭발","Explosões Máximas Áureas","Позолоченный: Максимум взрывов","Explosiones doradas máximas","Gilded Maximum Explosions","鍍金爆炸上限","",42966,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
76,"VolcanicFissureSpecificRepeatHigh",0,0,0,[17309],[1],"Gilded Additional Fissures","Fissures supplémentaires dorées","Goldene zusätzliche Spalten","金色の亀裂追加","도금된 추가 균열","Fendas Adicionais Áureas","Позолоченный: Дополнительные разломы","Fisuras doradas adicionales","Gilded Additional Fissures","鍍金額外裂縫","",3609,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
77,"FirePenetrationLow",0,0,0,[592],[8],"Lesser Fire Penetration","Pénétration du feu mineure","Geringeres durchdringendes Feuer","火耐性突破（小）","하위 화염 관통","Penetração de Fogo Menor","Слабый пронизывающий жар","Penetración de fuego menor","Lesser Fire Penetration","低階火焰穿透",18,46010,"Art/2DItems/Gems/Support/FirePenetration.dds",1
78,"FirePenetrationMid",0,0,0,[592],[10],"Fire Penetration","Pénétration du feu","Durchdringendes Feuer","火耐性突破","화염 관통","Penetração de Fogo","Пронизывающий жар","Penetración de fuego","Fire Penetration","火焰穿透",18,62885,"Art/2DItems/Gems/Support/FirePenetration.dds",2
