"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32_36"
63,"HardModeIzaroChest4",464,0,1,3,200
64,"HardModeIzaroChest5",465,0,1,3,100
65,"HardModeIzaroChest6",466,0,1,3,200
66,"HardModeIzaroChest7",467,0,1,3,100
67,"HardModeIzaroChest8",468,0,1,3,10
68,"HardModeIzaroChest9",469,0,1,3,5
69,"HardModeIzaroChest10",470,0,1,3,20
70,"HardModeIzaroChest11",471,0,1,3,10
71,"HardModeIzaroChest12",472,0,1,3,20
72,"HardModeIzaroChest13",473,0,1,3,10
73,"HardModeIzaroChest14",474,0,1,3,10
74,"HardModeIzaroChest15",475,0,1,3,5
75,"HardModeIzaroChest16",476,0,1,3,1
76,"HardModeIzaroChest17",477,0,1,3,50
77,"HardModeIzaroChest18",478,0,4,4,300
78,"HardModeIzaroChest19",479,0,4,4,300
79,"HardModeIzaroChest20",480,0,4,4,300
80,"HardModeIzaroChest21",481,0,4,4,200
81,"HardModeIzaroChest22",482,0,4,4,100
82,"HardModeIzaroChest23",483,0,4,4,200
83,"HardModeIzaroChest24",484,0,4,4,100
84,"HardModeIzaroChest25",485,0,4,4,10
85,"HardModeIzaroChest26",486,0,4,4,5
86,"HardModeIzaroChest27",487,0,4,4,20
87,"HardModeIzaroChest28",488,0,4,4,10
88,"HardModeIzaroChest29",489,0,4,4,15
89,"HardModeIzaroChest30",490,0,4,4,15
90,"HardModeIzaroChest31",491,0,4,4,10
91,"HardModeIzaroChest32",492,0,4,4,5
92,"HardModeIzaroChest33",493,0,4,4,20
93,"HardModeIzaroChest34",494,0,4,4,10
94,"HardModeIzaroChest35",495,0,4,4,1
95,"HardModeIzaroChest36",496,0,4,4,50
96,"HardModeIzaroChest37",497,0,4,4,50
