"rownum","Id","Characters","Text","AudioFiles","i32","i32","bool","bool","i32","i32","i32","i32","i32","NPCs","rid","f32","[rid]","i32"
19,"RigwaldIntro6",[],"The hunt begins!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_03_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
20,"RigwaldIntro7",[],"The hunt begins!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_03_03.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
21,"RigwaldIntro8",[],"I smell fresh meat!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_04_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
22,"RigwaldIntro9",[],"I smell fresh meat!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_04_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
23,"RigwaldIntro10",[],"The Greatwolf hungers!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_05_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
24,"RigwaldIntro11",[],"The Greatwolf hungers!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_05_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
25,"RigwaldIntro12",[],"The Greatwolf hungers!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_05_03.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
26,"RigwaldIntro13",[],"My prey draws near!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_06_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
27,"RigwaldIntro14",[],"My prey draws near!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_06_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
28,"RigwaldIntro15",[],"My prey draws near!","[""Audio/Dialogue/NPC/Rigwald/R07_prefight_06_03.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
29,"RigwaldDeathRandom",[],"...First Ones, remember me.","[""Audio/Dialogue/NPC/Rigwald/R11_death_01_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
30,"RigwaldDeath2",[],"...First Ones, remember me.","[""Audio/Dialogue/NPC/Rigwald/R11_death_01_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
31,"RigwaldDeath3",[],"The Greatwolf has left me!","[""Audio/Dialogue/NPC/Rigwald/R11_death_02_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
32,"RigwaldDeath4",[],"The Greatwolf has left me!","[""Audio/Dialogue/NPC/Rigwald/R11_death_02_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
33,"RigwaldDeath5",[],"Forgive me, Ezomyr.","[""Audio/Dialogue/NPC/Rigwald/R11_death_03_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
34,"RigwaldDeath6",[],"Forgive me, Ezomyr.","[""Audio/Dialogue/NPC/Rigwald/R11_death_03_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
35,"RigwaldDeath7",[],"There is nothing to regret.","[""Audio/Dialogue/NPC/Rigwald/R11_death_04_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
36,"RigwaldDeath8",[],"There is nothing to regret.","[""Audio/Dialogue/NPC/Rigwald/R11_death_04_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
37,"RigwaldGlyph1",[],"You can take a wolf from the forest. You can collar him, chain him. You can starve him, beat him until he whimpers and bows down. Yet, is that wolf a dog?\r\n\r\nNever.\r\n\r\nA man is only a slave when he allows his heart and mind to be conquered. When he comes to believe that his life is no longer his own. When he chooses to cast his eyes forever to the ground.\r\n\r\nLike a king that chooses to press his lips to the feet of an emperor. A king that looks to his goblet and his plate, feasting and fattening while his people starve in their own streets.\r\n\r\nSome might say that I should bear the guilt of regicide. That I killed the King of the Ezomytes. Yes, I served King Skothe his last meal, for I saw no king at that table.\r\n\r\nI saw a dog.\r\n\r\n- Rigwald, the Wolven King","[""Audio/Dialogue/NPC/RigwaldGlyph/R01.ogg""]",338,0,"","",338,0,0,0,1,[3],"",0,[],100
38,"RigwaldGlyph2",[],"I once believed that a boy's eyes were born pure, clear of cruelty and malice. That it is life that teaches one to hate, to strike out at others through anger and fear.\r\n\r\nYet when I looked into the eyes of Gaius Sentari, I found no anger. I found no hatred. I read no tales of injustice inflicted upon youthful innocence. Saw no walls built by suffering and sorrow.\r\n\r\nInstead, I was regarded as a merchant might regard beasts of burden at a market. By Governor Sentari, my countrymen and I were counted, weighed, and allocated. This man to the mines. This woman to the mills. This child to the streets of Sarn to be worked and flogged until the day his blood would drain into the sewers of that wretched city.\r\n\r\nAnd those that resisted, those that asked to be treated as anything other than animals, were skinned and butchered, with an even dozen of their kin.\r\n\r\nFear not the man who lusts. Fear not the man who hates. Fear the man who feels nothing at all.\r\n\r\n- Rigwald, the Wolven King","[""Audio/Dialogue/NPC/RigwaldGlyph/R02.ogg""]",338,0,"","",338,0,0,0,1,[4],"",0,[],100
39,"RigwaldGlyph3",[],"The colours and banners of a hundred clans, scattered like the wildflowers of spring across the meadows of Glargarryn. Thousands of men and women, starving, poor, armed with rusted hatchets and hunting bows, looking across that field, with the courage of desperation, at the imperial legion arrayed against them.\r\n\r\nSoldiers gleaming in bronze and steel. Trained and hardened men. Their polished shields forming a wall of discipline and determination against the advances of my motley rabble.\r\n\r\n\""I sing, I rant, I rave,\"" I said to them, \""but today, clansmen, my sword is my voice!\""\r\n\r\nWe crashed against that legion like waves upon a cliff. Time and time again they repelled us. The green meadows became brown and red with the mud of toil and the blood of war.\r\n\r\nYet what is a slave to do? Suffer the lingering death of mine and mill, or offer the gift of your life to your people in one bright and glorious moment?\r\n\r\nFor the men and women who followed me into battle, the choice was a simple one.\r\n\r\nThree Ezomytes fell for every Eternal and still the courage of my people tore down that polished wall, severed the strong arm of the Empire with a rusted, woodman's hatchet.\r\n\r\nGaius Sentari ran for his wretched life.\r\n\r\nI called to the Greatwolf to aid me, to give me the scent of that fleeing fox. Though the hunt was swift, I took the time to ensure that Gaius felt some small measure of the suffering he had inflicted before I answered his plea for mercy.\r\n\r\n- Rigwald, the Wolven King\r\n","[""Audio/Dialogue/NPC/RigwaldGlyph/R03.ogg""]",338,0,"","",338,0,0,0,1,[5],"",0,[],100
40,"RigwaldGlyph4",[],"I stood with the Army of Purity and looked upon the mighty walls of Sarn. I fought against Chitus and his Gemling aberrations. I watched the strongest of our army, Ezomyte, Maraketh, Karui and Templar, struck down by creatures born of thaumaturgy.\r\n\r\nIt will take more than strong men and women to defeat Chitus, for this is no longer a war of mud and blood. We face monsters, and to defeat them, we need some monsters of our own.\r\n\r\nHere I stand, amongst these stones. Here I lay my gifts of blood and song, of flesh and fire. Here I call out to the First Ones, beasts of legend, terrors of our dreams. Here I howl to the Greatwolf himself.\r\n\r\nShould he answer, I am ready to pay the price that I know he will ask. It is no more than a man should do for his family. It is no more than a king should do for his people.\r\n\r\n- Rigwald, the Wolven King","[""Audio/Dialogue/NPC/RigwaldGlyph/R04.ogg""]",338,0,"","",338,0,0,0,1,[6],"",0,[],100
41,"RigwaldGlyph5",[],"The Greatwolf has come for me. His heart beats within my chest. His tongue lolls within my mouth. His fangs crown my jaw. His eyes rest within my sockets.\r\n\r\nI do not see Ezomyte and Eternal, king and commoner, master and slave. I see only prey.\r\n\r\nIn the world of street and field, the emperor has fallen. Those who were slaves are now free.\r\n\r\nIn the world of forest and mountain, the First Ones hunt and feed as they have done since the first dawn.\r\n\r\nNo longer will I walk among my people. I will not have their blood on my lips. I will not be their king.\r\n\r\nI am the King of Wolves now.\r\n\r\n- Rigwald","[""Audio/Dialogue/NPC/RigwaldGlyph/R05.ogg""]",338,0,"","",338,0,0,0,1,[7],"",0,[],100
42,"RigwaldGlyph6",[],"The Greatwolf has forced me to forget who I was... and has taught me to be so much more.\r\n\r\nA man becomes a king so that he may protect the people of the day. A man becomes a god so that he may protect the people of all the days to come.\r\n\r\nAnd so the endless hunt begins. \r\n\r\nThe fervour of the First Ones remains, bound by the druids into fetishes of tooth and bone, skin and claw. I know where these potent talismans have been strewn. I have their scent.\r\n\r\nAnd so the endless hunt begins.\r\n\r\nI shall pursue the thieves of our ancient heritage. I shall wrest our First Ones from the clutching and the corrupted lest they feed and grow fecund on power not their own. Power I must have, must wield, in the name of all that is Ezomyr to come.\r\n\r\nAnd so the endless hunt begins.\r\n\r\n- Rigwald","[""Audio/Dialogue/NPC/RigwaldGlyph/R06_wolf.ogg""]",338,0,"","",338,0,0,0,1,[8],"",0,[],100
43,"RigwaldTransformRandom",[],"The Greatwolf consumes me!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_01_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
44,"RigwaldTransform2",[],"The Greatwolf consumes me!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_01_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
45,"RigwaldTransform3",[],"The Greatwolf is here!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_02_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
46,"RigwaldTransform4",[],"The Greatwolf is here!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_02_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
47,"RigwaldTransform5",[],"Flee from the hunger!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_03_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
48,"RigwaldTransform6",[],"Flee from the hunger!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_03_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
49,"RigwaldTransform7",[],"You should run!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_04_01.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
50,"RigwaldTransform8",[],"You should run!","[""Audio/Dialogue/NPC/Rigwald/R09_pretrans_04_02.ogg""]",338,0,"","",338,0,0,0,1,[2],"",0,[],100
51,"CadiroIntroduction",[],"Now you have the look of a connoisseur, an educated appreciator of all things exquisite and dangerous. \r\n\r\nAnd I, Cadiro, am one who provides such delights. Once a lord of influence and opulence, I am now but a humble peddler seeking to recover his lost fortunes. Gold coins of Perandus mintage, secreted away in gilded chests so as to escape the grasping digits of that puritanical usurper, Voll of Thebrus. Perhaps you have seen such chests on your travels?\r\n\r\nIf so, I could offer you antiquities of remarkable potency, paraphernalia of pernicious craftsmanship. All I would ask in return is the conveyance of the contents of said chests to my person.\r\n\r\nAs fortune would have it, I have such a wonder in stock even now. A relic of such formidable agency that I shudder to think what it could do in the hands of one predisposed to use it. \r\n\r\nFor a little coin, those hands could be yours.","[""Audio/Dialogue/NPC/Cadiro/Ca_01.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
52,"CadiroOnCoins",[],"Yes, you are quite right to query my curious penchant for obsolete currency.\r\n\r\nOnce there was a time when my personal symphony was composed, quite completely, of the delightful tinklings of coinage. Nowadays, I'm dancing to someone else's tune. \r\n\r\nI have a backer, you see, who generously supports my ongoing liquidity. Naturally, he expects a good return on his investment, and it transpires that only coinage of the golden variety will satiate that expectation.","[""Audio/Dialogue/NPC/Cadiro/Ca_05.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
53,"CadiroOnChitus",[],"Chitus was shaping up to be the greatest leader since Veruso. My nephew's gemling thaumatocracy would have made the Empire truly eternal, would have raised mankind up from the fragile muck of flesh and blood. And the wealth... oh the riches that could have flowed through the Empire's capitalist capillaries.\r\n\r\nThen that idiot of a High Templar had to come along and ruin it all. Him and his 'God of Purity' and his army of fanatics and barbarians. A veritable horde of ignorance.\r\n\r\nIf Chitus had lived, the Empire would have lived, and oh what a wondrous and eternal life it would have had!","[""Audio/Dialogue/NPC/Cadiro/Ca_06.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
54,"CadiroOnFamily",[],"The same day that Veruso planted his banner in the soil of Sarn, the Perandus family built the first market stall. That one stall spawned so many others that the people came to call our venture <i>{Perandus Markets}.\r\n\r\nWe were never vain enough to make the name official. Until Chitus took the throne, we were a most unassuming consortium.\r\n\r\nYes, we did occasionally employ the Silent Brotherhood to remove the more stubborn obstacles to our commercial endeavours, but for the most part we tended to solve our issues with coin and contract rather than bow and blade.\r\n\r\nIn hindsight, we should have taken the reins of power much earlier. If we had done so then perhaps I could now be speaking of Perandus in the plural rather than the singular.","[""Audio/Dialogue/NPC/Cadiro/Ca_07.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
55,"CadiroOnManor",[],"This was once the pride and joy of the Perandus name. A habitable monument to our mercantile potency. Balls and banquets filled these halls with music and intrigue. Counsels and contracts festooned our studies and boardrooms. Capital built our walls and profits polished our gleaming floors.\r\n\r\nAlas, that which is shiny shall dull. That which is grand shall crumble. Such is the stark reality of materialism. Yet this place retains a certain 'decrepit opulence' that reminds me of the better times that were, and the better times that still could be.","[""Audio/Dialogue/NPC/Cadiro/Ca_08.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
56,"CadiroOnCataclysm",[],"When you're a <i>{fat purse} such as I, you are wise to insure yourself against being slit and emptied. In the face of Voll's ridiculous crusade to Highgate, I thought it only prudent to bolster my insurance policies.\r\n\r\nIt was in our household god, Prospero, that I found my ideal underwriter. While my relations paid tithe and lip service to Prospero the symbol, Prospero the myth, I chose to dig a little deeper than that.\r\n\r\nTo my delight, it transpired that our god was not only real, but of a similar opinion regarding the near, uncertain future of the Empire.\r\n\r\nWe signed a contract, Prospero and I, and more than two centuries have borne witness to our successful partnership.\r\n\r\nThe best deal I ever made.","[""Audio/Dialogue/NPC/Cadiro/Ca_09.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
57,"CadiroOnProspero",[],"The god of lost souls and found treasures. Lord of the underworld and all its material bounty. Gems, precious metals, coal... a myriad of subterranean substances, exotic and volatile.\r\n\r\nIf it has value and it can be unearthed with pick and shovel, it falls within Prospero's divine concerns. As do all those who trade in them.\r\n\r\nProspero was a god of our ancestors, the Azmerians. As we Eternals descended from those mountains, our gods descended with us.\r\n\r\nTo the mundane mind they are myths, nothing but stories. To those with a little more imagination, they can be so much more.","[""Audio/Dialogue/NPC/Cadiro/Ca_10.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
58,"CadiroOnIzaro",[],"Izaro Phrecius? Despite my personal feelings surrounding that man, he did provide we Perandus folk with an unprecedented opportunity.\r\n\r\nOver the centuries, the Phrecius family had blocked our every attempt to gain the throne on the scandalous basis that our blood was not of imperial quality.\r\n\r\nSo when Izaro called that whole blood fiasco into question with his Lord's Labyrinth, it gave us the only clear shot we would ever have at sovereignty.\r\n\r\nWithout Izaro, the Perandus name may never have come to be associated with the throne. So in a somewhat qualified fashion, he has my gratitude.","[""Audio/Dialogue/NPC/Cadiro/Ca_11.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
59,"CadiroOnLabyrinth",[],"So you've polished off Izaro's 'Lord's Labyrinth' have you? Proved that you have the mettle for imperial leadership.\r\n\r\nSadly, the Empire isn't what it used to be, but you're more than welcome to knock it back into shape for us.\r\n\r\nDespite my personal feelings surrounding Izaro Phrecius, he did provide we Perandus folk with an unprecedented opportunity.\r\n\r\nOver the centuries, the Phrecius family had blocked our every attempt to gain the throne, on the scandalous basis that our blood was not of imperial quality.\r\n\r\nSo when Izaro called that whole blood fiasco into question with his Lord's Labyrinth, it gave us the only clear shot we would ever have at sovereignty.\r\n\r\nWithout Izaro, the Perandus name may never have come to be associated with the throne. So in a somewhat qualified fashion, he has my gratitude.","[""Audio/Dialogue/NPC/Cadiro/Ca_12.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
60,"CadiroTrade1_1",[],"You're getting quite a deal there.","[""Audio/Dialogue/NPC/Cadiro/Ca_04a_a.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
61,"CadiroTrade1_2",[],"You're getting quite a deal there.","[""Audio/Dialogue/NPC/Cadiro/Ca_04a_b.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
62,"CadiroTrade1_3",[],"You're getting quite a deal there.","[""Audio/Dialogue/NPC/Cadiro/Ca_04a_c.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
63,"CadiroTrade2_1",[],"Oh, and 'refund' is not in my vocabulary.","[""Audio/Dialogue/NPC/Cadiro/Ca_04b_a.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
64,"CadiroTrade2_2",[],"Oh, and 'refund' is not in my vocabulary.","[""Audio/Dialogue/NPC/Cadiro/Ca_04b_b.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
65,"CadiroTrade2_3",[],"Oh, and 'refund' is not in my vocabulary.","[""Audio/Dialogue/NPC/Cadiro/Ca_04b_c.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
66,"CadiroTrade3_1",[],"May Prospero bless this trade.","[""Audio/Dialogue/NPC/Cadiro/Ca_04c_a.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
67,"CadiroTrade3_2",[],"May Prospero bless this trade.","[""Audio/Dialogue/NPC/Cadiro/Ca_04c_b.ogg""]",338,0,"","",338,0,0,0,1,"[9,32]","",0,[],100
68,"ProphecyDarkTome",[],"My Council, \r\n\r\nThe sky turns black as ink. \r\n\r\nWe must gather at once, for I fear the end draws close. \r\n\r\nI have uncovered a tome that illustrates certain forbidden techniques used to prolong life far beyond ordinary means. We shall fracture our very souls, and keep safe a piece of one another's very being. With this, none of us may perish unless all of us perish at once.\r\n\r\nIt is not without a cost, for life granted requires life be paid, but it need not be any of ours. Bring your most loyal and healthy retainers, and bid the rest farewell, for we shall not see them again.\r\n\r\nMake haste and do not speak of where you are going. Immortality is within our grasp, but there are countless who would risk death - who would kill - for a chance at eternal life.\r\n\r\n-Inya",[],338,0,"","",338,0,0,0,1,[11],"",0,[],100
69,"ShaperMaps1",[],"The first step in a dream takes you further than a thousand in this world.","[""Audio/Dialogue/NPC/ShaperNarrator/SH10.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
70,"ShaperMaps2",[],"Unending filth spills forth, like blood ... From a severed jugular.","[""Audio/Dialogue/NPC/ShaperNarrator/SH11.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
71,"ShaperMiniboss1Killed",[],"Turn back, trespasser. Cease this madness.","[""Audio/Dialogue/NPC/ShaperNarrator/Sh03d_Miniboss1.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
72,"ShaperMiniboss2Killed",[],"You tamper with things you do not understand.","[""Audio/Dialogue/NPC/ShaperNarrator/Sh03e_Miniboss2.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
73,"ShaperMiniboss3Killed",[],"Your recklessness will not go unpunished.","[""Audio/Dialogue/NPC/ShaperNarrator/Sh03f_Miniboss3.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
74,"ShaperMiniboss4Killed",[],"This is your final warning: Leave, or perish.","[""Audio/Dialogue/NPC/ShaperNarrator/Sh03g_Miniboss4.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
75,"ShaperPCUseSextant",[],"The mediocre turned remarkable","[""Audio/Dialogue/NPC/ShaperNarrator/SH17.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
76,"ShaperPCUseShapersOrb",[],"Curiosity is followed by ambition. Ambition is followed by madness.","[""Audio/Dialogue/NPC/ShaperNarrator/SH18.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
77,"ShaperPCDeath",[],"Failure. Ambivalence. Death. A final abyss of unending darkness.","[""Audio/Dialogue/NPC/ShaperNarrator/SH19.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
78,"ShaperNewMapDrops",[],"What can be found in a dream? A bigger dream.","[""Audio/Dialogue/NPC/ShaperNarrator/SH20.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
79,"ShaperAtlasMapDrops",[],"This is the key to a crucible that stretches the sanity of the mind.","[""Audio/Dialogue/NPC/ShaperNarrator/SH21.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
80,"ShaperMapArcade",[],"We create so that some part of us may remain after death.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_01_Arcade.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
81,"ShaperMapCrystalOre",[],"As the torch flickers, brilliance emerges in boundless variance.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_02_CrystalOre.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
82,"ShaperMapDesert",[],"Heat. Dust. Wind. These are what forge strong minds and bodies.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_03_Desert.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
83,"ShaperMapJungleValley",[],"Verdant canopies shroud the world in darkness.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_04_JungleValley.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
84,"ShaperMapBeach",[],"A paradise, forever replenished by endless waves teeming with life.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_05_Beach.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
85,"ShaperMapFactory",[],"Repetition. Convention. Duplication. Creation distilled to perfection.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_06_Factory.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
86,"ShaperMapGhetto",[],"Amongst the rabble, brutality is the law.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_07_Ghetto.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
87,"ShaperMapDesertSpring",[],"As mirage becomes reality, hardship is briefly quenched.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_08_Oasis.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
88,"ShaperMapAridLake",[],"Water vanishes; an impromptu prison becomes a tomb.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_09_AridLake.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
89,"ShaperMapFloodedMine",[],"In darkness, beast and man alike clamour to survive.","[""Audio/Dialogue/NPC/ShaperNarrator/SH30_10_Cavern.ogg""]",338,0,"","",338,0,0,0,1,[25],"",0,[],100
