"rownum","Id","LimitStat","ActiveCountStat","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool"
62,"DominatedAuraMagicMinion","","","","",0,1,"",1,"","","",1,"",1,1,"",""
63,"DominatedAuraRareMinion",18388,18389,"","",0,"","",1,"","","",1,"",1,1,"",""
64,"MercenaryCompanion","","",1,1,1,"","",1,"","","","",1,1,1,"",""
65,"SkeletalConstruct",19098,"",1,1,0,"","",1,"","","","","",1,1,"",""
66,"RhoaMount","","",1,1,1,"","",1,"","","","",1,1,1,"",""
67,"BoneOfferingSpike",19092,19879,1,1,0,"","",1,"","","","","","","",1,""
68,"PainOfferingSpike",19093,19880,1,1,0,"","",1,"","","","","","","",1,""
69,"SoulOfferingSpike",19094,19881,1,1,0,"","",1,"","","","","","","",1,""
70,"DarkOfferingSpike",19095,19882,1,1,0,"","",1,"","","","","","","",1,""
71,"GraveOfferingSpike",19096,19883,1,1,0,"","",1,"","","","","","","",1,""
72,"PowerOfferingSpike",19097,19884,1,1,0,"","",1,"","","","","","","",1,""
73,"Hydra","","","",1,1,"","",1,1,1,1,"","",1,1,"",""
74,"TotemDefender","","",1,1,0,1,"",1,"","","","","","","","",1
