"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
71,3942,"[0,1000,5000,10000,15000,20000]",233,[],110,6,[],[],[],"","","",""
72,3900,"[0,18,26,38,38]",17767,"[52,53]",17700,5,"[17837,17837,17136,17837]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,3897,"[0,16,24,35]",17767,"[52,53]",17700,4,[],[],[],1,"","",""
74,3899,"[0,12,20,29]",17767,"[52,53]",17700,4,[],[],[],1,"","",""
75,3898,"[0,14,22,32]",17767,"[52,53]",17700,4,[],[],[],1,"","",""
76,3969,"[0,10,20,50,100,150,200]",17887,[],"",7,[],[],[],"","","",""
77,4009,"[1,1]",0,[],"",2,[],[],[],"","","",1
78,4000,"[1,1]",0,[],"",2,[],[],[],"","","",1
79,4004,"[1,1]",0,[],"",2,[],[],[],"","","",1
80,4003,"[1,1]",0,[],"",2,"[19789,19789]","[0,1]","[1,2]","","","",1
81,3999,"[1,1]",0,[],"",2,[],[],[],"","","",""
82,4043,"[1,1]",0,[],"",2,"[17012,17012]","[0,1]","[1,2]","","","",1
83,4036,"[1,1]",0,[],"",2,[],[],[],"","","",1
84,4056,"[1,1]",0,[],"",2,[],[],[],"","","",1
85,4044,"[1,1]",0,[],"",2,[],[],[],"","","",1
86,4079,"[1,1]",0,[],"",2,[],[],[],"","","",1
