"rownum","HideoutArea","HASH16","HideoutFile","rid","string","bool","bool","string","[i32]","bool","rid","string"
12,20,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout","",1,"Darkwood Hideout",[],"",6813,""
13,6,-30514,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Celestial Nebula Hideout",[],"",6814,""
14,7,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout","",1,"Entombed Hideout",[],"",6815,""
15,21,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout","",1,"Void Hideout",[],"",6816,""
16,22,-1654,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout","",1,"Chiyou Hideout",[],1,6817,""
17,23,-32671,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss","",1,"Infinite Abyss Hideout",[],"",6818,""
18,24,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity","",1,"Urban Sprawl Hideout",[],"",6819,""
19,25,-3769,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds","",1,"Boundless Skies Hideout",[],"",6820,""
20,26,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert","",1,"Endless Sands Hideout",[],"",6821,""
21,27,-31014,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt","",1,"Eternal Wasteland Hideout",[],"",6822,""
22,28,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass","",1,"Vast Plains Hideout",[],"",6823,""
23,29,-7222,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea","",1,"All at Sea Hideout",[],"",6824,""
24,30,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow","",1,"Glacial Expanse Hideout",[],"",6825,""
25,31,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout","",1,"Thaumaturgical Hideout",[],"",6826,""
26,32,-11694,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout","",1,"Yaochi Hideout",[],1,6827,""
27,33,-442,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout","",1,"Humanoid Pet Hideout",[],1,6828,""
28,34,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout","",1,"Ritualist's Hideout",[],1,6829,""
29,35,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout","",1,"Crucible Hideout",[],"",6830,""
30,36,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout","",1,"Tavern Hideout",[],"",6831,""
31,37,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout","",1,"Azurite Cavern Hideout",[],"",6832,""
32,38,6681,"Metadata/Terrain/Missions/Hideouts/SynthesisHub/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SynthesisHideout","",1,"Synthesis Hideout",[],"",6833,""
33,39,-13986,"Metadata/Terrain/Missions/Hideouts/ArenaVeritania/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RedeemersHideout","",1,"Redeemer's Hideout",[],"",6834,""
34,41,15139,"Metadata/Terrain/Missions/Hideouts/TencentApocalypse/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CataclysmicHideout","",1,"Cataclysmic Hideout",[],1,"",""
35,40,14166,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Black Void Hideout",[],"","",""
36,42,20743,"Metadata/Terrain/Missions/Hideouts/ArenaOlroth/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AncestralHideout","",1,"Ancestral Hideout",[],"",6835,""
37,43,-671,"Metadata/Terrain/Missions/Hideouts/Light/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LightThemedHideout","",1,"Timekeeper's Hideout","[12,13]","",6836,""
38,44,11848,"Metadata/Terrain/Missions/Hideouts/Dark/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkThemedHideout","",1,"Ghost-lit Graveyard Hideout","[10,11]","",6837,""
39,45,2056,"Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlackStarHideout","",1,"Polaric Hideout",[14],"",6838,""
40,46,-14069,"Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InfiniteHungerHideout","",1,"Seething Hideout",[],"",6839,""
41,47,8758,"Metadata/Terrain/Missions/Hideouts/AtlasHideout/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtlasHideout","",1,"Atlas Hideout","[15,16]","",6840,""
42,48,-3659,"Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EaterOfWorldsHideout","",1,"Tangled Hideout",[],"",6841,""
43,49,95,"Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,"Searing Hideout",[],"",6842,""
44,50,15656,"Metadata/Terrain/Hideouts/BeaconOfSalvation/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,1,"Beacon of Salvation Hideout",[],1,6853,""
45,51,21626,"Metadata/Terrain/Hideouts/Canopy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,"Aloft Hideout",[],"",6854,""
46,52,30315,"Metadata/Terrain/Hideouts/Dreadnought/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DreadnoughtHideout",1,1,"The Dreadnought Hideout",[],"",6852,""
47,53,13526,"Metadata/Terrain/Hideouts/FelledGrove/decoration.hideout",382,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FelledHideout",1,"","Felled Hideout",[],"","",""
48,54,26805,"Metadata/Terrain/Hideouts/Shrine/decoration.hideout",384,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShrineHideout",1,"","Shrine Hideout",[],"","",""
49,55,12394,"Metadata/Terrain/Hideouts/Limestone/decoration.hideout",383,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LimestoneHideout",1,"","Limestone Hideout",[],"","",""
50,56,-5121,"Metadata/Terrain/Hideouts/Canal/decoration.hideout",385,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanalHideout",1,"","Canal Hideout",[],"","",""
51,57,382,"Metadata/Terrain/Missions/Hideouts/Racetrack/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VastiriRacetrackHideout",1,1,"Vastiri Racecourse Hideout",[],"",6851,""
