"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
17,11431,10076,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks\r\nNearby allies have 30% increased Impale Effect",2
18,11432,10005,"Throws Physical Projectiles",1
19,11433,10006,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,11434,10007,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,11435,9987,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,11436,9988,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,11437,9989,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,11438,10014,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,11439,10015,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,11440,10016,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,11441,9999,"Cyclones\r\nCleaves",1
28,11442,10000,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,11443,10001,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,11444,10043,"",3
31,11445,10044,"",3
32,11446,10045,"",3
33,11447,9996,"Vomits Blood\r\nApplies Corrupting Blood",1
34,11448,9997,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,11449,9998,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,11450,10002,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,11451,10003,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,11452,10004,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,11453,10068,"",5
40,11454,10069,"",5
41,11455,10070,"",5
42,11456,10071,"Throws Poisonous Concoction",5
43,11457,10072,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,11458,10073,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,11459,10022,"",2
46,11460,10023,"",2
47,11461,10024,"",2
48,11462,10080,"Creates moving Cursed Ground",3
49,11463,10081,"Creates moving Cursed Ground\r\nUses Smite",3
50,11464,10082,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,11465,10034,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,11466,10035,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,11467,10036,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,11468,10049,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,11469,10050,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,11470,10051,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,11471,10028,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,11472,10029,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,11473,10030,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,11474,9993,"Casts Lightning Burst",0
61,11475,9994,"Casts Lightning Burst\r\nCasts Clarity",0
62,11476,9995,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,11477,10040,"20% increased Physical Weapon Damage per 10 Strength",3
64,11478,10041,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
65,11479,10042,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage",3
66,11480,10077,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call",5
67,11481,10078,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality",5
68,11482,10079,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies",5
69,11483,10037,"Causes Bleeding",3
70,11484,10038,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate",3
71,11485,10039,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving",3
72,11486,10031,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour",2
73,11487,10032,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed",2
74,11488,10033,"Summons Constructs\r\n8% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed",2
75,11489,10008,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life",1
76,11490,10009,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent",1
77,11491,10010,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage",1
78,11492,10011,"",1
79,11493,10012,"",1
80,11494,10013,"",1
81,11495,10052,"Summons Spiders\r\n",4
82,11496,10053,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks",4
83,11497,10054,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks\r\nOwner gains 10% increased Effect of Withered",4
84,11498,10025,"Must be linked to be powered",2
85,11499,10026,"Must be Linked to be powered\r\n50% effects of Links on this",2
86,11500,10027,"Must be Linked to be powered\r\n100% effects of Links on this",2
87,11501,10046,"High Life",3
88,11502,10047,"Higher Life\r\nReleases a caustic cloud when hit",3
89,11503,10048,"Highest Life\r\nReleases a caustic cloud when hit\r\nTaunts on Hit",3
90,11504,9990,"Casts channelled Lightning Beam\r\nCannot inflict Shock",0
91,11505,9991,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion",0
92,11506,9992,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning",0
93,11507,10055,"5% increased Attack Damage per 450 Evasion Rating",4
94,11508,10056,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit",4
95,11509,10057,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste",4
96,11510,10058,"Buffs Owner with Rongokurai's Boon",4
97,11511,10059,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 3% Physical Damage Reduction",4
98,11512,10060,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination",4
99,11513,10019,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams",2
100,11514,10020,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite",2
101,11515,10021,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock",2
102,11516,10061,"Cyclones\r\nUses Molten Fissure",5
103,11517,10062,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike",5
104,11518,10063,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught",5
