"rownum","Id","Stats","StatValues","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc (English)","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc (English)","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
10,"BoonGainGoldWhenDamaged",[17070],[10],"Silver Coin","Pièce d'argent","Silbermünze","シルバーコイン","은화","Moeda de Prata","Серебряная монета","Moneda de plata","เหรียญเงิน","銀幣","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoin","Gain 10 Aureus coins when you lose Resolve from a Hit","Vous gagnez 10 Aureus quand vous perdez de la Résolution en étant Touché","Erhaltet 10 Aurei, wenn Ihr Willenskraft durch einen Treffer verliert","ヒットにより決心を失った時にアウレウスを10個獲得する","피격으로 인해 투지 상실 시 아우레우스 코인 10개 획득","Ganha 10 moedas Aureus quando você perder Determinação em um Acerto","Дарует 10 Ауруса, когда вы теряете решимость при получении удара","Ganas 10 áureos cuando pierdes resolución por un golpe","ได้รับ เหรียญออเรอัส 10 เมื่อคุณ สูญเสียความมุ่งมั่น จากการปะทะ","當你被擊中時失去決心，獲得 10 奧瑞厄斯幣","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",16400
11,"AfflictionLoseGoldWhenDamaged",[17072],[20],"Spilt Purse","Bourse trouée","Löchriger Geldbeutel","切り裂かれた財布","구멍 난 지갑","Bolsa Furada","Прохудившийся кошелёк","Monedero agujereado","กระเป๋ารั่ว","破財","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurseIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurse","","","","","","","","","","","Lose 20 Aureus coins when you lose Resolve from a Hit","Vous perdez 20 Aureus quand vous perdez de la Résolution en étant Touché","Verliert 20 Aurei, wenn Ihr Willenskraft durch einen Treffer verliert","ヒットにより決心を失った時にアウレウスを20失う","피격으로 인해 투지 상실 시 아우레우스 코인 20개 상실","Perca 20 moedas Aureus quando perder Determinação em um Acerto","Вы теряете 20 Ауруса, когда теряете решимость при получении удара","Pierdes 20 áureos cuando pierdes resolución por un golpe","สูญเสีย เหรียญออเรอัส 5 เมื่อคุณสูญเสียความมุ่งมั่นจากการปะทะ","當你被擊中時，失去決心，失去 20 奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",4558
12,"AfflictionLoseGoldOnRoomComplete",[17073],[30],"Door Tax","Taxe à la porte","Türsteuer","扉の税金","방 통행세","Imposto a Porta","Налог на выход","Impuesto de puerta","ภาษีผ่านทาง","上門稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTaxIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTax","","","","","","","","","","","Lose 30 Aureus coins on room completion","Vous perdez 30 Aureus quand vous terminez la salle","Verliert 30 Aurei beim Abschluss eines Raums","部屋を完了するとアウレウスを30失う","방 완료 시 아우레우스 코인 30개 상실","Perca 30 moedas Aureus ao completar um salão","Вы теряете 30 Ауруса при завершении комнаты","Pierdes 30 áureos al completar la sala","สูญเสีย เหรียญออเรอัส 30 เมื่อผ่านห้อง","完成房間時，失去 30 奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",33903
13,"AfflictionNoGoldFromMonsters",[17074],[1],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Monsters no longer drop Aureus coins","Les monstres ne cèdent plus d'Aureus","Monster lassen keine Aurei mehr fallen","モンスターがアウレウスをドロップしなくなる","몬스터가 아우레우스 코인을 떨어뜨리지 않음","Monstros não derrubam mais moedas Aureus","Из монстров больше не выпадает Аурус","Los monstruos ya no arrojan áureos","มอนสเตอร์ ไม่ดรอป เหรียญออเรอัส อีกต่อไป","怪物不再掉落奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",59642
14,"AfflictionLoseResolveInXRooms8",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,15,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 8 rooms","Perdez 250 de Résolution après avoir terminé 8 salles.","Verliert 250 Willenskraft nach dem Abschluss von 8 Räumen","部屋を8つ完了した時に決心を250失う","방 8개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 8 salões","Вы теряете 250 решимости после завершения 8 комнат","Pierdes 250 de resolución tras completar 8 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 8 ห้อง","完成 8 間房間後失去 250 決心",5,0,"",[],[9120],"",5,0,"","",59642
15,"AfflictionLoseResolveInXRooms7",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,16,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 7 rooms","Perdez 250 de Résolution après avoir terminé 7 salles.","Verliert 250 Willenskraft nach dem Abschluss von 7 Räumen","部屋を7つ完了した時に決心を250失う","방 7개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 7 salões","Вы теряете 250 решимости после завершения 7 комнат","Pierdes 250 de resolución tras completar 7 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 7 ห้อง","完成 7 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
16,"AfflictionLoseResolveInXRooms6",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,17,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 6 rooms","Perdez 250 de Résolution après avoir terminé 6 salles.","Verliert 250 Willenskraft nach dem Abschluss von 6 Räumen","部屋を6つ完了した時に決心を250失う","방 6개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 6 salões","Вы теряете 250 решимости после завершения 6 комнат","Pierdes 250 de resolución tras completar 6 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 6 ห้อง","完成 6 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
17,"AfflictionLoseResolveInXRooms5",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,18,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 5 rooms","Perdez 250 de Résolution après avoir terminé 5 salles.","Verliert 250 Willenskraft nach dem Abschluss von 5 Räumen","部屋を5つ完了した時に決心を250失う","방 5개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 5 salões","Вы теряете 250 решимости после завершения 5 комнат","Pierdes 250 de resolución tras completar 5 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 5 ห้อง","完成 5 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
18,"AfflictionLoseResolveInXRooms4",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,19,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 4 rooms","Perdez 250 de Résolution après avoir terminé 4 salles.","Verliert 250 Willenskraft nach dem Abschluss von 4 Räumen","部屋を4つ完了した時に決心を250失う","방 4개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 4 salões","Вы теряете 250 решимости после завершения 4 комнат","Pierdes 250 de resolución tras completar 4 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 4 ห้อง","完成 4 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
19,"AfflictionLoseResolveInXRooms3",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,20,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 3 rooms","Perdez 250 de Résolution après avoir terminé 3 salles.","Verliert 250 Willenskraft nach dem Abschluss von 3 Räumen","部屋を3つ完了した時に決心を250失う","방 3개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 3 salões","Вы теряете 250 решимости после завершения 3 комнат","Pierdes 250 de resolución tras completar 3 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 3 ห้อง","完成 3 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
20,"AfflictionLoseResolveInXRooms2",[],[],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,21,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing 2 rooms","Perdez 250 de Résolution après avoir terminé 2 salles.","Verliert 250 Willenskraft nach dem Abschluss von 2 Räumen","部屋を2つ完了した時に決心を250失う","방 2개 완료 시 투지 250 상실","Perca 250 de Determinação após completar 2 salões","Вы теряете 250 решимости после завершения 2 комнат","Pierdes 250 de resolución tras completar 2 salas","สูญเสียความมุ่งมั่น 250 เมื่อผ่านไปได้ 2 ห้อง","完成 2 間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,"","",59642
21,"AfflictionLoseResolveInXRooms1",[17682],[250],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Lose 250 Resolve after completing the next room","Perdez 250 de Résolution après avoir terminé la salle suivante.","Verliert 250 Willenskraft nach dem Abschluss des nächsten Raums","次の部屋を完了した時に決心を250失う","다음 방 완료 시 투지 250 상실","Perca 250 de Determinação após completar o próximo salão","Вы теряете 250 решимости после завершения следующей комнаты","Pierdes 250 de resolución tras completar la siguiente sala","สูญเสียความมุ่งมั่น 250 เมื่อผ่านห้องถัดไป","完成下間房間後失去 250 決心",5,0,"",[],[9120],14,5,0,1,"",59642
22,"AfflictionNoGoldFromChests",[17075],[1],"Empty Trove","Coffre vide","Leere Truhe","空っぽの宝箱","빈 발견물","Tesouro Vazio","Пустой сундук","Tesoro vacío","หีบไร้สมบัติ","空寶庫","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTroveIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTrove","","","","","","","","","","","Chests no longer drop Aureus coins","Les coffres ne contiennent plus d'Aureus","Truhen lassen keine Aurei mehr fallen","チェストがアウレウスをドロップしなくなる","상자에서 아우레우스 코인이 등장하지 않음","Baús não derrubam mais moedas Aureus","Из сундуков больше не выпадает Аурус","Los cofres ya no arrojan áureos","หีบ ไม่ดรอป เหรียญออเรอัส อีกต่อไป","保險箱不再掉落奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",7865
23,"AfflictionMonsterLife",[988],[50],"Spiked Shell","Carapace épineuse","Stachelpanzer","棘付きの殻","가시 껍질","Casulo Espinhento","Шипастая раковина","Caparazón de vida","กระดองติดหนาม","尖刺貝殼","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShellIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShell","","","","","","","","","","","Monsters have 50% more Maximum Life","Les monstres ont 50% Davantage de Vie maximale","Monster haben 50% mehr maximales Leben","モンスターの最大ライフが50%上昇する","몬스터의 생명력 최대치 50% 증폭","Monstros tem 50% mais Vida Máxima","Монстры имеют на 50% больше здоровья","Los monstruos tienen un 50% más de vida máxima","มอนสเตอร์ มีพลังชีวิตสูงสุด เพิ่มขึ้น อีก 50%","怪物有 50% 更多最大生命",5,0,"",[],[9120],"",5,0,"","",13875
24,"AfflictionMonsterSanctumDamage",[17662],[25],"Hungry Fangs","Crocs affamés","Hungrige Fangzähne","空腹の牙","굶주린 송곳니","Dentes Famintos","Голодные клыки","Colmillos hambrientos","เขี้ยวหิวโหย","飢餓獠牙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangsIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs","","","","","","","","","","","Monsters impact 25% more Resolve","25% Davantage d'impact des monstres sur la Résolution","Monster haben 25% mehr Wirkung auf die Willenskraft","モンスターが減らす決心の量が25%上昇する","몬스터가 투지에 주는 영향 25% 증폭","Monstros impacto 25% mais Determinação","Монстры влияют на решимость на 25% сильнее","Los monstruos eliminan un 25% más de resolución","มอนสเตอร์ บั่นทอนความมุ่งมั่น เพิ่มขึ้น อีก 25%","怪物影響 25% 更多決心",5,0,"",[],[9120],"",5,0,"","",359
25,"AfflictionNoSanctumHealthRecovery",[17077],[1],"Demonic Skull","Crâne démoniaque","Dämonenschädel","悪魔の頭蓋骨","악마의 해골","Crânio Demoníaco","Демонический череп","Calavera demoníaca","กะโหลกปีศาจ","惡魔頭顱","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkullIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkull","","","","","","","","","","","Cannot recover Resolve","Vous ne pouvez pas récupérer de Résolution","Ihr könnt keine Willenskraft wiederherstellen","決心を回復することができなくなる","투지 회복 불가","Não pode recuperar Determinação","Решимость не восстанавливается","No puedes recuperar resolución","ไม่สามารถ เติมความมุ่งมั่น ได้","不會恢復決心",5,0,"",[],[9120],"",5,0,"","",16345
26,"AfflictionSanctumRecovery",[17080],[-50],"Unquenched Thirst","Soif inassouvie","Ungestillter Durst","癒やされぬ渇き","채워지지 않는 갈증","Sede Insaciável","Неутолимая жажда","Sed insaciable","กระหายไม่สิ้น","口乾舌燥","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirstIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirst","","","","","","","","","","","50% reduced Resolve recovered","50% de Réduction de récupération de Résolution","50% verringerte wiederhergestellte Willenskraft","決心の回復量が50%減少する","투지 회복량 50% 감소","Determinação recuperada reduzida em 50%","50% уменьшение восстановления решимости","Recuperas resolución reducida un 50%","ลดการเติมความมุ่งมั่น 50%","減少 50% 恢復決心",5,0,"",[],[9120],"",5,0,"","",38381
27,"BoonSanctumRecovery",[17080],[50],"Rusted Descry","Oculus rouillé","Verrosteter Blick","錆びた希望","녹슨 성표","Premonição Enferrujada","Ржавые заметки","Percepción oxidada","ตราเทวเนตรขึ้นสนิม","生鏽之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescryIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescry","50% increased Resolve recovered","50% d'Augmentation de Récupération de Résolution","50% erhöhte wiederhergestellte Willenskraft","決心の回復が50%増加する","투지 회복량 50% 증가","Determinação recuperada aumentada em 50%","50% увеличение восстановления решимости","Recuperas resolución aumentada un 50%","เพิ่มการเติมความมุ่งมั่น 50%","增加 50% 恢復決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",45794
