"rownum","rid","rid","HASH32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Achievement","rid","rid"
10,44,1239,56948661,"Constructs a very long wall","Construit un très long mur","Erzeugt eine sehr lange Mauer.","非常に長い壁を建築する","아주 긴 벽을 건설합니다.","Cria uma parede muito longa","Сотворяет очень длинную стену","Construye un muro muy largo","สร้างกำแพงที่ยาวเป็นอย่างมาก","建造非常長的牆",[9754],520,533
11,45,1240,1395727638,"Casts a Tidal Wave which rolls forwards, crashing on the first Enemy it hits","Lance un Raz-de-marée qui déferle vers l'avant et s'écrase sur le premier ennemi touché","Zaubert eine Flutwelle, die nach vorne rollt und sich am ersten Gegner bricht, den sie trifft.","前方に向けてうねる大波をキャストし、その波は最初にヒットした敵と衝突する。","전방에 해일을 시전하여 처음 명중하는 적을 휩씁니다.","Conjura um Maremoto que viaja adiante, acertando o primeiro Inimigo que acertar","Сотворяет приливную волну, которая движется вперёд и разбивается о первого противника на пути","Lanza un maremoto que se precipita hacia delante y se estrella contra el primer enemigo que golpea","ร่าย​คลื่น​ทะเล​ที่​ม้วน​ไป​ข้าง​หน้า ซัด​สาด​ศัตรู​ตัว​แรก​ที่​ถูก​ปะทะ","像前施放潮汐波，衝撞第一個擊中的敵人",[9755],520,533
12,46,1241,-1388200263,"Charges a beam of lightning, unleashing it after a short time. This beam can shock Enemies.","Canalise un rayon de foudre qui est libéré après une courte période. Ce rayon peut électrocuter les Ennemis","Lädt einen Blitzstrahl auf und entfesselt diesen nach kurzer Zeit. Dieser Strahl kann Gegner schocken.","雷のビームをチャージし、しばらくしてからそれを解放する。ビームは敵を感電させる","번개 광선을 충전하여 잠시 후에 발사합니다. 이 광선은 적을 감전시킬 수 있습니다.","Carrega um feixe de raio, liberando após um um curto período. Este feixe pode Eletrizar inimigos.","Заряжает и через короткое время выпускает луч молнии, способный наложить на врагов шок","Carga un haz de rayo y lo libera al poco tiempo. Este haz puede electrocutar a los enemigos.","ชาร์จลำแสงสายฟ้า แล้วปลดปล่อยเมื่อเวลาผ่านไปเพียงครู่หนึ่ง ลำแสงนี้สร้างสถานะ ช็อค ต่อศัตรูได้","充能閃電光束，在一小段時間後發射。此光束可以感電敵人",[9756],520,533
13,60,1264,-68480526,"Pulls all Teammate totems within 40 units inwards","Attire tous les totems Coéquipiers se trouvant à moins de 40 unités vers l'intérieur","Zieht alle Totems von Teammitgliedern innerhalb von 40 Einheiten nach innen.","40単位以内のすべてのチームメイトのトーテムを内側に引き寄せる","40유닛 내의 모든 팀원 토템을 안쪽으로 끌어당깁니다.","Puxa todos os totens dos Membros da Equipe dentro de 40 unidades adiante","Подтягивает все тотемы членов команды в радиусе 40 единиц к себе","Atrae los tótems de todos los miembros del equipo en un radio de 40 unidades","ดึงโทเทมของเพื่อนร่วมทีมในระยะ 40 หน่วยเข้ามา","將範圍 40 內的全部隊友圖騰向內拉",[9757],520,533
14,61,1265,1002101423,"Provides more Attack Damage to all Teammates in an area","Octroie davantage de Dégâts d'Attaque à tous les Coéquipiers dans une zone","Gewährt allen Teammitgliedern in einem Bereich mehr Angriffsschaden.","範囲内のすべてのチームメイトのアタックダメージを上昇させる","범위 내의 모든 팀원에게 공격 피해 증폭을 부여합니다.","Concede mais Dano de Ataque a todos os Membros da Equipe em área","Дарует больше урона от атак всем членам команды в области","Otorga más daño de ataques a todos los miembros del equipo dentro de un área","ทำให้เพื่อนร่วมทีมทุกตัวในพื้นที่ มีความเสียหาย โจมตี เพิ่มขึ้น อีก","提供區域內全部隊友更多攻擊傷害",[9758],520,533
15,62,1266,738583123,"Provides more Spell Damage to all Teammates in an area","Octroie davantage de Dégâts des Sorts à tous les Coéquipiers dans une zone","Gewährt allen Teammitgliedern in einem Bereich mehr Zauberschaden.","範囲内のすべてのチームメイトのスペルダメージを上昇させる","범위 내의 모든 팀원에게 주문 피해 증폭을 부여합니다.","Concede mais Dano Mágico a todos os Membros da Equipe em área","Дарует больше урона от чар всем членам команды в области","Otorga más daño de hechizos a todos los miembros del equipo dentro de un área","ทำให้เพื่อนร่วมทีมทุกตัวในพื้นที่ มีความเสียหาย เวท เพิ่มขึ้น อีก","提供區域內全部隊友更多法術傷害",[9759],520,533
16,63,1268,283605583,"Creates shocked ground in a radius of 60 for 30 seconds.","Crée un sol électrocutant dans un rayon de 60 unités pendant 30 secondes","Erzeugt schockenden Boden mit einem Radius von 60 Einheiten für 30 Sekunden.","半径60の感電領域を30秒間生成する","반경 60 이내에 30초 동안 감전 지대를 생성합니다.","Eletriza todos os inimigos dentro de 60 unidades por 20 segundos","Накладывает шок на всех врагов в радиусе 60 единиц на 30 секунд","Crea suelo electrificado en un radio de 60 unidades durante 30 segundos","สร้าง พื้นช็อค 30 วินาที ในระยะ 60 หน่วย","感電範圍 40 內的全部敵人 20 秒",[9760],520,533
17,64,1269,-539398206,"Repeatedly Stuns all enemies in within 40 units for 20 seconds","Étourdit répétitivement tous les ennemis se trouvant à moins de 40 unités pendant 20 secondes","Betäubt wiederholt alle Gegner innerhalb von 40 Einheiten für 20 Sekunden.","40単位以内のすべての敵を20秒間繰り返しスタンさせる","40유닛 내의 모든 적을 20초 동안 반복적으로 기절시킵니다.","Atordoa Repetidamente todos os inimigos dentro de 40 unidades por 20 segundos","Периодически оглушает всех врагов в радиусе 40 единиц в течение 20 секунд","Aturde repetidamente a todos los enemigos en un radio de 40 unidades durante 20 segundos","สร้างสถานะ มึนงง ซ้ำแล้วซ้ำเล่าต่อศัตรูในระยะ 40 หน่วย เป็นเวลา 20 วินาที","持續暈眩範圍 40 內的全部敵人 20 秒",[9761],520,533
18,65,1270,1857174536,"All Ancestral Totems within 60 units are immune to banishing for 20 seconds","Tous les Totems ancestraux se trouvant à moins de 60 unités sont immunisés contre le bannissement pendant 20 secondes","Alle Ahnen-Totems innerhalb von 60 Einheiten sind für 20 Sekunden immun gegen das Verbannen.","60単位以内のすべての先祖のトーテムは追放の完全耐性を20秒間得る","60유닛 내의 모든 선조 토템이 20초 동안 추방에 면역이 됩니다.","Todos os Totens Ancestrais dentro de 60 unidades são imunes a banimento por 20 segundos","Все тотемы предков в радиусе 60 единиц иммунны к искоренению в течение 20 секунд","Todos los tótems ancestrales en un radio de 60 unidades son inmunes a la destrucción durante 20 segundos","โทเทมต้นตระกูลทั้งหมดในระยะ 60 หน่วยจะป้องกันการขับไล่เป็นเวลา 20 วินาที","範圍 60 內的全部祖靈圖騰免疫驅逐 20 秒",[9762],520,533
19,66,1278,1612667464,"Adds a buff to all Teammates that creates a highly damaging explosion of fire when they die","Ajoute un effet bénéfique à tous les Coéquipiers, créant une explosion de feu dévastatrice lorsqu'ils meurent ","Gewährt allen Teammitgliedern eine Stärkung, die bei ihrem Tod eine Feuerexplosion mit hohem Schaden verursacht.","すべてのチームメイトにバフを10秒間追加する。バフを追加されたチームメイトは死亡時に高いダメージを与える火の爆発を生成するようになる","모든 팀원에게 사망 시 화염 폭발을 일으켜 큰 피해를 주는 버프를 부여합니다.","Adiciona um buff em todos os Membros da Equipe que cria uma explosão de fogo altamente nociva quando morrerem","Добавляет всем членам команды положительный эффект, создающий огненный взрыв с высоким уроном при их смерти","Otorga una bonificación a todos los miembros del equipo que crea una gran explosión de fuego cuando mueren","มอบบัฟให้กับเพื่อนร่วมทีมทุกตัว ทำให้พวกเขาระเบิดตัวเองเมื่อตาย สร้างความเสียหาย ไฟ สูงยิ่ง","對全部隊友附加增益，當他們死亡時製造高傷害的爆炸",[9763],520,533
20,67,1279,957430105,"Returns all Teammates to a location near their Ancestral Totems","Rappelle tous les Coéquipiers à un emplacement proche de leurs Totems ancestraux","Bringt alle Teammitglieder zu einer Position in der Nähe ihrer Ahnen-Totems zurück.","すべてのチームメイトを彼らの先祖のトーテムの近くの位置に戻す","모든 팀원을 자신의 선조 토템 근처의 위치로 돌려보냅니다.","Retorna todos os Membros da Equipe para um local próximo dos seus Totens Ancestrais","Возвращает всех членов команды в место неподалёку от их тотемов предков","Teletransporta a todos los miembros del equipo a una ubicación cercana a sus tótems ancestrales","ส่งเพื่อนร่วมทีมทุกตัวกลับสู่ตำแหน่งใกล้กับ โทเทมต้นตระกูล ของตัวเอง","將全部友方返回至最靠近他們的祖靈圖騰",[9764],520,533
21,68,1280,-207180052,"Creates a proximity shield for 20 seconds","Crée un bouclier de proximité pendant 20 secondes","Erzeugt für 20 Sekunden einen Annäherungsschild.","周辺シールドを20秒間生成する","20초 동안 근접 보호막을 생성합니다.","Cria um escudo de proximidade por 20 segundos","Создаёт защитный купол на 20 секунд","Crea un escudo de proximidad durante 20 segundos","สร้าง โล่พิทักษ์ผู้ใกล้ชิด เป็นเวลา 20 วินาที","製造靈能之盾 20 秒",[9765],520,533
22,69,1281,1989562287,"Removes all ailments from Teammates within 60 units and gives them ailment immunity for 20 seconds","Retire toutes les altérations affectant les Coéquipiers se trouvant à moins de 60 unités et les rend immunisés contre les altérations pendant 20 secondes","Entfernt alle Beeinträchtigungen von Teammitgliedern innerhalb von 60 Einheiten und macht diese für 20 Sekunden immun gegen Beeinträchtigungen.","60単位以内のチームメイトからすべての状態異常を取り除き、状態異常の完全耐性を20秒間付与する","60유닛 내의 모든 팀원에게서 모든 상태 이상을 제거하고, 20초 동안 상태 이상 면역을 부여합니다.","Remove todas as afecções dos Membros da Equipe dentro de 60 unidades e dá a eles imunidade a afecções por 20 segundos","Снимает все состояния с членов команды в радиусе 60 единиц и дарует им иммунитет к состояниям на 20 секунд","Elimina todos los estados alterados de los miembros del equipo en un radio de 60 unidades y les otorga inmunidad a los estados alterados durante 20 segundos","กำจัดสถานะ เจ็บป่วย ทุกชนิดจากเพื่อนร่วมทีมในระยะ 60 หน่วย และทำให้พวกเขาป้องกันสถานะ เจ็บป่วย เป็นเวลา 20 วินาที","移除範圍 60 內隊友的全部異常狀態，使他們免疫異常狀態 20 秒",[9766],520,533
23,70,1282,-1472810117,"Summons multiple stampedes of spiritual boars that charge forwards","Invoque plusieurs ruées de sangliers spirituels qui chargent vers l'avant","Beschwört mehrere Horden von geisterhaften Wildschweinen, die nach vorne stürmen.","前方に突進する猪の霊魂の大群を複数召喚する","전방으로 돌진하는 혼백 멧돼지를 여러 무리 소환합니다.","Convoca várias debandadas de javalis que investem adiante","Призывает несколько стад призрачных кабанов, которые бегут вперёд","Invoca varias estampidas de jabalíes espirituales que cargan hacia delante","อัญเชิญฝูง วิญญาณหมูป่าแตกตื่น หลายฝูงที่พุ่งไปข้างหน้า","召喚多個靈魂野豬，它們向前衝鋒",[9767],520,533
24,71,1283,1140691734,"All Teammates leech 100% of damage they deal as life to their Ancestral Totems for 20 seconds","Tous les Coéquipiers drainent de la vie pour leurs Totems ancestraux à hauteur de 100% des dégâts qu'ils infligent pendant 20 secondes","Alle Teammitglieder rauben für ihre Ahnen-Totems für 20 Sekunden 100% ihres verursachten Schadens als Leben.","20秒間、すべてのチームメイトは与えたダメージの100%をライフとしてリーチし、先祖のトーテムに与える","모든 팀원이 20초 동안 주는 피해의 100%를 흡수하여 자신의 선조 토템의 생명력을 회복합니다.","Todos os Membros da Equipe drenam 100% do dano que causarem como vida aos seus Totens Ancestrais por 20 segundos","Все члены команды похищают 100% наносимого урона в виде здоровья для их тотемов предков в течение 20 секунд","Todos los miembros del equipo absorben el 100% del daño que infligen como vida para sus tótems ancestrales durante 20 segundos","เพื่อนร่วมทีมทุกตัว ดูดความเสียหาย 100% ที่สร้างไปให้กับ โทเทมต้นตระกูล ของตัวเองเป็นเวลา 20 วินาที","全部隊友偷取 100% 他們造成的傷害給祖靈圖騰 20 秒",[],520,533
25,72,1284,983355690,"All enemies within 60 units banish totems at a slower rate for 30 seconds","Tous les ennemis se trouvant à moins de 60 unités bannissent les totems à un rythme plus lent pendant 30 secondes","Alle Gegner innerhalb von 60 Einheiten verbannen Totems für 30 Sekunden mit einer langsameren Geschwindigkeit.","60単位以内のすべての敵はトーテムを追放するレートが30秒間遅くなる","60유닛 내의 모든 적이 30초 동안 토템을 더 느린 속도로 추방합니다.","Todos os inimigos dentro de 60 unidades banem totens mais lentamente por 30 segundos","Все враги в радиусе 60 единиц искореняют тотемы медленнее в течение 30 секунд","Todos los enemigos en un radio de 60 unidades destruyen los tótems a menor velocidad durante 30 segundos","ศัตรูทุกตัวในระยะ 60 หน่วยจะขับไล่โทเทมด้วยความเร็วที่ช้ากว่าเดิมเป็นเวลา 30 วินาที","範圍 60 內的全部敵人以慢速驅逐圖騰 30 秒",[],520,533
26,73,1285,-1545199319,"Creates a whirlwind of air that moves forward, giving all Teammates inside it Tailwind","Crée un tourbillon d'air qui se déplace vers l'avant, donnant Vent porteur à tous les Coéquipiers se trouvant dedans","Erzeugt einen Wirbelwind, der sich nach vorne bewegt und allen Teammitgliedern darin Rückenwind gewährt.","前に進む空気の旋風を起こし、その中のすべてのチームメイトに追い風を付与する","전방으로 움직이는 소용돌이를 일으켜, 안에 있는 모든 팀원에게 순풍을 부여합니다.","Cria um tufão de ar que se move adiante, concedendo Vento Favorável a todos os Membros da Equipe","Создаёт воздушный вихрь, который движется вперёд и дарует всем членам команды внутри Попутный ветер","Crea un torbellino de aire que se mueve hacia delante y otorga Viento a favor a todos los miembros del equipo que se encuentren en su interior","สร้าง ลมกรด ที่เคลื่อนที่ไปข้างหน้า เพื่อมอบบัฟ ลมหนุน ให้กับเพื่อนร่วมทีมทุกตัวที่อยู่ภายใน","製造一股前進的氣旋，使當中全部隊友獲得流順之風",[],520,533
