"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
18,2660,1,681,[],[],9427,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss","Jet de pierre","Felsschleuder","ロックトス","바위 던지기","Arremesso de Pedras","Бросок камня","Lanzamiento de roca","โยนหิน","投擲礫石",49,[],0,0,[],[],[],[],[],""
19,2665,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
20,2665,2,1994,[],[],9491,51,"[173,2501]","[4,10]",0,"",[1995],0,"","","",[],"Flame Hurl","Lancer de flamme","Flammenschleuder","フレイムハール","불꽃 투척","Chama Violenta","Пламенный бросок","Lanzamiento de llamas","ขว้างเพลิง","噴射烈焰",81,[],-50,0,[],[],[],[],[],""
21,2665,3,1994,[],[],9493,51,"[3208,5751]","[20,-40]",0,"",[1995],0,"","","",[],"Torch Toss","Lancer de torche","Fackelwurf","トーチトス","횃불 투척","Arremesso de Tocha","Бросок факела","Lanzamiento de antorcha","โยนคบเพลิง","投擲火炬",82,[],-50,0,[],[],[],[],[],""
22,2665,4,1994,[],[],9433,51,"[173,2501]","[0,5]",0,"",[1995],0,"","","",[],"Backburn","Incendie","Gegenfeuer","バックバーン","맞불","Queima-costas","Горящая спина","Incendio traicionero","เผาหลัง","燃背",51,[],0,0,[],[],[],[],[],""
23,2700,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
24,2700,2,1994,[],[],9491,51,"[173,2501]","[4,10]",0,"",[1995],0,"","","",[],"Flame Hurl","Lancer de flamme","Flammenschleuder","フレイムハール","불꽃 투척","Chama Violenta","Пламенный бросок","Lanzamiento de llamas","ขว้างเพลิง","噴射烈焰",81,[],-50,0,[],[],[],[],[],""
25,2700,3,1994,[],[],9493,51,"[3208,5751]","[20,-40]",0,"",[1995],0,"","","",[],"Torch Toss","Lancer de torche","Fackelwurf","トーチトス","횃불 투척","Arremesso de Tocha","Бросок факела","Lanzamiento de antorcha","โยนคบเพลิง","投擲火炬",82,[],-50,0,[],[],[],[],[],""
26,2700,4,1994,[],[],9433,51,"[173,2501]","[0,5]",0,"",[1995],0,"","","",[],"Backburn","Incendie","Gegenfeuer","バックバーン","맞불","Queima-costas","Горящая спина","Incendio traicionero","เผาหลัง","燃背",51,[],0,0,[],[],[],[],[],""
27,2723,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
28,2723,3,2082,[214],[8],9457,51,"[175,634,6152]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath","Souffle enflammé","Feuriger Odem","ファイヤーブレス","불벼락 숨결","Sopro Ardente","Огненное дыхание","Aliento de fuego","พ่นไฟ","火焰吐息",62,[],0,0,[],[],[],[],[],""
29,2663,0,359,[],[],9471,"",[],[],0,"",[],0,"","","",[],"Fire Strike","Frappe enflammée","Feuerschlag","ファイヤーストライク","불벼락 공격","Golpe Flamejante","Огненный удар","Golpe de fuego","เอาไฟฟาด","火焰之擊",0,[],0,0,[],[],[],[],[],""
30,2663,1,2888,[],[],9452,24,[],[],0,"",[],0,"","","",[],"Flamecrack","Craquement de flammes","Feuerknistern","フレイムクラック","불꽃 균열","Rompe-chama","Пламенный раскол","Grieta de fuego","พลุเพลิง","烈焰地痕",57,[],0,0,[],[],[],[],[],""
31,2663,2,1134,[],[],9454,32,[],[],0,"",[],0,"","","",[],"Raise Burning Bones","Réanimation d'ossements brûlants","Brennende Knochen beschwören","バーニングボーン召喚","불타는 뼈 소환","Erguer Ossos Incendiados","Подъём горящих костей","Levantar huesos ardientes","ปลุกกระดูกไฟ","喚醒燃燒骸骨",58,[],0,0,[],[],[],[],[],""
32,2663,3,1274,[],[],9448,32,"[1820,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],"Fire Storm","Tempête de feu","Feuersturm","ファイヤーストーム","불벼락 폭풍","Tempestade Flamejante","Огненный шторм","Tormenta de fuego","พายุไฟ","火焰風暴",55,[],0,0,[],[],[],[],[],""
33,2663,4,1274,[2154],[3],9499,32,[],[],0,"",[],0,"","","",[],"Conflagration","Flambée","Feuersbrunst","カンフラグレイション","연소 화재","Conflagração","Пожарище","Conflagración","อัคคีภัย","燃爆",0,[],-40,0,[],[],[],[],[],""
34,1148,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
35,1151,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
36,1154,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
37,416,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Bite","Morsure brusque","Ausfall-Biss","ランジングバイト","돌진하는 이빨","Mordida Abrupta","Стремительный укус","Mordisco de acometida","พุ่งกัด","尖刺咬咬",0,[],0,0,[],[],[],[],[],""
38,416,1,350,[1230],[20],7067,"",[],[],0,357,[8114],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike","Frappe pénétrante","Durchstoßender Schlag","スラスティングストライク","날카로운 일격","Golpe Perfurante","Толкающий удар","Golpe con impulso","แทง","盛氣之擊",0,[],30,0,[],[],[],[],[],""
39,416,2,193,[],[],9464,"",[70],[-20],0,"","[6233,6245]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],"Charge Forward","Charge vers l'avant","Frontalangriff","チャージフォワード","전방 돌격","Investida Direta","Рывок вперед","Carga delantera","พุ่งไปด้านหน้า","前衝",0,[],0,0,[],[],[],[],[],""
40,416,3,193,[],[],9465,"",[70],[-40],0,"",[8163],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],"Charge Forward","Charge vers l'avant","Frontalangriff","チャージフォワード","전방 돌격","Investida Direta","Рывок вперед","Carga delantera","พุ่งไปด้านหน้า","前衝",0,[],0,0,[],[],[],[],[],""
41,424,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Bite","Morsure brusque","Ausfall-Biss","ランジングバイト","돌진하는 이빨","Mordida Abrupta","Стремительный укус","Mordisco de acometida","พุ่งกัด","尖刺咬咬",0,[],0,0,[],[],[],[],[],""
42,424,1,350,[1230],[20],7067,"",[],[],0,357,[8114],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike","Frappe pénétrante","Durchstoßender Schlag","スラスティングストライク","날카로운 일격","Golpe Perfurante","Толкающий удар","Golpe con impulso","แทง","盛氣之擊",0,[],30,0,[],[],[],[],[],""
43,424,2,193,[],[],9464,"",[70],[-20],0,"","[6233,6245]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],"Charge Forward","Charge vers l'avant","Frontalangriff","チャージフォワード","전방 돌격","Investida Direta","Рывок вперед","Carga delantera","พุ่งไปด้านหน้า","前衝",0,[],0,0,[],[],[],[],[],""
44,424,3,193,[],[],9465,"",[70],[-40],0,"",[8163],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],"Charge Forward","Charge vers l'avant","Frontalangriff","チャージフォワード","전방 돌격","Investida Direta","Рывок вперед","Carga delantera","พุ่งไปด้านหน้า","前衝",0,[],0,0,[],[],[],[],[],""
45,1142,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
46,1144,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
47,1146,0,350,[],[],9471,"",[],[],0,357,[],5,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
48,1054,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
49,1054,1,9197,[],[],9400,"",[434],[100],0,"",[],0,"","","",[],"Crashing Wave","Vague déferlante","Zermalmende Welle","クラッシングウェーブ","요란한 파도","Onda Esmagadora","Сокрушающая волна","Ola aplastante","คลื่นกระแทก","衝擊波",0,[],10,0,[],[],[],[],[],""
50,1054,2,9197,[],[],9402,"","[434,70]","[100,-30]",0,"",[903],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],"Cleaving Frost","Givre fendant","Spaltender Frost","クリーヴィングフロスト","쪼개는 서리","Ruptura Congelante","Разрубающий мороз","Hendidura de escarcha","ปาดน้ำแข็ง","冰霜劈砍",0,[],0,0,[],[],[],[],[],""
51,429,0,357,[],[],9471,"",[],[],0,"",[],0,"","","",[3799],"Lunging Bite","Morsure brusque","Ausfall-Biss","ランジングバイト","돌진하는 이빨","Mordida Abrupta","Стремительный укус","Mordisco de acometida","พุ่งกัด","尖刺咬咬",0,[],0,0,[],[],[],[],[],""
52,429,3,9196,[],[],9566,114,[],[],0,6277,[],0,"","","",[3799],"Screeching Cry","Cri strident","Kreischender Schrei","スクリーチングクライ","비명 함성","Choro Gritante","Визжащий крик","Grito chirriante","กรีดร้องแผดเสียง","嘶吼彈幕",95,[],0,0,[],[],[],[],[],""
53,429,4,9196,[],[],9462,23,[],[],0,"",[5056],0,"","","on_event_contact_for_GeometryTrigger = \""TriggerSkill( MetamorphosisCastCausticGround, Self );\""",[3799],"Caustic Blast","Explosion caustique","Ätzende Explosion","コースティックブラスト","부식성 폭발","Explosão Cáustica","Ядовитый взрыв","Explosión cáustica","ระเบิดกัดกร่อน","腐蝕爆破",67,[],0,0,[],[],[],[],[],""
54,886,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
55,495,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
56,915,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
57,1071,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
58,1071,1,9197,[],[],9400,"",[434],[100],0,"",[],0,"","","",[],"Crashing Wave","Vague déferlante","Zermalmende Welle","クラッシングウェーブ","요란한 파도","Onda Esmagadora","Сокрушающая волна","Ola aplastante","คลื่นกระแทก","衝擊波",0,[],0,0,[],[],[],[],[],""
59,1071,2,9197,[],[],9402,"","[434,70]","[100,-30]",0,"",[903],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],"Cleaving Frost","Givre fendant","Spaltender Frost","クリーヴィングフロスト","쪼개는 서리","Ruptura Congelante","Разрубающий мороз","Hendidura de escarcha","ปาดน้ำแข็ง","冰霜劈砍",0,[],0,0,[],[],[],[],[],""
60,1071,3,8659,[],[],9567,20,[],[],0,"",[],0,"","","",[],"Frost Barrage","Barrage de givre","Frost-Sperrfeuer","フロストバラージ","서리 연발 사격","Barragem Gélida","Морозный залп","Aluvión de escarcha","น้ำแข็งเป็นชุด","寒霜彈幕",96,[],-40,0,[],[],[],[],[],""
61,1071,4,8659,[],[],9456,20,[318],[50],0,8660,[5057],0,"","","",[],"Frost Burst","Explosion de givre","Frostige Explosion","フロストバースト","서리 격발","Explosão Gélida","Морозный взрыв","Explosión de escarcha","ระเบิดเยือกแข็ง","寒霜爆破",98,[],0,0,[],[],[],[],[],""
62,641,0,350,[],[],9471,"",[],[],0,357,[],6,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
63,641,2,350,[],[],9503,114,[],[],0,8115,[],0,"","","",[],"Ground Strike","Frappe tellurique","Bodenschlag","グラウンドストライク","대지 타격","Ataque Terreno","Удар по земле","Golpe sísmico","ฟาดพื้น","裂地之擊",99,[],0,0,[],[],[],[],[],""
64,485,0,357,[],[],9471,"",[],[],0,"",[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],20,0,[],[],[],[],[],""
65,485,1,6238,[],[],9568,"",[],[],0,6278,[],0,"","","",[],"Sea Surge","Déferlement marin","Meereswoge","シーサージ","해일 쇄도","Explosão Marítima","Морской всплеск","Oleada marina","แส้จากทะเล","海洋浪湧",97,[],0,0,[],[],[],[],[],""
66,485,3,9209,[],[],9460,22,[],[],0,"",[],0,"","","",[],"Geyser","Geyser","Geysir","ガイザー","간헐천","Gêiser","Гейзер","Géiser","บ่อไฟปะทุ","湧泉",65,[],0,0,[],[],[],[],[],""
67,485,4,2900,[],[],9456,23,[],[],0,3156,[],0,"","","",[],"Siren's Call","Chant de la sirène","Ruf der Sirene","セイレーンズコール","사이렌의 부름","Chamado da Sereia","Зов сирены","Canto de sirena","เสียงเรียกของไซเรน","海神呼喚",98,[],30,0,[],[],[],[],[],""
68,651,0,350,[],[],9471,"",[],[],0,357,[],6,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
69,651,2,350,[],[],9503,114,[],[],0,8115,[],0,"","","",[],"Ground Strike","Frappe tellurique","Bodenschlag","グラウンドストライク","대지 타격","Ataque Terreno","Удар по земле","Golpe sísmico","ฟาดพื้น","裂地之擊",99,[],70,0,[],[],[],[],[],""
70,519,0,350,[],[],9408,"",[],[],0,357,[],0,"","","",[],"Bowshot","Tir à l'arc","Bogenschuss","ボウショット","활사격","Tiro do Arco","Выстрел из лука","Disparo con arco","ยิงธนู","射箭",0,[],0,0,[],[],[],[],[],""
71,519,1,350,[],[],9435,1,[],[],0,1621,[],0,"","","",[],"Skeletal Barrage","Salve squelettique","Skelett-Sperrfeuer","スケレトゥルバラージ","해골의 연발 사격","Barragem Esquelética","Костяной залп","Aluvión óseo","กระดูกเป็นชุด","骷髏彈幕",56,[],0,0,[],[],[],[],[],""
72,519,3,350,[],[],9439,1,[1211],[200],0,1621,[],0,"","","",[],"Hunter's Barrage","Salve du chasseur","Sperrfeuer des Jägers","ハンターズバラージ","사냥꾼의 연발 사격","Barragem do Caçador","Охотничий залп","Aluvión del Cazador","นายพรานยิงเป็นชุด","骷髏追蹤彈幕",52,[],0,0,[],[],[],[],[],""
73,2698,0,350,[],[],9471,"",[],[],0,357,[],2,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
74,2698,1,681,[],[],9427,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss","Jet de pierre","Felsschleuder","ロックトス","바위 던지기","Arremesso de Pedras","Бросок камня","Lanzamiento de roca","โยนหิน","投擲礫石",49,[],70,0,[],[],[],[],[],""
75,2661,0,350,[],[],9471,"",[],[],0,357,[],2,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
76,2661,1,681,[],[],9427,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss","Jet de pierre","Felsschleuder","ロックトス","바위 던지기","Arremesso de Pedras","Бросок камня","Lanzamiento de roca","โยนหิน","投擲礫石",49,[],70,0,[],[],[],[],[],""
77,2724,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
78,2724,2,2082,[],[],9457,21,"[175,6152,195]","[50,12,1]",0,"",[],0,"","","",[],"Fire Breath","Souffle enflammé","Feuriger Odem","ファイヤーブレス","불벼락 숨결","Sopro Ardente","Огненное дыхание","Aliento de fuego","พ่นไฟ","火焰吐息",62,[],40,0,[],[],[],[],[],""
79,215,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike","Frappe brusque","Ausfall-Schlag","ランジングストライク","돌진 일격","Golpe Abrupto","Стремительный удар","Golpe de acometida","พุ่งชน","尖刺之擊",0,[],0,0,[],[],[],[],[],""
80,215,1,701,[],[],9463,14,[],[],0,"",[],0,"","","",[],"Leap Slam","Bond percutant","Sprunghieb","リープスラム","도약 강타","Salto Impactante","Наскок","Salto con impacto","กระโจนทุบ","躍擊",0,[],0,0,[],[],[],[],[],""
81,215,4,701,[],[],9466,14,[],[],0,"","[9528,6287]",0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill( MetamorphGeometryEarthquake );\""",[],"Leap Slam Quake","Bond sismique","Bebender Sprunghieb","リープスラムクエイク","도약 강타 진동","Terremoto de Salto Impactante","Землетрясение в наскоке","Seísmo de Salto con impacto","กระโจนทุบพื้นแยก","躍擊震動",0,[],0,0,[],[],[],[],[],""
82,1547,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Bite","Morsure brusque","Ausfall-Biss","ランジングバイト","돌진하는 이빨","Mordida Abrupta","Стремительный укус","Mordisco de acometida","พุ่งกัด","尖刺咬咬",0,[],0,0,[],[],[],[],[],""
83,1547,2,2332,[],[],9433,"",[],[],0,"",[],0,"","","",[],"Spew Blood","Crachat de sang","Blutspucken","スピューブラッド","피 구역질","Cospe Sangue","Изрыгание крови","Expulsión de sangre","พ่นเลือด","噴血",51,[],0,0,[],[],[],[],[],""
84,994,1,814,[],[],9428,20,[214],[2],0,"",[],0,"","","",[],"Spark","Étincelle","Funken","スパーク","전기불꽃","Faísca","Искра","Chispa","ประกายสายฟ้า","電球",49,[],0,0,[],[],[],[],[],""
85,994,2,814,[],[],9429,20,"[1777,2119,2120,2121,1789]","[1,30,1000,360,50]",0,"",[],0,"","","",[],"Spark Nova","Nova d'étincelles","Funken-Nova","スパークノヴァ","전기불꽃 폭발","Nova Faiscante","Кольцо искр","Nova de chispas","ประกายสายฟ้ากระจาย","電球新星",49,[],0,0,[],[],[],[],[],""
86,994,3,927,[],[],9462,"",[],[],0,8266,[],0,"","","",[],"Expanding Shocknova","Nova d'électricité grandissante","Ausbreitende Schocknova","エクスパンディングショックノヴァ","확장 충격 폭발","Nova Elétrica Expansora","Расширяющиеся кольцо молний","Nova eléctrica expansiva","สายฟ้าช็อคกระจายขยายตัว","擴大閃電新星",67,[],0,0,[],[],[],[],[],""
87,994,4,927,[],[],9531,"",[357],[1500],0,9205,[],0,"","","",[],"Storm Blast","Déflagration orageuse","Stürmische Explosion","ストームブラスト","폭풍 돌풍","Explosão Tempestuosa","Грозовой взрыв","Explosión de tormenta","ระเบิดสายฟ้า","風暴爆破",122,[],0,0,[],[],[],[],[],""
