"rownum","Index","SkillGem1","Name1 (English)","Name1 (French)","Name1 (German)","Name1 (Japanese)","Name1 (Korean)","Name1 (Portuguese)","Name1 (Russian)","Name1 (Spanish)","Name1 (Thai)","Name1 (Traditional Chinese)","SkillGem2","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","row"
10,11,[22],"Immortal Call","Clameur d'immortalité","Schrei der Unsterblichkeit","イモータルコール","불멸의 외침","Chamado Imortal","Призыв к бессмертию","Llamado inmortal","เรียกความอมตะ (Immortal Call)","不朽怒嚎",[26],"Frenzy","Frénésie","Raserei","フレンジー","격분","Frenesi","Бешенство","Frenesí","ระห่ำ (Frenzy)","狂怒",13
11,12,[24],"Dual Strike","Frappes simultanées","Zweifachschlag","デュアルストライク","쌍수 타격","Golpe Combinado","Парный удар","Golpe dual","ฟาดคู่ (Dual Strike)","雙持打擊","[42,43]","Cold Snap","Vague de froid","Blitzeis","コールドスナップ","한파","Estalo Gélido","Укус стужи","Ruptura de hielo","ดีดนิ้วน้ำแข็ง (Cold Snap)","霜暴",14
12,13,[25],"Whirling Blades","Lames tourbillonnantes","Wirbelnde Klingen","ワーリングブレード","칼날 선회","Lâminas Giratórias","Шквал клинков","Filos giratorios","รำมีดพุ่ง (Whirling Blades)","迴旋之刃",[44],"Raise Zombie","Réanimation en Zombie","Zombie erwecken","ゾンビ蘇生","좀비 소환","Evocar Zumbi","Поднятие зомби","Levantar zombi","ปลุกซอมบี้ (Raise Zombie)","殭屍復甦",15
13,14,[26],"Frenzy","Frénésie","Raserei","フレンジー","격분","Frenesi","Бешенство","Frenesí","ระห่ำ (Frenzy)","狂怒","[27,28]","Detonate Dead","Explosion cadavérique","Leichenexplosion","デトネートデッド","시체 폭발","Detonar Morto","Подрыв трупа","Detonar muertos","ระเบิดมรณะ (Detonate Dead)","屍體爆破",16
14,15,"[42,43]","Cold Snap","Vague de froid","Blitzeis","コールドスナップ","한파","Estalo Gélido","Укус стужи","Ruptura de hielo","ดีดนิ้วน้ำแข็ง (Cold Snap)","霜暴","[45,713]","Caustic Arrow","Flèche caustique","Ätzender Pfeil","コースティックアロー","부식성 화살","Flecha Cáustica","Едкая стрела","Flecha cáustica","ศรกัดกร่อน (Caustic Arrow)","腐蝕箭矢",17
15,16,[44],"Raise Zombie","Réanimation en Zombie","Zombie erwecken","ゾンビ蘇生","좀비 소환","Evocar Zumbi","Поднятие зомби","Levantar zombi","ปลุกซอมบี้ (Raise Zombie)","殭屍復甦",[165],"Creeping Frost","Givre dévorant","Schleichender Frost","クリーピングフロスト","엄습하는 서리","Geada Rastejante","Ползучий мороз","Escarcha acechante","น้ำแข็งคืบคลาน (Creeping Frost)","寒霜滲透",18
16,17,"[27,28]","Detonate Dead","Explosion cadavérique","Leichenexplosion","デトネートデッド","시체 폭발","Detonar Morto","Подрыв трупа","Detonar muertos","ระเบิดมรณะ (Detonate Dead)","屍體爆破","[164,725]","Ice Shot","Tir de glace","Eisgeschoss","アイスショット","얼음 화살","Tiro Gélido","Ледяной выстрел","Disparo de hielo","ศรน้ำแข็ง (Ice Shot)","冰霜射擊",19
17,18,"[45,713]","Caustic Arrow","Flèche caustique","Ätzender Pfeil","コースティックアロー","부식성 화살","Flecha Cáustica","Едкая стрела","Flecha cáustica","ศรกัดกร่อน (Caustic Arrow)","腐蝕箭矢",[264],"Static Strike","Frappe électrique","Geladener Schlag","スタティックストライク","정전기 타격","Golpe Estático","Статичный разряд","Golpe de estática","ฟาดสายฟ้าสถิต (Static Strike)","充能打擊",20
18,19,[165],"Creeping Frost","Givre dévorant","Schleichender Frost","クリーピングフロスト","엄습하는 서리","Geada Rastejante","Ползучий мороз","Escarcha acechante","น้ำแข็งคืบคลาน (Creeping Frost)","寒霜滲透",[32],"Split Arrow","Flèches multiples","Pfeilfächer","スプリットアロー","분할 화살","Flecha Dividida","Расколотая стрела","Flecha dividida","ศรแยก (Split Arrow)","分裂箭矢",21
19,20,"[164,725]","Ice Shot","Tir de glace","Eisgeschoss","アイスショット","얼음 화살","Tiro Gélido","Ледяной выстрел","Disparo de hielo","ศรน้ำแข็ง (Ice Shot)","冰霜射擊",[47],"Blood Rage","Rage sanguinaire","Blutrausch","ブラッドレイジ","피의 격노","Fúria Sangrenta","Кровавый угар","Furia de sangre","บ้าเลือด (Blood Rage)","鮮血狂怒",22
20,21,[264],"Static Strike","Frappe électrique","Geladener Schlag","スタティックストライク","정전기 타격","Golpe Estático","Статичный разряд","Golpe de estática","ฟาดสายฟ้าสถิต (Static Strike)","充能打擊","[49,50]","Righteous Fire","Feu de la vertu","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ (Righteous Fire)","正義之火",23
21,22,[32],"Split Arrow","Flèches multiples","Pfeilfächer","スプリットアロー","분할 화살","Flecha Dividida","Расколотая стрела","Flecha dividida","ศรแยก (Split Arrow)","分裂箭矢",[52],"Discharge","Décharge","Entladung","ディスチャージ","방출","Descarga","Разряд","Descarga","ปลดปล่อยพลัง (Discharge)","解放",24
22,23,[47],"Blood Rage","Rage sanguinaire","Blutrausch","ブラッドレイジ","피의 격노","Fúria Sangrenta","Кровавый угар","Furia de sangre","บ้าเลือด (Blood Rage)","鮮血狂怒","[63,64]","Flicker Strike","Frappe fulgurante","Flimmerschlag","フリッカーストライク","점멸 타격","Golpe Súbito","Внезапный удар","Golpe repentino","ฟาดพริบตา (Flicker Strike)","閃現打擊",25
23,24,"[49,50]","Righteous Fire","Feu de la vertu","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ (Righteous Fire)","正義之火","[65,66]","Spark","Étincelle","Funke","スパーク","전기불꽃","Centelha","Искра","Chispa","ประกายสายฟ้า (Spark)","電球",26
24,25,[52],"Discharge","Décharge","Entladung","ディスチャージ","방출","Descarga","Разряд","Descarga","ปลดปล่อยพลัง (Discharge)","解放",[69],"Ice Spear","Lance de glace","Eisspeer","アイススピアー","얼음 창","Lança Gélida","Ледяное копьё","Lanza de hielo","หอกน้ำแข็ง (Ice Spear)","冰矛",27
25,26,"[63,64]","Flicker Strike","Frappe fulgurante","Flimmerschlag","フリッカーストライク","점멸 타격","Golpe Súbito","Внезапный удар","Golpe repentino","ฟาดพริบตา (Flicker Strike)","閃現打擊",[72],"Raise Spectre","Réanimation en Spectre","Schemen erwecken","スペクター蘇生","망령 소환","Evocar Espectro","Сотворение призрака","Levantar espectro","ปลุกสเปคเตอร์ (Raise Spectre)","喚醒幽魂",28
26,27,"[65,66]","Spark","Étincelle","Funke","閃光","전기불꽃","Centelha","Искра","Chispa","ประกายสายฟ้า (Spark)","電球",[73],"Infernal Blow","Coup infernal","Höllenschlag","インファーナルブロウ","지옥불 맹타","Golpe Infernal","Удар преисподней","Golpe infernal","ระเบิดอเวจี (Infernal Blow)","煉獄之擊",29
27,28,[69],"Ice Spear","Lance de glace","Eisspeer","アイススピアー","얼음 창","Lança Gélida","Ледяное копьё","Lanza de hielo","หอกน้ำแข็ง (Ice Spear)","冰矛",[74],"Glacial Hammer","Marteau de glace","Frosthammer","グレイシャルハンマー","빙하 망치","Martelo Glacial","Леденящий молот","Martillo glacial","ค้อนเยือกแข็ง (Glacial Hammer)","冰霜之錘",30
28,29,[72],"Raise Spectre","Réanimation en Spectre","Schemen erwecken","スペクター蘇生","망령 소환","Evocar Espectro","Сотворение призрака","Levantar espectro","ปลุกสเปคเตอร์ (Raise Spectre)","喚醒幽魂",[76],"Frost Wall","Mur de glace","Frostmauer","フロストウォール","서리 방벽","Parede de Gelo","Стена льда","Muro de hielo","กำแพงน้ำแข็ง (Frost Wall)","冰牆",31
29,30,[73],"Infernal Blow","Coup infernal","Höllenschlag","インファーナルブロウ","지옥불 맹타","Golpe Infernal","Удар преисподней","Golpe infernal","ระเบิดอเวจี (Infernal Blow)","煉獄之擊",[77],"Freezing Pulse","Pulsation glaciale","Frostpuls","フリージングパルス","동결 파동","Pulso Congelante","Волна холода","Pulso congelante","คลื่นเยือกแข็ง (Freezing Pulse)","冰霜脈衝",32
30,31,[74],"Glacial Hammer","Marteau de glace","Frosthammer","グレイシャルハンマー","빙하 망치","Martelo Glacial","Леденящий молот","Martillo glacial","ค้อนเยือกแข็ง (Glacial Hammer)","冰霜之錘",[78],"Shock Nova","Nova d'électricité","Schocknova","ショックノヴァ","충격 폭발","Nova Elétrica","Кольцо молний","Nova de rayo","สายฟ้ากระจาย (Shock Nova)","閃電新星",33
31,32,[76],"Frost Wall","Mur de glace","Frostmauer","フロストウォール","서리 방벽","Parede de Gelo","Стена льда","Muro de hielo","กำแพงน้ำแข็ง (Frost Wall)","冰牆",[80],"Viper Strike","Morsure de vipère","Vipernschlag","ヴァイパーストライク","맹독 타격","Ataque da Víbora","Удар гадюки","Golpe de víbora","ฟาดอสรพิษ (Viper Strike)","毒蛇打擊",34
32,33,[77],"Freezing Pulse","Pulsation glaciale","Frostpuls","フリージングパルス","동결 파동","Pulso Congelante","Волна холода","Pulso congelante","คลื่นเยือกแข็ง (Freezing Pulse)","冰霜脈衝",[87],"Explosive Arrow","Flèche explosive","Explosiver Pfeil","エクスプローシブアロー","폭발 화살","Flecha Explosiva","Взрывная стрела","Flecha explosiva","ศรระเบิด (Explosive Arrow)","爆炸箭矢",36
33,34,[78],"Shock Nova","Nova d'électricité","Schocknova","ショックノヴァ","충격 폭발","Nova Elétrica","Кольцо молний","Nova de rayo","สายฟ้ากระจาย (Shock Nova)","閃電新星",[88],"Temporal Chains","Chaînes temporelles","Fesseln der Zeit","テンポラルチェーン","시간의 사슬","Grilhões Temporais","Путы времени","Cadenas temporales","โซ่กาลเวลา (Temporal Chains)","時空鎖鏈",37
34,35,[80],"Viper Strike","Morsure de vipère","Vipernschlag","ヴァイパーストライク","맹독 타격","Ataque da Víbora","Удар гадюки","Golpe de víbora","ฟาดอสรพิษ (Viper Strike)","毒蛇打擊",[89],"Elemental Weakness","Sensibilité aux éléments","Elementarempfindlichkeit","エレメンタルウィークネス","원소 약화","Fraqueza Elemental","Уязвимость к стихиям","Debilidad elemental","แพ้ธาตุ (Elemental Weakness)","元素要害",38
35,36,[82],"Phase Run","Course déphasée","Schemensprint","フェイズラン","위상 질주","Passo Etéreo","Призрачный бег","Traspasar","วิ่งทะลุมิติ (Phase Run)","暗影迷蹤",[90],"Warlord's Mark","Marque du seigneur de guerre","Mal des Kriegsfürsten","ウォーロードの呪印","전쟁군주의 징표","Marca do Comandante","Метка вождя","Señal del jefe de guerra","คำแช่งขุนศึก (Warlord's Mark)","督軍印記",39
36,37,[87],"Explosive Arrow","Flèche explosive","Explosiver Pfeil","エクスプローシブアロー","폭발 화살","Flecha Explosiva","Взрывная стрела","Flecha explosiva","ศรระเบิด (Explosive Arrow)","爆炸箭矢",[91],"Punishment","Punition","Bestrafung","パニッシュメント","응징","Punição","Наказание","Castigo","ลงทัณฑ์ (Punishment)","懲戒",40
37,38,[88],"Temporal Chains","Chaînes temporelles","Fesseln der Zeit","テンポラルチェーン","시간의 사슬","Grilhões Temporais","Путы времени","Cadenas temporales","โซ่กาลเวลา (Temporal Chains)","時空鎖鏈",[93],"Enfeeble","Affaiblissement","Schwächen","エンフィーブル","쇠약화","Debilitar","Слабость","Debilitar","หมดเรี่ยวแรง (Enfeeble)","衰弱",41
38,39,[89],"Elemental Weakness","Sensibilité aux éléments","Elementarempfindlichkeit","エレメンタルウィークネス","원소 약화","Fraqueza Elemental","Уязвимость к стихиям","Debilidad elemental","แพ้ธาตุ (Elemental Weakness)","元素要害",[94],"Assassin's Mark","Marque de l'assassin","Mal des Assassinen","アサシンの呪印","암살자의 징표","Marca do Assassino","Метка убийцы","Señal del asesino","คำแช่งนักฆ่า (Assassin's Mark)","刺客印記",42
39,40,[90],"Warlord's Mark","Marque du seigneur de guerre","Mal des Kriegsfürsten","ウォーロードの呪印","전쟁군주의 징표","Marca do Comandante","Метка вождя","Señal del jefe de guerra","คำแช่งขุนศึก (Warlord's Mark)","督軍印記",[95],"Sniper's Mark","Marque du tireur d'élite","Mal des Scharfschützen","スナイパーの呪印","저격수의 징표","Marca do Atirador","Метка снайпера","Señal del tirador","คำแช่งนักซุ่มยิง (Sniper's Mark)","狙擊者印記",43
40,41,[91],"Punishment","Punition","Bestrafung","パニッシュメント","응징","Punição","Наказание","Castigo","ลงทัณฑ์ (Punishment)","懲戒",[96],"Despair","Désespoir","Verzweiflung","ディスペア","절망","Desespero","Отчаяние","Desesperación","สิ้นหวัง (Despair)","絕望",44
41,42,[93],"Enfeeble","Affaiblissement","Schwächen","エンフィーブル","쇠약화","Debilitar","Слабость","Debilitar","หมดเรี่ยวแรง (Enfeeble)","衰弱","[99,100]","Summon Skeletons","Invocation de Squelettes","Skelette beschwören","スケルトン召喚","해골 소환","Convocar Esqueletos","Сотворение скелетов","Invocar esqueletos","อัญเชิญโครงกระดูก (Summon Skeletons)","召喚骷髏",46
42,43,[94],"Assassin's Mark","Marque de l'assassin","Mal des Assassinen","アサシンの呪印","암살자의 징표","Marca do Assassino","Метка убийцы","Señal del asesino","คำแช่งนักฆ่า (Assassin's Mark)","刺客印記",[262],"Riposte","Riposte","Gegenschlag","リポステ","반격","Ripostar","Парирование","Represalia","สวนกลับ (Riposte)","擊刃",47
43,44,[95],"Sniper's Mark","Marque du tireur d'élite","Mal des Scharfschützen","スナイパーの呪印","저격수의 징표","Marca do Atirador","Метка снайпера","Señal del tirador","คำแช่งนักซุ่มยิง (Sniper's Mark)","狙擊者印記",[266],"Vengeance","Vengeance","Vergeltung","ヴェンジェンス","복수","Vingança","Отмщение","Venganza","ทวงแค้น (Vengeance)","復仇",48
44,45,[96],"Despair","Désespoir","Verzweiflung","ディスペア","절망","Desespero","Отчаяние","Desesperación","สิ้นหวัง (Despair)","絕望",[263],"Reckoning","Contre-attaque","Abrechnung","レコニング","역습","Acerto de Contas","Возмездие","Contraataque","คาดการณ์ (Reckoning)","清算",49
45,46,[97],"Lightning Warp","Téléportation foudroyante","Blitzteleportation","ライトニングワープ","번개 차원 이동","Teleporte Relampejante","Грозовой переход","Teletransporte de rayo","วาร์ปสายฟ้า (Lightning Warp)","閃電傳送",[101],"Heavy Strike","Frappe massive","Heftiger Schlag","ヘビーストライク","묵직한 타격","Pancada","Тяжёлый удар","Golpe pesado","ฟาดหนักหน่วง (Heavy Strike)","沉重之擊",50
46,47,"[99,100]","Summon Skeletons","Invocation de Squelettes","Skelette beschwören","スケルトン召喚","해골 소환","Convocar Esqueletos","Сотворение скелетов","Invocar esqueletos","อัญเชิญโครงกระดูก (Summon Skeletons)","召喚骷髏","[103,724]","Dominating Blow","Coup de soumission","Beherrschender Schlag","ドミネイティングブロウ","지배의 맹타","Golpe Dominador","Удар власти","Embate dominante","แสดงอำนาจ (Dominating Blow)","霸氣之擊",51
47,48,[262],"Riposte","Riposte","Gegenschlag","リポステ","반격","Ripostar","Парирование","Represalia","สวนกลับ (Riposte)","擊刃","[104,105]","Rain of Arrows","Pluie de flèches","Pfeilregen","レインオブアロー","화살비","Chuva de Flechas","Ливень стрел","Lluvia de flechas","ฝนลูกธนู (Rain of Arrows)","箭雨",52
48,49,[266],"Vengeance","Vengeance","Vergeltung","ヴェンジェンス","복수","Vingança","Отмщение","Venganza","ทวงแค้น (Vengeance)","復仇","[116,726]","Firestorm","Tempête de feu","Feuersturm","ファイヤーストーム","화염 폭풍","Tormenta Flamejante","Огненный шторм","Tormenta de fuego","พายุไฟ (Firestorm)","烈炎風暴",53
49,50,[263],"Reckoning","Contre-attaque","Abrechnung","レコニング","역습","Acerto de Contas","Возмездие","Contraataque","คาดการณ์ (Reckoning)","清算","[117,118]","Lightning Strike","Frappe foudroyante","Blitzschlag","ライトニングストライク","번개 타격","Golpe Trovejante","Удар молнии","Golpe de rayo","ฟาดสายฟ้า (Lightning Strike)","閃電打擊",54
50,51,[101],"Heavy Strike","Frappe massive","Heftiger Schlag","ヘビーストライク","묵직한 타격","Pancada","Тяжёлый удар","Golpe pesado","ฟาดหนักหน่วง (Heavy Strike)","沉重之擊",[119],"Tempest Shield","Bouclier de la tempête","Geladener Schild","テンペストシールド","폭풍의 방패","Escudo Tempestuoso","Щит бури","Escudo de tempestad","โล่วายุ (Tempest Shield)","暴風之盾",55
51,52,"[103,724]","Dominating Blow","Coup de soumission","Beherrschender Schlag","ドミネイティングブロウ","지배의 맹타","Golpe Dominador","Удар власти","Embate dominante","แสดงอำนาจ (Dominating Blow)","霸氣之擊","[120,121]","Molten Shell","Carapace volcanique","Lavaschilde","モルテンシェル","용암 방패","Escudo Flamejante","Расплавленный панцирь","Coraza fundida","กระดองหลอมละลาย (Molten Shell)","熔岩護盾",56
52,53,"[104,105]","Rain of Arrows","Pluie de flèches","Pfeilregen","レインオブアロー","화살비","Chuva de Flechas","Ливень стрел","Lluvia de flechas","ฝนลูกธนู (Rain of Arrows)","箭雨","[122,123]","Power Siphon","Siphon de pouvoir","Energieentladung","パワーサイフォン","권능 착취","Sifão de Poder","Перелив энергии","Robo de poder","ดูดพลัง (Power Siphon)","力量抽取",57
53,54,"[116,726]","Firestorm","Tempête de feu","Feuersturm","ファイヤーストーム","화염 폭풍","Tormenta Flamejante","Огненный шторм","Tormenta de fuego","พายุไฟ (Firestorm)","烈炎風暴",[124],"Puncture","Saignée","Durchstoßen","パンクチャー","관통상","Punctura","Надрез","Punción","กรีดเลือด (Puncture)","放血",58
54,55,"[117,118]","Lightning Strike","Frappe foudroyante","Blitzschlag","ライトニングストライク","번개 타격","Golpe Trovejante","Удар молнии","Golpe de rayo","ฟาดสายฟ้า (Lightning Strike)","閃電打擊","[125,722]","Lightning Arrow","Flèche de foudre","Blitzpfeil","ライトニングアロー","번개 화살","Flecha Relampejante","Стрела молнии","Flecha de rayo","ศรสายฟ้า (Lightning Arrow)","閃電箭矢",59
55,56,[119],"Tempest Shield","Bouclier de la tempête","Geladener Schild","テンペストシールド","폭풍의 방패","Escudo Tempestuoso","Щит бури","Escudo de tempestad","โล่วายุ (Tempest Shield)","暴風之盾","[166,167]","Arc","Arc électrique","Lichtbogen","アーク","연쇄 번개","Arco Elétrico","Цепь молний","Arco eléctrico","สายฟ้าชิ่ง (Arc)","電弧",60
56,57,"[120,121]","Molten Shell","Carapace volcanique","Lavaschilde","モルテンシェル","용암 방패","Escudo Flamejante","Расплавленный панцирь","Coraza fundida","กระดองหลอมละลาย (Molten Shell)","熔岩護盾","[126,127]","Haste","Hâte","Hast","ヘイスト","가속","Ímpeto","Спешка","Celeridad","ว่องไว (Haste)","迅捷",61
57,58,"[122,123]","Power Siphon","Siphon de pouvoir","Energieentladung","パワーサイフォン","권능 착취","Sifão de Poder","Перелив энергии","Robo de poder","ดูดพลัง (Power Siphon)","力量抽取",[128],"Purity of Elements","Pureté des éléments","Reinheit der Elemente","ピュリティオブエレメンツ","원소의 순수함","Pureza Elementar","Спасение от стихий","Pureza de los elementos","ธาตุพิสุทธิ์ (Purity of Elements)","元素淨化",62
58,59,[124],"Puncture","Saignée","Durchstoßen","パンクチャー","관통상","Punctura","Надрез","Punción","กรีดเลือด (Puncture)","放血",[129],"Vitality","Vitalité","Vitalität","バイタリティ","활력","Vitalidade","Живучесть","Vitalidad","กำลังวังชา (Vitality)","活力",63
59,60,"[125,722]","Lightning Arrow","Flèche de foudre","Blitzpfeil","ライトニングアロー","번개 화살","Flecha Relampejante","Стрела молнии","Flecha de rayo","ศรสายฟ้า (Lightning Arrow)","閃電箭矢","[130,131]","Discipline","Discipline","Disziplin","ディシプリン","단련","Disciplina","Дисциплина","Disciplina","วินัย (Discipline)","紀律",64
60,61,"[166,167]","Arc","Arc électrique","Lichtbogen","アーク","연쇄 번개","Arco Elétrico","Цепь молний","Arco eléctrico","สายฟ้าชิ่ง (Arc)","電弧","[132,133]","Grace","Grâce","Anmut","グレース","은총","Graça","Грация","Gracia","สง่างาม (Grace)","優雅",65
61,62,"[126,127]","Haste","Hâte","Hast","ヘイスト","가속","Ímpeto","Спешка","Celeridad","ว่องไว (Haste)","迅捷",[134],"Determination","Détermination","Entschlossenheit","デターミネーション","결의","Determinação","Решимость","Determinación","ปณิธาน (Determination)","堅定",66
62,63,[128],"Purity of Elements","Pureté des éléments","Reinheit der Elemente","ピュリティオブエレメンツ","원소의 순수함","Pureza Elementar","Спасение от стихий","Pureza de los elementos","ธาตุพิสุทธิ์ (Purity of Elements)","元素淨化",[135],"Anger","Colère","Wut","アンガー","분노","Cólera","Жгучая злоба","Rabia","โทสะ (Anger)","憤怒",67
63,64,[129],"Vitality","Vitalité","Vitalität","バイタリティ","활력","Vitalidade","Живучесть","Vitalidad","กำลังวังชา (Vitality)","活力",[136],"Hatred","Haine","Hass","ヘイトレッド","증오","Ódio","Холодная ненависть","Odio","เทวศ (Hatred)","憎恨",68
64,65,"[130,131]","Discipline","Discipline","Disziplin","ディシプリン","단련","Disciplina","Дисциплина","Disciplina","วินัย (Discipline)","紀律",[137],"Wrath","Fureur","Zorn","ラース","진노","Ira","Грозный гнев","Cólera","พิโรธ (Wrath)","雷霆",69
65,66,"[132,133]","Grace","Grâce","Anmut","グレース","은총","Graça","Грация","Gracia","สง่างาม (Grace)","優雅","[138,139]","Burning Arrow","Flèche incendiaire","Brennender Pfeil","バーニングアロー","불타는 화살","Flecha Ardente","Горящая стрела","Flecha ardiente","ศรไฟ (Burning Arrow)","燃燒箭矢",70
66,67,[134],"Determination","Détermination","Entschlossenheit","デターミネーション","결의","Determinação","Решимость","Determinación","ปณิธาน (Determination)","堅定","[142,143]","Clarity","Clarté","Klarheit","クラリティ","명상","Clareza","Ясность ума","Claridad","กระจ่าง (Clarity)","清晰",71
67,68,[135],"Anger","Colère","Wut","アンガー","분노","Cólera","Жгучая злоба","Rabia","โทสะ (Anger)","憤怒",[152],"Shockwave Totem","Totem sismique","Schockwellen-Totem","ショックウェーブトーテム","충격파 토템","Totem Sísmico","Сотрясающий тотем","Tótem de onda sísmica","โทเทมคลื่นสะท้อน (Shockwave Totem)","震波圖騰",72
68,69,[136],"Hatred","Haine","Hass","ヘイトレッド","증오","Ódio","Холодная ненависть","Odio","เทวศ (Hatred)","憎恨","[153,727]","Rejuvenation Totem","Totem régénérant","Regenerationstotem","リジュヴェネーショントーテム","회복 토템","Totem Rejuvenescedor","Восполняющий тотем","Tótem de rejuvenecimiento","โทเทมฟื้นชีวิต (Rejuvenation Totem)","回春圖騰",73
69,70,[137],"Wrath","Fureur","Zorn","ラース","진노","Ira","Грозный гнев","Cólera","พิโรธ (Wrath)","雷霆",[155],"Conversion Trap","Piège de conversion","Bekehrungsfalle","コンヴァージョントラップ","전향 덫","Armadilha Conversora","Ловушка переманивания","Trampa de conversión","กับดักแปรพักตร์ (Conversion Trap)","迷魅陷阱",74
70,71,"[138,139]","Burning Arrow","Flèche incendiaire","Brennender Pfeil","バーニングアロー","불타는 화살","Flecha Ardente","Горящая стрела","Flecha ardiente","ศรไฟ (Burning Arrow)","燃燒箭矢",[156],"Bear Trap","Piège à ours","Bärenfalle","ベアトラップ","곰 덫","Armadilha de Urso","Медвежий капкан","Trampa de osos","กับดักหมี (Bear Trap)","捕熊陷阱",75
