"rownum","BetrayalJobsKey","BetrayalTargetsKey","Rank","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ServerCommand","[rid]","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)","ServerCommand2"
12,1,6,1,"Modify an Armour Piece's quality to 24%","Fait passer la Qualité d'une armure à 24%","Verändert die Qualität eines Rüstungsstücks auf 24%","防具の品質を24%にする","방어구의 퀄리티를 24%로 수정","Modifica a qualidade de uma Armadura para 24%","Улучшить качество доспеха до 24%","Modifica la calidad de una pieza de armadura al 24%","แก้ไข เกราะ ให้มีค่าคุณภาพ 24%","調整護甲品質至 24%","set_quality armour 24",[],"","","","","","","","","","",""
13,1,6,2,"Modify an Armour Piece's quality to 26%","Fait passer la Qualité d'une armure à 26%","Verändert die Qualität eines Rüstungsstücks auf 26%","防具の品質を26%にする","방어구의 퀄리티를 26%로 수정","Modifica a qualidade de uma Armadura para 26%","Улучшить качество доспеха до 26%","Modifica la calidad de una pieza de armadura al 26%","แก้ไข เกราะ ให้มีค่าคุณภาพ 26%","調整護甲品質至 26%","set_quality armour 26",[],"","","","","","","","","","",""
14,1,6,3,"Modify an Armour Piece's quality to 28%","Fait passer la Qualité d'une armure à 28%","Verändert die Qualität eines Rüstungsstücks auf 28%","防具の品質を28%にする","방어구의 퀄리티를 28%로 수정","Modifica a qualidade de uma Armadura para 28%","Улучшить качество доспеха до 28%","Modifica la calidad de una pieza de armadura al 28%","แก้ไข เกราะ ให้มีค่าคุณภาพ 28%","調整護甲品質至 28%","set_quality armour 28",[],"","","","","","","","","","",""
15,1,6,4,"Modify an Armour Piece's quality to 30%","Fait passer la Qualité d'une armure à 30%","Verändert die Qualität eines Rüstungsstücks auf 30%","防具の品質を30%にする","방어구의 퀄리티를 30%로 수정","Modifica a qualidade de uma Armadura para 30%","Улучшить качество доспеха до 30%","Modifica la calidad de una pieza de armadura al 30%","แก้ไข เกราะ ให้มีค่าคุณภาพ 30%","調整護甲品質至 30%","set_quality armour 30",[],"","","","","","","","","","",""
16,2,6,1,"Modify a Weapon's quality to 24%","Fait passer la Qualité d'une arme à 24%","Verändert die Qualität einer Waffe auf 24%","武器の品質を24%にする","무기의 퀄리티를 24%로 수정","Modifica a qualidade de uma Arma para 24%","Улучшить качество оружия до 24%","Modifica la calidad de un arma al 24%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 24%","調整武器品質至 24%","set_quality weapon 24",[],"","","","","","","","","","",""
17,2,6,2,"Modify a Weapon's quality to 26%","Fait passer la Qualité d'une arme à 26%","Verändert die Qualität einer Waffe auf 26%","武器の品質を26%にする","무기의 퀄리티를 26%로 수정","Modifica a qualidade de uma Arma para 26%","Улучшить качество оружия до 26%","Modifica la calidad de un arma al 26%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 26%","調整武器品質至 26%","set_quality weapon 26",[],"","","","","","","","","","",""
18,2,6,3,"Modify a Weapon's quality to 28%","Fait passer la Qualité d'une arme à 28%","Verändert die Qualität einer Waffe auf 28%","武器の品質を28%にする","무기의 퀄리티를 28%로 수정","Modifica a qualidade de uma Arma para 28%","Улучшить качество оружия до 28%","Modifica la calidad de un arma al 28%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 28%","調整武器品質至 28%","set_quality weapon 28",[],"","","","","","","","","","",""
19,2,6,4,"Modify a Weapon's quality to 30%","Fait passer la Qualité d'une arme à 30%","Verändert die Qualität einer Waffe auf 30%","武器の品質を30%にする","무기의 퀄리티를 30%로 수정","Modifica a qualidade de uma Arma para 30%","Улучшить качество оружия до 30%","Modifica la calidad de un arma al 30%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 30%","調整武器品質至 30%","set_quality weapon 30",[],"","","","","","","","","","",""
20,4,6,1,"Modify a Flask's quality to 22%","Fait passer la Qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%にする","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um Frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","set_quality flask 22",[],"","","","","","","","","","",""
21,4,6,2,"Modify a Flask's quality to 24%","Fait passer la Qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%にする","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um Frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","set_quality flask 24",[],"","","","","","","","","","",""
22,4,6,3,"Modify a Flask's quality to 26%","Fait passer la Qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%にする","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um Frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","set_quality flask 26",[],"","","","","","","","","","",""
23,4,6,4,"Modify a Flask's quality to 28%","Fait passer la Qualité d'un Flacon à 28%","Verändert die Qualität eines Fläschchens auf 28%","フラスコの品質を28%にする","플라스크의 퀄리티를 28%로 수정","Modifica a qualidade de um Frasco para 28%","Улучшить качество флакона до 28%","Modifica la calidad de un frasco al 28%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 28%","調整藥劑品質至 28%","set_quality flask 28",[],"","","","","","","","","","",""
24,4,7,1,"Reforge the colours of sockets on an item 50 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 50 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 50 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を50回リフォージし、出現しにくい色のソケットが最も多い結果を採用する","아이템의 홈 색상 50회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as cores de encaixes em um item 50 vezes, usando o resultado com o maior número de cores de encaixes menos comuns","Перековать цвета гнёзд на предмете 50 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 50 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 50 colours",[],"Modify a Flask's quality to 22%","Fait passer la qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%に改変する","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um Frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","set_quality flask 22"
25,4,7,2,"Reforge the number of sockets on an item 50 times, using the outcome with the greatest number of sockets","Remodèle à 50 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses","Verändert die Anzahl der Fassungen eines Gegenstands 50 Mal und wählt das Ergebnis mit der höchsten Anzahl an Fassungen","アイテムのソケット数を50回リフォージし、ソケットが最も多い結果を採用する","아이템의 홈 개수 50회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 50 vezes, usando o resultado com o maior número de encaixes","Перековать количество гнёзд на предмете 50 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 50 次，使用最多插槽數量的結果","modify_sockets_N_times 50 sockets",[],"Modify a Flask's quality to 24%","Fait passer la qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%に改変する","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um Frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","set_quality flask 24"
26,4,7,3,"Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","Remodèle à 50 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 50 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","ソケット間のリンクを50回リフォージし、リンクされたソケットが最も多い結果を採用する","아이템의 홈 연결부 50회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 50 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 50 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 50 次，使用最多相連插槽數量的結果","modify_sockets_N_times 50 links",[],"Modify a Flask's quality to 26%","Fait passer la qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%に改変する","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um Frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","set_quality flask 26"
27,4,7,4,"Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","Remodèle à 50 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 50 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","ソケット間のリンクを50回リフォージし、リンクされたソケットが最も多い結果を採用する","아이템의 홈 연결부 50회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 50 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 50 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 50 次，使用最多相連插槽數量的結果","modify_sockets_N_times 50 links",[],"Modify a Flask's quality to 28%","Fait passer la qualité d'un Flacon à 28%","Verändert die Qualität eines Fläschchens auf 28%","フラスコの品質を28%に改変する","플라스크의 퀄리티를 28%로 수정","Modifica a qualidade de um Frasco para 28%","Улучшить качество флакона до 28%","Modifica la calidad de un frasco al 28%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 28%","調整藥劑品質至 28%","set_quality flask 28"
28,4,12,1,"Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊至階級 1 個魔符","transform_into_talisman 1",[8521],"Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊至階級 1 個魔符","transform_into_talisman 1"
29,4,12,2,"Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊至階級 2 個魔符","transform_into_talisman 2",[8521],"Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊至階級 2 個魔符","transform_into_talisman 2"
30,4,12,3,"Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3",[8521],"Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3"
31,4,12,4,"Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 4","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3",[8521],"Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier ","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 4","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3"
32,4,3,1,"Add 20m experience to a Gem","Ajoute 20 millions d'expérience à une Gemme","Fügt einer Gemme 20m Erfahrungspunkte hinzu","ジェムに20m経験値追加する","젬에 경험치 20,000,000 추가","Adiciona 20m de experiência à uma Gema","Добавить 20 миллионов опыта камню","Agrega 20 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 20 ล้าน ให้กับ หิน","增加 2000 萬經驗至寶石","add_gem_experience 20000000",[],"Add 10m experience to a Gem","Ajoute 10 millions d'expérience à une Gemme","Fügt einer Gemme 10m Erfahrungspunkte hinzu","ジェムに10m経験値追加する","젬에 경험치 10,000,000 추가","Adiciona 10m de experiência em uma Gema","Добавить 10 миллионов опыта камню","Agrega 10 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 10 ล้าน ให้กับ หิน","增加 1000 萬經驗至寶石","add_gem_experience 10000000"
33,4,3,2,"Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70m de experiência à uma Gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至寶石","add_gem_experience 70000000",[],"Add 35m experience to a Gem","Ajoute 35 millions d'expérience à une Gemme","Fügt einer Gemme 35m Erfahrungspunkte hinzu","ジェムに35m経験値追加する","젬에 경험치 35,000,000 추가","Adiciona 35m de experiência em uma Gema","Добавить 35 миллионов опыта камню","Agrega 35 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 35 ล้าน ให้กับ หิน","增加 3500 萬經驗至寶石","add_gem_experience 35000000"
34,4,3,3,"Add 200m experience to a Gem","Ajoute 200 millions d'expérience à une Gemme","Fügt einer Gemme 200m Erfahrungspunkte hinzu","ジェムに200m経験値追加する","젬에 경험치 200,000,000 추가","Adiciona 200m de experiência à uma Gema","Добавить 200 миллионов опыта камню","Agrega 200 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 200 ล้าน ให้กับ หิน","增加 2 億經驗至寶石","add_gem_experience 200000000",[],"Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70m de experiência em uma Gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至寶石","add_gem_experience 70000000"
35,4,3,4,"Add 200m experience to a Gem","Ajoute 200 millions d'expérience à une Gemme","Fügt einer Gemme 200m Erfahrungspunkte hinzu","ジェムに200m経験値追加する","젬에 경험치 200,000,000 추가","Adiciona 200m de experiência à uma Gema","Добавить 200 миллионов опыта камню","Agrega 200 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 200 ล้าน ให้กับ หิน","增加 2 億經驗至寶石","add_gem_experience 200000000",[],"Add 150m experience to a Gem","Ajoute 150 millions d'expérience à une Gemme","Fügt einer Gemme 150m Erfahrungspunkte hinzu","ジェムに150m経験値追加する","젬에 경험치 150,000,000 추가","Adiciona 150m de experiência em uma Gema","Добавить 150 миллионов опыта камню","Agrega 150 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 150 ล้าน ให้กับ หิน","增加 1 億 5000 萬經驗至寶石","add_gem_experience 150000000"
