"rownum","string","i32","string","string","string","rid","i32","bool","bool","[string]","bool","string","i32","i32","i32"
11,"AddGemExperienceUber4",1,"Add 150m experience to a <white>{Gem}","add_experience_to_gem","150000000",12820,0,"","","[""琀攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
12,"AddGemQualityNormal1",2,"Add +2% quality to a <white>{Gem}","use_x_gemcutter","2",31564,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
13,"AddGemQualityNormal2",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",22945,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
14,"AddGemQualityNormal3",2,"Add +5% quality to a <white>{Gem}","use_x_gemcutter","5",34477,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
15,"AddGemQualityNormal4",2,"Add +8% quality to a <white>{Gem}","use_x_gemcutter","8",23438,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
16,"AddGemQualityCruel1",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",64942,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
17,"AddGemQualityCruel2",2,"Add +4% quality to a <white>{Gem}","use_x_gemcutter","4",49670,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
18,"AddGemQualityCruel3",2,"Add +8% quality to a <white>{Gem}","use_x_gemcutter","6",44189,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
19,"AddGemQualityCruel4",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",28494,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
20,"AddGemQualityMerciless1",2,"Add +4% quality to a <white>{Gem}","use_x_gemcutter","4",44996,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
21,"AddGemQualityMerciless2",2,"Add +6% quality to a <white>{Gem}","use_x_gemcutter","6",36641,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
22,"AddGemQualityMerciless3",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",29212,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
23,"AddGemQualityMerciless4",2,"Add +15% quality to a <white>{Gem}","use_x_gemcutter","15",8790,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
24,"AddGemQualityUber1",2,"Add +8% quality to a <white>{Gem}","use_x_gemcutter","8",11545,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
25,"AddGemQualityUber2",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",49427,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
26,"AddGemQualityUber3",2,"Add +15% quality to a <white>{Gem}","use_x_gemcutter","15",40587,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
27,"AddGemQualityUber4",2,"Add +20% quality to a <white>{Gem}","use_x_gemcutter","20",26359,0,"","","[""te>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
28,"GemExperienceToFacetorsLensMerciless1",3,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 20",42316,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
29,"GemExperienceToFacetorsLensMerciless2",3,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 40",7845,0,"","","[""攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
30,"GemExperienceToFacetorsLensUber1",3,"<white>{Sacrifice} a <white>{Gem} to gain 30% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 30",21369,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
31,"GemExperienceToFacetorsLensUber2",3,"<white>{Sacrifice} a <white>{Gem} to gain 60% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 60",14336,0,"","","[""攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
32,"GemExperienceToCharacterExperienceCruel1",4,"<white>{Sacrifice} a <white>{Gem} to gain 10% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","10",8194,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
33,"GemExperienceToCharacterExperienceCruel2",4,"<white>{Sacrifice} a <white>{Gem} to gain 15% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","15",18989,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
34,"GemExperienceToCharacterExperienceMerciless1",4,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","20",60394,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
35,"GemExperienceToCharacterExperienceMerciless2",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",2848,0,"","","[""e>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
36,"GemExperienceToCharacterExperienceUber1",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",59876,0,"","","[""e>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
37,"GemExperienceToCharacterExperienceUber2",4,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","40",27074,0,"","","[""e>{Gem}""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
38,"SacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",158,0,"","","[""㸀笀䜀攀洀紀""]","","搀 匀欀椀氀氀 䜀攀洀紀 琀漀 戀攀 愀 爀愀渀搀漀洀 㰀眀栀椀琀攀㸀笀吀爀愀渀猀昀椀最甀爀攀搀紀 瘀攀爀猀椀漀渀",0,0,1
39,"SacrificeGemForRandomCurrency1",6,"<white>{Sacrifice} a <white>{Gem} for Currency Items","sacrifice_gem_for_random_currency","",24400,0,"","","["">{Gem}""]","","搀 匀欀椀氀氀 䜀攀洀紀 琀漀 戀攀 愀 爀愀渀搀漀洀 㰀眀栀椀琀攀㸀笀吀爀愀渀猀昀椀最甀爀攀搀紀 瘀攀爀猀椀漀渀",0,0,1
40,"ExchangeGemForExceptionalGem1",7,"<white>{Exchange} a <white>{Support Gem} for a random <white>{Exceptional Gem}","exchange_gem_for_exceptional_gem","",18210,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
41,"ExchangeGemForAwakenedGem1",8,"<white>{Exchange} a <white>{non-Exceptional Support Gem} for its <white>{Awakened} version","exchange_gem_for_awakened_gem","",26328,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
42,"ChangeCorruptedNormalGemIntoNormalGemOfSameColor1",11,"<white>{Transform} a <white>{Corrupted Skill Gem} to be a random <white>{Corrupted Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, output_is_normal_gem, retain_exp",10924,0,"",1,[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
43,"ChangeCorruptedAlternateGemIntoAlternateGemOfSameColor1",12,"<white>{Transform} a <white>{Corrupted Transfigured Skill Gem} to be a random <white>{Corrupted Transfigured Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, input_is_alternate_gem, retain_exp",54308,0,"",1,[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
44,"HardModeChangeNormalGemIntoNormalGemOfSameColor1",13,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","output_is_normal_gem",55035,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
45,"HardModeChangeSupportGemIntoSupportGemOfSameColor1",14,"<white>{Transform} a <white>{Support Gem} to be a random <white>{Support Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","use_support_gems",30205,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
46,"HardModeAddGemQualityNormal",2,"Add +1% quality to a <white>{Gem}","use_x_gemcutter","1",7320,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
47,"HardModeAddGemQualityCruel",2,"Add +2% quality to a <white>{Gem}","use_x_gemcutter","2",31123,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
48,"HardModeAddGemQualityMerciless",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",13331,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
49,"HardModeAddGemQualityUber",2,"Add +5% quality to a <white>{Gem}","use_x_gemcutter","5",56212,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
50,"HardModeAddGemExperienceCruel1",1,"Add 500k experience to a <white>{Gem}","add_experience_to_gem","500000",41848,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
51,"HardModeAddGemExperienceCruel2",1,"Add 800k experience to a <white>{Gem}","add_experience_to_gem","800000",58999,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
52,"HardModeAddGemExperienceMerciless1",1,"Add 2.4m experience to a <white>{Gem}","add_experience_to_gem","2400000",30433,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
53,"HardModeAddGemExperienceMerciless2",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",3882,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
54,"HardModeAddGemExperienceMerciless3",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",40771,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
55,"HardModeAddGemExperienceMerciless4",1,"Add 12m experience to a <white>{Gem}","add_experience_to_gem","12000000",51760,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
56,"HardModeAddGemExperienceUber1",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",55255,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
57,"HardModeAddGemExperienceUber2",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",19694,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
58,"HardModeAddGemExperienceUber3",1,"Add 16m experience to a <white>{Gem}","add_experience_to_gem","16000000",56979,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
59,"HardModeAddGemExperienceUber4",1,"Add 24m experience to a <white>{Gem}","add_experience_to_gem","24000000",54839,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,2
60,"HardModeSacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",40644,0,"","",[],"","搀 匀欀椀氀氀 䜀攀洀紀 琀漀 戀攀 愀 爀愀渀搀漀洀 㰀眀栀椀琀攀㸀笀吀爀愀渀猀昀椀最甀爀攀搀紀 瘀攀爀猀椀漀渀",0,0,2
