"rownum","Id","MiscAnimated","[i32]","[string]","string","string"
48,"ShrineThorns",307,[],[],"orb_finish",""
49,"ShrineFire",254,[],[],"orb_finish",""
50,"ShrineLightning",256,[],[],"orb_finish",""
51,"ShrineArc",258,[],[],"orb_finish",""
52,"ShrineCold",255,[],[],"orb_finish",""
53,"ShrineSmoke",308,[],[],"orb_finish",""
54,"ShrineMassive",317,[],[],"orb_finish",""
55,"ShrineShield",252,[],[],"orb_finish",""
56,"ShrineResistance",305,[],[],"orb_finish",""
57,"ShrineGodMode",319,[],[],"orb_finish",""
58,"ShrineEchoing",318,[],[],"orb_finish",""
59,"ShrineCurse",306,[],[],"orb_finish",""
60,"ShrineSkeletons",257,[],[],"orb_finish",""
61,"ShrineResonating",2986,[],[],"orb_finish",""
62,"Blind",119,[],[],"orb_finish",""
63,"BlindOrbSand",3030,[],[],"orb_finish",""
64,"CorruptedBloodNonPlayer",3495,[],[],"orb_finish",""
65,"CorruptedBloodPlayer",3496,[],[],"orb_finish",""
66,"Stun",417,[],[],"orb_finish",""
67,"Debilitate",4361,[],[],"",""
68,"DebilitateCelestial",4426,[],[],"",""
69,"Maleditction",4362,[],[],"",""
70,"TormentTouched",477,[],[],"orb_finish",""
71,"PietysRage",576,[],[],"orb_finish",""
72,"Bonespire",791,[],[],"orb_finish",""
73,"AtlasAdjudicatorCharges",3733,[],[],"orb_finish",""
74,"SeaWitchScreechOrb",329,[],[],"orb_finish",""
75,"RighteousFireOrb",102,[],[],"orb_finish",""
76,"ViperStrikeOrb",27,[],[],"orb_finish",""
77,"Deathmark",3458,[],[],"",""
78,"WintertideBrandOrb",4189,[],[],"orb_finish",""
79,"HackyInvisibleSymbol",2232,[],[],"",""
80,"CurseEnfeebleNew",4589,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
81,"CursePunishmentNew",4590,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
82,"CurseFlammabilityNew",4591,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
83,"CurseFrostbiteNew",4592,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
84,"CurseConductivityNew",4593,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
85,"CurseElementalWeaknessNew",4594,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
86,"CurseVulnerabilityNew",4595,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
87,"CurseDespairNew",4596,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
88,"SteelOrb",4707,[],[],"end_01",""
89,"HeistConversionOrb",4761,[],[],"",""
90,"SteelOrbTemple",4798,[],[],"end_01",""
91,"FanatacismCharge",4986,[],[],"orb_finish",""
92,"BloodScytheCharge",5264,[],[],"orb_finish",""
93,"UltimatumFrostInfection",5292,[],[],"end_float_01",""
94,"UltimatumPhysBuff",5340,[],[],"orb_finish",""
95,"UltimatumEleBuff",5341,[],[],"orb_finish",""
96,"WintertideBrandCelestialOrb",5796,[],[],"",""
97,"SkadiDebuff",6111,[],[],"",""
98,"ShrineGreed",6246,[],[],"orb_finish",""
99,"TangleTentacleZapped",6273,[],[],"orb_finish",""
100,"CleansingFirePhantasmPossessionOrb",6300,[],[],"ring_finish",""
