"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","i32","i32","[i32]","bool","bool"
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3107,1,2,[125],1721,4,[],"",""
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3067,1,2,[129],1722,4,[],"",""
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3068,1,2,[129],1723,6,[],"",""
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3069,1,2,[1723],1724,10,[],"",""
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3176,1,2,[43],1726,10,[],"",1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3071,1,3,[125],1725,7,[],"",""
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3072,1,3,[1771],1727,7,[],"",1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3070,1,3,[1772],1728,10,[],"",""
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3173,1,2,[1785],1756,25,[],"",1
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3075,1,3,"[1774,6]",1731,10,[],"",""
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3078,1,10,"[151,1775]",1733,20,[],"",1
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3079,1,5,"[1776,151,825]",1734,90,[],"",1
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3792,1,2,[1938],1939,90,[],"",1
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3080,"",3,[151],1735,25,[],"",1
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3081,"",13,[151],1736,43,[200],"",1
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3140,1,7,[938],1738,28,[],"",1
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3083,1,20,[898],1739,45,[],"",1
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4314,1,25,[],2024,90,[9],"",1
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4144,1,45,[1963],2615,90,[],"",1
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",4024,"",2,[],1940,90,[112],"",1
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3088,1,40,[1176],1744,90,[],"",1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3722,"",60,[1786],1751,90,[],"",1
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3842,1,30,[480],1879,90,[],"",1
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4833,1,50,[],2146,70,[93],"",1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3128,1,4,[378],1737,90,[],"",1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3084,1,15,[],1740,30,[],"",""
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3085,1,15,[],1741,35,[],"",""
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3077,1,12,[],1732,20,[],"",""
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",3043,1,7,[],1729,25,[],1,""
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3086,1,15,"[1777,775]",1742,50,[],"",1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3087,1,10,"[1041,1784]",1743,90,[],"",""
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3089,"",55,[1783],1745,75,[7],"",1
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4832,"",60,[],2147,72,[295],"",""
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3090,"",8,[151],2615,8,[],"",1
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3091,"",8,[151],2615,8,[],"",1
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3092,"",20,[],1746,27,[],1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3093,"",60,[151],2615,75,[],"",1
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3094,"",10,[1773],1747,25,[],"",1
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3095,"",20,[1778],1748,40,[],"",1
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3096,"",4,[1779],1749,40,[],"",1
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3097,1,2,[],125,2,[],"",""
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3082,1,2,[],125,2,[],"",""
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3168,"",2,[1780],2615,10,[],"",1
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3169,"",2,[],2615,10,[],"",1
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3170,"",2,[],2615,10,[],"",1
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3171,"",2,[],2615,10,[],"",1
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3172,"",2,[1782],2615,10,[],"",1
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3174,"",2,[],2615,10,[],"",1
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3175,"",2,[],2615,10,[],"",1
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3793,"",2,[],2615,10,[],"",1
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3177,"",0,[],2615,100,[],"",1
77,"HidePopups","",54,"",0,[],714,100,[],"",""
