"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","[rid]"
60,62,64,2615,"",2615,2615,2615,[]
61,64,65,2615,"",2615,2615,1072,[]
62,65,67,2615,"",2615,2615,2615,[]
63,67,69,2615,"",2615,2615,1072,[]
64,69,68,2615,"",2615,1072,317,[]
65,68,66,2615,"",2615,2615,2615,[]
66,66,70,2615,"",2615,2615,2615,[]
67,66,71,2615,"",2615,2615,2615,[]
68,66,72,1411,"You need the Sign of Purity to access the Cathedral Rooftop.",1044,2615,2615,[]
69,66,64,2615,"The entrance is now blocked.",1072,2615,317,[]
70,73,74,2615,"",2615,2615,2615,[]
71,73,75,2615,"",2615,2615,2615,[]
72,75,76,2615,"",2615,2615,2615,[]
73,75,77,2615,"",2615,2615,2615,[]
74,77,78,1179,"You need to find the missing Karui eye to open the gate.",1182,2615,2615,[]
75,78,79,1176,"You must defeat Tukohama to unlock the exit.",1181,2615,2615,[]
76,79,80,2615,"",2615,2615,2615,[]
77,80,81,2615,"",2615,2615,2615,[]
78,81,82,2615,"",2615,2615,2615,[]
79,82,83,2615,"",2615,2615,2615,[]
80,83,84,2615,"",2615,2615,2615,[]
81,83,85,2615,"",2615,2615,2615,[]
82,85,86,2615,"",2615,2615,2615,[]
83,86,87,2615,"",2615,2615,2615,[]
84,87,88,1161,"You must light the Beacon to access the Brine King's Reef.",1154,2615,2615,[]
85,89,90,2615,"",2615,2615,2615,[]
86,90,91,2615,"",2615,2615,2615,[]
87,91,92,2615,"",2615,2615,2615,[]
88,91,94,2615,"",2615,2615,2615,[]
89,91,97,2615,"The bandits have blocked the way. You must find another way around.",1271,2615,1271,[]
90,92,93,2615,"",2615,2615,2615,[]
91,94,96,2615,"",2615,1288,1165,[]
92,94,95,2615,"",2615,2615,2615,[]
93,96,97,2615,"",2615,2615,2615,[]
94,97,98,2615,"",2615,2615,2615,[]
95,98,99,2615,"",2615,2615,2615,[]
96,98,100,2615,"",2615,2615,2615,[]
97,100,101,2615,"",2615,2615,2615,[]
98,101,102,2615,"",2615,2615,2615,[]
99,103,104,2615,"",2615,2615,2615,[]
100,104,105,2615,"",2615,2615,2615,[]
101,105,106,2615,"",2615,2615,2615,[]
102,105,111,2615,"",2615,2615,2615,[]
103,108,107,2615,"",2615,2615,2615,[]
104,106,108,2615,"",2615,2615,2615,[]
105,108,109,2615,"",2615,2615,2615,[]
106,109,110,2615,"",2615,2615,2615,[]
107,109,116,2615,"",2615,2615,2615,[]
108,111,112,2615,"",2615,2615,2615,[]
109,112,113,2615,"",2615,2615,2615,[]
110,113,115,2615,"",2615,2615,2615,[]
111,115,114,2615,"",2615,2615,2615,[]
112,114,116,2615,"",2615,2615,2615,[]
113,117,118,2615,"",2615,2615,2615,[]
114,118,119,2615,"",2615,2615,2615,[]
115,119,120,2615,"",2615,2615,2615,[]
116,120,121,1632,"You must find a way to clear the Sandstorm to access the Oasis.",1637,2615,2615,[]
117,120,122,2615,"",2615,2615,2615,[]
118,122,123,2615,"",2615,2615,2615,[]
119,122,124,2615,"",2615,2615,2615,[]
120,124,125,2615,"",2615,2615,2615,[]
121,125,126,2615,"",2615,2615,2615,[]
122,125,127,1612,"You must deliver the ingredients to Sin to access the Beast.",1375,2615,2615,[]
123,127,128,2615,"",2615,2615,2615,[]
124,129,130,2615,"",2615,2615,2615,[]
125,130,131,2615,"",2615,2615,2615,[]
126,131,132,2615,"",2615,2615,2615,[]
127,132,133,2615,"",2615,2615,2615,[]
128,131,134,2615,"Kitava's Horns block the way.",2615,1666,1667,[]
129,134,135,2615,"",2615,2615,2615,[]
130,131,136,2615,"",2615,2615,2615,[]
131,131,137,2615,"",2615,2615,2615,[]
132,131,138,2615,"",2615,2615,2615,[]
