"rownum","Metadata","i32","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","i32","Script1","bool","bool","Script2","[i32]","i32","i32","i32","i32"
10,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",10,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,0,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
11,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",20,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,5,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
12,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",30,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,10,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
13,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",40,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,15,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
14,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",50,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,20,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
15,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",60,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,25,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
16,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",70,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,25,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
17,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",80,"[6893,6901]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,1,0,30,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
18,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",1,"[6887,6889,6891]",4,180,0,0,300,500,0,0,"",1,"","","",1,"","","","",4,4,15,0,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0
19,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",20,"[6887,6889,6891]",6,180,0,0,300,500,0,0,"",1,"","","",1,"","","","",6,6,15,0,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0
20,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",40,"[6887,6889,6891]",8,180,0,0,300,500,0,0,"",1,"","","",1,"","","","",8,8,20,0,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0
21,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_SafehouseChamp",1,"[6893,6901]",1,180,0,0,300,500,0,0,"",1,"","","",1,"","","","",1,1,0,20,"","","",1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"","[3,1]",0,0,0,0
22,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",1,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
23,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",10,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
24,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",20,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
25,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",30,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
26,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",40,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
27,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",50,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
28,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",60,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
29,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",70,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
30,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",80,"[6843,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,25,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
31,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",1,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
32,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",10,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
33,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",20,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
34,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",30,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
35,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",40,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
36,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",50,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
37,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",60,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
38,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",70,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
39,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",80,"[6842,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,25,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
40,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",1,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
41,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",10,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
42,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",20,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
43,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",30,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
44,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",40,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
45,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",50,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
46,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",60,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
47,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",70,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
48,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",80,"[6847,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,25,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
49,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",1,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
50,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",10,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
51,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",20,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
52,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",30,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
53,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",40,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
54,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",50,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
55,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",60,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
56,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",70,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
57,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",80,"[6901,6883]",3,500,0,0,8000,10000,0,0,"",1,"","","",1,"","","","",1,5,25,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
58,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",1,[6851],10,150,0,0,6000,8000,0,0,"",1,"","","",1,"","","","",1,10,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
59,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",10,[6851],10,150,0,0,5500,7500,0,0,"",1,"","","",1,"","","","",1,15,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
60,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",20,[6851],10,150,0,0,5000,7000,0,0,"",1,"","","",1,"","","","",1,15,10,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
61,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",30,[6851],10,150,0,0,4500,6500,0,0,"",1,"","","",1,"","","","",1,15,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
62,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",40,[6851],10,150,0,0,4000,6000,0,0,"",1,"","","",1,"","","","",1,18,15,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
63,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",50,[6851],10,150,0,0,3750,5750,0,0,"",1,"","","",1,"","","","",1,18,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
64,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",60,[6851],10,150,0,0,3500,5500,0,0,"",1,"","","",1,"","","","",1,18,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
65,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",70,[6851],10,150,0,0,3250,5250,0,0,"",1,"","","",1,"","","","",1,20,20,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
66,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",80,[6851],10,150,0,0,3000,5000,0,0,"",1,"","","",1,"","","","",1,20,25,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
67,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_2",1,"[6855,6858,6860,6862,6864,6868,6871,6873,6875,6877]",10,150,0,0,7000,9000,0,0,"",1,"","","",1,"","","","",1,10,0,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
68,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_2",10,"[6855,6858,6860,6862,6864,6868,6871,6873,6875,6877]",10,150,0,0,6500,8500,0,0,"",1,"","","",1,"","","","",1,15,5,0,"","","",1,"PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0
