"rownum","Id","Function","Arguments","TextAudio","Description","BuyAchievements","rid","DealFamily"
33,33,"remove_X_lowest_level_mods","1",12013,"Remove a single Modifier with the lowest Modifier level.",[8080],34,9
34,34,"remove_X_lowest_level_mods","2",12014,"Remove 2 Modifiers with the lowest Modifier levels.",[8080],34,9
35,35,"remove_X_lowest_level_mods","1",12013,"Remove a single Modifier with the lowest Modifier level.",[8080],34,9
36,36,"remove_X_lowest_level_mods","2",12014,"Remove 2 Modifiers with the lowest Modifier levels.",[8080],34,9
37,37,"add_mod_to_rare_highest_of_X","prefix 1",12015,"Add a Prefix Modifier.",[8081],34,10
38,38,"add_mod_to_rare_highest_of_X","prefix 3",12016,"Add a Prefix Modifier 3 times, but only keep the best outcome.",[8081],34,10
39,39,"add_mod_to_rare_highest_of_X","prefix 5",12016,"Add a Prefix Modifier 5 times, but only keep the best outcome.",[8081],34,10
40,40,"add_mod_to_rare_highest_of_X","suffix 1",12017,"Add a Suffix Modifier.",[8082],34,11
41,41,"add_mod_to_rare_highest_of_X","suffix 3",12018,"Add a Suffix Modifier 3 times, but only keep the best outcome.",[8082],34,11
42,42,"add_mod_to_rare_highest_of_X","suffix 5",12018,"Add a Suffix Modifier 5 times, but only keep the best outcome.",[8082],34,11
43,43,"fill_mods_on_rare","",12019,"Fill all empty Modifier slots.",[],34,12
44,44,"use_x_jeweller","10",12003,"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets",[8083],34,13
45,45,"use_x_jeweller","20",12003,"Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets",[8083],34,13
46,46,"use_x_jeweller","30",12003,"Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets",[8083],34,13
47,47,"use_x_jeweller","100",12003,"Reforge the number of sockets on an item 100 times, using the outcome with the greatest number of sockets",[8083],34,13
48,48,"use_x_fuse","10",12004,"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets",[8084],34,14
49,49,"use_x_fuse","20",12004,"Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets",[8084],34,14
50,50,"use_x_fuse","30",12004,"Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets",[8084],34,14
51,51,"use_x_fuse","100",12004,"Reforge the links between sockets on an item 100 times, using the outcome with the greatest number of linked sockets",[8084],34,14
52,52,"apply_random_incubator","",12020,"Apply a random Incubator to the item.",[8085],34,15
53,53,"add_random_quality_type","",12021,"Apply a random Quality type to the item.",[8086],34,16
54,54,"set_quality","20",12022,"Set quality on the item to 20%.",[8087],35,17
55,55,"apply_random_anointment","",12023,"Apply a random Anointment to the item.",[8088],34,18
56,56,"set_quality","20",12022,"Set quality on the item to 20%.",[8087],34,17
57,57,"use_x_vaal","10",12006,"Corrupt the item, with a high chance of receiving a Corrupted Implicit",[],34,19
58,58,"add_random_influence_to_type","Amulet Ring Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Quiver Belt Gloves Boots Body_Armour Helmet Shield Sceptre Rune_Dagger Warstaff",12007,"Add a random Influence type.",[],34,20
59,59,"remove_affixes_of_type","prefix",12007,"Remove all Prefix Modifiers.",[],34,21
60,60,"remove_affixes_of_type","suffix",12007,"Remove all Suffix Modifiers.",[],34,22
61,61,"remove_affixes_of_type","prefix",12007,"Remove all Prefix Modifiers.",[],34,21
62,62,"remove_affixes_of_type","suffix",12007,"Remove all Suffix Modifiers.",[],34,22
63,63,"reroll_affixes_highest_of_X","prefix count 1",12008,"Reroll Prefixes.",[8074],34,1
64,64,"reroll_affixes_highest_of_X","suffix count 1",12009,"Reroll Suffixes.",[8075],34,2
65,65,"add_mod_to_rare_highest_of_X","prefix 1",12015,"Add a Prefix Modifier.",[8081],34,10
66,66,"add_mod_to_rare_highest_of_X","suffix 1",12017,"Add a Suffix Modifier.",[8082],34,11
