"rownum","Id","QuestKey","QuestState","i32","RewardWindowTake","bool","bool","RewardWindowTitle"
94,"heist_quest_gianna1",136,2615,951,"","","",""
95,"heist_quest_gianna2",137,2615,952,"","","",""
96,"heist_quest_tullina1",138,2615,953,"","","",""
97,"heist_quest_tullina2_2",139,2615,954,"","","",""
98,"heist_quest_niles1",140,2615,955,"","","",""
99,"heist_quest_niles2",141,2615,956,"","","",""
100,"heist_quest_nenet1",142,2615,957,"","","",""
101,"heist_quest_nenet2",143,2615,958,"","","",""
102,"heist_quest_isla1",144,2615,959,"","","",""
103,"heist_quest_isla2",145,2615,960,"","","",""
104,"heist_quest_isla3",146,2615,961,"","","",""
105,"heist_quest_adiyah1",147,2615,962,"","","",""
106,"heist_quest_adiyah2",148,2615,963,"","","",""
107,"heist_quest_adiyah3",149,2615,964,"","","",""
108,"heist_quest_whakano1",150,2615,965,"","","",""
109,"heist_quest_whakano2",151,2615,966,"","","",""
110,"heist_quest_whakano3",152,2615,967,"","","",""
111,"heist_quest_faustus1",153,2615,968,"","","",""
112,"heist_quest_faustus2_2",154,2615,969,"","","",""
113,"heist_quest_faustus3",155,2615,970,"","","",""
114,"heist_quest_kurai1",156,2615,971,"","","",""
115,"heist_quest_kurai2",157,2615,972,"","","",""
116,"heist_quest_kurai3",158,2615,973,"","","",""
117,"hellscape_tutorial1",171,2615,1203,3853,"",1,3858
118,"voidstones",107,2615,1203,3855,1,1,3858
119,"maven",161,2615,1203,"","",1,""
120,"uberelder",162,2615,1203,"","",1,""
121,"tangle",163,2615,1203,"","",1,""
122,"cleansing_fire",164,2615,1203,"","",1,""
