"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","i32","i32","i32","bool","i32","[rid]","row","rid","bool","[rid]","[rid]","i32","i32","bool","rid","rid","bool","rid"
26,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],30,6401,0,0,0,"",1594034883,[],252,"","",[],[],-16843010,-16843010,"","","","",""
27,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],30,6657,0,0,0,"",1280989466,[],252,"","",[],[],-16843010,-16843010,"","","","",""
28,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],30,6913,0,0,0,"",216495198,[],252,"","",[],[],-16843010,-16843010,"","","","",""
29,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],30,7169,0,0,0,"",-1225932478,[],252,"","",[],[],-16843010,-16843010,"","","","",""
30,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],30,8961,0,0,0,"",2003183108,[],252,"","",[],[],-16843010,-16843010,"","","","",""
31,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],30,9217,0,0,0,"",1639118317,[],252,"","",[],[],-16843010,-16843010,"","","","",""
32,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,9473,0,0,0,"",-1778209926,[],252,"","",[],[],-16843010,-16843010,"","","","",""
33,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],30,9728,0,0,0,"",118945160,[],252,"","",[],[],-16843010,-16843010,"","","","",""
34,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,10241,0,0,0,"",1105850261,[],252,"","",[],[],-16843010,-16843010,"","","","",""
35,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,10496,0,0,0,"",-414791514,[],252,"","",[],[],-16843010,-16843010,"","","","",""
36,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,10753,0,0,0,"",-373756366,[],252,"","",[],[],-16843010,-16843010,"","","","",""
37,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,11009,0,0,0,"",770737543,[],252,"","",[],[],-16843010,-16843010,"","","","",""
38,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,11265,0,0,0,"",-350425493,[],252,"","",[],[],-16843010,-16843010,"","","","",""
39,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],30,11521,0,0,0,"",869188640,[],252,"","",[],[],-16843010,-16843010,"","","",1,""
40,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],30,11777,0,0,0,"",-1627937231,[],252,"","",[],[],-16843010,-16843010,"","","","",""
41,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,12033,0,0,0,"",1684876054,[],252,"","",[],[],-16843010,-16843010,"","","","",""
42,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],30,12288,0,0,0,"",-642231840,[],252,"","",[],[],-16843010,-16843010,"","","","",""
43,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,12544,0,0,0,"",1322399661,[],252,"","",[],[],-16843010,-16843010,"","","","",""
44,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,[],30,12800,0,0,0,"",-35579070,[],252,"","",[],[],-16843010,-16843010,"","","","",""
45,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,13056,0,0,0,"",1338342621,[],252,"","",[],[],-16843010,-16843010,"","","","",""
46,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,13312,0,0,0,"",952467265,[],252,"","",[],[],-16843010,-16843010,"","","","",""
47,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,13568,0,0,0,"",-758415450,[],252,"","",[],[],-16843010,-16843010,"","","","",""
48,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,13824,0,0,0,"",1432765449,[],252,"","",[],[],-16843010,-16843010,"","","","",""
49,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,14080,0,0,0,"",1575994632,[],252,"","",[],[],-16843010,-16843010,"","","","",""
50,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,14336,0,0,0,"",-1948343582,[],252,"","",[],[],-16843010,-16843010,"","","","",""
51,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,14592,0,0,0,"",-1964846163,[],252,"","",[],[],-16843010,-16843010,"","","","",""
52,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,14848,0,0,0,"",-1933705530,[],252,"","",[],[],-16843010,-16843010,"","","","",""
53,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,15104,0,0,0,"",-109051957,[],252,"","",[],[],-16843010,-16843010,"","","","",""
54,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,15360,0,0,0,"",-1263630474,[],252,"","",[],[],-16843010,-16843010,"","","","",""
55,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,15616,0,0,0,"",1368969315,[],252,"","",[],[],-16843010,-16843010,"","","","",""
56,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,15872,0,0,0,"",-913101815,[],252,"","",[],[],-16843010,-16843010,"","","","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,16128,0,0,0,"",-1371001890,[],252,"","",[],[],-16843010,-16843010,"","","","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,16384,0,0,0,"",358205216,[],252,"","",[],[],-16843010,-16843010,"","","","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,16640,0,0,0,"",2026013751,[],252,"","",[],[],-16843010,-16843010,"","","","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,16896,0,0,0,"",1664903587,[],252,"","",[],[],-16843010,-16843010,"","","","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,17152,0,0,0,"",-306946215,[],252,"","",[],[],-16843010,-16843010,"","","","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,17408,0,0,0,"",-768400989,[],252,"","",[],[],-16843010,-16843010,"","","","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,17664,0,0,0,"",243322328,[],252,"","",[],[],-16843010,-16843010,"","","","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,17920,0,0,0,"",2076808891,[],252,"","",[],[],-16843010,-16843010,"","","","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,18177,0,0,0,"",1150272452,[],252,"","",[],[],50,0,"","","","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,18432,0,0,0,"",1404182465,[],252,"","",[],[],-16843010,-16843010,"","","","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,18689,0,0,0,"",-117882756,[],252,"","",[],[],-16843010,-16843010,"","","","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,18944,0,0,0,"",-1736338822,[],252,"","",[],[],-16843010,-16843010,"","","","",""
69,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,19200,0,0,0,"",-404905148,[],252,"","",[],[],-16843010,-16843010,"","","","",""
70,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,19456,0,0,0,"",1738859609,[],252,"","",[],[],-16843010,-16843010,"","","","",""
71,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,19712,0,0,0,"",-1728487329,[],252,"","",[],[],-16843010,-16843010,"","","","",""
72,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],30,19968,0,0,0,"",2005344760,[],252,"","",[],[],-16843010,-16843010,"","","","",""
73,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],30,2643456,0,0,0,"",-1010710615,[],252,"","",[],[],-16843010,-16843010,"","","","",41
74,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],30,2643712,0,0,0,"",1794042691,[],252,"","",[],[],-16843010,-16843010,"","","","",41
75,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],30,2643968,0,0,0,"",-1926556014,[],252,"","",[],[],-16843010,-16843010,"","","","",41
76,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],30,2644224,0,0,0,"",1130285480,[],252,"","",[],[],-16843010,-16843010,"","","","",41
77,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],30,2644480,0,0,0,"",2062300730,[],252,"","",[],[],-16843010,-16843010,"","","","",41
78,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],30,2644736,0,0,0,"",-2071586625,[],252,"","",[],[],-16843010,-16843010,"","","","",41
79,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],30,2644992,0,0,0,"",1769493148,[],252,"","",[],[],-16843010,-16843010,"","","","",41
80,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],30,2645248,0,0,0,"",-777397213,[],252,"","",[],[],-16843010,-16843010,"","","","",41
81,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],30,2645504,0,0,0,"",1672586153,[],252,"","",[],[],-16843010,-16843010,"","","","",41
82,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],30,2645760,0,0,0,"",1828846209,[],252,"","",[],[],-16843010,-16843010,"","","","",41
83,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],30,2646016,0,0,0,"",-1245983058,[],252,"","",[],[],-16843010,-16843010,"","","","",41
84,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],30,2646272,0,0,0,"",-182539987,[],252,"","",[],[],-16843010,-16843010,"","","","",41
85,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],30,2646528,0,0,0,"",910335598,[],252,"","",[],[],-16843010,-16843010,"","","","",41
86,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],30,2646784,0,0,0,"",1591416724,[],252,"","",[],[],-16843010,-16843010,"","","","",41
87,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],30,2647040,0,0,0,"",1724552963,[],252,"","",[],[],-16843010,-16843010,"","","","",41
88,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],30,2647296,0,0,0,"",-1337235593,[],252,"","",[],[],-16843010,-16843010,"","","","",41
89,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],30,2647552,0,0,0,"",1334812465,[],252,"","",[],[],-16843010,-16843010,"","","","",41
90,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],30,2647808,0,0,0,"",-669856137,[],252,"","",[],[],-16843010,-16843010,"","","","",41
91,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],30,2648064,0,0,0,"",181619222,[],252,"","",[],[],-16843010,-16843010,"","","","",41
92,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],30,2648320,0,0,0,"",2059925248,[],252,"","",[],[],-16843010,-16843010,"","","","",41
93,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],30,2648576,0,0,0,"",-1356244188,[],252,"","",[],[],-16843010,-16843010,"","","","",41
94,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],30,2648832,0,0,0,"",1018082169,[],252,"","",[],[],-16843010,-16843010,"","","","",41
95,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],30,2649088,0,0,0,"",829889309,[],252,"","",[],[],-16843010,-16843010,"","","","",41
96,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],30,2649344,0,0,0,"",2051179612,[],252,"","",[],[],-16843010,-16843010,"","","","",41
97,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],30,2649600,0,0,0,"",-743698363,[],252,"","",[],[],-16843010,-16843010,"","","","",41
98,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],30,2649856,0,0,0,"",-205989316,[],252,"","",[],[],-16843010,-16843010,"","","","",41
99,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],30,2650112,0,0,0,"",-1738015661,[],252,"","",[],[],-16843010,-16843010,"","","","",41
100,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],30,2650368,0,0,0,"",1330507188,[],252,"","",[],[],-16843010,-16843010,"","","","",41
101,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],30,2650624,0,0,0,"",535092733,[],252,"","",[],[],-16843010,-16843010,"","","","",41
102,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],30,2650880,0,0,0,"",-267836319,[],252,"","",[],[],-16843010,-16843010,"","","","",41
103,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],30,2651136,0,0,0,"",-880120152,[],252,"","",[],[],-16843010,-16843010,"","","","",41
104,"Metadata/Items/Currency/CurrencyEssenceSorrow4",30,1,1,"Screaming Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],30,2651392,0,0,0,"",1066624914,[],252,"","",[],[],-16843010,-16843010,"","","","",41
105,"Metadata/Items/Currency/CurrencyEssenceSorrow5",30,1,1,"Shrieking Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],30,2651648,0,0,0,"",993214565,[],252,"","",[],[],-16843010,-16843010,"","","","",41
106,"Metadata/Items/Currency/CurrencyEssenceSorrow6",30,1,1,"Deafening Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],30,2651904,0,0,0,"",-558420537,[],252,"","",[],[],-16843010,-16843010,"","","","",41
