"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool","rid"
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1977],"",3,"","","","",21,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",21,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[354],[],0,"",""
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1981],"",3,"","","","",21,27,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1981],[],0,"",""
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1979],"",3,"","","","",21,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1979],[],0,"",""
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",21,699,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,"",""
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,21,36,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[482,447]",[],0,"",""
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2653,5,1,21,38,1,"",3,"",1,1,"",0,"","","","","",8459,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2652,4,1,21,39,1,"",3,"",1,1,"",0,"","","","","",8457,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2654,6,1,21,40,1,"",3,"",1,1,"",0,"","","","","",8461,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7267,6536,"",21,41,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7329,7328,1,21,42,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7349,7348,1,21,43,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9133,9134,1,21,44,1,"",3,"",1,1,"",0,"","DivineCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9693,9694,1,21,1072,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9792,9793,1,21,1080,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",21,46,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,26]",[],0,"",""
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1413,2868]",1,1,"","","","",21,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1413,2868]",[],256,"",""
38,"life_leech","You are leeching Life",1,"","Life Leech","[1412,2867]",1,1,"","","","",21,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1412,2867]",[],256,"",""
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1414,2869]",1,1,"","","","",21,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1414,2869]",[],256,"",""
40,"players_increased","More players are in the game.",1,"","Players Increased","[1939,370,3282]","",2,"","","",1,21,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1939,370,3282]",[],0,"",""
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",21,0,1,"",4,"",1,"",1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],[117],[],0,"",""
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",21,49,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[120],[],0,"",""
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[134],[],0,"",""
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",21,47,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,"",""
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[221],[],0,"",""
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,"",""
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3094],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3094],[],0,"",""
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3095],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3095],[],0,"",""
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[721],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[721],[],0,"",""
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[110],[],0,"",""
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",21,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[398],[],0,"",""
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",21,381,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4924],[],[],0,"",""
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",21,383,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4923],[],[],0,"",""
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",21,379,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4922],[],[],0,"",""
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",21,381,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4924],[],[],0,"",""
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",21,382,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4925],[],[],0,"",""
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",21,380,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[2641],[],[],0,"",""
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",21,384,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[14114],[],[],0,"",""
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",21,48,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[745],[],[],0,"",""
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",21,50,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1999],"",3,"","","",1,21,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1999],[],0,"",""
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,21,51,1,"",2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[453],[],0,"",""
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5824]",1,2,"","","","",21,52,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[177,314,635,5824]",[],0,"",""
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,21,54,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,21,55,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,21,59,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3245,9141,532]","",6,"","","",1,21,60,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[12459],"[3245,9141,532]",[719],0,"",""
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[141,621]","",6,"","","",1,21,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[141,621]",[719],0,"",""
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[144,536,207]","",6,"","","",1,21,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[144,536,207]",[719],0,"",""
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[146,535,206]","",6,"","","",1,21,65,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[146,535,206]",[719],0,"",""
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[148,533,205]","",6,"","","",1,21,67,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[148,533,205]",[719],0,"",""
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12394,12396,9745,9746,544,12600,477]","",6,"","","",1,21,69,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12394,12396,9745,9746,544,12600,477]",[719],0,"",""
73,"curse_punishment","","","","",[540],"",6,"","","",1,21,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],[540],[719],0,"",""
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9142]","",6,"","","",1,21,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[84,648,9142]",[719],0,"",""
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12401,9054,2437,2438,539,12599,477]","",6,"","","",1,21,74,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12401,9054,2437,2438,539,12599,477]",[719],0,"",""
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[12971,730,12989,12990,541]","",6,"","","",1,21,75,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12971,730,12989,12990,541]",[719],0,"",""
77,"curse_vulnerability","You are cursed. You take increased physical damage, ailments damage you faster, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5229,12403,7257]","",6,"","",7839,1,21,76,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[545,5229,12403,7257]","[719,7839]",0,"",""
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12397,12398,1035,2435,2436,2434,12601,477]","",6,"","","",1,21,78,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12397,12398,1035,2435,2436,2434,12601,477]",[719],0,"",""
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies. Overkill damage from the hit which kills you will be reflected to nearby targets.","","","Punishment","[12404,12405,12406]","",6,"","","",1,21,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[12575],[],"[12404,12405,12406,12575]",[719],0,"",""
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",21,82,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[123,133,116,119,30,31,83,568]",[],0,"",""
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",21,83,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",21,84,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",21,83,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",21,84,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",21,85,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,"",""
86,"monster_aura_large_physical_damage","Allies Deal Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",21,86,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,"",""
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",21,87,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,"",""
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",21,88,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[451],[],0,"",""
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",21,89,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,"",""
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",21,90,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,"",""
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",21,91,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,"",""
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",21,92,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[84,554]",[],0,"",""
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",21,93,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,"",""
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",21,93,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,"",""
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2566],1,3,"","","","",21,355,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[2566],[],0,"",""
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1981],1,3,"","","","",21,271,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1981],[],0,"",""
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",21,95,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[486],[],0,"",""
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",21,96,"","",2,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,"",""
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",21,97,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",21,98,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",21,99,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",21,100,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
103,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",21,101,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,"",""
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",21,102,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,"",""
105,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,21,104,1,"",2,"","","","",0,"","DominatingBlowDebuff","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
106,"immortal_call","You are invulnerable to Physical Damage.","",1,"Immortal Call",[716],1,2,"","","","",21,105,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[716],[],0,"",""
107,"vaal_immortal_call","You cannot die. You cannot gain Vaal souls.","",1,"Vaal Immortal Call","[398,7796]",1,2,"","","","",21,105,1,"",1,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[398,7796]",[],0,"",""
108,"mortal_call","You take less Physical and Elemental Damage.","",1,"Immortal Call","[9385,9386,12655,9387,9388]",1,2,"","",9857,"",21,105,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[9385,9386,12655,9387,9388]",[],0,"",""
109,"monty_haul","Drop testing","",1,"Treasure!","[151,153]",1,2,"","","",1,21,106,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[151,153]",[],0,"",""
110,"lightning_shield","You have additional chance to block spell damage, and are immune to shock.","",1,"Tempest Shield",[2358],1,2,"","","",1,21,107,1,"",1,"",1,1,"",0,"","TempestShieldBuff","","","","","",4,"",1,0,[],"","","","",[],[4925],[2358],[],0,"",""
111,"fire_shield","","",1,"Molten Shell","[116,12267]",1,2,"","","","",21,108,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12267]",[],0,"",""
112,"molten_shell_damage_absorption","You have additional Armour, and a percentage of damage from hits will be taken from this buff before your Life or Energy Shield.","",1,"Molten Shell",[],1,2,1,"",9857,"",21,108,1,"",1,"",1,1,"",0,"","DamageAbsorptionBuff","","","","","",4,"","",0,[],"","","","",[9531],[],[9531],[9534],0,"",""
113,"molten_shell_shield","",1,1,"","[116,12267]",1,2,"","","","",21,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12267]",[],0,"",""
