"rownum","Id","Name","rid","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool","bool"
61,"HiddenItem","Hidden Items","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
62,"DONOTUSE1","","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
63,"DONOTUSE2","","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
64,"DONOTUSE3","","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
65,"HeistContract","Contracts",47,42,"",[],[],"",1,"",2615,1203,"",1,"","","","","","","","",""
66,"HeistEquipmentWeapon","Heist Gear",47,43,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",""
67,"HeistEquipmentTool","Heist Tools",47,44,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",""
68,"HeistEquipmentUtility","Heist Cloaks",47,45,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",""
69,"HeistEquipmentReward","Heist Brooches",47,46,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",""
70,"HeistBlueprint","Blueprints",47,47,"",[],[],"",1,"",2615,1203,"",1,"","","","","","","","",""
71,"Trinket","Trinkets",25,48,"",[],[],"","","",2615,1203,"",1,1,"","","","","","","",""
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","",2615,1203,1,"","","","","","","","","",""
73,"ExpeditionLogbook","Expedition Logbooks",48,50,"",[],[],"","","",2615,1203,1,1,"","","","","","","","",""
74,"IncubatorStackable","Incubators",44,39,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
75,"ArchnemesisMod","Archnemesis Mod","","","",[],[],"",1,"",2615,1203,1,"","","","","","","","","",""
