"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool"
34,34,447,20,2011,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
35,35,470,26,2107,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
36,36,450,20,2050,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
37,37,451,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
38,38,452,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
39,39,467,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
40,40,472,26,2108,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
41,41,471,25,2107,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
42,42,494,20,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1
43,43,495,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
44,44,496,20,792,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
45,45,524,31,2384,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
46,46,494,40,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1
47,47,503,20,1744,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
48,48,509,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
49,49,516,20,"",0,"",1,"","",0,15,0,"",4,"","","",0,1,1,1,1
50,50,520,20,2378,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
51,51,521,20,2380,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
52,52,522,20,2379,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
53,53,525,31,2413,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
54,54,526,31,2414,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
55,55,543,40,2434,0,"","","","",0,15,50,"",4,"","","",0,1,1,1,1
56,56,545,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
57,57,546,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
58,58,548,31,2444,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
59,59,566,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
60,60,569,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
61,61,576,31,2522,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
62,62,573,31,"",0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
63,63,589,20,2590,20,1,1,"","",0,8,0,"",2,"","","",0,1,1,1,1
64,64,590,20,2582,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
65,65,600,20,2707,50,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
66,66,599,20,"",0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
67,67,602,20,2633,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
68,68,604,20,2634,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
69,69,610,26,"",0,"","","","",0,0,0,"",4,"","","",0,1,1,1,1
70,70,637,24,2773,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
71,71,644,24,2773,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
72,72,648,20,2802,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
73,73,649,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
74,74,650,24,2821,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
75,75,651,24,2822,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
76,76,655,20,2840,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1
77,77,659,20,2917,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
78,78,550,31,2941,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
79,79,671,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
80,80,677,20,3125,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1
81,81,573,20,2840,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
82,82,676,20,3188,25,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
83,83,683,20,3153,0,1,"","","",0,18,0,"",4,"","","",0,1,1,1,1
84,84,700,20,3208,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
85,85,698,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
86,86,716,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
87,87,717,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
88,88,720,20,3284,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
89,89,552,31,3021,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
90,90,404,20,1790,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
91,91,739,20,3438,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
92,92,740,20,"",25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
93,93,743,20,2582,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
94,94,745,20,551,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
95,95,755,20,1789,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
96,96,739,20,3438,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
97,97,554,31,3481,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
98,98,89,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
99,99,765,20,2582,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
100,100,766,24,2633,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
101,101,768,20,3518,0,"","","","",0,9,0,"",4,"","","",0,1,1,1,1
102,102,771,26,3530,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
103,103,277,28,1192,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
104,104,267,28,1374,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
105,105,799,20,3600,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
106,106,805,20,3611,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
107,107,806,20,3612,20,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
108,108,780,28,3584,0,"","","","",0,13,0,"",4,"","","",0,1,1,1,1
109,109,817,20,3676,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
110,110,821,20,3664,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
111,111,823,20,1455,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
112,112,825,20,3696,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
113,113,848,20,3784,0,1,"","","",4,20,0,"",4,"","","",0,1,1,1,1
114,114,849,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
115,115,852,31,3817,0,"","",1,"",0,10,-50,"",4,"","","",0,1,1,1,1
116,116,861,20,"",0,1,"","","",0,10,400,"",4,"","","",0,1,1,1,1
117,117,860,20,"",10,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
118,118,851,20,3886,0,1,"","","",0,10,-50,"",4,"","","",0,1,1,1,1
119,119,862,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
120,120,859,20,"",0,"","",1,"",0,3,0,1,4,"","","",0,1,1,1,1
121,121,863,31,3895,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
122,122,870,31,3954,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
123,123,875,31,4032,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
124,124,877,20,4176,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
125,125,878,20,4055,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
126,126,880,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1
127,127,881,20,4058,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
128,128,882,20,4059,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
129,129,885,20,4086,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
130,130,886,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
131,131,890,20,4157,0,1,1,1,"",0,7,100,1,4,"","","",0,1,1,1,1
132,132,891,29,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
133,133,895,20,4359,0,1,"","","",0,15,0,"",3,"","","",0,1,1,1,1
134,134,903,20,"",0,"",1,1,"",0,5,0,"",4,"","","",0,1,1,1,1
135,135,910,20,"",0,1,1,1,"",0,5,0,"",4,"","","",0,1,1,1,1
136,136,911,20,4243,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
137,137,900,20,4191,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
138,138,931,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1
139,139,1034,20,5110,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
140,140,934,20,3797,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
141,141,935,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
142,142,936,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
143,143,937,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
144,144,945,31,4506,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
145,145,948,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1
146,146,950,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
147,147,951,20,"",0,"","","","",0,20,0,"",4,"","","",0,1,1,1,1
148,148,957,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
149,149,958,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
150,150,947,20,4700,0,1,1,"","",0,15,50,"",4,"","","",0,1,1,1,1
151,151,961,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
152,152,968,20,4661,0,"","","","",0,15,300,"",4,"","","",0,1,1,1,1
153,153,971,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1
154,154,975,20,4744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
155,155,979,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
156,156,986,20,4696,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
157,157,976,20,4745,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
158,158,977,20,4746,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
159,159,978,20,4747,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
160,160,980,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
161,161,981,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
162,162,982,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
163,163,998,20,4778,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
164,164,1000,20,4858,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
165,165,1001,20,4886,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1
166,166,1002,20,4887,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,1
167,167,1007,24,4932,0,"","","","",0,26,67,"",4,"","","",0,1,1,1,1
168,168,1009,20,4937,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
169,169,1011,20,4938,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
170,170,1010,20,4943,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
171,171,1016,20,451,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
172,172,1017,20,4970,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1
173,173,1020,31,5009,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1
174,174,1033,20,1362,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1
175,175,1048,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1
176,176,1049,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1
177,177,1060,20,5426,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1
178,178,1061,20,5427,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1
179,179,1062,20,5428,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1
180,180,1065,20,5447,0,1,"","","",0,5,0,"",4,"","","",0,1,1,1,1
181,181,678,20,5620,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1
182,182,679,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1
183,183,904,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1
184,184,905,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1
185,185,906,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1
186,186,907,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1
187,187,908,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1
188,188,1102,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1
189,189,1120,20,"",0,1,1,1,"",0,6,0,1,4,"","","",0,1,1,1,1
190,190,1132,20,5969,10,"","","","",0,7,0,"",4,"","","",0,1,1,1,1
191,191,1133,20,5970,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1
192,192,1134,20,5971,10,"","","","",0,23,0,"",4,"","","",0,1,1,1,1
193,193,1136,20,5981,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1
194,194,1137,20,5982,0,1,"","","",0,12,0,"",4,1,"","",0,1,1,1,1
195,195,1145,20,6099,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1
196,196,1135,20,"",0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1
197,197,1154,20,6169,0,"","","","",0,11,0,"",4,"",1,6204,7,0.7,0.7,1.1,1
198,198,1155,20,6200,0,"","","","",0,10,30,"",4,"","","",0,1,1,1,1
199,199,1156,20,6203,0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1
200,200,1164,20,6299,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,""
201,201,1166,20,6322,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1
