"rownum","Id","[i32]","[i32]","VolumePercentage","i32","i32","i32","i32"
88,"Niko5_2","[83970,0,84046,0,84122,0,84198,0,84274]",[],100,2615,2615,27,1203
89,"JunOrtoi1","[84748,0,84830,0,84912,0,84994,0,85076,0,85158,0,85240,0,85322]",[],100,2615,2615,1203,1203
90,"JunOrtoi2","[86120,0,86202,0,86284,0,86366,0,86448,0,86530,0,86612,0,86694]",[],100,2615,2615,1203,1203
91,"Cavas1","[87486,0,87562,0,87638]",[],100,2615,2615,1203,1203
92,"Cavas2","[87922,0,87998,0]",[],100,2615,2615,1203,1203
93,"Cassia1","[88276,0,88358,0,88440,0,88522,0,88604,0,88686,0,88768,0,88850]",[],100,2615,2615,1203,1203
94,"Cassia2","[89644,0,89726,0,89808,0,89890,0,89972,0,90054,0,90136,0,90218]",[],100,2615,2615,1203,1203
95,"Tane1","[91008,0,91082]",[],100,2615,2615,1203,1203
96,"Tane2","[91268,0,91342]",[],100,2615,2615,1203,1203
97,"Kirac1","[91530,0,91608,0,91686,0,91764,0,91842,0]",[],100,2615,2615,1203,1203
98,"Kirac2","[92406,0,92484,0,92562,0]",[],100,2615,2615,1203,1203
99,"Adiyah1","[92940,0,93030,0,93120,0,93210,0,93300,0,93390,0,93480,0,93570]",[],100,2615,2615,1203,1203
100,"Adiyah2","[94428,0,94518,0,94608,0,94698,0,94788,0,94878,0,94968,0,95058]",[],100,2615,2615,1203,1203
101,"Kurai1","[95914,0,96004,0,96094,0,96184,0,96274,0,96364,0,96454,0,96544]",[],100,2615,2615,1203,1203
102,"Kurai2","[97400,0,97490,0,97580,0,97670,0,97760,0,97850,0,97940,0,98030]",[],100,2615,2615,1203,1203
103,"Tullina1","[98890,0,98986,0,99082,0,99178,0,99274,0,99370,0,99466,0,99562]",[],100,2615,2615,1203,1203
104,"Tullina2","[100470,0,100564,0,100658,0,100752,0,100846,0,100940,0,101034,0]",[],100,2615,2615,1203,1203
105,"Tibbs1","[101914,0,101996,0,102078,0,102160,0,102242,0]",[],100,2615,2615,1203,1203
106,"Tibbs2","[102830,0,102912,0,102994,0,103076,0,103158,0]",[],100,2615,2615,1203,1203
107,"Karst1","[103746,0,103834,0,103922,0,104010,0,104098,0,104186,0,104274,0,104362]",[],100,2615,2615,1203,1203
108,"Karst2","[105202,0,105290,0,105378,0,105466,0,105554,0,105642,0,105730,0,105818]",[],100,2615,2615,1203,1203
109,"Isla1","[106656,0,106742,0,106828,0,106914,0,107000,0,107086,0,107172,0,107258,0]",[],100,2615,2615,1203,1203
110,"Isla2","[108174,0,108260,0,108346,0,108432,0,108518,0,108604,0,108690,0,108776]",[],100,2615,2615,1203,1203
111,"Whakano1","[109604,0,109700,0,109796,0,109892,0,109988,0,110084,0,110180,0,110276]",[],100,2615,2615,1203,1203
112,"Whakano2","[111184,0,111280,0,111376,0,111472,0,111568,0,111664,0,111760,0,111856]",[],100,2615,2615,1203,1203
113,"Gianna1","[112762,0,112860,0,112958,0,113056,0,113154,0,113252,0,113350,0,113448,0]",[],100,2615,2615,1203,1203
114,"Gianna2","[114476,0,114574,0,114672,0,114770,0,114868,0,114966,0,115064,0,115162]",[],100,2615,2615,1203,1203
115,"Nenet1","[116082,0,116178,0,116274,0,116370,0,116466,0,116562,0,116658,0,116754]",[],100,2615,2615,1203,1203
116,"Nenet2","[117658,0,117754,0,117850,0,117946,0,118042,0,118138,0]",[],100,2615,2615,1203,1203
117,"Vinderi1","[118926,0,119028,0,119130,0,119232,0,119334,0,119436,0,119538,0,119640]",[],100,2615,2615,1203,1203
118,"Vinderi2","[120596,0,120698,0,120800,0,120902,0,121004,0,121106,0,121208,0,121310]",[],100,2615,2615,1203,1203
119,"Huck1","[122260,0,122350,0,122440,0,122530,0,122620,0,122710,0,122800,0,122890]",[],100,2615,2615,1203,1203
120,"Huck2","[123744,0,123834,0,123924,0,124014,0,124104,0,124194,0,124284,0,124374]",[],100,2615,2615,1203,1203
121,"Niles1","[125230,0,125324,0,125418,0,125512,0,125606,0,125700,0,125794,0,125888]",[],100,2615,2615,1203,1203
122,"Niles2","[126776,0,126870,0,126964,0,127058,0,127152,0,127246,0,127340,0,127434]",[],100,2615,2615,1203,1203
123,"Faustus1","[128326,0,128428,0,128530,0,128632,0,128734,0,128836,0,128938]",[],100,2615,2615,1203,1203
124,"Faustus2","[129776,0,129878,0,129980,0,130082,0,130184,0,130286,0,130388,0]",[],100,2615,2615,1203,1203
125,"WhakanoReveal","[131346,0,131436,0]",[],100,2615,2615,1203,1203
126,"WhakanoContract","[131772,0,131862,0]",[],100,2615,2615,1203,1203
127,"FaustusSell","[132190,0,132280,0,132370,0,132460,0,132550,0,132640,0,132730,0]",[],100,2615,2615,1203,1203
128,"Envoy1","[133578,0,133674,0,133770,0,133866,0,133962,0,134058,0,134154,0,134250]",[],100,2615,2615,1203,1203
129,"Envoy2","[135154,0,135250,0,135346,0,135442,0,135538,0,135634,0,135730,0]",[],100,2615,2615,1203,1203
130,"Oshabi1","[136628,0,136714,0,136800,0,136886,0,136972,0,137058,0]",[],100,2615,2615,1203,1203
131,"Oshabi2","[137774,0,137860,0,137946,0,138032,0,138118,0,138204,0,138290,0,138376]",[],100,2615,2615,1203,1203
132,"EnvoyMaven1","[139210,0]",[],100,2615,2615,1203,1203
133,"EnvoyMaven2","[139444,0,139540]",[],100,2615,2615,1203,1203
134,"Trialmaster1","[139784,0,139880,0,139976,0,140072,0,140168,0,140264,0]",[],100,2615,2615,1203,1203
135,"Trialmaster2",[141060],[],100,2615,2615,1203,1099
136,"Trialmaster3","[141188,0,141284,0,141380,0,141476,0,141572,0,141668,0]",[],100,2615,2615,1099,1203
137,"Dannig1","[142454,0,142548,0,142642,0,142736,0,142830,0,142924,0]",[],100,2615,2615,1203,1203
138,"Dannig2","[143696,0,143790,0,143884,0,143978,0,144072,0,144166,0]",[],100,2615,2615,1203,1203
139,"DannigNoHail","[144948,0,145042,0,145136,0,145230,0,145324]",[],100,2615,2615,1203,1203
140,"Rog1","[145878,0,145960,0,146042,0,146124,0,146206,0,146288,0]",[],100,2615,2615,1203,1203
141,"Rog2","[146970,0,147052,0,147134,0,147216,0]",[],100,2615,2615,1203,1203
142,"Rog3","[147702,0,147784,0,147866,0,147948,0,148030]",[],100,2615,2615,1203,1203
143,"Tujen1","[148528,0,148618,0,148708,0,148798,0,148888,0,148978]",[],100,2615,2615,1203,1203
144,"Tujen2","[149622,0,149712,0,149802,0,149892,0,149982,0,150072,0]",[],100,2615,2615,1203,1203
145,"Gwennen1","[150818,0,150916,0,151014,0,151112,0,151210,0,151308,0]",[],100,2615,2615,1203,1203
146,"Gwennen2","[152110,0,152208,0,152306,0,152404,0]",[],100,2615,2490,1203,1203
147,"Gwennen3",[152978],[],100,2490,2615,1203,1154
148,"Gwennen4",[153102],[],100,2490,2615,1154,1203
149,"TheLastToDie1","[153234,0,153356,0,153478,0,153600,0,153722]",[],100,2615,2615,1203,1203
150,"TheLastToDie2","[154434,0,154560,0,154686,0,154812,0]",[],100,2615,2615,1203,1203
151,"TheLastToDie3",[155536],[],100,2615,2615,1203,1203
152,"Lilly1GodslayerGreetings","[155702,0,155812,0,155922,0]",[],100,2615,2615,1203,1203
153,"Lilly2GoodTidingsGreetings","[156466,0,156576]",[],100,2615,2615,1203,1203
154,"Lilly3Farewells","[156854,0,156958,0]",[],100,2615,2615,1203,1203
