"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","bool","i32"
51,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",218,591,265,52,1,1,1,0
52,"Metadata/Items/Currency/CurrencyRemoveModShard",209,196,265,53,1,1,1,0
53,"Metadata/Items/Currency/CurrencyRemoveMod",202,197,180,54,1,1,1,0
54,"Metadata/Items/Currency/CurrencyRerollMapType",204,845,365,55,1,1,1,0
55,"Metadata/Items/Currency/CurrencyRerollMapTypeShard",211,845,450,56,1,1,1,0
56,"Metadata/Items/Currency/CurrencyUpgradeMapTier",205,760,365,57,1,1,1,0
57,"Metadata/Items/Currency/CurrencyRerollUnique",208,111,450,58,1,1,1,0
58,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",203,196,450,59,1,1,1,0
59,"Metadata/Items/Currency/CurrencyStrongboxQuality",206,281,450,60,1,1,1,0
60,"Metadata/Items/AtlasExiles/ApplyInfluence",8490,725,335,61,1,1,1,1
61,"Metadata/Items/Currency/CurrencyRerollUniqueShard",214,111,534,62,1,1,1,0
62,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard",210,196,534,63,1,1,1,0
63,"Metadata/Items/Currency/CurrencyUpgradeMapTierShard",212,760,450,64,1,1,1,0
64,"Metadata/Items/Currency/CurrencyStrongboxQualityShard",213,281,534,65,1,1,1,0
65,"Metadata/Items/AtlasExiles/AddModToRareCrusader",8486,725,156,66,1,1,1,1
66,"Metadata/Items/AtlasExiles/AddModToRareRedeemer",8487,633,245,67,1,1,1,1
67,"Metadata/Items/AtlasExiles/AddModToRareHunter",8488,633,156,68,1,1,1,1
68,"Metadata/Items/AtlasExiles/AddModToRareWarlord",8489,725,245,69,1,1,1,1
69,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",9,676,450,70,1,1,1,0
70,"Metadata/Items/Currency/CurrencyUpgradeInfluenceMod",8686,633,335,71,1,1,1,1
71,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",181,676,367,72,1,1,1,0
72,"Metadata/Items/Currency/CurrencyEnkindlingOrb",8776,27,450,73,1,1,1,0
73,"Metadata/Items/Currency/CurrencyInstillingOrb",8777,27,534,74,1,1,1,0
74,"Metadata/Items/Currency/CurrencyRerollRareVeiled",3,845,180,75,1,1,1,0
75,"Metadata/Items/Currency/CurrencyRerollDefences",24,676,534,76,1,1,1,0
76,"Metadata/Items/Currency/CurrencyCleansingFireOrb1",299,146,334,77,1,1,1,1
77,"Metadata/Items/Currency/CurrencyCleansingFireOrb2",300,239,334,78,1,1,1,1
78,"Metadata/Items/Currency/CurrencyCleansingFireOrb3",301,146,425,79,1,1,1,1
79,"Metadata/Items/Currency/CurrencyCleansingFireOrb4",302,239,425,80,1,1,1,1
80,"Metadata/Items/Currency/CurrencyGreatTangleOrb1",303,146,156,81,1,1,1,1
81,"Metadata/Items/Currency/CurrencyGreatTangleOrb2",304,239,156,82,1,1,1,1
82,"Metadata/Items/Currency/CurrencyGreatTangleOrb3",305,146,244,83,1,1,1,1
83,"Metadata/Items/Currency/CurrencyGreatTangleOrb4",306,239,244,84,1,1,1,1
84,"Metadata/Items/Currency/CurrencyConflictOrb",307,192,543,85,1,1,1,1
85,"Metadata/Items/Currency/CurrencyEldritchRerollRare",9229,633,454,86,1,1,1,1
86,"Metadata/Items/Currency/CurrencyEldritchAddModToRare",9230,678,544,87,1,1,1,1
87,"Metadata/Items/Currency/CurrencyEldritchRemoveMod",9231,722,454,88,1,1,1,1
