"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","bool","i32","i32","bool"
13,14,6,24,100,20,-90,4541,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
14,15,6,24,100,-20,90,4541,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
15,16,6,24,100,-20,90,4541,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
16,17,4,20,60,40,-45,4536,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
17,18,4,20,60,60,-45,4536,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
18,19,5,24,100,30,-45,4541,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
19,20,5,24,100,30,-45,4541,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
20,21,6,24,100,50,-45,4541,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
21,22,6,24,100,50,-45,4541,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
22,23,7,24,100,70,-45,4541,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
23,24,7,24,100,70,-45,4541,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
24,25,3,20,60,-30,90,4536,0,20,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
25,26,1,20,80,10,0,5697,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,0,""
26,27,1,1,8,0,0,4537,0,0,0,0,0,0,40,0,0,"",1,"",0,0,0,0,0,3,"","",4,1,"",0,0,""
27,28,2,50,120,0,0,4544,270,62,0,0,0,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
28,29,2,50,120,0,0,4544,270,62,0,0,90,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
29,30,2,50,120,0,0,4544,270,62,0,0,180,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
30,31,2,50,120,0,0,4544,270,62,0,0,270,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
31,32,1,25,50,0,0,4546,0,0,0,0,0,0,80,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
32,33,6,25,75,-30,0,4538,0,0,12,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
33,34,2,90,60,10,0,4571,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,1,1,"",2,1,"",0,0,""
34,35,1,60,100,0,0,5697,0,-15,0,0,0,543,0,20,0,1,"","",0,0,0,0,0,1,"","",2,1,"",0,0,""
35,36,8,50,100,20,90,4545,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",3,1,"",0,0,""
36,37,1,50,100,0,0,"",0,0,0,0,0,0,0,0,0,1,"","",0,0,0,0,0,1,"","Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveProtoVaalCityBossBomber",2,1,"",0,0,""
37,39,3,35,70,0,30,6836,30,0,0,0,-60,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
38,40,1,60,100,0,0,6828,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
39,41,1,36,52,-15,15,7211,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
40,42,1,36,52,15,-15,7212,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
41,43,1,30,20,20,-90,7213,0,-30,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0,0,""
42,44,1,30,20,-20,90,7214,0,-45,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0,0,""
43,45,1,30,20,20,-90,7215,0,-60,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0,0,""
44,46,1,30,20,-20,90,7216,0,-75,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0,0,""
45,47,1,100,30,0,0,7219,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
46,48,4,30,100,0,0,7542,25,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,0,""
47,49,8,100,60,0,-45,7343,45,0,0,0,0,0,0,0,0,"",1,"",0,0,0,0,0,1,"","",2,1,"",0,0,""
48,50,5,50,100,0,0,7610,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
49,51,5,50,100,0,0,4572,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
50,52,5,50,100,0,0,4575,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
51,53,1,20,50,0,90,7758,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,1,"",3,1,"",0,0,""
52,54,1,20,50,0,-90,7759,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,1,"",3,1,"",0,0,""
53,55,1,30,100,0,0,4575,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
54,56,5,40,25,0,0,4573,72,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
55,57,6,40,25,0,0,4574,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
56,58,5,69,75,0,0,8000,72,-25,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,0,""
57,59,1,42,50,0,0,8000,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
58,60,1,50,50,0,-90,4576,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
59,61,1,50,50,0,90,4576,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
60,62,1,15,120,0,0,8064,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,1,0,0,""
61,63,1,20,200,0,0,4547,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
62,64,1,40,70,0,0,4548,0,0,0,0,0,0,0,10,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
63,65,4,15,60,0,-90,8133,0,-30,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
64,66,4,15,60,0,90,8134,0,-40,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
65,67,1,30,150,0,0,8143,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
66,68,1,20,70,0,0,8065,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,"",0,0,""
67,69,2,20,70,0,0,8065,180,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,"",0,0,""
68,70,1,200,20,30,-90,8082,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
69,71,1,200,20,-30,90,8083,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0,0,""
70,72,1,200,17,27,-90,8082,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,1,0,""
71,73,1,200,17,-27,90,8083,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,1,0,""
72,74,1,200,20,30,-90,8082,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,2,0,""
73,75,1,200,20,-30,90,8083,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,2,0,""
74,76,1,200,22,32,-90,8082,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,3,0,""
75,77,1,200,22,-32,90,8083,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,3,0,""
76,78,1,200,20,30,-90,8082,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,4,0,""
77,79,1,200,20,-30,90,8083,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,4,0,""
78,80,1,40,100,30,180,8344,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
79,81,1,40,100,20,180,8345,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
80,82,1,40,100,10,180,8346,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
81,83,1,40,100,-10,0,8347,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
82,84,1,40,100,-20,0,8348,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
83,85,1,40,100,-30,0,8349,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
84,86,2,48,99,45,-90,4577,0,0,-90,0,0,1000,0,0,0,"","","",180,0,0,0,0,2,"","",4,1,"",0,0,""
85,87,3,48,99,-45,60,4577,0,20,45,0,0,1000,0,0,0,"","","",-60,0,0,0,0,2,"","",4,1,"",0,0,""
86,88,4,48,99,45,-90,4577,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
87,89,1,40,200,0,0,8689,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,"","",0,0,""
