"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
46,"47",124.5,2150,124,1575,4854,559,5163,2,125.77,1243,124.5,124.5,1312,3158,1575
47,"48",131.49,2239,129,1685,5086,590,5621,2,132.75,1339,131.49,131.49,1414,3290,1685
48,"49",138.83,2331,135,1802,5318,622,6118,2,140.09,1443,138.83,138.83,1523,3427,1802
49,"50",146.53,2426,140,1927,5561,656,6656,2,147.79,1554,146.53,146.53,1640,3568,1927
50,"51",154.63,2524,146,2059,5808,692,7238,2,155.88,1673,154.63,154.63,1766,3714,2059
51,"52",163.14,2626,152,2200,6064,730,7869,2,164.38,1800,163.14,163.14,1900,3864,2200
52,"53",172.07,2730,159,2350,6324,769,8552,2,173.3,1937,172.07,172.07,2044,4019,2350
53,"54",181.45,2837,165,2509,6585,810,9290,2,182.66,2083,181.45,181.45,2199,4179,2509
54,"55",191.3,2948,172,2678,6859,853,10090,2,192.49,2240,191.3,191.3,2364,4343,2678
55,"56",201.63,3063,179,2858,7134,899,10955,2,202.81,2408,201.63,201.63,2541,4513,2858
56,"57",212.48,3180,187,3050,7413,946,11890,2,213.63,2587,212.48,212.48,2731,4688,3050
57,"58",223.87,3302,195,3253,7703,996,12902,2,225,2780,223.87,223.87,2934,4868,3253
58,"59",235.83,3427,203,3469,7996,1048,13996,2,236.92,2986,235.83,235.83,3151,5054,3469
59,"60",248.37,3556,211,3698,8265,1102,15178,2,249.42,3206,248.37,248.37,3384,5246,3698
60,"61",261.53,3689,220,3942,8525,1159,16457,2,262.54,3442,261.53,261.53,3633,5444,3942
61,"62",275.33,3826,229,4201,8781,1219,17838,2,276.3,3694,275.33,275.33,3900,5647,4201
62,"63",289.82,3967,238,4476,9032,1281,19330,2,290.74,3963,289.82,289.82,4185,5857,4476
63,"64",305.01,4112,247,4768,9283,1346,20943,2,305.87,4252,305.01,305.01,4490,6073,4768
64,"65",320.94,4262,257,5078,9532,1415,22685,2,321.75,4560,320.94,320.94,4816,6295,5078
65,"66",337.65,4416,268,5407,9773,1486,24566,2,338.39,4890,337.65,337.65,5165,6525,5407
66,"67",355.18,4575,279,5756,10014,1561,26597,2,355.84,5243,355.18,355.18,5539,6761,5756
67,"68",373.55,4739,290,6127,10255,1640,28790,3,374.13,5620,373.55,373.55,5938,7004,6127
68,"69",392.81,4907,301,6520,10487,1722,31158,3,393.31,6022,392.81,392.81,6364,7255,6520
69,"70",413.01,5081,314,6937,10720,1807,33714,3,413.41,6453,413.01,413.01,6820,7513,6937
70,"71",434.18,5260,326,7380,10949,1897,36473,3,434.47,6913,434.18,434.18,7308,7779,7380
71,"72",456.37,5444,339,7850,11170,1991,39449,3,456.55,7404,456.37,456.37,7829,8052,7850
72,"73",479.62,5633,352,8348,11388,2089,42661,3,479.69,7929,479.62,479.62,8386,8334,8348
73,"74",504,5828,366,8876,11601,2192,46127,3,503.93,8490,504,504,8980,8624,8876
74,"75",529.54,6029,381,9436,11804,2299,49865,3,529.33,9089,529.54,529.54,9616,8922,9436
75,"76",556.3,6235,396,10030,12004,2411,53896,3,555.94,9729,556.3,556.3,10295,9230,10030
76,"77",584.35,6448,412,10660,12192,2528,58245,3,583.82,10412,584.35,584.35,11020,9546,10660
77,"78",613.73,6667,428,11328,12377,2651,62934,3,613.03,11141,613.73,613.73,11795,9872,11328
78,"79",644.5,6892,444,12036,12549,2779,67990,3,643.62,11920,644.5,644.5,12622,10207,12036
79,"80",676.75,7124,462,12787,12712,2913,73441,3,675.66,12751,676.75,676.75,13506,10552,12787
80,"81",710.52,7362,480,13582,12863,3053,79317,3,709.22,13638,710.52,710.52,14449,10907,13582
81,"82",745.89,7608,499,14425,13006,3199,85651,3,744.36,14585,745.89,745.89,15456,11272,14425
82,"83",782.94,7860,518,15319,13132,3352,92477,3,781.16,15596,782.94,782.94,16531,11648,15319
83,"84",821.73,8120,538,16265,13250,3511,99834,3,819.69,16675,821.73,821.73,17679,12035,16265
84,"85",862.36,8388,559,17268,13352,3678,107762,3,860.04,17825,862.36,862.36,18904,12433,17268
85,"86",904.9,8663,580,18331,13440,3853,116303,3,902.28,19053,904.9,904.9,20211,12842,18331
86,"87",949.44,8946,603,19457,13512,4035,125506,3,946.5,20363,949.44,949.44,21607,13263,19457
87,"88",996.07,9237,626,20649,13569,4225,135420,3,992.79,21760,996.07,996.07,23096,13696,20649
88,"89",1044.89,9536,650,21913,13609,4424,146098,3,1041.25,23250,1044.89,1044.89,24684,14142,21913
89,"90",1096,9844,675,23250,13633,4631,157600,3,1091.98,24840,1096,1096,26380,14600,23250
90,"91",1149.5,10160,701,24667,13639,4848,169987,3,1145.0699,26535,1149.5,1149.5,28188,15072,24667
91,"92",1205.5,10486,728,26168,13627,5074,183326,3,1200.63,28343,1205.5,1205.5,30117,15557,26168
92,"93",1264.11,10821,755,27756,13598,5310,197690,3,1258.78,30270,1264.11,1264.11,32175,16055,27756
93,"94",1325.45,11165,784,29438,13549,5557,213156,3,1319.63,32326,1325.45,1325.45,34370,16568,29438
94,"95",1389.64,11519,814,31220,13483,5815,229806,3,1383.3,34517,1389.64,1389.64,36711,17096,31220
95,"96",1456.8199,11883,845,33105,13396,6084,247731,3,1449.9301,36853,1456.8199,1456.8199,39207,17638,33105
96,"97",1527.12,12258,877,35101,13293,6364,267026,3,1519.65,39343,1527.12,1527.12,41870,18195,35101
97,"98",1600.6801,12643,910,37214,13170,6658,287795,3,1592.58,41997,1600.6801,1600.6801,44708,18769,37214
98,"99",1677.64,13038,945,39450,13029,6964,310148,3,1668.89,44826,1677.64,1677.64,47735,19358,39450
99,"100",1758.17,13445,980,41817,0,7283,334204,3,1748.72,47841,1758.17,1758.17,50962,19964,41817
