"rownum","Id","SoundFile","BankFile","i32","IsAvailableInHideout","Name","string","MusicCategories"
15,"Act1_PrisonersGate","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",7828,1,"Prisoner's Gate","",[2]
16,"Act1_DarkBeach","Audio/Music/Act1_DarkBeach/Act1_DarkBeach.ogg","Music2.bank",6754,1,"Ship Graveyard","",[2]
17,"Act1_CaveVocal","Audio/Music/Act1_Cave/Act1_CaveVocal.ogg","Music1.bank",19601,1,"Merveil's Caverns","",[2]
18,"Act1_BossFight","Audio/Music/Act1_Bossfight/Act1_Bossfight.ogg","Music3.bank",42558,1,"Merveil","","[2,0]"
19,"Act2_SouthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",14718,1,"Southern Forest","",[3]
20,"Act2_Encampment","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",38510,1,"Forest Encampment","","[3,1]"
21,"Act2_DryForest","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",605,1,"Old Fields","",[3]
22,"Act2_Cave","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",44190,1,"Den","",[3]
23,"Act2_Crossroads","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",3642,1,"Crossroads","",[3]
24,"Act2_DarkForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",18478,1,"Fellshrine Ruins","",[3]
25,"Act2_ChurchDungeon","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",54156,1,"Crypt","",[3]
26,"Act2_TempleRuin","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",62878,1,"Chamber of Sins","",[3]
27,"Act2_BrokenBridge","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",36993,1,"Broken Bridge","",[3]
28,"Act2_Riverways","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",59768,1,"Riverways","",[3]
29,"Act2_WesternForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",6930,1,"Western Forest","",[3]
30,"Act2_WeaversChambers","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",16901,1,"Weaver's Chambers","",[3]
31,"Act2_Wetlands","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",47380,1,"Wetlands","",[3]
32,"Act2_VaalDungeon","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",60102,1,"Vaal Ruins","",[3]
33,"Act2_Darkness","Audio/Music/Act2_DarknessEvent/Darkness_Event.ogg","Music5.bank",12924,1,"Darkness","",[3]
34,"Act2_NorthernForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",10607,1,"Northern Forest","",[3]
35,"Act2_DreadThicket","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",47339,1,"Dread Thicket","",[3]
36,"Act2_AncientPyramid","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",2817,1,"Ancient Pyramid","",[3]
37,"Act2_VaalShadow","Audio/Music/Act2_Bossfight/Act2_Bossfight.ogg","Music5.bank",98,"","Vaal Oversoul","","[3,0]"
38,"Act3_Intro","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",43893,1,"City of Sarn","",[4]
39,"Act3_Encampment","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",55554,1,"Sarn Encampment","","[4,1]"
40,"Act3_Slums","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",18220,1,"Slums","",[4]
41,"Act3_Crematorium","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",46949,1,"Crematorium","",[4]
42,"Act3_Sewers","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29508,1,"Sewers","",[4]
43,"Act3_Markets","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",8059,1,"Marketplace","",[4]
44,"Act3_Catacombs","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",32928,1,"Catacombs","",[4]
45,"Act3_Battlefront","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",26715,1,"Battlefront","",[4]
46,"Act3_Solaris","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",44975,1,"Solaris Temple","",[4]
47,"Act3_Docks","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",38891,1,"Docks","",[4]
48,"Act3_EbonyBarracks","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",30532,1,"Ebony Barracks","",[4]
49,"Act3_Lunaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",24533,1,"Lunaris Temple","",[4]
50,"Act3_Piety","Audio/Music/Act3_Lunaris/1_3_14_Lunaris_BossFight.ogg","Music7.bank",40410,1,"Piety","","[4,0]"
51,"Act3_Gardens","Audio/Music/Act3_Gardens/Gardens.ogg","Music8.bank",33306,1,"Imperial Gardens","",[4]
52,"Act3_Library","Audio/Music/Act3_Library/Library.ogg","Music8.bank",62053,1,"Library","",[4]
53,"Act3_Sceptre_Inside","Audio/Music/Act3_Sceptre/Sceptre_Of_God.ogg","Music8.bank",58673,1,"Sceptre of God","",[4]
54,"Act3_Sceptre_Top","Audio/Music/Act3_Sceptre/Act3_Sceptre.ogg","Music8.bank",43044,1,"Dominus","","[4,0]"
55,"Act3_Sceptre_Demonic","Audio/Music/Act3_Sceptre/Demonic_Sceptre.ogg","Music9.bank",50410,1,"Ascendant Theme","","[4,0]"
56,"Act4_Aqueduct","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",54628,1,"Aqueduct","",[5]
57,"Act4_Town","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",31168,1,"Highgate","","[5,1]"
58,"Act4_Lake","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",56301,1,"Dried Lake","",[5]
59,"Act4_Tunnels","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",24531,1,"Mines","",[5]
60,"Act4_Kaom","Audio/Music/Act4_KaomsDream/Kaom.ogg","Music12.bank",4426,1,"Kaom's Dream","",[5]
61,"Act4_Kaom_2","Audio/Music/Act4_KaomsDream/Kaom_2.ogg","Music14.bank",37945,1,"Kaom's Stronghold","",[5]
62,"Act4_KaomBossfight","Audio/Music/Act4_KaomsDream/KaomBossfight.ogg","Music13.bank",9410,1,"Kaom","","[5,0]"
63,"Act4_Daresso_Pit","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",50802,1,"Pit","",[5]
64,"Act4_Daresso_Arena","Audio/Music/Act4_Arena/DaressoArena.ogg","Music13.bank",27458,1,"Grand Arena","",[5]
65,"Act4_Daresso_Bossfight","Audio/Music/Act4_Arena/DaressoBossFight.ogg","Music14.bank",6038,1,"Daresso","","[5,0]"
66,"Act4_BeastBelly","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",30243,1,"Belly of the Beast","",[5]
67,"Act4_HeartOfCorruption","Audio/Music/Act4_BellyOfTheBeast/HeartOfCorruption.ogg","Music14.bank",7182,1,"Heart of Corruption","","[5,0]"
68,"Act5_OriathPortal","Audio/Music/Act5_OriathPortal/Act5_OriathPortal.ogg","Music16.bank",17443,1,"Ascent","",[6]
69,"Act5_SlavePens","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",23959,1,"Slave Pens","",[6]
70,"Act5_OverseerTower","Audio/Music/Act5_OverseerTower/Act5_OverseerTower.ogg","Music18.bank",39668,1,"Overseer's Tower","","[6,1]"
71,"Act5_ControlBlocks","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",57044,1,"Control Blocks","",[6]
72,"Act5_OriathSquare","Audio/Music/Act5_OriathSquare/Act5_OriathSquare.ogg","Music18.bank",43604,1,"Oriath Square","",[6]
73,"Act5_TemplarCourt","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",30907,1,"Templar Court","",[6]
74,"Act5_COInnocence","Audio/Music/Act5_ChamberOfInnocence/Act5_ChamberOfInnocence.ogg","Music18.bank",64883,1,"Chamber of Innocence","",[6]
75,"Act5_Avarius","Audio/Music/Act5_Avarius/Act5_Avarius.ogg","Music17.bank",2404,1,"High Templar Avarius","","[6,0]"
76,"Act5_Reliquary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",1577,1,"Reliquary","",[6]
77,"Act5_Ossuary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",49102,1,"Ossuary","",[6]
78,"Act5_RuinedSquare","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",8721,1,"Ruined Square","",[6]
79,"Act5_CathedralRoof","Audio/Music/Act5_CathedralRooftops/Act5_CathedralRooftops.ogg","Music19.bank",313,1,"Cathedral Rooftop","",[6]
80,"Act5_Kitava","Audio/Music/Act5_Kitava/Act5_Kitava.ogg","Music19.bank",34313,1,"Kitava (A5)","","[6,0]"
81,"Act5_SinDock","Audio/Music/Act5_SinDock/Act5_SinDock.ogg","Music20.bank",23971,"","","",[6]
82,"Act6_TwilightStrand","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",829,1,"Twilight Strand","",[7]
83,"Act6_Encampment","Audio/Music/Act6_Encampment/Act6_Encampment.ogg","Music20.bank",44316,1,"Lioneye's Watch (A6)","","[7,1]"
84,"Act6_Coast","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",5617,1,"Coast","",[7]
85,"Act6_TidalIsland","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",7469,1,"Tidal Island","",[7]
86,"Act6_MudFlats","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",61838,1,"Mud Flats","",[7]
87,"Act6_KaruiFortress","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",49646,1,"Karui Fortress","",[7]
88,"Act6_Ridge","Audio/Music/Act6_Ridge/Act6_Ridge","Music23.bank",12451,1,"Ridge","",[7]
89,"Act6_Prison","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",30860,1,"Prison","",[7]
90,"Shavronne","Audio/Music/Act6_Shavronne/Shavronne","Music26.bank",37950,1,"Shavronne","","[7,0]"
91,"Act6_PrisonersGate","Audio/Music/Act6_Ridge/Act6_Ridge","Music23.bank",58701,1,"Prisoner's Gate","",[7]
92,"Act6_Abberath","Audio/Music/Act6_Abberath/Act6_Abberath.ogg","Music20.bank",41588,1,"Minor Gods","","[7,8,9,0]"
93,"Act6_WesternForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",52538,1,"Western Forest","",[7]
94,"Act6_ForestDaylight","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",25356,1,"Riverways","",[7]
95,"Act6_Wetlands","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",64173,1,"Wetlands","",[7]
96,"Act6_SouthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",47386,1,"Southern Forest","",[7]
97,"Act6_CavernOfAnger","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",48837,1,"Cavern of Anger","",[7]
98,"Act6_Beacon","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",21706,1,"Beacon","",[7]
99,"Act6_Reef","Audio/Music/Act1_DarkBeach/Act1_DarkBeach.ogg","Music2.bank",60475,1,"Brine King's Reef","",[7]
100,"Act6_BrineKing","Audio/Music/Act6_BrineKing/Act6_BrineKing.ogg","Music20.bank",40111,1,"Brine King","","[7,0]"
101,"BridgeEncampment","Audio/Music/Act7_Encampment/BridgeEncampment","Music26.bank",35969,1,"Bridge Encampment","","[8,1]"
102,"Act7_BrokenBridge","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",22026,1,"Broken Bridge","",[8]
103,"Act7_Crossroads","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",45403,1,"Crossroads","",[8]
104,"Act7_FellshrineRuins","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",29087,1,"Fellshrine Ruins","",[8]
105,"Act7_Crypt","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",6952,1,"Crypt","",[8]
106,"Act7_ChamberOfSins","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",50000,1,"Chamber of Sins","",[8]
107,"Act7_Sanctum","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",15918,1,"Maligaro's Sanctum","",[8]
108,"Act7_Den","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",42644,1,"Den","",[8]
109,"Act7_AshenFields","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",14558,1,"Ashen Fields","",[8]
110,"Act7_NorthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",46095,1,"Northern Forest","",[8]
111,"Act7_DreadThicket","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",7672,1,"Dread Thicket","",[8]
112,"Act7_Causeway","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",51637,1,"Causeway","",[8]
113,"Act7_VaalCity","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",33787,1,"Vaal City","",[8]
114,"Act7_TempleOfDecay","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",4969,1,"Temple of Decay","",[8]
115,"Act7_Arakaali","Audio/Music/Act7_Arakaali/Act7_Arakaali.ogg","Music21.bank",20452,1,"Arakaali","","[8,0]"
116,"Act8_SarnRamparts","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",25264,1,"Sarn Ramparts","",[9]
117,"Act8_Encampment","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",12682,1,"Sarn Encampment","",[9]
118,"Act8_ToxicConduits","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",34564,1,"Toxic Conduits","",[9]
119,"Act8_GrandPromenade","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",2180,1,"Grand Promenade","",[9]
120,"Act8_BathHouse","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",28261,1,"Bath House","",[9]
121,"Act8_HighGardens","Audio/Music/Labyrinth/dry_garden.ogg","Music15.bank",1652,1,"High Gardens","",[9]
122,"Act8_LunarisConcourse","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",27958,1,"Lunaris Concourse","",[9]
123,"Act8_LunarisTemple","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",53022,1,"Lunaris Temple","",[9]
124,"Act8_Quay","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",63854,1,"Quay","",[9]
125,"Act8_GrainGate","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",28970,1,"Grain Gate","",[9]
126,"Act8_ImperialFields","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",36571,1,"Imperial Fields","",[9]
127,"Act8_SolarisTemple","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",3916,1,"Solaris Temple","",[9]
128,"Act8_SolarisConcourse","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",29163,1,"Solaris Concourse","",[9]
129,"Battlefront","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",9134,1,"Harbour Bridge","",[9]
130,"Act8_SolarisLunaris","Audio/Music/Act8_Solaris&Lunaris/Act8_Solaris&Lunaris.ogg","Music21.bank",28221,1,"Solaris vs Lunaris","","[9,0]"
131,"Act9_BloodAqueduct","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",46629,1,"Blood Aqueduct","",[10]
132,"Act9_Highgate","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",53919,1,"Highgate","",[10]
133,"Act9_Descent","Audio/Music/Act5_OriathPortal/Act5_OriathPortal.ogg","Music16.bank",33115,1,"Descent","",[10]
134,"Act9_VastiriDesert","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",58445,1,"Vastiri Desert","",[10]
135,"Act9_Oasis","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",52816,1,"Oasis","",[10]
136,"Shakari","Audio/Music/Act9_Shakari/Shakari","Music26.bank",17757,1,"Shakari","","[10,0]"
137,"Act9_Foothills","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",30341,1,"Foothills","",[10]
138,"Act9_BoilingLake","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",57956,1,"Boiling Lake","",[10]
139,"Act9_Tunnel","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",38405,1,"Tunnel","",[10]
140,"Act9_Quarry","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",17042,1,"Quarry","",[10]
141,"Act9_Rafinery","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",47109,1,"Refinery","",[10]
142,"Act9_Belly","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",38769,1,"Belly of the Beast","",[10]
143,"Act9_RottingCore","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",33500,1,"Rotting Core","",[10]
144,"Act10_OriathDock","Audio/Music/Act10_OriathDock/Act10_OriathDock.ogg","Music21.bank",25614,1,"Oriath's Dock","","[11,1]"
145,"Act10_CathedralRooftop","Audio/Music/Act5_CathedralRooftops/Act5_CathedralRooftops.ogg","Music19.bank",61510,1,"Cathedral Rooftop","",[11]
146,"Act10_RavagedSquare","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",17674,1,"Ravaged Square","",[11]
147,"Act10_ControlBlocks","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",4375,1,"Control Blocks","",[11]
148,"Act10_Reliquary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",59477,1,"Reliquary","",[11]
149,"Act10_Ossuary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",23152,1,"Ossuary","",[11]
150,"Act10_TorchedCourts","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",46812,1,"Torched Courts","",[11]
151,"Act10_DesecratedChambers","Audio/Music/Act5_ChamberOfInnocence/Act5_ChamberOfInnocence.ogg","Music18.bank",31698,1,"Desecrated Chambers","",[11]
152,"Act10_Canals","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",59712,1,"Canals","",[11]
153,"Act10_FeedingThrough","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",49047,1,"Feeding Trough","",[11]
154,"Act10_Kitava","Audio/Music/Act10_Kitava/Act10_Kitava","Music22.bank",6633,1,"Kitava (A10)","","[11,0]"
155,"Labyrinth_Interior","Audio/Music/Labyrinth/elegant_house.ogg","Music14.bank",44256,1,"Labyrinth Interior","",[13]
156,"Labyrinth_Exterior","Audio/Music/Labyrinth/dry_garden.ogg","Music15.bank",63347,1,"Labyrinth Exterior","",[13]
157,"Labyrinth_Boss","Audio/Music/Labyrinth/izaro.ogg","Music15.bank",21334,1,"Izaro","","[0,13]"
158,"Prophecy","Audio/Music/Prophecy/ThePaleCourt.ogg","Music15.bank",57657,"","","",[]
159,"AtlasOfWorlds","Audio/Music/AtlasOfWorlds/AtlasOfWorlds_Boss.ogg","Music15.bank",1785,1,"Shaper","","[0,13]"
160,"AtlasShapersRealm","Audio/Music/AtlasOfWorlds/AtlasShapersRealm.ogg","Music16.bank",50072,1,"Shaper's Realm","","[13,1]"
161,"Elder","Audio/Music/WarForTheAtlas/Elder","Music22.bank",53506,1,"Elder","","[0,13]"
162,"ElderGuardian","Audio/Music/WarForTheAtlas/ElderGuardian","Music22.bank",7563,"","","",[0]
163,"MemoryNexus","Audio/Music/Synthesis/MemoryNexus","Music25.bank",7820,1,"Memory Nexus","","[13,1]"
164,"Venarius","Audio/Music/Synthesis/Venarius","Music25.bank",51643,1,"Venarius","","[0,13]"
165,"TimeStop","Audio/Music/AtlasOfWorlds/AtlasZanaQuest.ogg","Music16.bank",22069,"","","",[]
166,"BreachTension","Audio/Music/Breach/BreachTension.ogg","Music17.bank",55638,"","","",[]
167,"BreachTriggered","Audio/Music/Breach/BreachTriggered.ogg","Music17.bank",51262,1,"Breach","","[0,13]"
168,"AbyssLeagueArea","Audio/Music/AbyssLeague/AbyssLeagueArea","Music22.bank",19927,1,"Abyss","",[13]
169,"AbyssLeagueBoss","Audio/Music/AbyssLeague/AbyssLeagueBoss","Music22.bank",42011,1,"Abyssal Lich","","[0,13]"
170,"Bestiary_Boss","Audio/Music/Bestiary/Bestiary_Boss","Music23.bank",63596,1,"Bestiary","","[0,13]"
171,"Menagerie","Audio/Music/Bestiary/Menagerie","Music23.bank",8068,1,"Menagerie","","[13,1]"
172,"Incursion_Boss","Audio/Music/Incursion/Incursion_Boss","Music24.bank",25495,1,"Incursion","","[0,13]"
173,"Vaal_Temple","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",23946,"","","",[]
174,"DelveMines","Audio/Music/Delve/DelveMines","Music24.bank",5266,1,"Azurite Mine","",[13]
175,"DelveBoss","Audio/Music/Delve/DelveBoss","Music25.bank",23554,1,"Delve","","[0,13]"
176,"DelveHub","Audio/Music/Delve/DelveHub","Music25.bank",6151,1,"Mine Encampment","","[13,1]"
177,"Betrayal","Audio/Music/Betrayal/Betrayal","Music25.bank",42427,1,"Betrayal","","[0,13]"
178,"Sacrifice","Audio/Music/Sacrifice/Atziri.ogg","Music11.bank",29876,1,"Atziri","","[0,13]"
179,"LegionIdleState","Audio/Music/Legion/LegionIdleState","Music27.bank",56918,"","","",[]
180,"LegionBattle","Audio/Music/Legion/LegionBattle","Music27.bank",57890,1,"Legion","","[0,13]"
181,"LegionBattleResolve","Audio/Music/Legion/LegionBattleResolve","Music27.bank",57147,"","","",[]
182,"LegionAmbient","Audio/Music/Legion/LegionAmbient","Music27.bank",44413,"","","",[]
183,"BlightBattle","Audio/Music/Blight/Blight","Blight.bank",49040,1,"Blight","","[0,13]"
184,"BlightVictoryMusic","Audio/Music/Blight/BlightVictoryMusic","Blight.bank",38727,"","","",[]
185,"BlightDefeatMusic","Audio/Music/Blight/BlightDefeatMusic","Blight.bank",8856,"","","",[]
186,"BlightAmbient","Audio/Music/Blight/BlightAmbient","Blight.bank",25737,"","","",[13]
187,"Metamorphosis","Audio/Music/Metamorphosis/Metamorphosis","Metamorphosis.bank",61056,1,"Metamorph","","[0,13]"
188,"Laboratory","Audio/Music/Metamorphosis/Laboratory","Metamorphosis.bank",4822,1,"Tane's Laboratory","","[13,1]"
189,"DeliriumRegular","Audio/Music/Delirium/DeliriumRegular","Delirium.bank",30530,1,"Twisted Illusions","",[13]
190,"DeliriumBoss","Audio/Music/Delirium/DeliriumBoss","Delirium.bank",39309,1,"Delirium","","[0,13]"
191,"DeliriumResolve","Audio/Music/Delirium/DeliriumResolve","Delirium.bank",63260,"","","",[]
192,"HarvestCombat","Audio/Music/Harvest/HarvestCombat","Harvest.bank",33558,1,"Harvest Combat","",[13]
193,"HarvestBoss","Audio/Music/Harvest/HarvestBoss","Harvest.bank",5783,1,"Harvest Boss","","[0,13]"
194,"HarvestGarden","Audio/Music/Harvest/HarvestGarden","Harvest.bank",50259,1,"The Sacred Grove","","[13,1]"
195,"HeistTrailer","Audio/Music/Heist/HeistTrailer","Heist.bank",64513,1,"Stick to the Plan","","[13,16]"
196,"HeistHub","Audio/Music/Heist/HeistHub","Heist.bank",46526,1,"The Rogue Harbour","","[13,1]"
197,"HeistPreFight","Audio/Music/Heist/HeistPreFight","Heist.bank",30337,"","","",[]
198,"HeistBoss1Resolve","Audio/Music/Heist/HeistBoss1Resolve","Heist.bank",1992,"","","",[]
199,"HeistBoss1","Audio/Music/Heist/HeistBoss1","Heist.bank",39946,1,"Vengeance","","[0,13]"
200,"HeistRegular","Audio/Music/Heist/HeistRegular","Heist.bank",14514,"","","",[]
201,"HeistSuccess","Audio/Music/Heist/HeistSuccess","Heist.bank",2616,"","","",[]
202,"HeistFailure","Audio/Music/Heist/HeistFailure","Heist.bank",65381,"","","",[]
203,"HeistRegular2","Audio/Music/Heist/HeistRegular2","Heist.bank",48012,"","","",[]
204,"UltimatumBoss","Audio/Music/Ultimatum/UltimatumBoss","Ultimatum.bank",25298,"","","",[]
205,"UltimatumRegular","Audio/Music/Ultimatum/UltimatumRegular","Ultimatum.bank",44160,"","","",[]
206,"UltimatumResolve","Audio/Music/Ultimatum/UltimatumResolve","Ultimatum.bank",20595,"","","",[]
207,"UltimatumHideout","Audio/Music/Ultimatum/UltimatumHideout","Ultimatum.bank",18370,1,"Ultimatum","","[0,13]"
208,"Expedition","Audio/Music/Expedition/Expedition","Expedition.bank",56999,1,"Expedition","",[13]
209,"Logbooks","Audio/Music/Expedition/Logbooks","Expedition.bank",12252,1,"Logbooks","",[13]
210,"OlrothBoss","Audio/Music/Expedition/OlrothBoss","Expedition.bank",49595,"","","",[]
211,"VoranaBoss","Audio/Music/Expedition/VoranaBoss","Expedition.bank",28046,1,"Expedition Boss","","[0,13]"
212,"MedvedBoss","Audio/Music/Expedition/MedvedBoss","Expedition.bank",41291,"","","",[]
213,"ExpeditionTomb","Audio/Music/Expedition/ExpeditionTomb","Expedition.bank",39663,"","","",[]
