"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32","bool"
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",190,633,197,26,1,1,1,1,74,""
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",6532,247,584,27,1,1,"",0,70,""
28,"Metadata/Items/Scarabs/ScarabBreach1",8362,491,677,28,1,1,"",2,75,""
29,"Metadata/Items/Scarabs/ScarabBreach2",8363,592,677,29,1,1,"",2,75,""
30,"Metadata/Items/Scarabs/ScarabBreach3",8364,693,677,30,1,1,"",2,75,""
31,"Metadata/Items/Scarabs/ScarabMaps1",8366,491,287,31,1,1,"",2,75,""
32,"Metadata/Items/Scarabs/ScarabMaps2",8367,592,287,32,1,1,"",2,75,""
33,"Metadata/Items/Scarabs/ScarabMaps3",8368,693,287,33,1,1,"",2,75,""
34,"Metadata/Items/Scarabs/ScarabUniques1",8370,68,186,34,1,1,"",2,75,""
35,"Metadata/Items/Scarabs/ScarabUniques2",8371,169,186,35,1,1,"",2,75,""
36,"Metadata/Items/Scarabs/ScarabUniques3",8372,270,186,36,1,1,"",2,75,""
37,"Metadata/Items/Scarabs/ScarabBeasts1",8374,68,89,37,1,1,"",2,75,""
38,"Metadata/Items/Scarabs/ScarabBeasts2",8375,169,89,38,1,1,"",2,75,""
39,"Metadata/Items/Scarabs/ScarabBeasts3",8376,270,89,39,1,1,"",2,75,""
40,"Metadata/Items/Scarabs/ScarabShaperRares1",8382,491,89,40,1,1,"",2,75,""
41,"Metadata/Items/Scarabs/ScarabShaperRares2",8383,592,89,41,1,1,"",2,75,""
42,"Metadata/Items/Scarabs/ScarabShaperRares3",8384,693,89,42,1,1,"",2,75,""
43,"Metadata/Items/Scarabs/ScarabElderRares1",8386,491,482,43,1,1,"",2,75,""
44,"Metadata/Items/Scarabs/ScarabElderRares2",8387,592,482,44,1,1,"",2,75,""
45,"Metadata/Items/Scarabs/ScarabElderRares3",8388,693,482,45,1,1,"",2,75,""
46,"Metadata/Items/Scarabs/ScarabSulphite1",8390,68,382,46,1,1,"",2,75,""
47,"Metadata/Items/Scarabs/ScarabSulphite2",8391,169,382,47,1,1,"",2,75,""
48,"Metadata/Items/Scarabs/ScarabSulphite3",8392,270,382,48,1,1,"",2,75,""
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",8394,491,579,49,1,1,"",2,75,""
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",8395,592,579,50,1,1,"",2,75,""
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",8396,693,579,51,1,1,"",2,75,""
52,"Metadata/Items/Scarabs/ScarabTorment1",8398,68,284,52,1,1,"",2,75,""
53,"Metadata/Items/Scarabs/ScarabTorment2",8399,169,284,53,1,1,"",2,75,""
54,"Metadata/Items/Scarabs/ScarabTorment3",8400,270,284,54,1,1,"",2,75,""
55,"Metadata/Items/Scarabs/ScarabStrongbox1",8402,68,675,55,1,1,"",2,75,""
56,"Metadata/Items/Scarabs/ScarabStrongbox2",8403,169,675,56,1,1,"",2,75,""
57,"Metadata/Items/Scarabs/ScarabStrongbox3",8404,270,675,57,1,1,"",2,75,""
58,"Metadata/Items/Scarabs/ScarabHarbinger1",8406,491,384,58,1,1,"",2,75,""
59,"Metadata/Items/Scarabs/ScarabHarbinger2",8407,592,384,59,1,1,"",2,75,""
60,"Metadata/Items/Scarabs/ScarabHarbinger3",8408,693,384,60,1,1,"",2,75,""
61,"Metadata/Items/Scarabs/ScarabPerandus1",8410,491,189,61,1,1,"",2,75,""
62,"Metadata/Items/Scarabs/ScarabPerandus2",8411,592,189,62,1,1,"",2,75,""
63,"Metadata/Items/Scarabs/ScarabPerandus3",8412,693,189,63,1,1,"",2,75,""
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",6521,335,375,64,1,1,"",0,70,""
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",6522,627,375,65,1,1,"",0,70,""
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",6523,238,375,66,1,1,"",0,70,""
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",6524,530,375,67,1,1,"",0,70,""
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",6525,433,375,68,1,1,"",0,70,""
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",196,335,281,69,1,1,1,0,70,""
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",197,627,281,70,1,1,1,0,70,""
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",198,238,281,71,1,1,1,0,70,""
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",199,530,281,72,1,1,1,0,70,""
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",200,433,281,73,1,1,1,0,70,""
74,"Metadata/Items/Scarabs/ScarabLegion1",8414,68,577,74,1,1,"",2,75,""
75,"Metadata/Items/Scarabs/ScarabLegion2",8415,169,577,75,1,1,"",2,75,""
76,"Metadata/Items/Scarabs/ScarabLegion3",8416,270,577,76,1,1,"",2,75,""
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",6480,220,697,77,1,1,"",0,70,""
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",6481,220,791,78,1,1,"",0,70,""
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",6482,122,791,79,1,1,"",0,70,""
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",6483,122,697,80,1,1,"",0,70,""
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",6485,744,697,81,1,1,"",0,70,""
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",6486,744,791,82,1,1,"",0,70,""
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",6487,647,791,83,1,1,"",0,70,""
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",6488,647,697,84,1,1,"",0,70,""
85,"Metadata/Items/Scarabs/ScarabMetamorph1",8418,68,479,85,1,1,"",2,75,""
86,"Metadata/Items/Scarabs/ScarabMetamorph2",8419,169,479,86,1,1,"",2,75,""
87,"Metadata/Items/Scarabs/ScarabMetamorph3",8420,270,479,87,1,1,"",2,75,""
88,"Metadata/Items/MapFragments/CurrencyMavenKey",8741,744,420,88,1,1,"",0,70,""
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",8742,744,326,89,1,1,"",0,70,""
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",6501,228,433,90,1,1,"",1,74,""
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",6506,228,551,91,1,1,"",1,74,""
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",6511,228,668,92,1,1,"",1,74,""
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",6502,329,433,93,1,1,"",1,74,""
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",6507,329,551,94,1,1,"",1,74,""
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",6512,329,668,95,1,1,"",1,74,""
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",6503,430,433,96,1,1,"",1,74,""
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",6508,430,551,97,1,1,"",1,74,""
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",6513,430,668,98,1,1,"",1,74,""
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",6504,532,433,99,1,1,"",1,74,""
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",6509,532,551,100,1,1,"",1,74,""
101,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical4",6514,532,668,101,1,1,"",1,74,""
102,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos2",6505,633,433,102,1,1,"",1,74,""
103,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos3",6510,633,551,103,1,1,"",1,74,""
104,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos4",6515,633,668,104,1,1,"",1,74,""
105,"Metadata/Items/Scarabs/ScarabBlight1",8422,68,774,105,1,1,"",2,75,""
106,"Metadata/Items/Scarabs/ScarabBlight2",8423,169,774,106,1,1,"",2,75,""
107,"Metadata/Items/Scarabs/ScarabBlight3",8424,270,774,107,1,1,"",2,75,""
108,"Metadata/Items/Scarabs/ScarabBlight4",8425,370,774,108,1,1,"",2,75,""
109,"Metadata/Items/Scarabs/ScarabBreach4",8365,793,677,109,1,1,"",2,75,""
110,"Metadata/Items/Scarabs/ScarabMaps4",8369,793,287,110,1,1,"",2,75,""
111,"Metadata/Items/Scarabs/ScarabUniques4",8373,370,186,111,1,1,"",2,75,""
112,"Metadata/Items/Scarabs/ScarabBeasts4",8377,370,89,112,1,1,"",2,75,""
113,"Metadata/Items/Scarabs/ScarabShaperRares4",8385,793,89,113,1,1,"",2,75,""
114,"Metadata/Items/Scarabs/ScarabElderRares4",8389,793,482,114,1,1,"",2,75,""
115,"Metadata/Items/Scarabs/ScarabSulphite4",8393,370,382,115,1,1,"",2,75,""
116,"Metadata/Items/Scarabs/ScarabDivinationCards4",8397,793,579,116,1,1,"",2,75,""
117,"Metadata/Items/Scarabs/ScarabTorment4",8401,370,284,117,1,1,"",2,75,""
118,"Metadata/Items/Scarabs/ScarabStrongbox4",8405,370,675,118,1,1,"",2,75,""
119,"Metadata/Items/Scarabs/ScarabHarbinger4",8409,793,384,119,1,1,"",2,75,""
120,"Metadata/Items/Scarabs/ScarabPerandus4",8413,793,189,120,1,1,"",2,75,""
121,"Metadata/Items/Scarabs/ScarabLegion4",8417,370,577,121,1,1,"",2,75,""
122,"Metadata/Items/Scarabs/ScarabMetamorph4",8421,370,479,122,1,1,"",2,75,""
123,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication",6535,371,584,123,1,1,"",0,70,""
124,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessGift",6534,495,584,124,1,1,"",0,70,""
125,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute",6533,619,584,125,1,1,"",0,70,""
126,"Metadata/Items/Scarabs/ScarabAbyss1",8426,491,774,126,1,1,"",2,75,""
127,"Metadata/Items/Scarabs/ScarabAbyss2",8427,592,774,127,1,1,"",2,75,""
128,"Metadata/Items/Scarabs/ScarabAbyss3",8428,693,774,128,1,1,"",2,75,""
129,"Metadata/Items/Scarabs/ScarabAbyss4",8429,793,774,129,1,1,"",2,75,""
130,"Metadata/Items/Currency/CurrencyRitualSplinter",297,122,326,130,1,1,"",0,70,""
131,"Metadata/Items/Currency/CurrencyRitualStone",298,122,420,131,1,1,"",0,70,""
132,"Metadata/Items/MapFragments/CurrencyHarvestBossKey",8769,744,584,132,1,1,"",0,70,""
133,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternalUber",6528,238,469,133,1,1,"",0,70,""
134,"Metadata/Items/MapFragments/CurrencyLegionFragmentKaruiUber",6526,335,469,134,1,1,"",0,70,""
135,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaalUber",6530,433,469,135,1,1,"",0,70,""
136,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplarUber",6529,530,469,136,1,1,"",0,70,""
137,"Metadata/Items/MapFragments/CurrencyLegionFragmentMarakethUber",6527,627,469,137,1,1,"",0,70,""
138,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",191,228,78,138,1,1,"",1,74,""
139,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",192,329,78,139,1,1,"",1,74,""
140,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",193,430,78,140,1,1,"",1,74,""
141,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",194,532,78,141,1,1,"",1,74,""
142,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",195,633,78,142,1,1,"",1,74,""
143,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire5",6516,228,785,143,1,1,"",1,74,""
144,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold5",6517,329,785,144,1,1,"",1,74,""
145,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning5",6518,430,785,145,1,1,"",1,74,""
146,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical5",6519,532,785,146,1,1,"",1,74,""
147,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos5",6520,633,785,147,1,1,"",1,74,""
148,"Metadata/Items/MapFragments/CurrencySirusFragment1",6490,482,74,148,1,1,"",0,70,""
149,"Metadata/Items/MapFragments/CurrencySirusFragment2",6491,482,169,149,1,1,"",0,70,""
150,"Metadata/Items/MapFragments/CurrencySirusFragment3",6492,385,169,150,1,1,"",0,70,""
151,"Metadata/Items/MapFragments/CurrencySirusFragment4",6493,385,74,151,1,1,"",0,70,""
