"rownum","Id","HASH16","Name","Image","rid","i32","Mods","FlavorText","i32","[rid]","rid","rid"
14,"ValakoLightningThorns",39418,"Carved Horns","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HornEarrings",4,200,[34919],"Passed down through the generations, they protect those who seek Valako's grace.",1000,[],519,532
15,"ValakoBlock",34042,"Tidal Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShieldCharm",4,400,[34920],"Only a fool fights the tide.",500,[],519,532
16,"HinekoraFasterRespawn",24845,"Birthing Spoon","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BirthingSpoonTrinket",5,300,[34893],"With each new life, the entire tribe is invigorated.",1000,[],519,532
17,"HinekoraCooldownRecovery",27865,"Cyclic Bauble","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SunMoonAmulet",5,150,[34894],"The end of Time is also its beginning.",500,[],519,532
18,"HinekoraChannellingDoesntPreventRespawnTimer",35092,"Death Chimes","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneChime",5,300,[34895],"Hinekora is not the master of Death, but she is its Mother.",800,[],519,532
19,"HinekoraHinder",22180,"Fate's Grasp","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HinderHand",5,300,[34921],"There is no use trying to escape destiny.",500,[],519,532
20,"TawhoaLifeRegeneration",22944,"Amber Burgeon","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/EmberChoker",6,300,[34896],"Though you might not see it, the forest is always growing.",1000,[],518,531
21,"TawhoaTotemLifeRegeneration",64194,"Spiritual Growth","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DriedLizardAmulet",6,150,"[34897,34898,34899]","That which is wounded may become whole again in time.",1500,[],518,531
22,"TawhoaMaximumLifeOnRespawn",59942,"Bone Juju","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneTiki",6,500,[34922],"Life springs from death in a grand cycle.",400,[],518,531
23,"TawhoaNearbyPlayerFlaskCharges",27413,"Dream Catcher","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SoulCatcher",6,300,[34923],"Tawhoa gifted humanity the ability to dream, so that they may aspire to greater things.",1000,[],518,531
24,"KitavaLifeOnKill",58054,"Victory Feast","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KitavaCharm",7,250,[34900],"\""The Oriathans have generously provided us with a banquet!\""",1000,[],516,529
25,"KitavaDamageTakenRecoveredByTotem",49213,"Utula's Promise","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BarbedArmband",7,400,[34901],"\""If you waver, drink of my blood, and fight on!\""",500,[],516,529
26,"KitavaLifeRegenerationWhileChannelling",13676,"Jawclamp Earrings","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HeavyEarrings",7,250,[34902],"\""Bite down upon your master's throat, and die before you let go!\""",800,[],516,529
27,"KitavaNearbyEnemiesNoLifeRecovery",51103,"Noxious Fumes","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IncenseBurner",7,500,[34903],"\""The guards will have no rest this night. When they tire, we strike...\""",200,[],516,529
28,"RamakoMovementSpeed",46021,"Eternal Pursuit","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrystalLegband",8,300,"[34877,34875]","The Sun chases the Moon across the sky, thirsting for a momentary touch.",1000,[],519,532
29,"RamakoTailwind",3916,"Queen's Inspiration","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TuskBrooch",8,500,[34904],"Her courage was contagious.",300,[],519,532
30,"RamakoExtraProjectiles",19046,"Sun-blot Band","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ArchersRing",8,250,[34905],"Let us graciously allow the enemy to fight in the shade.",600,[],519,532
31,"RamakoSpeedWhileEnemiesInCloseRange",25414,"Sniper's Gambit","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShellAnkleBrace",8,200,[34924],"Clever archers always have a trick in reserve.",600,[],519,532
32,"TukohamaBonusesOnLowLife",35359,"Ancestral Defiance","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ScreamingTotem",9,250,[34925],"The warriors of the Tukohama Tribe call the brink of death home.",1000,[],518,531
33,"TukohamaTotemDamageTakenWhileChannelling",49694,"Massive Chisel","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TotemChisel",9,500,[34906],"Ancestral wood splinters freely under the heavy weight of jade.",400,[],518,531
34,"TukohamaAdrenalineForOffensiveTeammates",39990,"War Venom","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SnakeToothSyringe",9,500,[34926],"The fire in the blood is like no other thrill.",400,[],518,531
35,"TukohamaDebilitate",13383,"Jade Blade","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/JadeBlade",9,250,[34927],"A true warrior is never unarmed.",1000,[],518,531
36,"RongokuraiCannotBeSlowed",17619,"Turtle Trinket","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TurtleShell",10,150,[34907],"Slow and steady wins the race.",1000,[],517,530
37,"RongokuraiStunOnRespawn",20122,"Emerging Bellow","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HuntingCharm",10,150,[34908],"\""Get out of my way!\""",1000,[],517,530
38,"RongokuraiKnockback",14654,"Goliath Knuckle","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KnuckleDusterRing",10,200,[34878],"Simple, but effective.",400,[],517,530
39,"RongokuraiTotemLife",6272,"Nightguard","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CarvedBreastplate",10,300,"[34909,34911]","Rongokurai gifts his strength to protect the weak.",800,[],517,530
40,"NoTribeColdResistance",30044,"Summer Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RainDoll",0,150,[34914],"Remember the days that were not so grim and cold as today.",800,[],517,530
41,"NoTribeLife",29574,"Tough Snack","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RhoaSteak",0,250,[34910],"The long chew is half the satisfaction.",1000,[],535,534
42,"NoTribeDamage",4997,"Barbed Dagger","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TeethCharm",0,400,[34915],"For enemies you do not respect.",500,[],517,530
43,"NoTribeRespawnRate",32989,"Battle Call","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ConchTrumpet",0,250,[34913],"If you hear the call, you must answer.",500,[],517,530
44,"NoTribeTotemLife",15920,"Albino Weta","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/AlbinoWeta",0,400,[34912],"A blessing upon all those trees touched by the sacred spirit.",500,[],517,530
