"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","i32","i32","i32","bool"
88,9926,[18512],[],72,1,"","","","","",1,100,1,""
89,9928,[18513],[7006],7,1,"","","","","",1,100,1,""
90,9929,[18514],[7006],7,1,"","","","","",1,100,1,""
91,9930,[18515],[7006],7,1,"","","","","",1,100,1,""
92,9931,[18516],"[7006,7152]",7,1,"","","","","",1,100,1,""
93,9932,[18517],[],73,1,"","","","","",1,100,4,""
94,9933,[18518],[],74,1,"","","","","",1,100,1,""
95,9934,[18519],[],75,1,"","","","","",1,100,1,""
96,9935,[18520],[],126,1,"","","","","",1,100,4,""
97,9936,[18521],[7006],8,1,"","","","","",1,100,1,""
98,9937,[18522],[7006],8,1,"","","","","",1,100,1,""
99,9938,[18523],[7006],8,1,"","","","","",1,100,1,""
100,9939,[18524],"[7006,7153]",8,1,"","","","","",1,100,1,""
101,9940,[18525],[],37,1,"","","","","",1,100,4,""
102,9941,[18526],[],38,1,"","","","","",1,100,1,""
103,9942,[18527],[],39,1,"","","","","",1,100,1,""
104,9943,[18528],[],40,1,"","","","","",1,100,1,""
105,9944,[18529],[],41,1,"","","","","",1,100,1,""
106,9945,[18530],[7006],9,1,"","","","","",1,100,1,""
107,9946,[18531],[7006],9,1,"","","","","",1,100,1,""
108,9947,[18532],[7006],9,1,"","","","","",1,100,1,""
109,9948,[18533],"[7006,7154]",9,1,"","","","","",1,100,1,""
110,9949,[18534],[],66,1,"","","","","",1,100,4,""
111,9950,[18535],[],67,1,"","","","","",1,100,1,""
112,9952,[18536],[],68,1,"","","","","",1,100,1,""
113,9951,[18537],[],69,1,"","","","","",1,100,1,""
114,9953,[18538],[7006],10,1,"","","","","",1,100,1,""
115,9954,[18539],[7006],10,1,"","","","","",1,100,1,""
116,9955,[18540],[7006],10,1,"","","","","",1,100,1,""
117,9956,[18541],"[7006,7155]",10,1,"","","","","",1,100,1,""
118,9957,[18542],[],10,1,"","","","","",1,100,1,""
119,9958,[18543],[],103,1,"","","","","",1,100,2,""
120,9959,[18544],[],104,1,"","","","","",1,100,1,""
121,9961,[18545],[],105,1,"","","","","",1,100,1,""
122,9960,[18546],[],106,1,"","","","","",1,100,1,""
123,9962,[18547],[7006],11,1,"","","","","",1,100,1,""
124,9963,[18548],[7006],11,1,"","","","","",1,100,1,""
125,9964,[18549],[7006],11,1,"","","","","",1,100,1,""
126,9965,[18550],"[7006,7156]",11,1,"","","","","",1,100,1,""
127,9966,[18551],[],96,1,"","","","","",1,100,4,""
128,9967,[18552],[],97,1,"","","","","",1,100,1,""
129,9968,[18553],[],98,1,"","","","","",1,100,1,""
130,9969,[18554],[],99,1,"","","","","",1,100,1,""
131,9970,[18555],[],100,1,"","","","","",1,100,1,""
132,9971,[18573],[7006],12,1,"","","","","",1,100,1,""
133,9972,[18574],[7006],12,1,"","","","","",1,100,1,""
134,9973,[18575],[7006],12,1,"","","","","",1,100,1,""
135,9974,[18576],"[7006,7157]",12,1,"","","","","",1,100,1,""
136,9975,[18560],[],13,1,"","","","","",1,100,1,""
137,9976,[18561],[],13,1,"","","","","",1,100,1,""
138,9977,[18562],[],13,1,"","","","","",1,100,1,""
139,9978,[18563],[],13,1,"","","","","",1,100,1,""
140,9979,[18564],[],14,1,"","","","","",1,100,1,""
141,9980,[18565],[],14,1,"","","","","",1,100,1,""
142,9981,[18566],[],14,1,"","","","","",1,100,1,""
143,9982,[18567],[],14,1,"","","","","",1,100,1,""
144,9983,[18568],[],14,1,"","","","","",1,100,2,""
145,9984,[18569],[],93,1,"","","","","",1,100,2,""
146,9985,[18570],[],94,1,"","","","","",1,100,1,""
147,9986,[18571],[],95,1,"","","","","",1,100,1,""
148,9987,[18572],[],137,1,"","","","","",1,100,1,""
149,9988,[18577],[],34,1,"","","","","",1,100,4,""
150,9989,[18578],[],35,1,"","","","","",1,100,2,""
151,9990,[18579],[],36,1,"","","","","",1,100,1,""
152,9991,[18580],[],42,1,"","","","","",1,100,4,""
153,9992,[18581],[],43,1,"","","","","",1,100,1,""
154,9994,[18582],[],44,1,"","","","","",1,100,1,""
155,9993,[18583],[],45,1,"","","","","",1,100,1,""
156,9995,[18584],[],136,1,"","","","","",1,100,1,""
157,9997,"[18585,18589]",[],46,1,"","","","",1,1,100,2,""
158,9998,[18586],[],47,1,"","","","","",1,100,1,""
159,9996,[18587],[],48,1,"","","","","",1,100,4,""
160,9999,[18588],[],49,1,"","","","","",1,100,1,""
161,10000,[18590],[],50,1,"","","","","",1,100,2,""
162,10001,[18591],[],51,1,"","","","","",1,100,1,""
163,10002,[18592],[],52,1,"","","","","",1,100,2,""
164,10003,[18593],[],53,1,"","","","","",1,100,1,""
165,10005,[18594],[],54,1,"","","","","",1,100,1,""
166,10004,[18595],[],55,1,"","","","","",1,100,1,""
167,10006,[18596],[],60,1,"","","","","",1,100,1,""
168,10007,[18597],[],57,1,"","","","","",1,100,2,""
169,10009,[18598],[],58,1,"","","","","",1,100,1,""
170,10008,[18599],[],59,1,"","","","","",1,100,2,""
171,10010,[18600],[],65,1,"","","","","",1,100,1,""
172,10011,[18601],[],62,1,"","","","","",1,100,1,""
173,10013,[18602],[],63,1,"","","","","",1,100,2,""
174,10012,[18603],[],64,1,"","","","","",1,100,1,""
175,10014,[18604],[],76,1,"","","","","",1,100,1,""
176,10015,[18605],[],77,1,"","","","","",1,100,1,""
177,10016,[18606],[],78,1,"","","","","",1,100,2,""
178,10018,[18607],[],79,1,"","","","","",1,100,1,""
179,10017,[18608],[],80,1,"","","","","",1,100,1,""
180,10019,[18609],[],12,1,"","","","","",1,100,1,""
181,10020,[18610],[],81,1,"","","","","",1,100,2,""
182,10021,[18611],[],82,1,"","","","","",1,100,1,""
183,10022,[18612],[],83,1,"","","","","",1,100,1,""
184,10023,[18613],[],84,1,"","","","","",1,100,1,""
185,10024,[18614],[],85,1,"","","","","",1,100,1,""
186,10025,[18615],[],86,1,"","","","","",1,100,2,""
187,10026,[18616],[],87,1,"","","","","",1,100,2,""
188,10027,[18617],[],88,1,"","","","","",78,100,1,""
189,10028,[18618],[],89,1,"","","","","",1,100,1,""
190,10029,[18619],[],13,1,"","","","","",1,100,1,""
191,10030,[18620],[],90,1,"","","","","",1,100,2,""
192,10031,[18621],[],91,1,"","","","","",1,100,1,""
193,10032,[18622],[],92,1,"","","","","",1,100,1,""
194,10033,[18623],[],134,1,"","","","","",1,100,1,""
195,10034,[18624],[],107,1,"","","","","",1,100,1,""
196,10035,[18625],[],108,1,"","","","","",1,100,2,""
197,10036,"[18626,18629,18630,18631,18632,18633]",[],109,1,"","","","",1,1,100,3,""
198,10037,[18627],[],110,1,"","","","","",1,100,1,""
199,10038,[18628],[],111,1,"","","","","",1,100,1,""
200,10039,[18634],[],127,1,"","","","","",1,100,1,""
201,10040,[18635],[],128,1,"","","","","",1,100,1,""
202,10041,[18636],[],129,1,"","","","","",1,100,4,""
203,10042,[18637],[],130,1,"","","","","",1,100,1,""
204,10043,[18638],[],131,1,"","","","","",1,100,1,""
205,10044,[18639],[],132,1,"","","","","",1,100,1,""
206,10045,[18640],[],112,1,"","","","","",1,100,1,""
207,10046,[18641],[],113,1,"","","","","",1,100,1,""
208,10047,[18642],[],114,1,"","","","","",1,100,1,""
209,10048,[18643],[],115,1,"","","","","",1,100,1,""
210,10049,[18644],[],116,1,"","","","","",1,100,1,""
211,10050,[18645],[],117,1,"","","","","",1,100,1,""
212,10051,[18646],[],118,1,"","","","","",1,100,1,""
213,7737,"[20483,20488]",[],15,"","","",1,"","",1,100,1,""
214,7738,"[20484,20489]",[],16,"","","",1,"","",1,100,1,""
215,7739,"[20485,20490]",[],17,"","","",1,"","",1,100,1,""
216,7740,"[20486,20491]",[],18,"","","",1,"","",1,100,1,""
217,7741,"[20487,20492]",[],19,"","","",1,"","",1,100,1,""
218,7742,"[20493,20498]",[],15,"","","",1,"","",1,100,1,""
219,7743,"[20494,20499]",[],16,"","","",1,"","",1,100,1,""
220,7744,"[20495,20500]",[],17,"","","",1,"","",1,100,1,""
221,7745,"[20496,20501]",[],18,"","","",1,"","",1,100,1,""
222,7746,"[20497,20502]",[],19,"","","",1,"","",1,100,1,""
223,10054,[20848],[],138,"","","","","","",1,100,1,""
224,10055,[20849],[],138,"","","","","","",1,100,1,""
225,10056,[20850],[],138,"","","","","","",1,100,1,""
226,10057,[20851],[],138,"","","","","","",1,100,1,""
227,10058,[20852],[],138,"","","","","","",1,100,1,""
228,10059,[20853],[],138,"","","","","","",1,100,1,""
229,10060,[20855],[],138,"","","","","","",1,100,1,""
230,10061,[20856],[],138,"","","","","","",1,100,1,""
231,10062,[20857],[],138,"","","","","","",1,100,1,""
232,10063,[20859],[],138,"","","","","","",1,100,1,""
233,10064,[20860],[],138,"","","","","","",1,100,1,""
234,10065,[20862],[],138,"","","","","","",1,100,1,""
235,10066,[20863],[],138,"","","","","","",1,100,1,""
236,7747,[8298],[],138,"","","",1,"","",1,100,1,""
237,7764,[24257],[9592],138,1,"","","","","",1,100,4,""
