"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
35,3996,"Fire Resistant","Résistant aux Dégâts de feu","Widersteht Feuer","火耐性","화염 저항","Resistente a Fogo","Сопротивляется огню","Resistente al fuego","ต้านทาน ไฟ","火焰抵抗","",[],"","",1
36,3997,"Fire Resistant","Résistant aux Dégâts de feu","Feuerwiderstand","火耐性","화염 저항","Resistente a Fogo","Сопротивляется огню","Resistente al fuego","ต้านทาน ไฟ","火焰抵抗","",[],"","",1
37,3998,"Cold Resistant","Résistant aux Dégâts de froid","Widersteht Kälte","冷気耐性","냉기 저항","Resistente a Gelo","Сопротивляется холоду","Resistente al hielo","ต้านทาน น้ำแข็ง","冰冷抵抗","",[],"","",1
38,3999,"Cold Resistant","Résistant aux Dégâts de froid","Kältewiderstand","冷気耐性","냉기 저항","Resistente a Gelo","Сопротивляется холоду","Resistente al hielo","ต้านทาน น้ำแข็ง","冰冷抵抗","",[],"","",1
39,4000,"Lightning Resistant","Résistant aux Dégâts de foudre","Widersteht Blitz","雷耐性","번개 저항","Resistente a Raio","Сопротивляется молнии","Resistente al rayo","ต้านทาน สายฟ้า","閃電抵抗","",[],"","",1
40,4001,"Lightning Resistant","Résistant aux Dégâts à la foudre","Blitzwiderstand","雷耐性","번개 저항","Resistente a Raio","Сопротивляется молнии","Resistente al rayo","ต้านทาน สายฟ้า","閃電抵抗","",[],"","",1
41,4002,"Breaks Armour","Brise l'armure","Zerbricht Rüstung","アーマー破壊","방어구 파괴","Quebra Armadura","Разрушает броню","Rompe la armadura","หักเกราะ","破壞護甲值","",[],"","",1
42,4003,"Breaks Armour","Brise l'armure","Zerbricht Rüstung","アーマー破壊","방어구 파괴","Quebra Armadura","Разрушает броню","Rompe la armadura","หักเกราะ","破壞護甲值","",[],"","",1
43,4004,"Accurate","Précis","Zielgenau","高命中力","정확","Certeiro","Меткий","Preciso","แม่นยำ","命中值增加","",[],"","",1
44,4005,"Accurate","Précis","Zielgenau","高命中力","정확","Preciso","Меткий","Preciso","แม่นยำ","命中","",[],"","",1
45,4006,"Extra Chaos Damage","Dégâts de chaos supplémentaires","Extra Chaosschaden","追加混沌ダメージ","추가 카오스 피해","Dano de Caos Adicional","Дополнительный урон хаосом","Daño de caos extra","เสริมความเสียหาย เคออส","額外混沌傷害","",[],"","",1
46,4007,"Extra Chaos Damage","Dégâts de chaos supplémentaires","Extra Chaosschaden","追加混沌ダメージ","추가 카오스 피해","Dano Extra de Caos","Дополнительный урон хаосом","Daño de caos adicional","เสริมความเสียหาย เคออส","額外混沌傷害","",[],"","",1
47,4008,"Regenerates Life","Régénère de la Vie","Regeneriert Leben","ライフ自動回復","생명력 재생","Regenera Vida","Регенерирует здоровье","Regenera vida","ฟื้นฟูพลังชีวิต","生命回復","",[],"","",1
48,4009,"Regenerates Life","Régénère de la Vie","Regeneriert Leben","ライフ自動回復","생명력 재생","Regenera Vida","Регенерирует здоровье","Regenera vida","ฟื้นฟูพลังชีวิต","回復生命","",[],"","",1
49,4010,"Additional Projectiles","Projectiles supplémentaires","Zusätzliche Projektile","追加の投射物","추가 투사체","Projéteis Adicionais","Дополнительные снаряды","Proyectiles adicionales","ปล่อยโพรเจกไทล์เพิ่มเติม","額外投射物","",[],"","",1
50,4011,"Additional Projectiles","Projectiles supplémentaires","Zusätzliche Projektile","追加の投射物","추가 투사체","Projéteis Adicionais","Дополнительные снаряды","Proyectiles adicionales","ปล่อยโพรเจกไทล์เพิ่มเติม","額外投射物","",[],"","",1
51,4012,"Increased Area of Effect","Zone d'effet augmentée","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Увеличенная область действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍效果","",[],"","",1
52,4013,"Increased Area of Effect","Zone d'effet augmentée","Erhöhter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Увеличенная область действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍效果","",[],"","",1
53,4014,"All Damage Ignites","Tous les Dégâts Embrasent","Sämtlicher Schaden entzündet","すべてのダメージで発火付与","모든 피해가 점화 유발","Todo o Dano Incendeia","Весь урон поджигает","Todo su daño quema","ความเสียหายทุกชนิดสร้างสถานะ ลุกไหม้","所有傷害都能點燃","",[],"","",1
54,4015,"All Damage Ignites","Tous les Dégâts Embrasent","Sämtlicher Schaden entzündet","すべてのダメージで発火付与","모든 피해가 점화 유발","Todo o Dano Incendeia","Весь урон поджигает","Todo su daño quema","ความเสียหายทุกชนิดสร้างสถานะ ลุกไหม้","所有傷害會造成點燃","",[],"","",1
55,4016,"All Damage Chills","Tous les Dégâts Frigorifient","Sämtlicher Schaden unterkühlt","すべてのダメージで冷却付与","모든 피해가 냉각 유발","Todo o Dano Resfria","Весь урон охлаждает","Todo su daño escarcha","ความเสียหายทุกชนิดสร้างสถานะ แช่แข็ง","所有傷害都能冰凍","",[],"","",1
56,4017,"All Damage Chills","Tous les Dégâts Gèlent","Sämtlicher Schaden friert ein","すべてのダメージで冷却付与","모든 피해가 냉각 유발","Todo o Dano Resfria","Весь урон охлаждает","Todo su daño escarcha","ความเสียหายทุกชนิดสร้างสถานะ แช่แข็ง","所有傷害會造成冰緩","",[],"","",1
57,4018,"All Damage Shocks","Tous les Dégâts Électrocutent","Sämtlicher Schaden schockt","すべてのダメージで感電付与","모든 피해가 감전 유발","Todo o Dano Eletriza","Весь урон накладывает шок","Todo su daño electrocuta","ความเสียหายทุกชนิดสร้างสถานะ ช็อค","所有傷害都能感電","",[],"","",1
58,4019,"All Damage Shocks","Tous les Dégâts Électrocutent","Sämtlicher Schaden schockt","すべてのダメージで感電付与","모든 피해가 감전 유발","Todo o Dano Eletriza","Весь урон накладывает шок","Todo su daño electrocuta","ความเสียหายทุกชนิดสร้างสถานะ ช็อค","所有傷害會造成感電","",[],"","",1
59,4020,"Trail of Fire","Traînée de feu","Spur aus Feuer","火の足跡","불의 발자취","Rastro de Fogo","След огня","Rastro de fuego","ทิ้ง ไฟ เป็นทาง","火痕",76,[],"","",""
60,4021,"Trail of Fire","Traînée de feu","Spur aus Feuer","火の足跡","불의 발자취","Rastro de Fogo","След огня","Rastro de fuego","ทิ้ง ไฟ เป็นทาง","火痕",76,[],"","",""
61,4022,"Trail of Ice","Traînée de glace","Spur aus Eis","氷の足跡","얼음의 발자취","Rastro de Gelo","След льда","Rastro de hielo","ทิ้ง น้ำแข็ง เป็นทาง","冰痕",77,[],"","",""
62,4023,"Trail of Ice","Traînée de glace","Spur aus Eis","氷の足跡","얼음의 발자취","Rastro de Gelo","След льда","Rastro de hielo","ทิ้ง น้ำแข็ง เป็นทาง","冰痕",77,[],"","",""
63,4024,"Trail of Lightning","Traînée de foudre","Spur aus Blitzen","雷の足跡","번개의 발자취","Rastro de Raio","След молнии","Rastro de rayo","ทิ้ง สายฟ้า เป็นทาง","電痕",78,[],"","",""
64,4025,"Trail of Lightning","Traînée de foudre","Spur aus Blitzen","雷の足跡","번개의 발자취","Rastro de Raio","След молнии","Rastro de rayo","ทิ้ง สายฟ้า เป็นทาง","電痕",78,[],"","",""
65,4026,"Slow Resistant","Résistant aux Ralentissements","Widersteht Verlangsamungen","減速耐性","감속 저항","Resistente a Desaceleração","Сопротивляется замедлению","Resistente a la ralentización","ต้านทานความเชื่องช้า","緩速抵抗","",[],"","",1
66,4027,"Slow Resistant","Résistant aux Ralentissements","Widersteht Verlangsamungen","減速耐性","감속 저항","Resistente a Desaceleração","Сопротивляется замедлению","Resistente a la ralentización","ต้านทานความเชื่องช้า","緩速抵抗","",[],"","",1
67,4038,"Crit Resistant","Résistant aux Critiques","Widersteht kritischen Treffern","クリティカル耐性","치명타 저항","Resistente a Críticos","Сопротивляется критическим ударам","Resistente a los críticos","ต้านทานคริติคอล","暴擊抵抗","",[],"","",1
68,4039,"Crit Resistant","Résistants aux Critiques","Widersteht kritischen Treffern","クリティカル耐性","치명타 저항","Resistente a Críticos","Сопротивляется критическим ударам","Resistente a los críticos","ต้านทานคริติคอล","暴擊抵抗","",[],"","",1
69,4028,"Chaos Resistant","Résistant aux Dégâts de chaos","Widersteht Chaos","混沌耐性","카오스 저항","Resistente a Caos","Сопротивляется хаосу","Resistente al caos","ต้านทานเคออส","混沌抵抗","",[],"","",1
70,4029,"Chaos Resistant","Résistant aux Dégâts de chaos","Chaoswiderstand","混沌耐性","카오스 저항","Resistente a Caos","Сопротивляется хаосу","Resistente al caos","ต้านทานเคออส","混沌抵抗","",[],"","",1
71,4042,"Periodic Fire Explosions","Explosions de feu périodiques","Regelmäßige Feuerexplosionen","定期的に火の爆発","주기적인 화염 폭발","Explosões de Fogo Periódicas","Периодические взрывы огня","Explosiones de fuego periódicas","ระเบิดไฟ เป็นระยะ","定期火焰爆炸",69,[],"","",""
72,4043,"Periodic Fire Explosions","Explosions de feu périodiques","Regelmäßige Feuerexplosionen","定期的に火の爆発","주기적인 화염 폭발","Explosões de Fogo Periódicas","Периодические взрывы огня","Explosiones de fuego periódicas","ระเบิดไฟ เป็นระยะ","定期火焰爆炸",69,[],"","",""
73,4044,"Periodic Cold Explosions","Explosions de froid périodiques","Regelmäßige Kälteexplosionen","定期的に冷気の爆発","주기적인 냉기 폭발","Explosões de Gelo Periódicas","Периодические взрывы холода","Explosiones de hielo periódicas","ระเบิดน้ำแข็ง เป็นระยะ","定期冰冷爆炸",70,[],"","",""
74,4045,"Periodic Cold Explosions","Explosions de froid périodiques","Regelmäßige Kälteexplosionen","定期的に冷気の爆発","주기적인 냉기 폭발","Explosões de Gelo Periódicas","Периодические взрывы холода","Explosiones de hielo periódicas","ระเบิดน้ำแข็ง เป็นระยะ","定期冰冷爆炸",70,[],"","",""
75,4046,"Periodic Lightning Explosions","Explosions de foudre périodiques","Regelmäßige Blitzexplosionen","定期的に雷の爆発","주기적인 번개 폭발","Explosões de Raio Periódicas","Периодические взрывы молнии","Explosiones de rayo periódicas","ระเบิดสายฟ้า เป็นระยะ","定期閃電爆炸",71,[],"","",""
76,4047,"Periodic Lightning Explosions","Explosions de foudre périodiques","Regelmäßige Blitzexplosionen","定期的に雷の爆発","주기적인 번개 폭발","Explosões de Raio Periódicas","Периодические взрывы молнии","Explosiones de rayo periódicas","ระเบิดสายฟ้า เป็นระยะ","定期閃電爆炸",71,[],"","",""
77,4048,"Fire Explosion on Death","Explosion de feu en mourant","Feuerexplosion bei Tod","死亡時に火の爆発","사망 시 화염 폭발","Explosão de Fogo ao Morrer","Взрыв огня при смерти","Explosión de fuego al morir","ระเบิดไฟ เมื่อตาย","死亡時火焰爆炸","",[],"","",1
78,4049,"Cold Explosion on Death","Explosion de froid en mourant","Kälteexplosion bei Tod","死亡時に冷気の爆発","사망 시 냉기 폭발","Explosão de Gelo ao Morrer","Взрыв холода при смерти","Explosión de hielo al morir","ระเบิดน้ำแข็ง เมื่อตาย","死亡時冰冷爆炸","",[],"","",1
79,4050,"Lighting Explosion on Death","Explosion de foudre en mourant","Blitzexplosion bei Tod","死亡時に雷の爆発","사망 시 번개 폭발","Explosão de Raio ao Morrer","Взрыв молнии при смерти","Explosión de rayo al morir","ระเบิดสายฟ้า เมื่อตาย","死亡時閃電爆炸","",[],"","",1
80,4051,"Powerful Minions","Créatures puissantes","Mächtige Kreaturen","強力なミニオン","강력한 소환수","Lacaios Poderosos","Могущественные приспешники","Esbirros poderosos","มิเนียนทรงพลัง","強大召喚物",66,[],"","",""
81,4052,"Powerful Minions","Créatures puissantes","Mächtige Kreaturen","強力なミニオン","강력한 소환수","Lacaios Poderosos","Могущественные приспешники","Esbirros poderosos","มิเนียนทรงพลัง","強大召喚物",66,[],"","",""
82,4053,"Empowered","Amélioré","Ermächtigt","強化","강화","Empoderado","Усиленный","Potenciado","ทรงพลัง","強化的",67,[],"","",""
83,4054,"Extra Physical Damage Aura","Aura de Dégâts physiques supplémentaires","Aura mit extra physischem Schaden","追加物理ダメージオーラ","추가 물리 피해 오라","Aura de Dano Físico Adicional","Аура дополнительного физического урона","Aura de daño físico adicional","ออร่าเสริมความเสียหาย กายภาพ","額外物理傷害光環","",[],"","",""
84,4055,"Extra Physical Damage Aura","Aura de Dégâts physiques supplémentaires","Aura mit extra physischem Schaden","追加物理ダメージオーラ","추가 물리 피해 오라","Aura de Dano Físico Extra","Аура дополнительного физического урона","Aura de daño físico adicional","ออร่าเสริมความเสียหาย กายภาพ","額外物理傷害光環","",[],"","",""
85,4056,"Haste Aura","Aura de Hâte","Hast-Aura","ヘイストオーラ","가속의 오라","Aura de Ímpeto","Аура Спешки","Aura de celeridad","ออร่าว่องไว","迅捷光環","",[],"","",""
86,4057,"Haste Aura","Aura de Hâte","Hast-Aura","ヘイストオーラ","가속의 오라","Aura de Ímpeto","Аура Спешки","Aura de celeridad","ออร่าว่องไว","迅捷光環","",[],"","",""
87,4058,"Haste Aura","Aura de Hâte","Hast-Aura","ヘイストオーラ","가속의 오라","Aura de Ímpeto","Аура Спешки","Aura de celeridad","ออร่าว่องไว","迅捷光環","",[],"","",""
88,4059,"Energy Shield Aura","Aura de Bouclier d'énergie","Energieschild-Aura","エナジーシールドオーラ","에너지 보호막 오라","Aura de Escudo de Energia","Аура энергетического щита","Aura de escudo de energía","ออร่าโล่พลังงาน","能量護盾光環","",[],"","",""
89,4060,"Energy Shield Aura","Aura de Bouclier d'énergie","Energieschild-Aura","エナジーシールドオーラ","에너지 보호막 오라","Aura de Escudo de Energia","Аура энергетического щита","Aura de escudo de energía","ออร่าโล่พลังงาน","能量護盾光環","",[],"","",""
90,4061,"Energy Shield Aura","Aura de Bouclier d'énergie","Energieschild-Aura","エナジーシールドオーラ","에너지 보호막 오라","Aura de Escudo de Energia","Аура энергетического щита","Aura de escudo de energía","ออร่าโล่พลังงาน","能量護盾光環","",[],"","",""
91,4062,"Elemental Resistance Aura","Aura de Résistance aux éléments","Elementarwiderstands-Aura","元素耐性オーラ","원소 저항 오라","Aura de Resistência Elemental","Аура сопротивления стихиям","Aura de resistencias elementales","ออร่าต้านทานธาตุ","元素抗性光環","",[],"","",""
92,4063,"Elemental Resistance Aura","Aura de Résistance aux éléments","Elementarwiderstands-Aura","元素耐性オーラ","원소 저항 오라","Aura de Resistência Elemental","Аура сопротивления стихиям","Aura de resistencia elemental","ออร่าต้านทานธาตุ","元素抗性光環","",[],"","",""
93,4064,"Temporal Bubble","Bulle temporelle","Temporale Blase","テンポラルバブル","시간의 거품","Bolha Temporal","Временной пузырь","Burbuja temporal","โดมกาลเวลา","短暫幻想","",[],"","",""
94,4065,"Temporal Bubble","Bulle temporelle","Temporale Blase","テンポラルバブル","시간의 거품","Bolha Temporal","Временной пузырь","Burbuja temporal","โดมกาลเวลา","短暫幻想","",[],"","",""
95,4066,"Temporal Bubble","Bulle temporelle","Temporale Blase","テンポラルバブル","시간의 거품","Bolha Temporal","Временной пузырь","Burbuja temporal","โดมกาลเวลา","緩行之域","",[],"","",""
96,4067,"Hinder Aura","Aura d'Entrave","Lähmende Aura","妨害オーラ","이동 방해 오라","Aura Tolhedora","Аура скованности","Aura de entumecimiento","ออร่าขัดขวาง","阻礙光環","",[],"","",""
97,4068,"Hinder Aura","Aura d'Entrave","Lähmende Aura","妨害オーラ","이동 방해 오라","Aura de Atraso","Аура скованности","Aura de entumecimiento","ออร่าขัดขวาง","阻礙光環","",[],"","",""
98,4069,"Prevents Recovery Above 50%","Empêche la Récupération au-delà de 50%","Verhindert Wiederherstellung über 50%","50%を超える回復を阻害","50% 위로 회복 방지","Impede a Recuperação Acima de 50%","Предотвращает восстановление выше 50%","Impide la recuperación por encima del 50%","ห้ามไม่ให้เติมเกินกว่า 50%","防止恢復超過50%","",[],"","",""
99,4070,"Prevents Recovery Above 50%","Empêche la Récupération au-delà de 50%","Verhindert Wiederherstellung über 50%","50%を超える回復を阻害","50% 위로 회복 방지","Impede a Recuperação Acima de 50%","Предотвращает восстановление выше 50%","Impide la recuperación por encima del 50%","ห้ามไม่ให้เติมเกินกว่า 50%","防止恢復超過50%","",[],"","",""
100,4071,"Periodic Invulnerability Aura","Aura périodique d'Invulnérabilité","Regelmäßige Aura der Unverwundbarkeit","定期的に不死身オーラ","주기적인 무적 오라","Aura de Invulnerabilidade Periódica","Аура периодической неуязвимости","Aura de invulnerabilidad periódica","ออร่าอมตะ เป็นระยะ","定期無敵光環",72,[],"","",""
101,4072,"Periodic Invulnerability Aura","Aura périodique d'Invulnérabilité","Regelmäßige Aura der Unverwundbarkeit","定期的に不死身オーラ","주기적인 무적 오라","Aura Periódica de Invulnerabilidade","Аура периодической неуязвимости","Aura de invulnerabilidad periódica","ออร่าอมตะ เป็นระยะ","定期無敵光環",72,[],"","",""
102,4073,"Empowered Periodic Invulnerability Aura","Aura périodique d'Invulnérabilité améliorée","Verstärkte regelmäßige Aura der Unverwundbarkeit","強化された定期的に不死身オーラ","강화된 주기적인 무적 오라","Aura de Invulnerabilidade Periódica Empoderada","Улучшенная аура периодической неуязвимости","Aura de invulnerabilidad periódica potenciada","ออร่าอมตะที่เสริมฤทธิ์ เป็นระยะ","強化定期無敵光環",72,[],"","",""
103,4074,"Empowered Periodic Invulnerability Aura","Aura périodique d'Invulnérabilité améliorée","Verstärkt regelmäßige Aura der Unverwundbarkeit","強化された定期的に不死身オーラ","강화된 주기적인 무적 오라","Aura Periódica de Invulnerabilidade Empoderada","Улучшенная аура периодической неуязвимости","Aura de invulnerabilidad periódica potenciada","ออร่าอมตะที่เสริมฤทธิ์ เป็นระยะ","強化定期無敵光環",72,[],"","",""
104,4075,"Increased Life","Vie augmentée","Erhöhtes Leben","ライフ増加","생명력 증가","Vida Aumentada","Увеличенное здоровье","Vida aumentada","เพิ่มพลังชีวิต","增加生命","",[],"","",""
105,4076,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
106,4077,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
