"rownum","BaseItemType","StatsMartialWeapon","StatsValuesMartialWeapon","StatsArmour","StatsValuesArmour","Rank","StatsCasterWeapon","StatsValuesCasterWeapon","StatsAllEquipment","StatsValuesAllEquipment"
59,545,"[32,33]","[6,9]","[20388,20389]","[14,21]",15,[],[],[],[]
60,546,"[32,33]","[9,12]","[20388,20389]","[31,52]",30,[],[],[],[]
61,609,[],[],[],[],0,[],[],[],[]
62,610,[],[],[],[],0,[],[],[],[]
63,611,[],[],[],[],0,[],[],[],[]
64,612,[],[],[],[],0,[],[],[],[]
65,613,[],[],[],[],0,[],[],[],[]
66,614,[],[],[],[],0,[],[],[],[]
67,615,[],[],[],[],0,[],[],[],[]
68,616,[],[],[],[],0,[],[],[],[]
69,617,[],[],[],[],0,[],[],[],[]
70,618,[],[],[],[],0,[],[],[],[]
71,619,[],[],[],[],0,[],[],[],[]
72,551,[],[],[],[],50,[9624],[1],[],[]
73,552,[22672],[6],[],[],50,[22672],[6],[],[]
74,553,[18107],[13],[],[],50,[18107],[13],[],[]
75,554,[],[],[],[],50,[],[],[],[]
76,555,[],[],[],[],50,[],[],[],[]
77,556,[],[],[],[],50,[],[],[],[]
78,557,[],[],[],[],50,[],[],[],[]
79,558,[],[],[],[],50,[],[],[],[]
80,559,[19657],[50],[],[],50,[],[],[],[]
81,560,[],[],[],[],50,[],[],[],[]
82,561,[],[],[],[],50,[],[],[],[]
83,562,[],[],[],[],50,[],[],[],[]
84,563,[],[],[],[],50,[],[],[],[]
85,564,[],[],[],[],50,[],[],[],[]
86,565,[],[],[],[],50,[19434],[25],[],[]
87,566,[],[],[],[],50,[],[],[],[]
88,567,"[47,48]","[23,34]",[],[],50,[],[],[],[]
89,568,"[54,55]","[19,28]",[],[],50,[],[],[],[]
90,569,"[61,62]","[1,60]",[],[],50,[],[],[],[]
91,570,[],[],[],[],50,[],[],[],[]
92,571,[],[],[],[],50,[],[],[],[]
93,572,[],[],[],[],50,[],[],[],[]
94,573,"[19066,3263]","[1,-25]",[],[],50,[],[],[],[]
95,574,[],[],[],[],50,[],[],[],[]
96,575,[],[],[],[],50,[],[],[],[]
97,576,[],[],[],[],50,[],[],[],[]
98,577,[],[],[],[],50,[],[],[],[]
99,578,[],[],[],[],50,[],[],[],[]
100,579,[],[],[],[],50,[],[],[],[]
101,580,[],[],[],[],50,[],[],[],[]
102,581,[],[],[],[],50,[],[],[],[]
103,582,[],[],[],[],50,[],[],[],[]
104,583,[],[],[],[],50,[],[],[],[]
105,584,[],[],[],[],50,[],[],[],[]
106,585,[],[],[],[],50,[],[],[],[]
107,586,[22685],[50],[],[],50,[22685],[50],[],[]
108,587,[22683],[50],[],[],50,[22683],[50],[],[]
109,588,[22684],[50],[],[],50,[22684],[50],[],[]
110,589,[],[],[],[],50,[],[],[],[]
111,590,[],[],[],[],50,[],[],[],[]
112,591,[],[],[],[],50,[],[],[],[]
113,592,"[68,69]","[13,19]",[],[],50,[],[],[],[]
114,593,[],[],[],[],50,[22662],[40],[],[]
