"rownum","ActiveSkill","i32_16","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool_148","SurgeEffect_EPKFile","string_157","string_165","rid_173","rid_189"
130,568,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/volcanic_fissure/kitava/epk/weapon_surge.epk","","","",""
131,170,0,370,49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
132,170,3,1858,10,11,12,13,16,14,15,"","","","","",""
133,170,5,4222,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
134,572,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
135,426,0,"","","","","","","","","","","","","",""
136,356,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
137,571,0,"","","","","","","","","","","","","",""
138,578,0,"","","","","","","","","","","","","",""
139,579,0,"","","","","","","","","","","","","",""
140,580,0,"","","","","","","","","","","","","",""
141,581,0,"","","","","","","","","","","","","",""
142,586,0,"","","","","","","","","","","","","",""
143,590,0,"","","","","","","","",1,"","","","",""
144,591,0,"","","","","","","","","","","","","",""
145,1,0,"","","","","","","","","","","","","",""
146,610,0,"","","","","","","","",1,"","","","",""
147,611,0,"","","","","","",192,192,1,"","","","",""
148,613,0,"","","","","","","","",1,"","","","",""
149,616,0,"","","","","","","","",1,"","","","",""
150,618,0,"","","","","","","","",1,"","","","",""
151,619,0,"","","","","","","","",1,"","","","",""
152,620,0,"","","","","","","","",1,"","","","",""
153,623,0,"","","","","","","","",1,"","","","",""
154,628,0,"","","","","","","","",1,"","","","",""
155,634,0,"","","","","","","","",1,"","","","",""
156,629,0,"","","","","","",184,184,1,"","","","",""
157,629,1,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","","","",""
158,629,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/MyrmidonLightningStrike/weaponsurge.epk","","","",""
159,629,3,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/VulcanLightningStrike/weaponsurge.epk","","","",""
160,629,4,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/void_emperor/epk/weaponsurge.epk","","","",""
161,637,0,"",217,217,"","","","","",1,"","","","",""
162,641,0,"","","","","","","","",1,"","","","",""
163,640,0,"",195,195,195,195,195,195,195,1,"Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
164,646,0,"","","","","","","","",1,"","","","",""
165,651,0,"","","","","","","","",1,"","","","",""
166,562,0,"","","",208,208,201,"","",1,"","","","",""
167,237,0,"","","",208,208,201,"","",1,"","","","",""
168,529,0,"","","","","",218,"","",1,"","","",218,""
169,529,1,"","","","","",225,"","",1,"","","",225,""
170,657,0,"","","","","","","","",1,"","","","",""
171,528,0,8034,"","","","","","","",1,"","","","",""
172,677,0,"","","","","","","","",1,"","","","",""
173,696,0,"","","",221,221,221,221,"",1,"","","","",""
174,702,0,"","","","","","","","",1,"","","","",""
175,703,0,"","","","","","","","",1,"","","","",""
176,709,0,"","","","","","","","",1,"","","","",""
177,710,0,"","","","","","","","",1,"","","","",""
178,712,0,"","","","","","","","",1,"","","","",""
179,10,0,"","","","","","","","",1,"","","","",""
180,793,0,"","","",186,186,186,"","",1,"","","","",""
181,804,0,"","","","","","","","",1,"","","","",""
182,816,0,"","","","","","","","",1,"","","","",""
183,817,0,"","","","","","","","",1,"","","","",""
184,879,0,"","","","","","","","",1,"","","","",""
185,880,0,"","","","","","","","",1,"","","","",""
186,901,0,"",222,222,222,222,222,222,222,1,"","","","",""
187,894,0,"",223,223,223,223,223,223,223,1,"","","",223,222
188,777,0,"","","","","","","","",1,"","","","",""
189,225,14,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/Earthquake/kitava/epk/weapon_surge.epk","","","",""
190,732,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/mace_perfect_strike/kitava/epk/charge.epk","","","",""
191,908,0,"",224,224,224,224,224,224,224,1,"","","",224,224
192,908,1,"",226,226,226,226,226,226,226,1,"","","",226,226
193,908,2,"",227,227,227,227,227,227,227,1,"","","",227,227
194,799,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/warrior_molten_blast/kitava/epk/weapon_surge.epk","","","",""
195,836,0,"","","","","","","","",1,"","","","",""
196,733,0,"","","","","","","","",1,"","","","",""
197,909,0,"","","","","","","","",1,"","","","",""
