"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool_60","i32_61","bool_65","bool_66","InheritsFrom","i32_75","i32_79","i32_83","i32_87","i32_91","bool_95","bool_96","[string]_97","string_113","i32_121","i32_125","i32_129","i32_133","rid_137","rid_153","i32_169","i32_173","i32_177","i32_181","i32_185","[string]_189","bool_205","[i32]_206","string_222","rid_230","rid_246","rid_262","bool_278","string_279","rid_287","string_303","rid_311","string_327","[string]_335","[string]_351"
18,"Metadata/Projectiles/SkeletonSpark","[""Metadata/Effects/Spells/electrical_surge/rig_fadeout.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,1,1,"","Metadata/Projectiles/ProjectileGround",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
19,"Metadata/Projectiles/SpiderSpark","[""Metadata/Effects/Microtransactions/Spells/spark/sparkspider/spark_spider2.ao""]","[""electrical_surge""]","[""electrical_explode""]",420,"",1,"","","Metadata/Projectiles/ProjectileGround",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
20,"Metadata/Projectiles/RootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
21,"Metadata/Projectiles/RootSpiderSpitBoss","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",3,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,150,150,0,[],"",[],"","","","","","","","","","",[],[]
22,"Metadata/Projectiles/RootSpiderSpitHuntingGround","[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/MudBurrower/mortar_projectile.ao""]","[""projectile""]","[""impact""]",1050,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[]
23,"Metadata/Projectiles/RitualRootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/League_Ritual/demonfaction/DemonBurrower/mortar_projectile.ao""]","[""projectile""]","[""impact""]",1050,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[]
24,"Metadata/Projectiles/RootSpiderSpitSpires","[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/MudBurrower/mortar_projectile_spires.ao""]","[""projectile""]","[""impact""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
25,"Metadata/Projectiles/RootSpiderSpitSpiresSanctum","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/SpiresBurrower/mortar.ao""]","[""projectile""]","[""impact""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
26,"Metadata/Projectiles/IceSpear","[""Metadata/Effects/Spells/spear_wind_spear/projectile.ao""]","[""projectile_idle""]","[""impact""]",3700,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","",250,1,"","","","","",[],[]
27,"Metadata/Projectiles/IceSpearMTX1","[""Metadata/Effects/Spells/ice_spear/projectile.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",600,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
28,"Metadata/Projectiles/FreezingPulse","[""Metadata/Effects/Spells/freezing_pulse/rig.ao""]","[""freezing_tide""]","[""freezing_tide_end""]",2400,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
29,"Metadata/Projectiles/FreezingPulseMTX","[""Metadata/Effects/Microtransactions/Spells/freezing_pulse/rig.ao""]","[""freezing_pulse""]","[""end""]",2400,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
30,"Metadata/Projectiles/UndyingFreezingPulse","[""Metadata/Effects/Spells/monsters_effects/act3/undying_freezing_pulse/base.ao""]","[""spellcast""]","[""spellend""]",680,"",3,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
31,"Metadata/Projectiles/IncaMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_projectile_poison/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
32,"Metadata/Projectiles/TeleportBall","[""Metadata/Effects/Spells/fade/fadeprojectile.ao""]","[""projectilesloop""]","[""projectile_fadeout""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
33,"Metadata/Projectiles/IncaBossMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_ projectile/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
34,"Metadata/Projectiles/LightningSlash","[""Metadata/Effects/Spells/monk_lightningstrike/lightningStrike_Projectile.ao""]","[""lightStrikeProj_01""]","[""impact_01""]",1600,"",1,"","","Metadata/Projectiles/ProjectileGround",-16843010,-16843010,-16843010,-16843010,4,1,"",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
35,"Metadata/Projectiles/Snake","[""Metadata/Effects/Spells/monsters_effects/snake_spit/new_spit.ao""]","[""proj""]","[""end""]",1800,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
36,"Metadata/Projectiles/ShadowProjectile","[""Metadata/Effects/Spells/ninja_shotgun/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
37,"Metadata/Projectiles/ShadowProjectileStar","[""Metadata/Effects/Microtransactions/Spells/ninja_shotgun/stars/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
38,"Metadata/Projectiles/SpiderEtherealKnives","[""Metadata/Effects/Spells/monsters_effects/act2/spider/spider_spine_spit/rig.ao""]","[""spine_shoot""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
39,"Metadata/Projectiles/EbonyEtherealKnvies","[""Metadata/Effects/Spells/ninja_shotgun_ebony/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
40,"Metadata/Projectiles/EtherealKnivesSawBlade","[""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj2.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj3.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj4.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
41,"Metadata/Projectiles/InsectSpawnerSpit","[""Metadata/Effects/Spells/monsters_effects/insect_spawner_spit/rig.ao""]","[""insectspit""]","[""insectspitexplode""]",700,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
42,"Metadata/Projectiles/InsectSpawnerSpitParasiteBoss","[""Metadata/Effects/Spells/monsters_effects/act7/Ryslatha/spit_parasite/rig.ao""]","[""insectspit""]","[""insectspitexplode""]",700,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
43,"Metadata/Projectiles/ScavengerFire","[""Metadata/Effects/Spells/monsters_effects/scav_driftwoodthrow/rig.ao""]","[""scav_driftwoodthrow""]","[""scav_driftwoodexplode""]",1000,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
44,"Metadata/Projectiles/IncaBossSprayIce","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
45,"Metadata/Projectiles/IncaBossSprayLightning","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
46,"Metadata/Projectiles/IncaBossSprayFire","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
47,"Metadata/Projectiles/IncaBossSprayIceColdSnap","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
48,"Metadata/Projectiles/IncaBossSummon","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/summon_monster_proj.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
49,"Metadata/Projectiles/IncaBossSummonAtziri","[""Metadata/Effects/Spells/monsters_effects/act2/AtziriOversoul/summon_monster_proj.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
50,"Metadata/Projectiles/IncaBossSummonIce","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_cold.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
51,"Metadata/Projectiles/IncaBossSummonLightning","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_lightning.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
52,"Metadata/Projectiles/IncaBossSummonFire","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_fire.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
53,"Metadata/Projectiles/ArcticBreath","[""Metadata/Effects/Spells/arcticbreath/rig.ao""]","[""articbreath""]","[""articbreath_end""]",844,"",2,"","","Metadata/Projectiles/ProjectileGround",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
54,"Metadata/Projectiles/ArcticBreathFlying","[""Metadata/Effects/Spells/arctic_breath_02/projectile/arctic_breath_projectile.ao""]","[""projectile""]","[""impact""]",2000,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
55,"Metadata/Projectiles/ArcticBreathFlyingLesser","[""Metadata/Effects/Spells/arctic_breath_02/projectile/arctic_proj_lesser.ao""]","[""projectile""]","[""impact""]",2000,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
56,"Metadata/Projectiles/TotemFireSpray","[""Metadata/Effects/Spells/totems/spells/firespray.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
57,"Metadata/Projectiles/GhostFlameTotemFireSpray","[""Metadata/Effects/Microtransactions/Spells/totem/spell/flame_totem/ghost_flame/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
58,"Metadata/Projectiles/TotemHolyFireSpray","[""Metadata/Effects/Spells/totems/HolyFlameTotem/projectile/projectile.ao""]","[""projectile""]",[],900,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
59,"Metadata/Projectiles/GhostFlameTotemHolyFireSpray","[""Metadata/Effects/Microtransactions/Spells/totem/spell/flame_totem/ghost_flame/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",900,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
60,"Metadata/Projectiles/FlameBearerFireSpray","[""Metadata/Effects/Spells/monsters_effects/act3/flamebearer_headspray/rig.ao""]","[""headspray_shoot""]","[""headspray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
61,"Metadata/Projectiles/SnakeFireSpray","[""Metadata/Effects/Spells/monsters_effects/act2/snake_fire/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
62,"Metadata/Projectiles/SnakeLightningSpray","[""Metadata/Effects/Spells/monsters_effects/act2/snake_lightning/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
63,"Metadata/Projectiles/DefaultArrow","[""Metadata/Effects/Spells/base_arrow_attack/arrow_base.ao""]","[""loop""]","[""end""]",3260,"",1,"",1,"Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","","[""Metadata/Effects/Spells/base_arrow_attack/arrow_base_stuck.ao""]","Metadata/Effects/Spells/base_arrow_attack/arrow_base_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[],"","","","","","","","","","",[],[]
64,"Metadata/Projectiles/DefaultArrowNonStick","[""Metadata/Effects/Spells/base_arrow_attack/arrow_base.ao""]","[""loop""]","[""end""]",3260,"",1,"",1,"Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","","[""Metadata/Effects/Spells/base_arrow_attack/arrow_base_stuck.ao""]","Metadata/Effects/Spells/base_arrow_attack/arrow_base_bounce.ao",0,80,0,20,"","",0,100,100,100,0,[],"",[],"","","","","","","","","","",[],[]
65,"Metadata/Projectiles/WandProjectile","[""Metadata/Effects/Spells/base_wand_attack/projectile/wand_projectile.ao""]","[""projectile_01""]","[""impact""]",3260,"",1,"",1,"Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,1,"",[],"",0,0,0,0,3554,"",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
66,"Metadata/Projectiles/CausticArrow","[""Metadata/Effects/Spells/caustic_arrow_02/causticarrow.ao""]",[],[],3260,1,1,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","","[""Metadata/Effects/Spells/caustic_arrow_02/causticarrow_stuck.ao""]","Metadata/Effects/Spells/caustic_arrow_02/causticarrow_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[],"","","","","","","","","","",[],[]
67,"Metadata/Projectiles/BurningArrow","[""Metadata/Effects/Spells/firearrow_02/burning_arrow.ao""]",[],[],3260,"",1,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","","[""Metadata/Effects/Spells/base_arrow_attack/stuck_arrows/arrow_fire.ao""]","Metadata/Effects/Spells/firearrow_02/burning_arrow_bounce.ao",50,80,0,20,3553,"",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
68,"Metadata/Projectiles/VaalBurningArrow","[""Metadata/Effects/Spells/firearrow/rig.ao""]","[""firearrow""]","[""firearrowimpact""]",3260,1,1,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","",[],"",50,0,0,0,"","",0,100,100,100,0,[],"",[],"","","","","","","","","","",[],[]
69,"Metadata/Projectiles/FuseArrow","[""Metadata/Effects/Spells/explosivearrow_2/projectile/basearrow.ao""]","[""explodingarrow""]",[],3260,"",1,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,1,"","","[""Metadata/Effects/Spells/explosivearrow_2/projectile/arrow_base_stuck.ao""]","",100,100,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
