"rownum","Id","bool_8","i32_9","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AOFiles","bool_37","rid_38","i32_54","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_58","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_62","i32_66","i32_70","i32_74","i32_78","i32_82","i32_86","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_90","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_94","i32_98","i32_102","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_106","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_110","i32_114","i32_118","i32_122","i32_126","f32_130","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_134","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_138","i32_142","rid_146","i32_162","i32_166","i32_170","i32_174","i32_178","i32_182","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_186","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_190","i32_194","i32_198","i32_202","i32_206","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_210","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_214","rid_218","[rid]_234","string_250","i32_258","i32_262","bool_266","rid_267","rid_283","bool_299","bool_300","[rid]_301","bool_317","[string]_318","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","bool_334","bool_335","bool_336","i32_337","i32_341","rid_345","bool_361"
283,"Metadata/Chests/IncursionChestMapsUnique2",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1437466624,-1404960768,-1401421824,-1469579264,-1491599360,-1417674752,-1408630784,-1386741760,-1442185216,-1503789056,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,1375731712,1107296256,2013265920,1744830464,402653184,-2147483648,167772160,1476395008,167772160,1577058304,170,172,172,168,167,171,172,173,170,166,0,0,1644167168,1375731712,-2013265920,2013265920,671088640,-1879048192,436207616,1744830464,436207616,1845493760,170,172,172,168,167,171,172,173,170,166,184549376,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1644167168,1375731712,-2013265920,2013265920,671088640,-1879048192,436207616,1744830464,436207616,1845493760,170,172,172,168,167,171,172,173,170,166,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
284,"Metadata/Chests/IncursionChestMapsChisels",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1430257664,-1397751808,-1394212864,-1462370304,-1484390400,-1410465792,-1401421824,-1379532800,-1434976256,-1496580096,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-1073741824,-1342177280,-436207616,-704643072,-2046820352,-301989888,2013265920,-973078528,2013265920,-872415232,170,172,172,168,167,171,172,173,170,166,0,0,-805306368,-1073741824,-167772160,-436207616,-1778384896,-33554432,-2013265920,-704643072,-2013265920,-603979776,170,172,172,168,167,171,172,173,170,166,167772160,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-805306368,-1073741824,-167772160,-436207616,-1778384896,-33554432,-2013265920,-704643072,-2013265920,-603979776,170,172,172,168,167,171,172,173,170,166,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
285,"Metadata/Chests/IncursionChestMapsSextants",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1422917632,-1390411776,-1386872832,-1455030272,-1477050368,-1403125760,-1394081792,-1372192768,-1427636224,-1489240064,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,805306368,536870912,1442840576,1174405120,-167772160,1577058304,-402653184,905969664,-402653184,1006632960,171,173,173,169,167,172,172,174,170,167,0,0,1073741824,805306368,1711276032,1442840576,100663296,1845493760,-134217728,1174405120,-134217728,1275068416,171,173,173,169,168,172,172,174,170,167,167772160,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1073741824,805306368,1711276032,1442840576,100663296,1845493760,-134217728,1174405120,-134217728,1275068416,171,173,173,169,168,172,172,174,170,167,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
286,"Metadata/Chests/IncursionChestMapsHorizonOrbs",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1415184384,-1382678528,-1379139584,-1447297024,-1469317120,-1395392512,-1386348544,-1364459520,-1419902976,-1481506816,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-1509949440,-1778384896,-872415232,-1140850688,1811939328,-738197504,1577058304,-1409286144,1577058304,-1308622848,171,173,173,169,168,172,173,174,171,167,0,0,-1241513984,-1509949440,-603979776,-872415232,2080374784,-469762048,1845493760,-1140850688,1845493760,-1040187392,171,173,173,169,168,172,173,174,171,167,184549376,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1241513984,-1509949440,-603979776,-872415232,2080374784,-469762048,1845493760,-1140850688,1845493760,-1040187392,171,173,173,169,168,172,173,174,171,167,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
287,"Metadata/Chests/IncursionChestMapsVaalInhabitants",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1406926848,-1374420992,-1370882048,-1439039488,-1461059584,-1387134976,-1378091008,-1356201984,-1411645440,-1473249280,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,603979776,335544320,1241513984,973078528,-369098752,1375731712,-603979776,704643072,-603979776,805306368,172,174,174,170,168,173,173,175,171,168,0,0,872415232,603979776,1509949440,1241513984,-100663296,1644167168,-335544320,973078528,-335544320,1073741824,172,174,174,170,168,173,173,175,171,168,150994944,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,872415232,603979776,1509949440,1241513984,-100663296,1644167168,-335544320,973078528,-335544320,1073741824,172,174,174,170,168,173,173,175,171,168,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
288,"Metadata/Chests/IncursionChestMapsVaalTemple",1,4,"Dusty Charts","Cartes poussiéreuses","Verstaubte Karten","誇りまみれのチャート","먼지 쌓인 해도","Mapas Empoeirados","Пыльные карты","Mapas Polvorientos","แผนที่ฝุ่นจับ","灰燼文庫","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1399324672,-1366818816,-1363279872,-1431437312,-1453457408,-1379532800,-1370488832,-1348599808,-1404043264,-1465647104,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-1744830464,-2013265920,-1107296256,-1375731712,1577058304,-973078528,1342177280,-1644167168,1342177280,-1543503872,172,174,174,170,169,173,174,175,172,168,0,0,-1476395008,-1744830464,-838860800,-1107296256,1845493760,-704643072,1610612736,-1375731712,1610612736,-1275068416,172,174,174,170,169,173,174,175,172,168,184549376,0,0,0,0,-8192,-590295810358705700000,-32,-0.0078,-0.0078,-8192,1.0384593717069655e+34,-144115188075855870,-2,-0.125,0,100,0,0,0,0,42,16,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1476395008,-1744830464,-838860800,-1107296256,1845493760,-704643072,1610612736,-1375731712,1610612736,-1275068416,172,174,174,170,169,173,174,175,172,168,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
289,"Metadata/Chests/IncursionChestGems",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,18,-1393033216,-1360527360,-1356988416,-1425145856,-1447165952,-1373241344,-1364197376,-1338769408,-1397751808,-1459355648,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,50396926,0,-134217728,-402653184,503316480,234881024,-1107296256,637534208,-1342177280,872415232,-1342177280,67108864,172,174,175,171,169,174,174,176,172,169,0,0,671088640,402653184,1308622848,1040187392,-301989888,1442840576,-536870912,1677721600,-536870912,872415232,173,175,175,171,169,174,174,176,172,169,134217728,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,671088640,402653184,1308622848,1040187392,-301989888,1442840576,-536870912,1677721600,-536870912,872415232,173,175,175,171,169,174,174,176,172,169,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,1800,"",1
290,"Metadata/Chests/IncursionChestGemsTier2",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,27,-1383989248,-1351483392,-1347944448,-1416101888,-1438121984,-1364197376,-1355153408,-1329725440,-1388707840,-1450311680,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,67174142,0,-2113929216,1912602624,-1476395008,-1744830464,1207959552,-1342177280,973078528,-1107296256,973078528,-1912602624,173,175,175,171,170,174,175,176,173,169,0,0,-1040187392,-1308622848,-402653184,-671088640,-2013265920,-268435456,2046820352,-33554432,2046820352,-838860800,173,175,175,171,170,174,175,176,173,169,150994944,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1040187392,-1308622848,-402653184,-671088640,-2013265920,-268435456,2046820352,-33554432,2046820352,-838860800,173,175,175,171,170,174,175,176,173,169,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,2700,"",1
291,"Metadata/Chests/IncursionChestGemsTier3",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,36,-1373896704,-1341390848,-1337851904,-1406009344,-1428029440,-1354104832,-1345060864,-1319632896,-1378615296,-1440219136,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,67174142,0,469762048,201326592,1107296256,838860800,-503316480,1241513984,-738197504,1476395008,-738197504,671088640,174,176,176,172,170,175,175,177,173,170,0,0,1543503872,1275068416,-2113929216,1912602624,570425344,-1979711488,335544320,-1744830464,335544320,1744830464,174,176,176,172,171,175,176,177,174,170,150994944,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1543503872,1275068416,-2113929216,1912602624,570425344,-1979711488,335544320,-1744830464,335544320,1744830464,174,176,176,172,171,175,176,177,174,170,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,3600,"",1
292,"Metadata/Chests/IncursionChestGemsHighQuality",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,18,-1363017728,-1330511872,-1326972928,-1395130368,-1417150464,-1343225856,-1334181888,-1308753920,-1367736320,-1429340160,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,50396926,0,-1040187392,-1308622848,-402653184,-671088640,-2013265920,-268435456,2046820352,-33554432,2046820352,-838860800,174,176,176,172,171,175,176,177,174,170,0,0,-234881024,-503316480,402653184,134217728,-1207959552,536870912,-1442840576,771751936,-1442840576,-33554432,174,176,177,173,171,176,176,178,174,170,184549376,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-234881024,-503316480,402653184,134217728,-1207959552,536870912,-1442840576,771751936,-1442840576,-33554432,174,176,177,173,171,176,176,178,174,170,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,1800,"",1
293,"Metadata/Chests/IncursionChestGemsCorrupted",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,18,-1353449472,-1320943616,-1317404672,-1385562112,-1407582208,-1333657600,-1324613632,-1299185664,-1358168064,-1419771904,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,33619710,0,1409286144,1140850688,2046820352,1778384896,436207616,-2113929216,201326592,-1879048192,201326592,1610612736,175,177,177,173,172,176,177,178,175,171,0,0,1946157056,1677721600,-1711276032,-1979711488,973078528,-1577058304,738197504,-1342177280,738197504,-2147483648,175,177,177,173,172,176,177,178,175,171,167772160,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1946157056,1677721600,-1711276032,-1979711488,973078528,-1577058304,738197504,-1342177280,738197504,-2147483648,175,177,177,173,172,176,177,178,175,171,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,1800,"",1
294,"Metadata/Chests/IncursionChestGemsGemcutters",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,18,-1344798720,-1312292864,-1308753920,-1376911360,-1398931456,-1325006848,-1315962880,-1290534912,-1349517312,-1411121152,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,33619710,0,-671088640,-939524096,-33554432,-301989888,-1644167168,100663296,-1879048192,335544320,-1879048192,-469762048,175,177,177,173,172,177,177,179,175,171,0,0,-134217728,-402653184,503316480,234881024,-1107296256,637534208,-1342177280,872415232,-1342177280,67108864,175,177,178,174,172,177,177,179,175,172,167772160,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-134217728,-402653184,503316480,234881024,-1107296256,637534208,-1342177280,872415232,-1342177280,67108864,175,177,178,174,172,177,177,179,175,172,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,1800,"",1
295,"Metadata/Chests/IncursionChestGemsCorruptedHigh",1,4,"Thaumaturgy Vessel","Réceptacle thaumaturgique","Thaumaturgie-Gefäß","魔術の器","마법 그릇","Recipiente Taumatúrgico","Волшебный сосуд","Recipiente de Taumaturgia","คนโทมนต์มณี","秘術容器","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,18,-1335754752,-1303248896,-1299709952,-1367867392,-1389887488,-1315962880,-1306918912,-1281490944,-1340473344,-1402077184,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,33619710,0,1644167168,1375731712,-2013265920,2013265920,671088640,-1879048192,436207616,-1644167168,436207616,1845493760,176,178,178,174,173,177,178,179,176,172,0,0,-2113929216,1912602624,-1476395008,-1744830464,1207959552,-1342177280,973078528,-1107296256,973078528,-1912602624,176,178,178,174,173,177,178,179,176,172,184549376,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2113929216,1912602624,-1476395008,-1744830464,1207959552,-1342177280,973078528,-1107296256,973078528,-1912602624,176,178,178,174,173,177,178,179,176,172,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,1800,"",1
296,"Metadata/Chests/IncursionChests/IncursionChestBreach",1,4,"Clasped Hand","Poing serré","Klammernde Hand","閉じた手","움켜잡는 손","Mão Fechada","Ценности из Разлома","Puño Cerrado","มือกุมแน่น","抑制之手","[""Metadata/Chests/IncursionChests/IncursionChestBreach.ao""]",1,0,-1318584320,-1286078464,-1282539520,-1349910528,-1372717056,-1298792448,-1289748480,-1262485504,-1323302912,-1384906752,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,1744830464,1476395008,-1912602624,-1979711488,771751936,-1778384896,536870912,-1073741824,536870912,1946157056,177,179,179,175,174,178,179,180,177,173,0,0,1744830464,1476395008,-1912602624,-1979711488,771751936,-1778384896,536870912,-1073741824,536870912,1946157056,177,179,179,175,174,178,179,180,177,173,-33554432,-16843010,-16843010,-16843010,16711422,-8192,-131072,0,-0.0078,-0.0078,-1.0384593717069655e+34,1.0384593717069655e+34,-8192,-2,-0.125,0,0,25,0,0,45,42,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1744830464,1476395008,-1912602624,-1979711488,771751936,-1778384896,536870912,-1073741824,536870912,1946157056,177,179,179,175,174,178,179,180,177,173,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
297,"Metadata/Chests/IncursionChests/IncursionChestHealingUnique",1,4,"Pools Coffer","Coffre des bassins","Beckentruhe","水際の金庫","저수지 궤짝","Cofre do Fosso","Ящик из купелей","Arca azulada","หีบประจำบ่อ","池畔寶箱","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1308229632,-1274937344,-1272315904,-1340473344,-1363148800,-1288175616,-1279000576,-1252130816,-1313079296,-1375600640,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,100663296,33554432,704643072,436207616,-1073741824,939524096,-1006632960,1577058304,-1140850688,33554432,178,180,180,176,174,179,179,181,177,174,0,0,100663296,33554432,704643072,436207616,-1073741824,939524096,-1006632960,1577058304,-1140850688,33554432,178,180,180,176,174,179,179,181,177,174,218103808,0,0,0,0,-8192,-131072,0,-0.0078,-0.0078,-8192,562949953421312,35184372088832,-2,-0.125,0,0,25,0,0,0,2,2,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,100663296,33554432,704643072,436207616,-1073741824,939524096,-1006632960,1577058304,-1140850688,33554432,178,180,180,176,174,179,179,181,177,174,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
298,"Metadata/Chests/IncursionChests/IncursionChestPoisonUnique",1,4,"Grove Vessel","Réceptacle du bosquet","Naturgefäß","木立の器","수목원 그릇","Recipiente do Bosque","Сосуд из рощи","Recipiente de Arboleda","คนโทประจำสวน","果林器皿","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]",1,0,-1298006016,-1263534080,-1262354432,-1331298304,-1353711616,-1276903424,-1268645888,-1240596480,-1302855680,-1366425600,0,0,0,0,0,0,0,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1577058304,-1342177280,-1040187392,-1509949440,1342177280,-469762048,1644167168,234881024,1476395008,-1912602624,178,180,180,176,175,179,180,182,178,174,0,0,-1577058304,-1342177280,-1040187392,-1509949440,1342177280,-469762048,1644167168,234881024,1476395008,-1912602624,178,180,180,176,175,179,180,182,178,174,201326592,0,0,0,0,-8192,-131072,-32,-0.0078,-0.0078,-8192,562949953421312,-8192,-2,-0.125,0,0,0,0,0,0,2,0,0,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1577058304,-1342177280,-1040187392,-1509949440,1342177280,-469762048,1644167168,234881024,1476395008,-1912602624,178,180,180,176,175,179,180,182,178,174,-33554432,-16843010,-16843010,-16843010,-889258242,-822149378,-922812674,-1057030402,-1057030402,-855703810,-855703810,-855703810,-989921538,-1023475970,0,0,0,0,0,0,0,0,0,0,0,"",[],"",0,0,"","","","","",[],"",[],[],[],[],[],[],[],[],[],[],"","","",1,0,"",1
