"rownum","EffectBaseType","VisualEffect","VisualIdentity","Stats","ItemClasses","[rid]_80","bool_96","[i32]_97","[i32]_113","bool_129","[rid]_130","bool_146","[rid]_147","[rid]_163","[rid]_179","[rid]_195","rid_211","bool_227","rid_228","rid_244","bool_260","i32_261","i32_265","i32_269","i32_273","i32_277"
17,141,16,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
18,142,17,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]",1,[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
19,143,18,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]",1,[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
20,144,19,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]",1,[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
21,145,20,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]",1,[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
22,146,21,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
23,147,22,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
24,148,23,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
25,149,24,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
26,150,25,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
27,151,43,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
28,53,"",4288,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
29,52,"",4287,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
30,49,"",4289,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
31,50,"",4290,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
32,51,"",4291,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
33,54,"",4292,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
34,55,"",4293,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
35,4140,"",4295,[],[25],[],1,[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
36,56,"",4296,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
37,57,"",4297,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
38,58,"",4298,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
39,59,"",4299,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
40,60,"",4300,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
41,61,"",4302,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
42,62,"",4303,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
43,63,"",4304,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
44,64,"",4305,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
45,65,"",4306,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
46,66,"",4307,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
47,67,"",4308,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
48,68,"",4309,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
49,69,"",4310,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
50,70,"",4311,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
51,71,"",4312,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
52,72,"",4313,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
53,73,"",4314,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
54,74,"",4315,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
55,75,"",4316,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
56,76,"",4317,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
57,77,"",4318,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
58,78,"",4319,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
59,79,"",4320,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
60,80,"",4321,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
61,81,"",4323,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
62,82,"",4324,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
63,239,"",4377,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
64,240,"",4378,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
65,165,"",4322,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
66,83,"",4294,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
67,45,"",9405,[],"[25,24,22,23,26,20,92]",[],"",[],"[7,9,11,12,4]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
68,47,"","",[15421],"[0,1,33]",[],"",[-1],"[26,27,28,29,30]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
69,46,"","",[7353],[],"[417,423,415,422,430,431,432,424,425,433,449,3182,3273,3325,3266,2943,3317,3168,3265,2984,3315,3176,3272,3326]","",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
70,84,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
71,85,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
72,86,"","",[339],[],[],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
73,87,"","",[339],[],[],"",[3],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
74,88,"","",[339],[],[],"",[4],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
75,92,"","",[339],[],[],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
76,93,"","","[339,1299]",[],[409],"","[1,1]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
77,97,"","",[339],[],[410],"",[-29],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
78,99,"","",[339],[],[384],"",[-3],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
79,100,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
80,101,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
81,102,"","",[339],[],[391],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
82,103,"","",[1219],[],"[416,450]","",[1],[55],"",[],"",[],[],[],[],"","",1,"","",-33554432,-16843010,-16843010,-16843010,16711422
83,104,"","",[339],[],[421],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
84,105,"","",[339],[],[],"",[3],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
85,106,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
86,107,"","",[339],[],[],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
87,108,"","",[339],[],[417],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
88,109,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
89,91,"","","[339,1299]",[],[],"","[1,1]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
90,110,"","","[339,1299]",[],[],"","[1,1]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
91,89,"","",[339],[],[387],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
92,111,"","",[339],[],"[415,422,423,424,425,433]","",[-6],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
93,112,"","",[339],[],"[415,422,423,424,425,433]","",[-8],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
94,113,"","",[339],[],"[415,422,423,424,425,433]","",[-9],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
95,114,"","",[339],[],"[415,422,423,424,425,433]","",[-7],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
96,115,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
97,116,"","",[339],[],[],"",[2],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
98,117,"","",[339],[],[],"",[3],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
99,118,"","",[1219],[],"[416,450]","",[3],[55],"",[],"",[],[],[],[],"","",1,"","",-33554432,-16843010,-16843010,-16843010,16711422
100,119,"","",[339],[],[],"",[1],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
101,120,"","","[339,1299]",[],[384],"","[-2,1]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
102,121,"","","[339,1299]",[],[2819],"","[1,2]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
103,122,"","",[339],[],"[415,422,423,424,425,433]","",[-5],[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
104,123,"","","[339,1299,2624]",[],[],"","[1,1,2]",[55],"",[],"",[],[],[],[],"","",0,"","",-33554432,-16843010,-16843010,-16843010,16711422
105,42,"","",[1065],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57]",[],"",[1],"[3,6,38,41,44,47]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
106,43,"","",[4645],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57]",[],"",[1],"[3,6,38,41,44,47]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
107,44,38,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]",1,[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
108,152,"","",[1364],[23],[],"",[1],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
109,153,"","",[1364],[23],[],"",[2],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
110,154,"","",[1364],[23],[],"",[3],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
111,155,"","",[1364],[23],[],"",[4],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
112,156,"","",[1364],[23],[],"",[5],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
113,157,"","",[1364],[23],[],"",[6],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
114,158,"","",[1364],[23],[],"",[7],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
115,159,"","",[1364],[23],[],"",[8],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
116,160,"","",[1364],[23],[],"",[11],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
117,161,"","",[1364],[23],[],"",[12],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
118,162,"","",[1364],[23],[],"",[13],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
119,163,"","",[1364],[23],[],"",[14],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
120,164,"","",[1364],[23],[],"",[15],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
121,4139,"","",[1364],[23],[],1,[9],[13],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
122,171,"",4330,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
123,172,"",4331,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
124,173,"",4332,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
125,174,"",4333,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
126,175,"",4334,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
127,176,"",4335,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
128,177,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
129,178,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
130,179,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
131,180,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
132,183,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
133,184,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
134,185,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
135,186,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
136,187,"","",[],[],[],"",[],[20],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
137,192,"","",[],[],[],"",[],[17],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
138,193,"","",[],[],[],"",[],[17],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
139,194,"","",[],[],[],"",[],[17],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
140,4565,"",4333,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
141,198,"",4336,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
142,199,"",4337,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
143,200,"",4338,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
144,201,"",4339,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
145,202,"",4340,[],[24],[],"",[],[10],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
146,203,"",4341,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
147,204,"",4342,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
148,206,"",4343,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
149,205,"",4344,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
150,207,"",4345,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
151,208,"",4346,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
152,209,"",4348,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
153,210,"",4347,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
154,211,"",4349,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
155,212,"",4350,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
156,213,"",4351,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
157,214,"",4352,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
158,215,"",4353,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
159,216,"",4354,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
160,217,"",4355,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
161,218,"",4356,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
162,219,"",4357,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
163,220,"",4358,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
164,221,"",4359,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
165,222,"",4360,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
166,223,"",4361,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
167,224,"",4362,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
168,225,"",4363,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
169,226,"",4364,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
170,227,"",4365,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
171,228,"",4366,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
172,229,"",4367,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
173,230,"",4368,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
174,231,"",4369,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
175,232,"",4370,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
176,233,"",4371,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
177,234,"",4372,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
178,235,"",4373,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
179,236,"",4374,[],[23],[],"",[],[12],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
180,237,"",4375,[],[22],[],"",[],[11],"",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
