"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134"
10,"AddedColdDamageSupport","",405,"Supports [Attack|Attacks], causing them to [Gain] [Cold] Damage but deal less [Fire] and [Lightning] Damage.","Modifie les [Attack|Attaques], leur permettant de bénéficier de Dégâts de [Cold|Froid] [Gain|Rajoutés]. En contrepartie, elles perdent une partie de leurs Dégâts de [Fire|Feu] et de [Lightning|Foudre].","Unterstützt [Attack|Angriffe], wodurch sie [Cold|Käte]schaden [Gain|erhalten], aber weniger [Fire|Feuer]- und [Lightning|Blitz]schaden verursachen.","[Attack|アタック]をサポートし、[Cold|冷気]ダメージを[Gain|獲得]するようにするが、[Fire|火]ダメージと[Lightning|雷]ダメージを下げる","[Attack|공격]에 적용됩니다. 공격이 [Cold|냉기] 피해를 [Gain|획득]하지만 [Fire|화염] 피해와 [Lightning|번개] 피해는 줄어듭니다.","Suporta [Attack|Ataques], fazendo com que ganhem Dano de [Cold|Gelo], mas causem menos Dano de [Fire|Fogo] e [Lightning|Raio].","Усиливает [Attack|атаки]. Усиленные умения [Gain|приобретают] урон от [Cold|холода], но наносят меньше урона от [Fire|огня] и [Lightning|молнии].","Asiste [Attack|ataques] para que [Gain|ganen] daño de [Cold|hielo], pero infligirán menos daño de [Fire|fuego] y [Lightning|rayo].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Cold|น้ำแข็ง]\r\nแต่สร้างความเสียหาย [Fire|ไฟ]และ[Lightning|สายฟ้า] ลดลง อีก","輔助[Attack|攻擊]，使其[Gain|獲得][Cold|冰冷]傷害，但造成更少[Fire|火焰]和[Lightning|閃電]傷害。","","[16,13,1]","",3,[],[],"","",[],-1
11,"AdditionalAccuracySupport","",406,"Supports [Attack|Attacks], causing them to gain [Accuracy].","Modifie les [Attack|Attaques], leur faisant gagner de la [Accuracy|Précision].","Unterstützt [Attack|Angriffe], wodurch sie [Accuracy|Genauigkeit] erhalten.","[Attack|アタック]をサポートし、そのスキルに[Accuracy|命中]を付与する。","[Attack|공격]에 적용됩니다. [Attack|공격]의 정확도가 올라갑니다.","Suporta [Attack|Ataques], fazendo com que eles ganhem [Accuracy|Precisão].","Усиливает [Attack|атаки], повышая их [Accuracy|меткость].","Asiste [Attack|ataques] y les otorga mayor [Accuracy|precisión].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มี[Accuracy|ความแม่นยำ]เพิ่มเติม","輔助[Attack|攻擊]，使其增加[Accuracy|命中]值","","[16,13]","",3,[],[],"","",[],-1
12,"IncreasedAreaOfEffectSupport","",407,"Supports any skill with an area of effect, making it larger.","Modifie n'importe quelle aptitude qui a une zone d'effet, rendant cette dernière plus grande.","Unterstützt jede Fertigkeit mit einem Wirkungsbereich und vergrößert diesen.","効果範囲を持つスキルをサポートし、その効果範囲をより広くする。","효과 범위가 있는 모든 스킬에 적용되어, 효과 범위를 늘려 줍니다.","Suporta qualquer habilidade com área de efeito, tornando-a maior.","Усиливает любое умение с областью действия, увеличивая её.","Asiste cualquier habilidad que tenga un área de efecto para hacerla más grande.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล เพื่อให้สกิลนี้มีขนาดใหญ่ขึ้น","輔助任何有範圍效果的技能，使其範圍擴大。","","[16,14]","",3,[],[],"","",[],-1
13,"AddedLightningDamageSupport","",408,"Supports [Attack|Attacks], causing them to [Gain] [Lightning] Damage but deal less [Cold] and [Fire] Damage.","Modifie les [Attack|Attaques], leur permettant de bénéficier de Dégâts de [Lightning|Foudre] [Gain|Rajoutés]. En contrepartie, elles perdent une partie de leurs Dégâts de [Cold|Froid] et de [Fire|Feu].","Unterstützt [Attack|Angriffe], wodurch sie [Lightning|Blitz]schaden [Gain|erhalten], aber weniger [Cold|Kälte]- und [Fire|Feuer]schaden verursachen.","[Attack|アタック]をサポートし、[Lightning|雷]ダメージを[Gain|獲得]するようにするが、[Cold|冷気]ダメージと[Fire|火]ダメージを下げる","[Attack|공격]에 적용됩니다. 공격이 [Lightning|번개] 피해를 [Gain|획득]하지만 [Cold|냉기] 피해와 [Fire|화염] 피해는 줄어듭니다.","Suporta [Attack|Ataques], fazendo com que ganhem Dano de [Lightning|Raio], mas causem menos Dano de [Cold|Gelo] e [Fire|Fogo].","Усиливает [Attack|атаки]. Усиленные умения  [Gain|приобретают] урон от [Lightning|молнии], но наносят меньше урона от [Cold|холода] и [Fire|огня].","Asiste [Attack|ataques] para que [Gain|ganen] daño de [Lightning|rayo], pero infligirán menos daño de [Cold|hielo] y [Fire|fuego].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Lightning|สายฟ้า]\r\nแต่สร้างความเสียหาย [Cold|น้ำแข็ง]และ[Fire|ไฟ] ลดลง อีก","輔助[Attack|攻擊]，使其[Gain|獲得][Lightning|閃電]傷害，但造成更少[Cold|冰冷]和[Fire|火焰]傷害。","","[16,13,2]","",3,[],[],"","",[],-1
14,"RaiseZombie","",32,"","","","","","","","","","","","[11,24,8,30,15]","",3,[],[],"","",[],-1
15,"InspirationSupport","",409,"Supports any skill, making it cost less to use. Cannot support skills which reserve [Spirit].","Modifie n'importe quelle aptitude, réduisant son coût d'utilisation. Ne peut pas modifier les aptitudes qui réservent de l'[Spirit|Esprit].","Unterstützt jede Fertigkeit, wodurch die Kosten für die Nutzung verringert werden. Kann keine Fertigkeiten unterstützen, die [Spirit|Wille] reservieren.","スキルをサポートし、その使用コストを低下させる。[Spirit|スピリット]をリザーブするスキルはサポートできない。","모든 스킬에 적용되어, 비용을 줄여 줍니다. [Spirit|정신력]을 점유하는 스킬에는 적용되지 않습니다.","Suporta qualquer habilidade, reduzindo seu custo de uso. Não pode suportar habilidades que reservam [Spirit|Espírito]. ","Усиливает любое умение. Усиленные умения затрачивают меньше ресурсов на использование. Не может усиливать умения, удерживающие [Spirit|дух].","Asiste cualquier habilidad para que cueste menos usarla. No puede asistir habilidades que reserven [Spirit|espíritu].","ใช้เสริมสกิล เพื่อให้สกิลนี้มีค่าใช้งานลดลง อีก ไม่สามารถเสริม สกิลที่สำรอง[Spirit|พลังวิญญาณ] ได้","輔助任何技能，使其使用消耗減少。無法輔助保留[Spirit|精魂]的技能。","",[16],"",3,[],[],"","",[],-1
16,"IncreasedCriticalDamageSupport","",410,"Supports any skill that [HitDamage|Hits] enemies, causing it to deal more damage with [Critical|Critical Hits] but have less [Critical|Critical Hit] chance.","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis, lui permettant d'infliger davantage de dégâts avec les [Critical|Touches critiques]. En contrepartie, ses chances d'infliger une [Critical|Touche critique] sont diminuées.","Unterstützt jede Fertigkeit, die Gegner [HitDamage|trifft], wodurch sie mehr Schaden mit [Critical|kritischen Treffern] verursacht, aber weniger [Critical|kritische Treffer]chance gewährt.","敵に[HitDamage|ヒット]を与えるスキルをサポートし、[Critical|クリティカルヒット]のダメージを上昇させるが、[Critical|クリティカルヒット]率を低下させる。","적을 [HitDamage|명중]하는 모든 스킬에 적용됩니다. 보조 대상 스킬이 [Critical|치명타]로 주는 피해가 늘어나지만 [Critical|치명타] 확률은 줄어듭니다.","Suporta qualquer habilidade que [HitDamage|Acerte] inimigos, fazendo com que causem mais dano com [Critical|Acertos Críticos], mas tenham menos chance de [Critical|Acerto Crítico].","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. Усиленное умение наносит больше урона при [Critical|критических попаданиях], но имеет меньший шанс [Critical|критического попадания].","Asiste habilidades que [HitDamage|impactan] a los enemigos y les otorga más daño con [Critical|impactos críticos] pero menos probabilidad de [Critical|impacto crítico].","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้สกิลนี้สร้างความเสียหาย[Critical|ปะทะคริติคอล]เพิ่มขึ้น อีก\r\nแต่มีโอกาส[Critical|ปะทะคริติคอล] ลดลง อีก","輔助任何[HitDamage|擊中]敵人的技能，使其[Critical|暴擊]造成更多傷害，但降低[Critical|暴擊]率。","","[16,38]","",3,[],[],"","",[],-1
17,"KnockbackSupport","",411,"Supports any skill that [HitDamage|Hits] enemies, causing it to [Knockback|Knock Back] enemies.","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis, lui permettant de [Knockback|Repousser] les ennemis.","Unterstützt jede Fertigkeit, die Gegner [HitDamage|trifft] und sie dabei [Knockback|zurückstößt].","敵に[HitDamage|ヒット]を与えるスキルをサポートし、敵を[Knockback|ノックバック]するようにする。","적을 [HitDamage|명중]하는 모든 스킬에 적용됩니다. 보조 대상 스킬이 적을 [Knockback|밀어냅니다].","Suporta qualquer habilidade que [HitDamage|Acerte] inimigos, fazendo com que elas [Knockback|Empurrem] os inimigos.","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. Усиленное умение [Knockback|отбрасывает] врагов.","Asiste habilidades que [HitDamage|impactan] a los enemigos para que los [Knockback|empujen].","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้สกิลนี้[Knockback|ผลัก]ศัตรูออกไป","輔助任何[HitDamage|擊中]敵人的技能，使其[Knockback|擊退]敵人。","",[16],"",3,[],[],"","",[],-1
18,"LifeLeechSupport","",412,"Supports [Attack|Attacks], causing their [Physical] damage to [LifeLeech|Leech] Life.","Modifie les [Attack|Attaques], permettant à leurs Dégâts [Physical|Physiques] de [LifeLeech|Drainer] de la Vie.","Unterstützt [Attack|Angriffe] und lässt deren [Physical|physischen] Schaden Lebens[LifeLeech|raub] anwenden.","[Attack|アタック]をサポートし、そのスキルの[Physical|物理]ダメージでライフを[LifeLeech|リーチ]できるようにする。","[Attack|공격]에 적용됩니다. 보조 대상 공격의 [Physical|물리] 피해가 생명력을 [LifeLeech|흡수]합니다.","Suporta [Attack|Ataques], fazendo com que seu dano [Physical|Físico] [LifeLeech|Drene] de Vida.","Усиливает [Attack|атаки]. [Physical|Физический] урон усиленных умений to [LifeLeech|похищает] здоровье.","Asiste [Attack|ataques] para que su daño [Physical|físico] [LifeLeech|absorba] vida.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้ความเสียหาย [Physical|กายภาพ] ของสกิลนี้ [LifeLeech|ดูด]พลังชีวิต","輔助[Attack|攻擊]，使其[Physical|物理]傷害[LifeLeech|偷取]生命。","","[16,13,30]","",3,[],[],"","",[],-1
19,"ManaLeechSupport","",413,"Supports [Attack|Attacks], causing their [Physical] damage to [ManaLeech|Leech] Mana.","Modifie les [Attack|Attaques], permettant à leurs Dégâts [Physical|Physiques] de [ManaLeech|Drainer] du Mana.","Unterstützt [Attack|Angriffe] und lässt deren [Physical|physischen] Schaden Mana[ManaLeech|raub] anwenden.","[Attack|アタック]をサポートし、そのスキルの[Physical|物理]ダメージでマナを[ManaLeech|リーチ]できるようにする。","[Attack|공격]에 적용됩니다. 보조 대상 공격의 [Physical|물리] 피해가 마나를 [ManaLeech|흡수]합니다.","Suporta [Attack|Ataques], fazendo com que seu dano [Physical|Físico] [ManaLeech|Drene] de Mana.","Усиливает [Attack|атаки]. [Physical|Физический] урон усиленных умений to [ManaLeech|похищает] ману.","Asiste [Attack|ataques] para que su daño [Physical|físico] [ManaLeech|absorba] maná.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้ความเสียหาย [Physical|กายภาพ] ของสกิลนี้ [ManaLeech|ดูด]มานา","輔助[Attack|攻擊]，使其[Physical|物理]傷害[ManaLeech|偷取]魔力。","","[16,13,30]","",3,[],[],"","",[],-1
20,"AddedChaosDamageSupport","",414,"Supports [Attack|Attacks], causing them to [Gain] [Chaos] Damage but deal less Damage of other [DamageTypes|Types].","Modifie les [Attack|Attaques], leur permettant de bénéficier de Dégâts de [Chaos|Chaos] [Gain|Rajoutés]. En contrepartie, elles perdent une partie de leurs Dégâts de tous les autres [DamageTypes|Types].","Unterstützt [Attack|Angriffe], wodurch sie [Chaos|Chaos]schaden [Gain|erhalten], aber weniger Schaden anderer [DamageTypes|Schadensarten] verursachen.","[Attack|アタック]をサポートし、[Chaos|混沌]ダメージを[Gain|獲得]するようにするが、その他のダメージタイプのダメージを下げる。","[Attack|공격]에 적용됩니다. 공격이 [Chaos|카오스] 피해를 [Gain|획득]하지만 나머지 [DamageTypes|유형]의 피해는 줄어듭니다.","Suporta [Attack|Ataques], fazendo com que ganhem Dano de [Chaos|Caos], mas causem menos Dano de outros [DamageTypes|Tipos].","Усиливает [Attack|атаки]. Усиленные умения [Gain|приобретают] урон [Chaos|хаосом], но наносят меньше урона других [DamageTypes|типов].","Asiste [Attack|ataques] para que [Gain|ganen] daño de [Chaos|caos], pero infligirán menos daño de otros tipos.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Chaos|เคออส]\r\nแต่สร้างความเสียหาย[DamageTypes|ชนิด]อื่น ลดลง อีก","輔助[Attack|攻擊]，使其[Gain|獲得][Chaos|混沌]傷害，但同時減少其他[DamageTypes|類型]的傷害。","","[16,13,3]","",3,[],[],"","",[],-1
21,"FlickerStrike","",33,"","","","","","","","","","","","[10,11,24,13,14,7,32]","",3,[],[],"","",[],-1
22,"Spark","",34,"","","","","","","","","","","","[11,24,60,4,5,2,15]","",3,[],[],"","",[],-1
23,"UniqueEarthboundTriggeredSpark","",35,"","","","","","","","","","","","[11,24,60,4,5,2,15]","",3,[],[],"","",[],-1
24,"PierceSupport","",415,"Supports [Projectile|Projectile] skills, making their [Projectile|Projectiles] [Pierce|Pierce] an enemy but deal less damage after doing so.","Modifie les aptitudes à [Projectile|Projectiles], permettant à leurs [Projectile|Projectiles] de [Pierce|Transpercer] un ennemi. Après avoir transpercé un ennemi, ces projectiles subissent une perte de dégâts.","Unterstützt [Projectile|Projektil]fertigkeiten, so dass ihre [Projectile|Projektile] einen Gegner [Pierce|durchbohren], aber danach weniger Schaden verursachen.","[Projectile|投射物]スキルをサポートし、そのスキルによる[Projectile|投射物]が敵を[Pierce|貫通]するようにするが、貫通した後に与えるダメージを低下させる。","[Projectile|투사체] 스킬에 적용됩니다. 보조 대상 스킬의 [Projectile|투사체]가 적을 [Pierce|관통]하지만 관통 후 주는 피해는 줄어듭니다.","Suporta habilidades de [Projectile|Projétil], fazendo com que seus [Projectile|Projéteis] [Pierce|Atravessem] um inimigo, mas causem menos dano depois disso.","Усиливает умения [Projectile|снарядов]. [Projectile|Снаряды] усиленных умений [Pierce|пронзают] врага, но после этого наносят меньше урона.","Asiste habilidades de [Projectile|proyectiles] para que sus [Projectile|proyectiles] [Pierce|perforen] a un enemigo pero inflijan menos daño después de hacerlo.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้[Projectile|โพรเจกไทล์]ของสกิลนี้[Pierce|เจาะทะลุ]ศัตรู\r\nแต่สร้างความเสียหาย ลดลง อีก หลังจากที่เจาะทะลุไปแล้ว","輔助[Projectile|投射物]技能，使其[Projectile|投射物][Pierce|穿透]擊中的敵人，但穿透後造成的傷害會降低。","","[16,5]","",3,[],[],"","",[],-1
25,"SummonSpectre","",37,"","","","","","","","","","","","[11,24,60,8,49]","",3,[],[],"","",[],-1
26,"FrostWall","",38,"","","","","","","","","","","","[11,24,4,14,1,15]","",3,[],[],"","",[],-1
27,"ShockNova","",39,"","","","","","","","","","","","[11,24,60,4,14,2,33]","",3,[],[],"","",[],-1
28,"MeleePhysicalDamageSupport","",416,"Supports [Melee] [Attack|Attacks], boosting their [Physical] damage at the cost of [Attack] Speed.","Modifie les [Attack|Attaques] de [Melee|Mêlée], augmentant leurs Dégâts [Physical|Physiques] au détriment de leur Vitesse d'[Attack|Attaque].","Unterstützt [Melee|Nahkampf][Attack|angriffe] und erhöht ihren [Physical|physischen] Schaden auf Kosten der [Attack|Angriffs]geschwindigkeit.","[Melee|近接][Attack|アタック]スキルをサポートし、[Attack|アタック]スピードを犠牲にして、その[Physical|物理]ダメージをブーストする。","[Melee|근접] [Attack|공격]에 적용됩니다. 보조 대상 공격의 [Physical|물리] 피해가 늘어나지만 [Attack|공격] 속도는 느려집니다.","Suporta [Attack|Ataques] [Melee|Corpo a Corpo], aumentando seu dano [Physical|Físico] ao custo de Velocidade de [Strike|Ataque].","Усиливает [Attack|атаки] [Melee|ближнего боя], повышая их [Physical|физический] урон ценой скорости [Attack|атаки].","Asiste [Attack|ataques] [Melee|cuerpo a cuerpo] para aumentar su daño [Physical|físico] a costa de la velocidad de [Attack|ataque].","ใช้เสริมการ[Attack|โจมตี][Melee|ประชิด] เพื่อเพิ่มความเสียหาย [Physical|กายภาพ] ของสกิลนี้ แลกกับการลดความเร็วในการ[Attack|โจมตี]","輔助[Melee|近戰][Attack|攻擊]技能，增強其[Physical|物理]傷害，但犧牲[Attack|攻擊]速度。","","[16,13,7,30]","",3,[],[],"","",[],-1
29,"FasterCastSupport","",417,"Supports [Spell|Spells], causing them to cast faster.","Modifie les [Spell|Sorts], leur permettant d'être lancés plus rapidement.","Unterstützt [Spell|Zauber], wodurch sie schneller gewirkt werden.","[Spell|スペル]をサポートし、より素早くキャストできるようにする。","[Spell|주문]에 적용되어 더 빨리 시전되게 해 줍니다.","Suporta [Spell|Magias], fazendo com que sejam conjuradas mais rápido.","Усиливает [Spell|чары]. Усиленные умения сотворяют чары быстрее.","Asiste [Spell|hechizos] para que se lancen más rápido.","ใช้เสริม[Spell|เวท] เพื่อให้สกิลนี้ร่ายออกมาได้เร็วขึ้น","輔助[Spell|法術]，使其施放速度加快。","","[16,4]","",3,[],[],"","",[],-1
30,"TemporalChains","",40,"","","","","","","","","","","","[11,24,60,4,14,15,17]","",3,[],[],"","",[],-1
31,"Enfeeble","",41,"","","","","","","","","","","","[11,24,60,4,14,15,17]","",3,[],[],"","",[],-1
32,"SnipersMark","",42,"","","","","","","","","","","","[10,24,60,4,36,15]","",3,[],[],"","",[],-1
33,"Despair","",91,"","","","","","","","","","","","[11,24,60,4,14,3,15,17]","",3,[],[],"","",[],-1
34,"LightningWarp","",44,"","","","","","","","","","","","[11,24,60,4,14,2,15]","",3,[],[],"","",[],-1
35,"ArmourBreaker","",45,"","","","","","","","","","","","[9,24,13,14,7,32,30]","",3,[],[],"","",[],-1
36,"RainOfArrows","",93,"","","","","","","","","","","","[10,24,13,14,5,51]","",3,[],[],"","",[],-1
37,"ConcentratedEffectSupport","",418,"Supports any skill with an area of effect, causing that area to be smaller but any area damage it deals to be higher.","Modifie n'importe quelle aptitude qui a une zone d'effet, rendant cette dernière plus petite. En contrepartie, elle inflige davantage de dégâts de zone.","Unterstützt jede Fertigkeit mit einem Wirkungsbereich, wodurch dieser Bereich kleiner, der verursachte Flächenschaden jedoch größer wird.","効果範囲を持つスキルをサポートし、そのスキルの効果範囲を狭くするが、与えるダメージを上げる。","효과 범위가 있는 모든 스킬에 적용됩니다. 효과 범위가 줄어들지만, 주는 범위 피해는 커집니다.","Suporta qualquer habilidade com área de efeito, fazendo com que a área seja menor, mas o dano em área causado seja maior.","Усиливает любое умение с областью действия, уменьшая эту область, но повышая любой наносимый умением урон по области.","Asiste cualquier habilidad que tenga un área de efecto para que su área sea más pequeña pero inflija un daño mayor.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล เพื่อให้สกิลนี้มีพื้นที่ส่งผลขนาดเล็กลง แต่ทำให้สร้างความเสียหาย พื้นที่ ได้สูงขึ้น","輔助任何有範圍效果的技能，使該範圍變得更小，但其造成的任何範圍傷害更高。","","[16,14]","",3,[],[],"","",[],-1
