"rownum","HideoutArea","HASH16","HideoutFile","rid_26","string_42","bool_50","bool_51","string_52","[i32]_60","bool_76","rid_77","string_93"
10,18,-11166,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout","",1,"Doomguard Hideout",[],"",6979,""
11,19,-27643,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout","",1,"Sunspire Hideout",[],"",6980,""
12,20,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout","",1,"Darkwood Hideout",[],"",6981,""
13,6,-30514,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Celestial Nebula Hideout",[],"",6982,""
14,7,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout","",1,"Entombed Hideout",[],"",6983,""
15,21,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout","",1,"Void Hideout",[],"",6984,""
16,22,-1654,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout","",1,"Chiyou Hideout",[],1,6985,""
17,23,-32671,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss","",1,"Infinite Abyss Hideout",[],"",6986,""
18,24,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity","",1,"Urban Sprawl Hideout",[],"",6987,""
19,25,-3769,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds","",1,"Boundless Skies Hideout",[],"",6988,""
20,26,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert","",1,"Endless Sands Hideout",[],"",6989,""
21,27,-31014,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt","",1,"Eternal Wasteland Hideout",[],"",6990,""
22,28,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass","",1,"Vast Plains Hideout",[],"",6991,""
23,29,-7222,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea","",1,"All at Sea Hideout",[],"",6992,""
24,30,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow","",1,"Glacial Expanse Hideout",[],"",6993,""
25,31,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout","",1,"Thaumaturgical Hideout",[],"",6994,""
26,32,-11694,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout","",1,"Yaochi Hideout",[],1,6995,""
27,33,-442,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout","",1,"Humanoid Pet Hideout",[],1,6996,""
28,34,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout","",1,"Ritualist's Hideout",[],1,6997,""
29,35,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout","",1,"Crucible Hideout",[],"",6998,""
30,36,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout","",1,"Tavern Hideout",[],"",6999,""
31,37,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout","",1,"Azurite Cavern Hideout",[],"",7000,""
32,38,6681,"Metadata/Terrain/Missions/Hideouts/SynthesisHub/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SynthesisHideout","",1,"Synthesis Hideout",[],"",7001,""
33,39,-13986,"Metadata/Terrain/Missions/Hideouts/ArenaVeritania/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RedeemersHideout","",1,"Redeemer's Hideout",[],"",7002,""
34,41,15139,"Metadata/Terrain/Missions/Hideouts/TencentApocalypse/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CataclysmicHideout","",1,"Cataclysmic Hideout",[],1,"",""
35,40,14166,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Black Void Hideout",[],"","",""
36,42,20743,"Metadata/Terrain/Missions/Hideouts/ArenaOlroth/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AncestralHideout","",1,"Ancestral Hideout",[],"",7003,""
37,43,-671,"Metadata/Terrain/Missions/Hideouts/Light/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LightThemedHideout","",1,"Timekeeper's Hideout","[12,13]","",7004,""
38,44,11848,"Metadata/Terrain/Missions/Hideouts/Dark/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkThemedHideout","",1,"Ghost-lit Graveyard Hideout","[10,11]","",7005,""
39,45,2056,"Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlackStarHideout","",1,"Polaric Hideout",[14],"",7006,""
40,46,-14069,"Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InfiniteHungerHideout","",1,"Seething Hideout",[],"",7007,""
41,47,8758,"Metadata/Terrain/Missions/Hideouts/AtlasHideout/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtlasHideout","",1,"Atlas Hideout","[15,16]","",7008,""
42,48,-3659,"Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EaterOfWorldsHideout","",1,"Tangled Hideout",[],"",7009,""
43,49,95,"Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,"Searing Hideout",[],"",7010,""
44,50,15656,"Metadata/Terrain/Hideouts/BeaconOfSalvation/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,1,"Beacon of Salvation Hideout",[],1,7021,""
45,51,21626,"Metadata/Terrain/Hideouts/Canopy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanopyHideout",1,1,"Canopy Hideout",[],"",7022,""
46,52,30315,"Metadata/Terrain/Hideouts/Dreadnought/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DreadnoughtHideout",1,1,"The Dreadnought Hideout",[],"",7020,""
47,53,13526,"Metadata/Terrain/Hideouts/FelledGrove/decoration.hideout",356,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FelledHideout",1,"","Felled Hideout",[],"","",""
48,54,26805,"Metadata/Terrain/Hideouts/Shrine/decoration.hideout",358,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShrineHideout",1,"","Shrine Hideout",[],"","",""
49,55,12394,"Metadata/Terrain/Hideouts/Limestone/decoration.hideout",357,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LimestoneHideout",1,"","Limestone Hideout",[],"","",""
50,56,-5121,"Metadata/Terrain/Hideouts/Canal/decoration.hideout",359,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanalHideout",1,"","Canal Hideout",[],"","",""
51,57,-25850,"Metadata/Terrain/Hideouts/Monolith/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MonolithHideout",1,1,"Monolith Hideout",[],"",7023,""
52,58,15287,"Metadata/Terrain/Hideouts/Twisted/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwistedHideout",1,1,"Twisted Hideout",[],"",7024,""
53,59,-29436,"Metadata/Terrain/Hideouts/Transcendent/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TranscendentHideout",1,1,"Transcendent Hideout",[],"",7025,""
54,60,12797,"Metadata/Terrain/Hideouts/Hourglass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HourglassHideout",1,1,"Hourglass Hideout",[],"",7026,""
55,61,4360,"Metadata/Terrain/Hideouts/Chaos/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChaosHideout",1,1,"Chaos Hideout",[],"",7027,""
56,62,-6484,"Metadata/Terrain/Hideouts/Summit/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,1,"Summit Hideout",[],1,"",""
57,63,382,"Metadata/Terrain/Missions/Hideouts/Racetrack/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VastiriRacetrackHideout",1,1,"Vastiri Racecourse Hideout",[],"",7019,""
