"rownum","BaseItemType","AddedMods","NegativeWeight_Tags","NegativeWeight_Values","ForcedAddMods","ForbiddenDelveCraftingTags","AllowedDelveCraftingTags","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","HasLuckyRolls","bool","SellPrice_Mods","CanRollWhiteSockets","Weight_Tags","Weight_Values","DelveCraftingModifierDescriptions","BlockedDelveCraftingModifierDescriptions","bool","bool","[i32]","[i32]"
132,1268,[],[309],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,28]","[51,11]","","",[1000],[0]
133,1269,[],[318],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,34]","[52,15]","","",[1000],[0]
134,1270,[],[317],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,33]","[53,18]","","",[1000],[0]
135,1271,[],[579],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,67]","[54,76]","","",[1000],[0]
136,1272,[],[587],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,68]","[55,77]","","",[1000],[0]
137,1273,[],[572],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,40]","[56,39]","","",[1000],[0]
138,1274,[],[310],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,29]","[57,12]","","",[1000],[0]
139,1275,[],[312],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,31]","[58,14]","","",[1000],[0]
140,1276,[],[34],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,69]","[59,19,25]","","",[1000],[0]
141,1277,[],[321],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,70]","[60,78]","","",[1000],[0]
142,1278,[],[581],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,42]","[61,41]","","",[1000],[0]
143,1279,[],[319],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,71]","[62,20,26]","","",[1000],[0]
144,1280,[],[583],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,72]","[63,79,16]","","",[1000],[0]
145,1281,[],[324],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,37]","[43,22]","","",[1000],[0]
146,1282,[],[580],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,64]","[44,73]","","",[1000],[0]
147,1283,[],[313],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,27]","[45,10]","","",[1000],[0]
148,1284,[],[320],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,65]","[46,74]","","",[1000],[0]
149,1285,[],[323],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,36]","[47,21]","","",[1000],[0]
150,1286,[],[311],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,30]","[48,13]","","",[1000],[0]
151,1287,[],[27],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,66]","[50,75]","","",[1000],[0]
152,1288,[],[309],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,28]","[51,11]","","",[1000],[0]
153,1289,[],[318],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,34]","[52,15]","","",[1000],[0]
154,1290,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,33]","[53,18]","","",[1000],[0]
155,1291,[],[579],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,67]","[54,76]","","",[1000],[0]
156,1292,[],[587],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,68]","[55,77]","","",[1000],[0]
157,1293,[],[572],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,40]","[56,39]","","",[1000],[0]
158,1294,[],[310],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,29]","[57,12]","","",[1000],[0]
159,1295,[],[312],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,31]","[58,14]","","",[1000],[0]
160,1296,[],[34],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,69]","[59,19,25]","","",[1000],[0]
161,1297,[],[321],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,70]","[60,78]","","",[1000],[0]
162,1298,[],[581],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,42]","[61,41]","","",[1000],[0]
163,1299,[],[319],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,71]","[62,20,26]","","",[1000],[0]
164,1300,[],[583],[0],[],[],[],"",0,"","","",[],"",[316],[3000],"[49,72]","[63,79,16]","","",[1000],[0]
165,1301,[],[324],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,37]","[43,22]","","",[1000],[0]
166,1302,[],[580],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,64]","[44,73]","","",[1000],[0]
167,1303,[],[313],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,27]","[45,10]","","",[1000],[0]
168,1304,[],[320],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,65]","[46,74]","","",[1000],[0]
169,1305,[],[323],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,36]","[47,21]","","",[1000],[0]
170,1306,[],[311],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,30]","[48,13]","","",[1000],[0]
171,1307,[],[316],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,32]","[49,17]","","",[1000],[0]
172,1308,[],[309],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,28]","[51,11]","","",[1000],[0]
173,1309,[],[318],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,34]","[52,15]","","",[1000],[0]
174,1310,[],[317],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,33]","[53,18]","","",[1000],[0]
175,1311,[],[579],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,67]","[54,76]","","",[1000],[0]
176,1312,[],[587],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,68]","[55,77]","","",[1000],[0]
177,1313,[],[572],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,40]","[56,39]","","",[1000],[0]
178,1314,[],[310],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,29]","[57,12]","","",[1000],[0]
179,1315,[],[312],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,31]","[58,14]","","",[1000],[0]
180,1316,[],[34],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,69]","[59,19,25]","","",[1000],[0]
181,1317,[],[321],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,70]","[60,78]","","",[1000],[0]
182,1318,[],[581],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,42]","[61,41]","","",[1000],[0]
183,1319,[],[319],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,71]","[62,20,26]","","",[1000],[0]
184,1320,[],[583],[0],[],[],[],"",0,"","","",[],"",[27],[3000],"[50,72]","[63,79,16]","","",[1000],[0]
185,1321,[],[324],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,37]","[43,22]","","",[1000],[0]
186,1322,[],[580],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,64]","[44,73]","","",[1000],[0]
187,1323,[],[313],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,27]","[45,10]","","",[1000],[0]
188,1324,[],[320],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,65]","[46,74]","","",[1000],[0]
189,1325,[],[323],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,36]","[47,21]","","",[1000],[0]
190,1326,[],[311],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,30]","[48,13]","","",[1000],[0]
191,1327,[],[316],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,32]","[49,17]","","",[1000],[0]
192,1328,[],[27],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,66]","[50,75]","","",[1000],[0]
193,1329,[],[318],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,34]","[52,15]","","",[1000],[0]
194,1330,[],[317],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,33]","[53,18]","","",[1000],[0]
195,1331,[],[579],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,67]","[54,76]","","",[1000],[0]
196,1332,[],[587],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,68]","[55,77]","","",[1000],[0]
197,1333,[],[572],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,40]","[56,39]","","",[1000],[0]
198,1334,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,29]","[57,12]","","",[1000],[0]
199,1335,[],[312],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,31]","[58,14]","","",[1000],[0]
200,1336,[],[34],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,69]","[59,19,25]","","",[1000],[0]
201,1337,[],[321],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,70]","[60,78]","","",[1000],[0]
202,1338,[],[581],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,42]","[61,41]","","",[1000],[0]
203,1339,[],[319],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,71]","[62,20,26]","","",[1000],[0]
204,1340,[],[583],[0],[],[],[],"",0,"","","",[],"",[309],[3000],"[51,72]","[63,79,16]","","",[1000],[0]
205,1341,[],[324],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,37]","[43,22]","","",[1000],[0]
206,1342,[],[580],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,64]","[44,73]","","",[1000],[0]
207,1343,[],[313],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,27]","[45,10]","","",[1000],[0]
208,1344,[],[320],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,65]","[46,74]","","",[1000],[0]
209,1345,[],[323],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,36]","[47,21]","","",[1000],[0]
210,1346,[],[311],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,30]","[48,13]","","",[1000],[0]
211,1347,[],[316],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,32]","[49,17]","","",[1000],[0]
212,1348,[],[27],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,66]","[50,75]","","",[1000],[0]
213,1349,[],[309],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,28]","[51,11]","","",[1000],[0]
214,1350,[],[317],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,33]","[53,18]","","",[1000],[0]
215,1351,[],[579],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,67]","[54,76]","","",[1000],[0]
216,1352,[],[587],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,68]","[55,77]","","",[1000],[0]
217,1353,[],[572],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,40]","[56,39]","","",[1000],[0]
218,1354,[],[310],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,29]","[57,12]","","",[1000],[0]
219,1355,[],[312],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,31]","[58,14]","","",[1000],[0]
220,1356,[],[34],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,69]","[59,19,25]","","",[1000],[0]
221,1357,[],[321],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,70]","[60,78]","","",[1000],[0]
222,1358,[],[581],[0],[],[],[],"",0,"","","",[],"",[318],[3000],"[52,42]","[61,41]","","",[1000],[0]
