"rownum","Id","MinLevel","MaxLevel","SpawnWeight","i32","MetadataFile","i32","DaemonSpawners","i32","i32","AbyssalDepths","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool"
72,"FinalNode4Length2a",26,35,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5991],22,24,"",3,0,1,2,1,2,11,11,1,""
73,"FinalNode4Length2b",26,35,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5992],22,24,"",3,0,1,2,1,2,11,11,2,""
74,"FinalNode4Length2c",26,35,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5993],22,24,"",3,0,1,2,1,2,11,11,3,""
75,"FinalNode5Length1a",36,60,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5991],25,27,"",2,0,1,2,1,2,12,12,1,""
76,"FinalNode5Length1b",36,60,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5992],25,27,"",2,0,1,2,1,2,12,12,2,""
77,"FinalNode5Length1c",36,60,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5993],25,27,"",2,0,1,2,1,2,12,12,3,""
78,"FinalNode5Length2a",36,60,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5991],26,28,"",3,0,1,2,1,2,12,12,1,""
79,"FinalNode5Length2b",36,60,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5992],26,28,"",3,0,1,2,1,2,12,12,2,""
80,"FinalNode5Length2c",36,60,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5993],26,28,"",3,0,1,2,1,2,12,12,3,""
81,"FinalNode6Length1a",61,72,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5991],29,31,"",2,0,2,3,2,2,13,13,1,""
82,"FinalNode6Length1b",61,72,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5992],29,31,"",2,0,2,3,2,2,13,13,2,""
83,"FinalNode6Length1c",61,72,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5993],29,31,"",2,0,2,3,2,2,13,13,3,""
84,"FinalNode6Length2a",61,72,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5991],30,32,"",3,0,2,3,2,2,14,14,1,""
85,"FinalNode6Length2b",61,72,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5992],30,32,"",3,0,2,3,2,2,14,14,2,""
86,"FinalNode6Length2c",61,72,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5993],30,32,"",3,0,2,3,2,2,14,14,3,""
87,"FinalNode6Length3a",61,72,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5991],31,33,"",4,0,2,3,2,2,14,14,1,""
88,"FinalNode6Length3b",61,72,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5992],31,33,"",4,0,2,3,2,2,14,14,2,""
89,"FinalNode6Length3c",61,72,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5993],31,33,"",4,0,2,3,2,2,14,14,3,""
90,"FinalNode6Length4a",61,72,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5991],40,44,"",4,0,2,3,2,2,14,14,1,""
91,"FinalNode6Length4b",61,72,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5992],40,44,"",4,0,2,3,2,2,14,14,2,""
92,"FinalNode6Length4c",61,72,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5993],40,44,"",4,0,2,3,2,2,14,14,3,""
93,"FinalNode7Length1a",73,100,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5991],33,35,"",2,0,2,3,2,2,15,15,1,""
94,"FinalNode7Length1b",73,100,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5992],33,35,"",2,0,2,3,2,2,15,15,2,""
95,"FinalNode7Length1c",73,100,1000,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5993],33,35,"",2,0,2,3,2,2,15,15,3,""
96,"FinalNode7Length2a",73,100,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5991],34,36,"",3,0,2,3,2,2,15,15,1,""
97,"FinalNode7Length2b",73,100,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5992],34,36,"",3,0,2,3,2,2,15,15,2,""
98,"FinalNode7Length2c",73,100,1500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5993],34,36,"",3,0,2,3,2,2,15,15,3,""
99,"FinalNode7Length3a",73,100,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5991],35,37,"",4,0,2,3,2,2,15,15,1,""
100,"FinalNode7Length3b",73,100,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5992],35,37,"",4,0,2,3,2,2,15,15,2,""
101,"FinalNode7Length3c",73,100,500,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest3",4,[5993],35,37,"",4,0,2,3,2,2,15,15,3,""
102,"FinalNode7Length4a",73,100,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5991],40,44,"",4,0,2,3,2,2,15,15,1,""
103,"FinalNode7Length4b",73,100,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5992],40,44,"",4,0,2,3,2,2,15,15,2,""
104,"FinalNode7Length4c",73,100,200,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest4",4,[5993],40,44,"",4,0,2,3,2,2,15,15,3,""
105,"FinalNodeSubArea1",70,100,0,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5988],31,33,1289,4,0,2,2,2,2,14,14,1,""
106,"FinalNodeSubArea2",70,100,0,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5988],31,33,1290,4,0,2,2,2,2,14,14,2,""
107,"FinalNodeSubAreaLich1",78,100,247,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5988],35,37,1291,4,0,3,3,3,3,15,15,1,1
108,"FinalNodeSubAreaLich2",78,100,123,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5989],35,37,1292,4,0,3,3,3,3,15,15,1,1
109,"FinalNodeSubAreaLich2b",78,100,124,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5989],35,37,1292,4,0,3,3,3,3,15,15,2,1
110,"FinalNodeSubAreaLich3",98,99,0,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeSubArea",4,[5988],28,35,1292,4,0,3,3,3,3,15,15,1,1
