"rownum","XOffset","YOffset","UnlockQuest","UnlockText","UnlockText (French)","UnlockText (German)","UnlockText (Japanese)","UnlockText (Korean)","UnlockText (Portuguese)","UnlockText (Russian)","UnlockText (Spanish)","UnlockText (Thai)","UnlockText (Traditional Chinese)"
10,5,1,1464,"Complete 20 Atlas Bonus Objectives","Terminez 20 Objectifs bonus de l'Atlas","Schließt 20 Atlas-Bonusziele ab","アトラスボーナス目標20完了","아틀라스 부가 목표 20개 완료하기","Complete 20 objetivos bônus do Atlas","Выполните 20 дополнительных заданий Атласа","Completar 20 objetivos bonus del Atlas","ผ่าน ภารกิจโบนัสแอตลาส 20 ภารกิจ","擊敗深層記憶中的維那利斯"
11,0,2,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
12,2,2,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
13,3,2,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
14,5,2,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
15,0,3,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
16,5,3,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
17,0,4,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
18,2,4,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
19,3,4,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
20,5,4,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
21,0,5,1466,"Complete 60 Atlas Bonus Objectives","Terminez 60 Objectifs bonus de l'Atlas","Schließt 60 Atlas-Bonusziele ab","アトラスボーナス目標60完了","아틀라스 부가 목표 60개 완료하기","Complete 60 objetivos bônus do Atlas","Выполните 60 дополнительных заданий Атласа","Completar 60 objetivos bonus del Atlas","ผ่าน ภารกิจโบนัสแอตลาส 60 ภารกิจ","擊敗塑界者"
22,1,5,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
23,2,5,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
24,3,5,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
25,4,5,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
26,5,5,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
27,0,6,362,"Defeat The Elder in The Shaper's Realm","Terrassez l'Ancien dans le Royaume du Façonneur","Vernichtet den Ältesten im Reich des Schöpfers","シェイパーの領域でエルダーの撃破","쉐이퍼의 영역의 엘더 처치하기","Derrote o Ancião no Reino do Criador","Победите Древнего во Владениях Создателя","Derrotar al Antiguo en el Reino del Creador","สยบ เอลเดอร์ ใน ดินแดนของเชปเปอร์","擊敗塑者之域中的異界尊師"
28,1,6,363,"Defeat The Maven","Terrassez la Prodige","Vernichtet die Seherin","メイヴェンの撃破","메이븐 처치하기","Derrote a Maven","Победите Мейвен","Derrotar a la Especialista","สยบ เมเวน","擊敗釋界"
29,2,6,364,"Defeat The Eater of Worlds","Terrassez le Mangeur de mondes","Vernichtet den Weltenfresser","世界を喰らう者の撃破","세계 포식자 처치하기","Derrote o Devorador de Mundos","Победите Пожирателя миров","Derrotar al Devorador de mundos","สยบ ผู้กลืนกินโลกา","擊敗吞噬天地"
30,3,6,365,"Defeat The Searing Exarch","Terrassez l'Exarque ardent","Vernichtet den Brennenden Exarchen","灼熱の代行者の撃破","작열의 총주교 처치하기","Derrote o Exarca Cauterizado","Победите Пламенного экзарха","Derrotar al Exarca abrasador","สยบ อุปราชอาบเพลิง","擊敗灼烙總督"
31,4,6,361,"Defeat The Shaper","Terrassez le Façonneur","Vernichtet den Schöpfer","シェイパーの撃破","쉐이퍼 처치하기","Derrote o Criador","Победите Создателя","Derrotar al Creador","สยบ เชปเปอร์","完成釋界之邀：恐懼"
