"rownum","WorldAreasKey","ItemVisualIdentityKey","bool_32","Tier","i32_37","i32_41","bool_45"
56,1142,8365,"",13,1,5,""
57,1143,8373,"",5,1,5,""
58,1144,9574,"",5,0,0,""
59,1145,8370,"",4,11,15,""
60,1146,12580,"",4,0,0,""
61,1147,8399,"",10,6,10,""
62,1148,8452,"",11,6,10,""
63,1149,8446,"",9,6,10,""
64,1150,8402,"",0,6,10,""
65,1151,8407,"",14,6,10,""
66,1152,8354,"",8,1,5,""
67,1153,8342,"",2,1,5,""
68,1154,12821,"",2,0,0,""
69,1155,8362,"",1,6,10,""
70,1156,9750,"",1,0,0,""
71,1157,8392,"",15,6,10,""
72,1158,12193,"",15,0,0,""
73,1159,8391,"",1,11,15,""
74,1160,8367,"",0,6,10,""
75,1161,8393,"",0,6,10,""
76,1162,8468,"",0,11,15,""
77,1163,8462,"",12,11,15,""
78,1164,8431,"",0,6,10,""
79,1165,8332,"",4,11,15,""
80,1166,8480,"",4,0,0,""
81,1167,8351,"",12,6,10,""
82,1168,8386,"",3,1,5,""
83,1169,8388,"",5,11,15,""
84,1170,10823,"",5,0,0,1
85,1171,8366,"",0,6,10,""
86,1172,8375,"",6,0,0,""
87,1173,9686,"",6,0,0,""
88,1174,8376,"",2,0,0,""
89,1176,8420,"",0,6,10,""
90,1177,8456,"",4,6,10,""
91,1178,12819,"",4,0,0,""
92,1179,8471,"",16,11,15,""
93,1180,8348,"",0,11,15,""
94,1181,8339,"",0,11,15,""
95,1182,8405,"",5,6,10,""
96,1183,8403,"",6,6,10,""
97,1184,8409,"",4,6,10,""
98,1185,8385,"",14,6,10,""
99,1186,9669,"",14,0,0,""
100,1187,8368,"",0,6,10,""
101,1188,8379,"",12,6,10,""
102,1189,12579,"",12,0,0,""
103,1190,8415,"",1,6,10,""
104,1191,8455,"",1,6,10,""
105,1193,8408,"",0,11,15,""
106,1194,8447,"",6,6,10,""
107,1195,8360,"",8,0,0,""
108,1196,8401,"",0,6,10,""
109,1197,8397,"",0,11,15,""
110,1198,8369,"",3,6,10,""
111,1199,8374,"",11,0,0,""
112,1200,8378,"",7,0,0,""
113,1201,9593,"",7,0,0,""
114,1202,8380,"",16,6,10,""
115,1203,8383,"",6,6,10,""
116,1204,10822,"",6,0,0,""
117,1205,8410,"",2,11,15,""
118,1206,8364,"",5,6,10,""
119,1207,8346,"",0,6,10,""
120,1208,8355,"",7,6,10,""
121,1209,8377,"",14,11,15,""
122,1210,8418,"",0,6,10,""
123,1211,8323,"",0,6,10,""
124,1212,8343,"",4,0,0,""
125,1213,8344,"",15,6,10,""
126,1215,8449,"",6,11,15,""
127,1216,8444,"",5,11,15,""
128,1217,8382,"",3,6,10,""
129,1218,9636,"",3,0,0,""
130,1219,8361,"",6,0,0,""
131,1220,8319,"",16,11,15,""
132,1221,8338,"",0,6,10,""
133,1222,8398,"",0,11,15,""
134,1223,9690,"",10,0,0,""
135,1224,8404,"",12,6,10,""
136,1225,9904,"",12,0,0,""
137,1226,8352,"",7,11,15,""
138,1227,8426,"",13,11,15,""
139,1228,8324,"",0,6,10,""
140,1229,8454,"",0,6,10,""
141,1230,8389,"",10,11,15,""
142,1231,8413,"",15,11,15,""
143,1232,8423,"",0,11,15,""
144,1233,8387,"",0,6,10,""
145,1234,8325,"",13,11,15,""
146,1235,8428,"",0,11,15,""
147,1236,8427,"",6,11,15,""
148,1237,8334,"",0,11,15,""
149,1238,8430,"",2,11,15,""
150,1239,8470,"",0,11,15,""
151,1240,8414,"",0,11,15,""
152,1241,8466,"",10,11,15,""
153,1242,8422,"",9,11,15,""
154,1243,8445,"",2,11,15,""
155,1244,8448,"",9,11,15,""
156,1245,8443,"",0,11,15,""
157,1246,8384,"",0,11,15,""
158,1247,8442,"",2,11,15,""
159,1261,8350,"",0,0,0,""
160,1262,8372,"",7,0,0,""
161,1271,8429,"",8,0,0,""
162,1248,8432,"",16,0,0,1
163,1249,8433,"",16,0,0,1
164,1251,8434,"",16,0,0,1
165,1250,8435,"",16,0,0,1
166,1253,8437,"",16,0,0,1
167,1259,8318,"",3,0,0,""
168,1273,8478,"",17,0,0,1
169,1274,8477,"",17,0,0,1
170,1275,8479,"",17,0,0,1
171,1276,8475,"",17,0,0,1
172,1277,8476,"",17,0,0,1
