"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","rid","i32","[i32]","bool","bool","i32","bool"
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4090,"",45,[1963],"",90,[],"",1,0,1
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",3972,"",2,[],1940,90,[112],"",1,0,1
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3048,"",40,[],1744,90,[],"",1,1,1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3678,"",60,[1786],1751,90,[],"",1,0,1
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3796,"",30,[480],1879,90,[],"",1,0,1
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4769,"",50,[],2146,70,[93],"",1,1,1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3088,1,4,[378],1737,90,[],"",1,1,1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3044,1,15,[],1740,30,[],"","",0,1
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3045,1,15,[],1741,35,[],"","",0,1
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3037,1,12,[],1732,20,[],"","",0,1
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",3002,1,7,[],1729,25,[],1,"",0,1
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3046,1,15,[1777],1742,50,[],"",1,1,1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3047,1,10,"[3972,0]",1743,90,[],"","",0,1
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3049,"",55,[1783],1745,75,[1035],"",1,0,1
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4768,"",60,[],2147,72,[295],"","",0,1
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3050,"",8,[3641],"",8,[],"",1,0,1
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3051,"",8,[3641],"",8,[],"",1,0,1
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3052,"",20,[],1746,27,[],1,1,1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3053,"",60,[3641],"",75,[],"",1,0,1
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3054,"",10,[1773],1747,25,[],"",1,0,1
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3055,"",20,[1778],1748,40,[],"",1,0,1
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3056,"",4,[1779],1749,40,[],"",1,0,1
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3057,1,2,[],1759,2,[],"","",0,1
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3042,1,2,[],1760,2,[],"","",0,1
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3128,"",2,[1780],"",10,[],"",1,0,1
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3129,"",2,[],"",10,[],"",1,0,1
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3130,"",2,[],"",10,[],"",1,0,1
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3131,"",2,[],"",10,[],"",1,0,1
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3132,"",2,[1782],"",10,[],"",1,0,1
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3134,"",2,[],"",10,[],"",1,0,1
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3135,"",2,[],"",10,[],"",1,0,1
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3746,"",2,[],"",10,[],"",1,0,1
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3137,"",0,[],"",100,[],"",1,0,1
77,"HidePopups","",58,"",0,[],714,100,[],"","",0,1
78,"FirstWeaponTutorial","",58,"",0,[],4529,100,[],"",1,0,1
79,"FirstOffhandTutorial","",58,"",0,[],4554,100,[],"",1,0,1
80,"GamepadAimTutorial","",58,"",0,[],4561,100,[],"",1,0,1
81,"CheckpointTutorial","",58,"",0,[],4766,100,[],"",1,0,1
82,"UncutSkillTutorial","",58,"",0,[],4767,100,[],"",1,0,1
83,"GamepadBindPortalTutorial","",58,"",0,[],4690,100,[],"",1,0,1
84,"HealingWellTutorial","",58,"",0,[],4751,100,[],"",1,0,1
85,"WaterLoweredTutorial","",58,"",0,[],4018,100,[],"",1,0,1
86,"DodgeRollTutorial","",58,"",0,[],4533,100,[],"",1,0,1
87,"SummonMinionTutorial","",58,"",0,[],4946,100,[],"",1,0,1
88,"DirectMinionTutorial","",58,"",0,[],4995,100,[],"",1,0,1
89,"FirstUncutSkillGemTutorial","",58,"",0,[],4555,100,[],"",1,0,1
90,"PersistentBuffTutorial","",58,"",0,[],5042,100,[],"",1,0,1
