"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","HASH16","row","Portrait","DialogueStyle","rid","string","bool","string","rid"
15,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Metadata/NPC/NPC","","","",-1,[57],[58],16710,"","","","","F",1,"",""
16,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",0,[75],[76],-8654,"","",1,1,"M",1,"",5
17,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,[],[],-3485,"","","","","M",1,"",5
18,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,[75],[76],-27857,"","",1,1,"M",1,"",5
19,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,[75],[76],-13913,"","","",1,"M",1,"",5
20,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,[75],[76],8793,"","","",1,"M",1,"",5
21,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],17719,"","","","","F",1,"",""
22,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],-32646,"","","","","F",1,"",""
23,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],-3829,"","","","","F",1,"",""
24,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],11034,"","","","","F",1,"",""
25,"Metadata/NPC/Shaper","The Shaper","Metadata/NPC/NPC","","","",0,[],[],9075,"","","","","M",1,"",""
26,"Metadata/NPC/League/Prophecy/NavaliMonkey","Yama the White","Metadata/NPC/NPC","","","",0,[],[],-16859,"","","","","",1,"",""
27,"Metadata/NPC/Info/ShaperMemoryFragmentBook","Book of Memories","Metadata/NPC/Info/StoryGlyphBase","","","",11,[],[],-27389,"","","","","",1,"",""
28,"Metadata/NPC/Info/ShaperFinalMemoryFragment","Memory Fragment","Metadata/NPC/Info/StoryGlyphBase","","","",11,[],[],-30453,"","","","","",1,"",""
29,"Metadata/Monsters/AtlasBosses/Zana","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],-29954,"","","","","F",1,"",""
30,"Metadata/Monsters/AtlasBosses/ZanaUberElder","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[],[],14628,"","","","","F",1,"",""
31,"Metadata/Monsters/KitavaBoss/InnocenceSin/Sin","Sin","Metadata/NPC/NPC","","","",11,[72],[73],18752,"","","","","M",1,"",""
32,"Metadata/NPC/League/Betrayal/CadiroBetrayal","Cadiro Perandus","Metadata/NPC/NPC","","","Cadiro",0,[55],[56],-30634,"","","",0,"M",1,"",27
33,"Metadata/NPC/Info/TutorialNPC","Tutorial NPC","Metadata/NPC/NPC","","","",0,[],[],-17091,"","","","","F",1,"",""
34,"Metadata/NPC/League/Incursion/TreasureHunterWild","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",0,[77],[78],23273,"","","","","F",1,"",14
35,"Metadata/NPC/League/Incursion/TreasureHunterHideout","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",0,[77],[78],-2817,"","",1,"","F",1,"",14
36,"Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","Alva, Master Explorer","Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","","","Alva",0,[],[],-11843,"","","","","F",1,"",14
37,"Metadata/Monsters/LeagueIncursion/Alva","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",0,[],[],-22791,"","","","","F",1,"",14
38,"Metadata/NPC/League/Delve/DelveMiner","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",10695,"","",1,"","M",1,"",""
39,"Metadata/NPC/League/Delve/DelveMinerWildVein","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",4175,"","","","","M",1,"",""
40,"Metadata/NPC/League/Delve/DelveMinerWildChest","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",13335,"","","","","M",1,"",""
41,"Metadata/NPC/League/Delve/DelveMinerHub","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",25055,"","","","","M",1,"",""
42,"Metadata/NPC/League/Delve/DelveMinerMine","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",-22853,"","","","","M",1,"",""
43,"Metadata/NPC/League/Delve/DelveMinerHideout","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko",0,"[79,81,83,85,87]","[80,82,84,86,88]",18545,"","",1,"","M",1,"",""
44,"Metadata/NPC/League/Betrayal/BetrayalNinjaCop","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],19427,"","",1,"","F",1,"",""
45,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopRaid","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],-17649,"","","","","F",1,"",""
46,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopHideout","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],-26023,"","",1,"","F",1,"",""
47,"Metadata/NPC/Missions/HelenaClaim","Helena","Metadata/NPC/NPC","",3,"Helena",0,[24],[25],230,"","","","","F",1,"",""
48,"Metadata/NPC/Missions/Hideout/Helena","Helena","Metadata/NPC/NPC","",3,"Helena",0,[24],[25],31707,"","",1,"","F",1,"",""
49,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCop","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],-26065,"","","","","F",1,"",""
50,"Metadata/NPC/League/Incursion/TreasureHunter","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",0,[77],[78],-24662,"","",1,"","F",1,"",14
51,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopVaultExterior","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",9,[89],[90],-12011,"","","","","F",1,"",""
52,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopSafehouse","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],-15282,"","","","","F",1,"",""
53,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopCatarina","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],-8773,"","","","","F",1,"",""
54,"Metadata/NPC/Epilogue/Helena","Helena","Metadata/NPC/NPC","",3,"Helena",11,[24],[25],28396,"","",1,"","F",1,"",""
55,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopSafehouse","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",0,[89],[90],7906,"","","","","F",1,"",""
56,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto1","Lifegiver's Manifesto 1","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],19012,"","","","","",1,"",""
57,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto2","Lifegiver's Manifesto 2","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],-18948,"","","","","",1,"",""
58,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto3","Lifegiver's Manifesto 3","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],-26257,"","","","","",1,"",""
59,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto4","Lifegiver's Manifesto 4","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],7855,"","","","","",1,"",""
60,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto5","Lifegiver's Manifesto 5","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],-30464,"","","","","",1,"",""
61,"Metadata/NPC/League/Synthesis/SynthesisVenariusGuardian","Venarius","Metadata/NPC/NPC","","","Venarius",0,[],[],12873,"","","","","M",1,"",""
62,"Metadata/Monsters/LegionLeague/LegionKaruiGeneral","Queen Hyrri Ngamaku","Metadata/NPC/NPC","","","Hyrri Ngamaku",0,[],[],-6413,"","","","","F",1,"",""
63,"Metadata/Monsters/LegionLeague/LegionEternalEmpireGeneral","General Marceus Lioneye","Metadata/NPC/NPC","","","Marceus Lioneye",0,[],[],-4912,"","","","","M",1,"",""
64,"Metadata/Monsters/LegionLeague/LegionMarakethGeneral","Aukuna, the Black Sekhema","Metadata/NPC/NPC","","","Aukuna",0,[],[],-3067,"","","","","F",1,"",""
65,"Metadata/Monsters/LegionLeague/LegionMarakethGeneralDismounted","Aukuna, the Black Sekhema","Metadata/NPC/NPC","","","Aukuna",0,[],[],2379,"","","","","F",1,"",""
66,"Metadata/Monsters/LegionLeague/LegionTemplarGeneral","Cardinal Sanctus Vox","Metadata/NPC/NPC","","","Sanctus Vox",0,[],[],-6055,"","","","","M",1,"",""
67,"Metadata/Monsters/LegionLeague/LegionVaalGeneral","Viper Napuatzi","Metadata/NPC/NPC","","","Viper Napuatzi",0,[],[],11639,"","","","","F",1,"",""
68,"Metadata/NPC/Info/CraftingBenchPlaceholder","Crafting Bench","Metadata/NPC/NPC","","","",0,[],[],8647,"","","","","",1,"",""
69,"Metadata/NPC/League/Blight/BlightBuilder","Sister Cassia","Metadata/NPC/NPC","","","Cassia",0,[93],[94],30781,"","",1,"","F",1,"",""
70,"Metadata/NPC/League/Blight/BlightBuilderHideout","Sister Cassia","Metadata/NPC/NPC","","","Cassia",0,[93],[94],27459,"","",1,"","F",1,"",""
71,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPC","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPC","","","Tane",0,[95],[96],20466,"","",1,"","M",1,"",""
72,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHideout","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHideout","","","Tane",0,[95],[96],7350,"","",1,"","M",1,"",""
73,"Metadata/NPC/League/Harvest/HarvestNPCGardenTutorial","Oshabi","Metadata/NPC/NPC","","","Oshabi",0,[130],[131],-7291,"","",1,"","F",1,"",""
74,"Metadata/Monsters/AtlasExiles/AtlasExile1","Baran, the Crusader","Metadata/NPC/NPC","","","Baran",0,[],[],-6678,"","","","","M",1,"",""
75,"Metadata/Monsters/AtlasExiles/AtlasExile2","Veritania, the Redeemer","Metadata/NPC/NPC","","","Veritania",0,[],[],18316,"","","","","F",1,"",""
76,"Metadata/Monsters/AtlasExiles/AtlasExile3","Al-Hezmin, the Hunter","Metadata/NPC/NPC","","","Al-Hezmin",0,[],[],26968,"","","","","M",1,"",""
77,"Metadata/Monsters/AtlasExiles/AtlasExile4","Drox, the Warlord","Metadata/NPC/NPC","","","Drox",0,[],[],-31285,"","","","","M",1,"",""
78,"Metadata/Monsters/AtlasExiles/AtlasExile5","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",0,[],[],9474,"","","","","M",1,"",""
79,"Metadata/NPC/Epilogue/AtlasExile5PortalEscape","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",0,[],[],-9076,"","","","","M",1,"",""
80,"Metadata/Monsters/AtlasExiles/AtlasExile5Intruder","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",0,[],[],-13725,"","","","","M",1,"",""
81,"Metadata/NPC/Epilogue/Kirac","Commander Kirac","Metadata/NPC/NPC","",6,"Kirac",11,[97],[98],-1117,"",22,1,8,"M",1,"",""
82,"Metadata/NPC/Epilogue/KiracLab","Commander Kirac","Metadata/NPC/NPC","","","Kirac",11,[97],[98],-15488,"",22,1,"","M",1,"",""
83,"Metadata/NPC/Epilogue/KiracHideout","Commander Kirac","Metadata/NPC/NPC","",6,"Kirac",0,[97],[98],420,81,22,1,8,"M",1,"",""
84,"Metadata/NPC/Epilogue/KiracOrionThroneRoom","Officer Kirac","Metadata/NPC/NPC","","","Kirac",11,[97],[98],-31640,"","","","","M",1,"",""
85,"Metadata/NPC/Epilogue/ZanaOrionThroneRoom","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[49],[50],-17995,"","","","","F",1,"",""
86,"Metadata/NPC/Epilogue/ZanaOrionPostFight","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,[49],[50],-21727,"","","","","F",1,"",""
87,"Metadata/NPC/Info/GlyphCrusader1","Baran's Journal I","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-12033,"","","","","",1,"",""
88,"Metadata/NPC/Info/GlyphCrusader2","Baran's Journal II","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-16638,"","","","","",1,"",""
89,"Metadata/NPC/Info/GlyphCrusader3","Baran's Journal III","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-14790,"","","","","",1,"",""
90,"Metadata/NPC/Info/GlyphCrusader4","Baran's Journal IV","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],183,"","","","","",1,"",""
91,"Metadata/NPC/Info/GlyphEyrie1","Veritania's Journal I","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],14772,"","","","","",1,"",""
92,"Metadata/NPC/Info/GlyphEyrie2","Veritania's Journal II","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],28831,"","","","","",1,"",""
93,"Metadata/NPC/Info/GlyphEyrie3","Veritania's Journal III","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-22064,"","","","","",1,"",""
94,"Metadata/NPC/Info/GlyphEyrie4","Veritania's Journal IV","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-11027,"","","","","",1,"",""
95,"Metadata/NPC/Info/GlyphBasilisk1","Al-Hezmin's Journal I","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],13757,"","","","","",1,"",""
96,"Metadata/NPC/Info/GlyphBasilisk2","Al-Hezmin's Journal II","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-4152,"","","","","",1,"",""
97,"Metadata/NPC/Info/GlyphBasilisk3","Al-Hezmin's Journal III","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],21971,"","","","","",1,"",""
98,"Metadata/NPC/Info/GlyphBasilisk4","Al-Hezmin's Journal IV","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-19921,"","","","","",1,"",""
99,"Metadata/NPC/Info/GlyphAdjudicator1","Drox's Journal I","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-2589,"","","","","",1,"",""
100,"Metadata/NPC/Info/GlyphAdjudicator2","Drox's Journal II","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-10930,"","","","","",1,"",""
101,"Metadata/NPC/Info/GlyphAdjudicator3","Drox's Journal III","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],12301,"","","","","",1,"",""
102,"Metadata/NPC/Info/GlyphAdjudicator4","Drox's Journal IV","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],23334,"","","","","",1,"",""
103,"Metadata/NPC/Info/GlyphSirus1","Sirus' Journal I","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],-21380,"","","","","",1,"",""
104,"Metadata/NPC/Info/GlyphSirus2","Sirus' Journal II","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],18311,"","","","","",1,"",""
105,"Metadata/NPC/Info/GlyphSirus3","Sirus' Journal III","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],18563,"","","","","",1,"",""
106,"Metadata/NPC/Info/GlyphSirus4","Sirus' Journal IV","Metadata/NPC/Info/AtlasExile_GlyphBase","","","",11,[],[],31949,"","","","","",1,"",""
107,"Metadata/NPC/League/Affliction/StrangeVoice","Strange Voice","Metadata/NPC/NPC","","","",0,[],[],-3720,"","","","","M",1,"",""
108,"Metadata/NPC/DaughterOfSin","Daughter of Sin","Metadata/NPC/NPC","","","",0,[],[],-22931,"","","","","F",1,"",""
109,"Metadata/NPC/Freya","Freya","Metadata/NPC/NPC","","","",0,[],[],18513,"","","","","F",1,"",""
110,"Metadata/Monsters/LeagueHarvest/Oshabi/OshabiBoss","Oshabi","Metadata/NPC/NPC","","","Oshabi",0,[],[],440,"","","","","F",1,"",""
111,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistFence1","Faustus, the Fence","Metadata/NPC/NPC","","","Faustus",0,[],[],930,"","","","","M",1,"",""
112,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistLockPick1","Karst, the Lockpick","Metadata/NPC/NPC","","","Karst",0,[],[],16028,"","","","","M",1,"",""
113,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistInterrogator1","Niles, the Interrogator","Metadata/NPC/NPC","","","Niles",0,[],[],18502,"","","","","M",1,"",""
114,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistSoldier1","Huck, the Soldier","Metadata/NPC/NPC","","","Huck",0,[],[],-13626,"","","","","M",1,"",""
115,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistHeavyLifter1","Tibbs, the Giant","Metadata/NPC/NPC","","","Tibbs",0,[],[],9157,"","","","","M",1,"",""
116,"Metadata/Monsters/LeagueHeist/NPCAllies/TibbsEstatesNPC","Tibbs, the Giant","Metadata/NPC/NPC","","","Tibbs",5,[],[],-30839,"",7,6,"","",1,"",""
117,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistDetector1","Nenet, the Scout","Metadata/NPC/NPC","","","Nenet",0,[],[],1276,"","","","","F",1,"",""
118,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistDemolitionist1","Vinderi, the Dismantler","Metadata/NPC/NPC","","","Vinderi",0,[],[],-9533,"","","","","M",1,"",""
119,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistCatBurglar1","Tullina, the Catburglar","Metadata/NPC/NPC","","","Tullina",0,[],[],28924,"","","","","F",1,"",20
120,"Metadata/Monsters/LeagueHeist/NPCAllies/TullinaEstatesNPC","Tullina, the Catburglar","Metadata/NPC/NPC","","","Tullina",0,[],[],8804,"",10,6,"","",1,"",20
121,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistIllusionist1_","Gianna, the Master of Disguise","Metadata/NPC/NPC","","","Gianna",0,[],[],9988,"","","","","F",1,"",""
122,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistEngineer1","Isla, the Engineer","Metadata/NPC/NPC","","","Isla",0,[],[],22914,"","","","","F",1,"",""
123,"Metadata/NPC/League/Heist/TheBoss","Kurai, the Administrator","Metadata/NPC/NPC","","","Kurai",0,[101],[102],-11724,"",0,2,"","F",1,"",""
124,"Metadata/NPC/League/Heist/Fence","Faustus, the Fence","Metadata/NPC/NPC","","","Faustus",0,[123],[124],14052,"",1,2,"","M",1,"",""
125,"Metadata/NPC/League/Heist/Driver","Adiyah, the Wayfinder","Metadata/NPC/NPC","","","Adiyah",0,[99],[100],29492,"",2,2,3,"F",1,"",""
126,"Metadata/NPC/League/Heist/Barber","Whakano, the Barber","Metadata/NPC/NPC","","","Whakano",0,[111],[112],26948,"",3,2,9,"M",1,"",""
127,"Metadata/NPC/League/Heist/Lockpick1","Karst, the Lockpick","Metadata/NPC/NPC","","","Karst",0,[107],[108],22986,"",4,2,"","M",1,"",""
128,"Metadata/NPC/League/Heist/Interrogator1","Niles, the Interrogator","Metadata/NPC/NPC","","","Niles",0,[121],[122],19122,"",5,2,"","M",1,"",""
129,"Metadata/NPC/League/Heist/Soldier1","Huck, the Soldier","Metadata/NPC/NPC","","","Huck",0,[119],[120],-26400,"",6,2,"","M",1,"",""
130,"Metadata/NPC/League/Heist/HeavyLifter1","Tibbs, the Giant","Metadata/NPC/NPC","","","Tibbs",0,[105],[106],-12897,"",7,2,"","M",1,"",""
131,"Metadata/NPC/League/Heist/Detector1","Nenet, the Scout","Metadata/NPC/NPC","","","Nenet",0,[115],[116],8406,"",8,2,"","F",1,"",""
132,"Metadata/NPC/League/Heist/Demolitionist1","Vinderi, the Dismantler","Metadata/NPC/NPC","","","Vinderi",0,[117],[118],30119,"",9,2,"","M",1,"",""
133,"Metadata/NPC/League/Heist/CatBurglar1","Tullina, the Catburglar","Metadata/NPC/NPC","","","Tullina",0,[103],[104],10750,"",10,2,"","F",1,"",20
134,"Metadata/NPC/League/Heist/Illusionist1","Gianna, the Master of Disguise","Metadata/NPC/NPC","","","Gianna",0,[113],[114],-14944,"",11,2,"","F",1,"",""
135,"Metadata/NPC/League/Heist/Engineer1","Isla, the Engineer","Metadata/NPC/NPC","","","Isla",0,[109],[110],-6306,"",12,2,"","F",1,"",""
136,"Metadata/Monsters/LeagueHeist/Boss/VicVox","Vic Vox","Metadata/NPC/NPC","","","Vic",0,[],[],31320,"","","","","M",1,"",""
137,"Metadata/Monsters/LeagueHeist/Boss/VinnyVox","Vinny Vox","Metadata/NPC/NPC","","","Vinny",0,[],[],2898,"","","","","M",1,"",""
138,"Metadata/Monsters/LeagueHeist/Boss/Jamanra_","Jamanra, The Great","Metadata/NPC/NPC","","","Jamanra",0,[],[],4810,"","","","","M",1,"",""
139,"Metadata/Monsters/LeagueHeist/Boss/Danai","Nashta, The Usurper","Metadata/NPC/NPC","","","Nashta",0,[],[],-900,"","","","","F",1,"",""
140,"Metadata/Monsters/LeagueHeist/Boss/AdmiralDarnaw","Admiral Darnaw","Metadata/NPC/NPC","","","Darnaw",0,[],[],-687,"","","","","M",1,"",""
141,"Metadata/Monsters/LeagueHeist/Boss/Freidrich","Friedrich Tarollo, Slave Merchant","Metadata/NPC/NPC","","","Friedrich",0,[],[],27161,"","","","","M",1,"",""
142,"Metadata/NPC/League/Heist/TheBossLioneyes","Kurai, the Administrator","Metadata/NPC/NPC","","","Kurai",0,[101],[102],1692,"",0,2,"","F",1,"",""
143,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistAdiyah","Adiyah, the Wayfinder","Metadata/NPC/NPC","","","Adiyah",0,[],[],4017,"","","","","F",1,"",""
144,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistKurai","Kurai, the Administrator","Metadata/NPC/NPC","","","Kurai",0,[],[],14018,"","","","","F",1,"",""
145,"Metadata/Monsters/LeagueHeist/Boss/VicVoxMeeting_","Vic Vox","Metadata/NPC/NPC","","","Vic",0,[],[],-25581,"","","","","M",1,"",""
146,"Metadata/NPC/League/Heist/TullinaFiance","Julius Farrow","Metadata/NPC/NPC","","","",0,[],[],11980,"","","","","F",1,"",""
147,"Metadata/NPC/RiddleQuest","","Metadata/NPC/NPC","","","",0,[],[],-15854,"","","","","",1,"",""
148,"Metadata/NPC/League/EndlessDelve/Lilly","Lilly Roth","Metadata/NPC/Act10/Lilly","","","Lilly",0,[153],[154],24123,"","","",2,"F",1,"",""
149,"Metadata/NPC/Epilogue/Envoy","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],27713,"",13,1,"","M",1,"",""
150,"Metadata/NPC/Epilogue/EnvoyRandom","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],5686,"",13,1,"","M",1,"",""
151,"Metadata/NPC/Epilogue/EnvoyMaven","The Envoy","Metadata/NPC/NPC","","","",11,[132],[133],18261,"",13,1,"","M",1,"",""
152,"Metadata/NPC/Epilogue/EnvoyTangle","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],22688,"",13,1,"","M",1,"",""
153,"Metadata/NPC/Epilogue/EnvoyCleansingFire","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],-25081,"",13,1,"","M",1,"",""
154,"Metadata/NPC/Epilogue/EnvoyTangleBoss1","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],-31424,"",13,1,"","M",1,"",""
155,"Metadata/NPC/Epilogue/EnvoyTangleBoss2","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],23481,"",13,1,"","M",1,"",""
156,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss1","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],-3992,"",13,1,"","M",1,"",""
157,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss2","The Envoy","Metadata/NPC/NPC","","","",11,[128],[129],-5638,"",13,1,"","M",1,"",""
158,"Metadata/NPC/Epilogue/Maven","The Maven","Metadata/NPC/NPC","","","",11,[],[],-15174,"","","","","F",1,"",""
159,"Metadata/NPC/Epilogue/MavenInfluenceIntro","The Maven","Metadata/NPC/NPC","","","",11,[],[],-30750,"","","","","F",1,"",""
160,"Metadata/NPC/Epilogue/MavenBossObserver","The Maven","Metadata/NPC/NPC","","","",11,[],[],31446,"","","","","F",1,"",""
161,"Metadata/Monsters/MavenBoss/TheMaven","The Maven","Metadata/NPC/NPC","","","",11,[],[],4193,"","","","","F",1,"",""
162,"Metadata/Monsters/MavenBoss/MavenBrainBoss","The Maven","Metadata/NPC/NPC","","","",11,[],[],10806,"","","","","F",1,"",""
