"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","MinAreaLevel","i32","MapFragmentLimit","bool"
134,10209,[18662],[7006],12,1,"","","","","",1,100,1,""
135,10210,[18663],"[7006,7157]",12,1,"","","","","",1,100,1,""
136,10211,[18647],[],13,1,"","","","","",1,100,1,""
137,10212,[18648],[],13,1,"","","","","",1,100,1,""
138,10213,[18649],[],13,1,"","","","","",1,100,1,""
139,10214,[18650],[],13,1,"","","","","",1,100,1,""
140,10215,[18651],[],14,1,"","","","","",1,100,1,""
141,10216,[18652],[],14,1,"","","","","",1,100,1,""
142,10217,[18653],[],14,1,"","","","","",1,100,1,""
143,10218,[18654],[],14,1,"","","","","",1,100,1,""
144,10219,[18655],[],14,1,"","","","","",1,100,2,""
145,10220,[18656],[],93,1,"","","","","",1,100,2,""
146,10221,[18657],[],94,1,"","","","","",1,100,1,""
147,10222,[18658],[],95,1,"","","","","",1,100,1,""
148,10223,[18659],[],138,1,"","","","","",1,100,1,""
149,10224,[18664],[],34,1,"","","","","",1,100,5,""
150,10225,[18665],[],35,1,"","","","","",1,100,2,""
151,10226,[18666],[],36,1,"","","","","",1,100,1,""
152,10227,[18667],[],42,1,"","","","","",1,100,5,""
153,10228,[18668],[],43,1,"","","","","",1,100,1,""
154,10230,[18669],[],44,1,"","","","","",1,100,1,""
155,10229,[18670],[],45,1,"","","","","",1,100,1,""
156,10231,[18671],[],137,1,"","","","","",1,100,1,""
157,10233,[18672],[],46,1,"","","","","",1,100,1,""
158,10234,[18673],[],47,1,"","","","","",1,100,2,""
159,10232,[18674],[],48,1,"","","","","",1,100,4,""
160,10235,[18675],[],49,1,"","","","","",1,100,1,""
161,10236,[18677],[],50,1,"","","","","",1,100,2,""
162,10237,[18678],[],51,1,"","","","","",1,100,1,""
163,10238,[18679],[],52,1,"","","","","",1,100,2,""
164,10239,[18680],[],53,1,"","","","","",1,100,1,""
165,10241,[18681],[],54,1,"","","","","",1,100,1,""
166,10240,[18682],[],55,1,"","","","","",1,100,1,""
167,10242,[18683],[],60,1,"","","","","",1,100,1,""
168,10243,[18684],[],57,1,"","","","","",1,100,3,""
169,10245,[18685],[],58,1,"","","","","",1,100,1,""
170,10244,[18686],[],59,1,"","","","","",1,100,2,""
171,10246,[18687],[],65,1,"","","","","",1,100,1,""
172,10247,[18688],[],62,1,"","","","","",1,100,1,""
173,10249,[18689],[],63,1,"","","","","",1,100,2,""
174,10248,[18690],[],64,1,"","","","","",1,100,1,""
175,10250,[18691],[],76,1,"","","","","",1,100,1,""
176,10251,[18692],[],77,1,"","","","","",1,100,1,""
177,10252,[18693],[],78,1,"","","","","",1,100,2,""
178,10254,[18694],[],79,1,"","","","","",1,100,1,""
179,10253,[18695],[],80,1,"","","","","",1,100,1,""
180,10255,[18696],[],12,1,"","","","","",1,100,1,""
181,10256,[18697],[],81,1,"","","","","",1,100,2,""
182,10257,[18698],[],82,1,"","","","","",1,100,1,""
183,10258,[18699],[],83,1,"","","","","",1,100,1,""
184,10259,[18700],[],84,1,"","","","","",1,100,1,""
185,10260,[18701],[],85,1,"","","","","",1,100,1,""
186,10261,[18702],[],86,1,"","","","","",1,100,2,""
187,10262,[18703],[],87,1,"","","","","",1,100,5,""
188,10263,[18704],[],88,1,"","","","","",78,100,1,""
189,10264,[18705],[],89,1,"","","","","",1,100,1,""
190,10265,[18706],[],13,1,"","","","","",1,100,1,""
191,10266,[18707],[],90,1,"","","","","",1,100,2,""
192,10267,[18708],[],91,1,"","","","","",1,100,1,""
193,10268,[18709],[],92,1,"","","","","",1,100,1,""
194,10269,[18710],[],135,1,"","","","","",1,100,1,""
195,10270,[18711],[],107,1,"","","","","",1,100,1,""
196,10271,[18712],[],108,1,"","","","","",1,100,2,""
197,10272,[18727],[],112,1,"","","","","",1,100,2,""
198,10273,[18714],[],110,1,"","","","","",1,100,1,""
199,10274,[18715],[],111,1,"","","","","",1,100,1,""
200,10275,[18721],[],128,1,"","","","","",1,100,1,""
201,10276,[18722],[],129,1,"","","","","",1,100,1,""
202,10277,[18723],[],130,1,"","","","","",1,100,2,""
203,10278,[18724],[],131,1,"","","","","",1,100,1,""
204,10279,[18725],[],132,1,"","","","","",1,100,1,""
205,10280,[18726],[],133,1,"","","","","",1,100,1,""
206,10281,[18728],[],113,1,"","","","","",1,100,1,""
207,10282,[18729],[],114,1,"","","","","",1,100,1,""
208,10283,[18730],[],115,1,"","","","","",1,100,1,""
209,10284,[18731],[],116,1,"","","","","",1,100,1,""
210,10285,[18732],[],117,1,"","","","","",1,100,1,""
211,10286,[18733],[],118,1,"","","","","",1,100,1,""
212,10287,[18734],[],119,1,"","","","","",1,100,1,""
213,7927,"[20572,20577]",[],15,"","","",1,"","",1,100,1,""
214,7928,"[20573,20578]",[],16,"","","",1,"","",1,100,1,""
215,7929,"[20574,20579]",[],17,"","","",1,"","",1,100,1,""
216,7930,"[20575,20580]",[],18,"","","",1,"","",1,100,1,""
217,7931,"[20576,20581]",[],19,"","","",1,"","",1,100,1,""
218,7932,"[20582,20587]",[],15,"","","",1,"","",1,100,1,""
219,7933,"[20583,20588]",[],16,"","","",1,"","",1,100,1,""
220,7934,"[20584,20589]",[],17,"","","",1,"","",1,100,1,""
221,7935,"[20585,20590]",[],18,"","","",1,"","",1,100,1,""
222,7936,"[20586,20591]",[],19,"","","",1,"","",1,100,1,""
223,10291,[20937],[],139,"","","","","","",1,100,1,""
224,10292,[20938],[],139,"","","","","","",1,100,1,""
225,10293,[20939],[],139,"","","","","","",1,100,1,""
226,10294,[20940],[],139,"","","","","","",1,100,1,""
227,10295,[20941],[],139,"","","","","","",1,100,1,""
228,10296,[20942],[],139,"","","","","","",1,100,1,""
229,10297,[20944],[],139,"","","","","","",1,100,1,""
230,10298,[20945],[],139,"","","","","","",1,100,1,""
231,10299,[20946],[],139,"","","","","","",1,100,1,""
232,10300,[20948],[],139,"","","","","","",1,100,1,""
233,10301,[20949],[],139,"","","","","","",1,100,1,""
234,10302,[20951],[],139,"","","","","","",1,100,1,""
235,10303,[20952],[],139,"","","","","","",1,100,1,""
236,7937,[8346],[],139,"","","",1,"","",1,100,1,""
237,7954,[24353],[9592],139,1,"","","","","",1,100,4,""
