"rownum","Id","Name","Icon","Description","PackLeader1","PackLeader2","Mod"
33,"RangedSkeleton2","Timeless Hunters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","","",""
34,"RangedSkeletonwhitenec","Bow Skeletons ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}\r\nRevives Undead",""
35,"RangedSkeleton4","Brittle Lookouts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","","",""
36,"RangedSkeleton5v2","Brittle Poachers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons\r\nUses <craftinglightning>{Lightning} Arrow","","",""
37,"RangedSkeleton5","Sandy Lookouts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons\r\nUses <craftinglightning>{Lightning} Arrow","","",""
38,"RangedSkeletonvoll","Voll's Vanguards","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVollSkeletonRanged","Ranged <white>{Undead} Skeletons","<white>{Pack Leader:}\r\n<white>{Knitted Horror}","<white>{Pack Leader:}\r\n<white>{Knitted Horror}\r\nInflicts <craftingphysical>{Bleeding}\r\nSpawns Voll's Fallen on Death",""
39,"RangedSkeleton","Bow Skeletons ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","","",""
40,"RangedSkeletonNecro","Bow Skeletons","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonRanged","Ranged <white>{Undead} Skeletons","<white>{Pack Leader:}\r\n<white>{Diabolist}","<white>{Pack Leader:}\r\n<white>{Diabolist}\r\nCasts Enfeeble\r\nRevives Undead",""
41,"CasterSkeleton","Caster Skeletons ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCasterSkeleton","Ranged <white>{Undead} Skeleton Mages","","",""
42,"SeaSpawn","Sea Spawn","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSeaSpawn","Small <white>{Demons}","","",""
43,"SeaWitch2","Singing Sirens","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSeaWitch","<craftingcold>{Cold} <white>{Demons}\r\nScreeches, reducing movement speed\r\nCasts <craftingcold>{Tidal} Wave","","",""
44,"SeaWitch","Sea Witches","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSeaWitch","<craftingcold>{Cold} <white>{Demons}\r\nScreeches, reducing movement speed\r\nCasts <craftingcold>{Tidal} Wave","","",""
45,"Squid2","Cavern Drifters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSquid","Aquatic <white>{Beasts}\r\nCasts charged <craftinglightning>{Lightning} Burst, inflicting Blind","","",""
46,"SquidSewer","Sewer Drifters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSquid","Aquatic <white>{Beasts}\r\nCasts charged <craftinglightning>{Lightning} Burst, inflicting Blind","","",""
47,"Squid","Drifting Eyes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSquid","Aquatic <white>{Beasts}\r\nCasts charged <craftinglightning>{Lightning} Burst, inflicting Blind","","",""
48,"GoatmanMelee2","Goatmen Stompers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManMelee","<white>{Beast} Goatmen\r\nUses Leap Slam","","",""
49,"GoatmanMelee3v2","Hill Devils","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManMelee","<white>{Beast} Goatmen\r\nUses Leap Slam","<white>{Pack Leader:}\r\n<white>{Colossus Crusher}","<white>{Pack Leader:}\r\n<white>{Colossus Crusher}\r\nUses Ground Slam, Earthquake",""
50,"GoatmanMelee3","Alpine Devils","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManMelee","<white>{Beast} Goatmen\r\nUses Leap Slam","<white>{Pack Leader:}\r\n<white>{Colossus Crusher}","<white>{Pack Leader:}\r\n<white>{Colossus Crusher}\r\nUses Ground Slam, Earthquake",""
51,"GoatmanMelee","Goatmen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManMelee","<white>{Beast} Goatmen\r\nUses Leap Slam","","",""
52,"GoatmanMeleeLightning","Bearded Devils","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManMelee","<white>{Beast} Goatmen\r\nUses Leap Slam","","",""
53,"GoatManCaster","Caster Goatmen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManCaster","<white>{Beast} Goatmen\r\nCasts <craftingfire>{Fireball} and <craftingfire>{Molten} Shell\r\n","","",""
54,"Kiweth","Kiweth","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKiweth","Corpse-eating <white>{Demons}\r\nFires mortars after consuming corpse","","",""
55,"WheelSkeleton","Dreadwheels","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWheelSkeleton","<white>{Undead} Skeletons\r\nRolls aggressively towards enemies","","",""
56,"NecromancersZombies"," Zombies and Necromancer","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerZombie","Slow moving <white>{Undead} Zombies","<white>{Pack Leader:}\r\n<white>{Diabolist}","<white>{Pack Leader:}\r\n<white>{Diabolist}\r\nCasts Enfeeble\r\nRevives Undead",""
57,"PrisonStalker","Ghouls","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPrisonStalker","<white>{Beasts}","","",""
58,"TarZombie","Fetid Shamblers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTarZombie","<white>{Undead} Tar Zombies\r\nReleases Tarred Ground on death","","",""
59,"PrisonSpider","Cell Crawlers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPrisonSpider","<white>{Beasts}","","",""
60,"HellionCry","Ruins Hellions","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHellion","Hellion <white>{Beasts}\r\nUses Rallying Cry\r\nGrants Frenzy Charges to allies on death","","",""
61,"Hellion","Flame Hellions","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHellion","Hellion <white>{Beasts}\r\nExplodes on death, leaving <craftingfire>{Burning} Ground","","",""
62,"MeleeGhost2","Spectral Corsairs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeGhost","<white>{Undead} Ghosts\r\nUses Spectral Throw","","",""
63,"MeleeGhost","Ghosts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeGhost","<white>{Undead} Ghosts","","",""
64,"RangedGhost","Ranged Ghosts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedGhost","Ranged <white>{Undead} Ghosts","","",""
65,"BrineVessel","Brine Vassals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBrineVessel","Parasitic <white>{Beasts}\r\nCreates Tarred Ground","","",""
66,"AliraBanditCaster","Alira's Archers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAliraBanditCaster","Ranged and Melee <white>{Humanoids}\r\nUses <craftingchaos>{Caustic} Arrow","","",""
67,"AliraBanditMelee","Alira's Bandits","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAliraBanditMelee","<white>{Humanoid} Bandits","","",""
68,"BanditMelee","Callow Thugs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanditMelee","<white>{Humanoid} Bandits","","",""
69,"BeastParasite","Enraptured Beasts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeastParasiteExtra","Large <white>{Beasts}\r\nSpawns Parasites on death","","",""
70,"Beast2","Thicket Hulks","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nUses Ground Slam","","",""
71,"Beast","Hairy Bonecrunchers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nUses Enduring Cry, Cleave, Ground Slam","","",""
72,"BeastDegenAura","Shaggy Monstrosities","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nUses Ground Slam\r\nHas Degeneration Aura","","",""
73,"BeastSlam2","Forest Beasts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nUses Ground Slam","","",""
74,"BeastSlam","Thicket Hulks","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nUses Ground Slam","","",""
75,"BeastVuln","Armour Crunchers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBeast","Large <white>{Beasts}\r\nApplies Vulnerability on hit","","",""
76,"DropBear2","Tunnelfiends","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDropBear","<white>{Beasts}\r\nOften drops from above onto unsuspecting enemies","","",""
77,"DropBear3","Woods Ursae","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDropBear","<white>{Beasts}\r\nOften drops from above onto unsuspecting enemies","","",""
78,"DropBear","Plummeting Ursae","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDropBear","<white>{Beasts}\r\nOften drops from above onto unsuspecting enemies","","",""
79,"FireSnake","Bramble Cobras","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpittingSnake","Ranged Snake <white>{Beasts}","","",""
80,"MossMonsterFire","Living Furies","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconFireRockElemental","<craftingfire>{Fire} <white>{Constructs}\r\nRolls aggressively at enemies","<white>{Pack Leaders:}\r\n<white>{Volcanic Golem}\r\n<white>{Rakango}","<white>{Pack Leaders:}\r\n<white>{Volcanic Golem}\r\nFires <craftingfire>{Molten} mortars\r\n<white>{Rakango}\r\nUses Cleave\r\nFires Spikes",""
81,"GolemFire","Flame Salvagers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGolemFire","Ranged <white>{Construct} Golems","","",""
82,"Insectburrow","Carrion Burrowers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconInsect","Small Insect <white>{Beasts} \r\nBurrows Underground","","",""
83,"Insect","Carrion Swarmers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconInsect","Small Insect <white>{Beasts}","","",""
84,"KraitynBanditMelee","Kraityn's Aspirants","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKraitynBanditMelee","<white>{Humanoid} Bandits","","",""
85,"KraitynBanditRanged","Kraityn's Scouts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKraitynBanditRanged","Ranged <white>{Humanoid} Bandits\r\nUses <craftingfire>{Burning} Arrow","","",""
86,"MeleeSnake2","Bramble Cobras","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSnake","Ranged Snake <white>{Beasts}","","",""
87,"MeleeSnake","Serpentine Constructs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSnake","Snake <white>{Constructs}","","",""
88,"MinebatScreech","Screechers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMineBat","Ranged Bat <white>{Beasts}","","",""
89,"MineBat","Howlers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMineBat","Ranged Bat <white>{Beasts}","","",""
90,"MoldyZombie2","Sutured Aberrations","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMoldyZombieNecromancer","Slow moving <white>{Undead} Zombies\r\nReleases <craftingchaos>{Caustic} Ground on death","","",""
91,"MoldyZombie","Devout Dead","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMoldyZombieNecromancer","Slow moving <white>{Undead} Zombies","","",""
92,"MoldyZombieNecromancer","Shambling Cadavers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMoldyZombieNecromancer","Slow moving <white>{Undead} Zombies","<white>{Pack Leader:}\r\n<white>{Necromancer}","<white>{Pack Leader:}\r\n<white>{Necromancer}\r\nRevives Undead",""
93,"Monkey2","Dread Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyChieftainSmall","<white>{Beast} Monkeys","","",""
94,"Monkey","Blood Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyChieftainSmall","<white>{Beast} Monkeys","<white>{Pack Leader:}\r\n<white>{Blood Chieftain}","<white>{Pack Leader:}\r\n<white>{Blood Chieftain}\r\nSummons Blood Apes\r\nThrows Blood Apes",""
95,"MonkeyEnrage","Carnage Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyChieftainSmall","<white>{Beast} Monkeys","<white>{Pack Leader:}\r\n<white>{Carnage Chieftain}","<white>{Pack Leader:}\r\n<white>{Carnage Chieftain}\r\nEnrages nearby allies, granting Frenzy Charges\r\nThrows Monkey Minions",""
96,"MonkeyEnrageSilver","Stygian Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyChieftainSmall","<white>{Beast} Monkeys","<white>{Pack Leader:}\r\n<white>{Stygian Silverback}","<white>{Pack Leader:}\r\n<white>{Stygian Silverback}\r\nEnrages nearby allies, granting Frenzy Charges\r\nThrows Monkey Minions",""
97,"MonkeyRanged","Barrow Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkey","Ranged <white>{Beast} Monkeys","","",""
98,"MossMonster2","Hulking titans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMossMonster","Rocky <white>{Constructs}\r\nRolls aggressively towards enemies\r\nOften disguised as piles of rocks","","",""
99,"MossMonster3","Stalag Nightmares","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMossMonster","Rocky <white>{Constructs}\r\nOften disguised as piles of rocks","","",""
100,"MossMonster4","Ruined Titans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMossMonster","Rocky <white>{Constructs}\r\nOften disguised as piles of rocks","","",""
101,"MossMonster5","Mountain Fragments","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMossMonster","Rocky <white>{Constructs}","","",""
102,"MossMonster","Stone Titans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMossMonster","Rocky <white>{Constructs}\r\nRolls aggressively towards enemies\r\nOften disguised as piles of rocks","","",""
103,"OakBanditMelee","Oak's Devoted","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOakBanditMelee","<white>{Humanoid} Bandits\r\nUses Warlord's Mark","","",""
104,"OakBanditRanged","Oak's Snipers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOakBanditRanged","Ranged <white>{Humanoid} Bandits\r\nUses <craftingfire>{Blast} Rain","","",""
105,"ParasiteCrab","Enraptured Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconParasiteCrab","Infested Crab <white>{Beasts}","","",""
106,"PlagueInsect","Carrion Wasps","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPlagueInsect","Fast <white>{Beast} Wasps","","",""
107,"RootSpider","Devourers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRootSpider","Stationary burrowing <white>{Beasts} \r\nBurrows underground and bursts out near enemies","","",""
108,"SandLeaperparasite","Dirt Scrabblers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandLeaper2","Small Agile <white>{Beasts}\r\nUses Leap Slam","","",""
109,"SandleaperWhip","Lowlands Hoppers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandLeaper","Small Agile <white>{Beasts}\r\nCasts <craftinglightning>{Lightning} Whip\r\nUses Leap Slam","","",""
110,"SandLeaper3","Sand Skitterers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandLeaper","Small Agile <white>{Beasts}","","",""
111,"SandLeaper","Dirt Scrabblers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandLeaper","Small Agile <white>{Beasts}\r\nUses Leap Slam","","",""
112,"Scarecrow","Scarecrows","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconScarecrow","Slow moving <white>{Undead} Scarecrows","<white>{Pack Leader:}\r\n<white>{Crow Keeper}","<white>{Pack Leader:}\r\n<white>{Crow Keeper}\r\nSummons Crows",""
113,"SpiderSabre","Lurking Venoms","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderThorn","Spider <white>{Beasts}\r\nUses Flicker Strike","","",""
114,"SpiderScaleViper3","Mutant Arach","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}\r\nUses Viper Strike, Flicker Strike","","",""
115,"SpiderScaleViper2","Crypt Ambushers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}\r\nUses Viper Strike, Flicker Strike","","",""
116,"SpiderScaleViper4","Lurking Venom","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}\r\nUses Viper Strike, inflicting <craftingchaos>{Poison} on hit\r\nOften rappel from above to surprise enemies","","",""
117,"SpiderScaleViperProj","Venomous Spiders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}\r\nFires <craftingchaos>{Poisonous} projectile","","",""
118,"SpiderScaleViper","Venomous Spiders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}\r\nUses Viper Strike, inflicting <craftingchaos>{Poison} on hit","","",""
119,"SpiderScale","Ink Spinners","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderScale","Spider <white>{Beasts}","","",""
120,"SpiderSmall2","Spindle Spiders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderSmall","Small Spider <white>{Beasts}","","",""
121,"SpiderSmall3","Cave Skitterers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderSmall","Small Spider <white>{Beasts}","","",""
122,"SpiderSmall","Small Spiders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderSmall","Small Spider <white>{Beasts}","","",""
123,"SpiderThorn3","Arakaali's Daughters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderThorn","Spider <white>{Beasts}\r\nUses Flicker Strike","","",""
124,"SpiderThorn4","Leaping Spiders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderThorn","Spider <white>{Beasts}\r\nUses Flicker Strike","","",""
125,"SpiderThorn2","Arakaali's Daughters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderThorn","Spider <white>{Beasts}\r\nUses Flicker Strike\r\nReleases Spiders on death","","",""
126,"SpiderThorn","Vaal Recluses","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderThorn","Spider <white>{Beasts}\r\nOften rappel from above to surprise enemies","","",""
127,"TwigMonster","Skeleton Spriggans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTwigMonster","Treant <white>{Demons}\r\nSpawn pods that explode after a delay, applying a stacking slow","","",""
128,"VaalCommander","Undead Vaal Commanders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalCommander","<white>{Undead} Vaal Commanders\r\nUses Heavy Strike","","",""
