"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
41,156,"Mana Regen - Rank 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2",1,108
42,192,"Flask Duration - Rank 1",[11],"Labyrinth Trial in The Bath House",1,124
43,145,"All Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel",2,143
44,234,"Socket Numbers - 2 to 4 Sockets","[0,1,2,3,6,7,8,5,4]","",0,69
45,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1195
46,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1199
47,239,"Socket Links - 2 to 4 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,67
48,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1163
49,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1122
50,244,"Socket Colours","[0,1,2,3,6,7,8,5,4]","",0,63
51,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,1104
52,196,"Attack and Spell Block - Rank 1",[4],"",1,1143
53,193,"Flask Duration - Rank 2",[11],"",2,1205
54,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,1230
55,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,1137
56,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,1147
57,197,"Attack and Spell Block - Rank 2",[4],"",2,1126
58,253,"Global Energy Shield - Rank 2","[10,9]","",2,1152
59,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,1271
60,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,1145
61,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,1269
62,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,1098
63,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,1095
64,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,1183
65,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,1172
66,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,1203
67,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,1101
68,194,"Ailment, Stun and Curse Mitigation - Rank 1","[5,7,8,9,4,13]","",1,73
69,189,"Defences - Rank 3","[6,8,7,5,4]","",3,1131
70,252,"Global Energy Shield - Rank 1","[10,9]","",1,1177
71,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,1108
72,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,1188
73,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,1120
74,153,"Life - Rank 5",[6],"",5,1226
75,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,1110
76,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,1244
77,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,1125
78,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,1169
79,226,"Reduced Damage over Time","[4,11]","",0,1266
80,227,"Animated Guardian and Light Radius",[6],"",0,1241
81,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,1136
82,254,"Criticals - Rank 3","[0,1,2,3]","",3,1127
83,255,"Minions - Rank 3","[0,1,2,3]","",3,1111
84,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1201
85,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1223
86,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1189
87,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1158
88,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1116
89,223,"Trigger a Socketed Spell when you Use a Skill","[0,2,1,3]","",0,145
