"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool","i32","bool","f32","i32","i32","i32","i32","bool","bool","bool"
11,"MiracleMapDevice2",334,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
12,"MiracleMapDevice3",334,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
13,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",5,"",0,0,0,-1308622848,0,"","",""
14,"SyntheticMapDevice",563,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
15,"DemonicMapDevice",579,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
16,"EldritchReaperMapDeviceLarge",622,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","aux_brazier_attach","[13,-25]",1,0,1,5,"",-512,9,0,-1308622848,0,"","",""
17,"MagebloomMapDevice",624,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PauaMapDevice","aux_receptacle_jntBnd","[-17,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
18,"SunMapDevice",1167,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SunMapDevice","aux_pedestal_attach","[-20,0]",1,20,1,5,"",0,0,0,-1308622848,0,"","",""
19,"BloodlordMapDevice",1170,31,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PetBlenderMapDevice","aux_button_attach","[-31,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
20,"BellTowerMapDevice",1247,33,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/BellTowerMapDevice","aux_bowl_attach","[-23,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
21,"StopwatchMapDevice",1256,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDevice","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-1308622848,0,"","",""
22,"StopwatchMapDeviceSilver",1258,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceSilver","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-1308622848,0,"","",""
23,"StopwatchMapDeviceGold",1257,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceGold","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-1308622848,0,"","",""
24,"MarakethSlaveDriverMapDevice",1313,34,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MarakethSlaveDriverMapDevice","aux_MapHolder","[-35,0]","",0,1,2,"",0,100663308,0,-436207616,19,"","",""
25,"VaalSerpentGodMapDevice",1323,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/VaalSerpentGodMapDevice","aux_bowl_attach","[-40,-2]",1,0,1,5,1,0,13,0,-1308622848,0,"","",""
26,"EldritchReaperMapDeviceLargeBlack",1389,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDeviceBlack","aux_brazier_attach","[13,-25]",1,0,1,5,"",-512,9,0,-1308622848,0,"","",""
27,"EldritchReaperMapDeviceLargeSteel",1391,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDeviceSteel","aux_brazier_attach","[13,-25]",1,0,1,5,"",-512,9,0,-1308622848,0,"","",""
28,"TreeMapDevice",1417,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,"",0,0,0,-1308622848,0,"","",""
29,"TreeMapDeviceSmall",1417,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,"",0,0,0,-1308622848,0,"","",""
30,"TreeMapDeviceBlood",1418,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,"",0,0,0,-1308622848,0,"","",""
31,"TreeMapDeviceBloodSmall",1418,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,"",0,0,0,-1308622848,0,"","",""
32,"TreeMapDeviceNightlotus",1419,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,"",0,0,0,-1308622848,0,"","",""
33,"TreeMapDeviceNightlotusSmall",1419,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,"",0,0,0,-1308622848,0,"","",""
34,"EldritchMapDevice",1416,28,"Metadata/MapDevices/EldritchMapDevice/EldritchMapDevice","aux_interface","[-23,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
35,"CauldronMapDevice",1448,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/CauldronMapDevice","aux_receptacle","[-37,2]",1,0,1,4,"",0,0,0,-1308622848,0,"","",""
36,"KaalguranMapDevice1",1466,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice1","aux_pedestal_attachment",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
37,"KaalguranMapDevice2",1466,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice2","aux_pedestal_attachment",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
38,"KaalguranMapDevice3",1466,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice3","aux_pedestal_attachment",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
39,"PuzzleCubeMapDevice",1483,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
40,"PuzzleCubeMapDeviceMagma",1484,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
41,"PuzzleCubeMapDeviceWater",1485,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
42,"VillageTujenRescue","",18,"Metadata/NPC/League/Kalguur/VillageTujen","",[],"",0,"",5,1,0,0,0,-1308622848,0,"","",""
43,"VillageIslaRescue","",18,"Metadata/NPC/League/Kalguur/VillageIsla","",[],"",0,"",5,1,0,0,0,-1308622848,0,"","",""
