"rownum","Id","Description","BestiaryRecipeComponentKeys","Notes","Category","bool","Achievements","bool","i32","i32","GameMode","FlaskMod"
42,"EinharMasterCraftFlask11","Adds \""of the Urchin\""",[185],"Requires Flask to have no existing Suffix",11,"",[8667],"",1,0,1,27135
43,"EinharMasterCraft34","to Farrul's Den",[0],"",12,"",[8667],"",1,1,1,""
44,"EinharMasterCraft35","to Saqawal's Roost",[17],"",12,"",[8667],"",1,1,1,""
45,"EinharMasterCraft36","to Fenumus' Lair",[25],"",12,"",[8667],"",1,1,1,""
46,"EinharMasterCraft37","to Craiceann's Cove",[34],"",12,"",[8667],1,1,1,1,""
47,"EinharMasterCraft38","Aspect of the Cat skill",[107],"",13,"",[8667],1,1,1,1,""
48,"EinharMasterCraft39","Aspect of the Avian skill",[108],"",13,"",[8667],1,1,1,1,""
49,"EinharMasterCraft40","Aspect of the Spider skill",[109],"",13,"",[8667],1,1,1,1,""
50,"EinharMasterCraft41","Aspect of the Crab skill",[110],"",13,"",[8667],"",1,1,1,""
51,"EinharMasterCraft42","Add a Mod to a Shaper Item","[23,35]","",7,"",[9950],"",0,2,1,""
52,"EinharMasterCraft43","Add a Mod to an Elder Item","[19,35]","",7,"",[9950],"",0,2,1,""
53,"EinharMasterCraft44","Add a Mod to a Redeemer Item","[21,35]","",7,"",[9950],"",0,2,1,""
54,"EinharMasterCraft45","Add a Mod to a Hunter Item","[30,35]","",7,"",[9950],"",0,2,1,""
55,"EinharMasterCraft46","Add a Mod to a Crusader Item","[13,35]","",7,"",[9950],"",0,2,1,""
56,"EinharMasterCraft47","Add a Mod to a Warlord Item","[22,35]","",7,"",[9950],"",0,2,1,""
57,"EinharMasterCraft48","Twice","[28,27]","",5,"",[8667],"",0,2,1,""
58,"EinharMasterCraft49","Add a Mod to a Rare Map","[33,18]","Only works on rare maps",7,"",[9950],"",0,2,1,""
59,"EinharMasterCraft50","A Stack of 2 Orbs of Binding","[31,32]","",0,"",[8667],"",0,2,1,""
60,"EinharMasterCraft51","A Stack of 3 Orbs of Horizons","[2,10]","",0,"",[8667],"",0,2,1,""
61,"EinharMasterCraftMemoryLine1","Add a crafted Meta-modifier to a non-Unique Item",[186],"",7,"",[9950],"",0,1,1,""
62,"EinharMasterCraftMemoryLine2","Reroll a Watcher's Eye Modifier",[187],"Cannot reroll Maximum Life, Mana or Energy Shield modifiers",7,"",[9950],"",0,1,1,""
63,"EinharMasterCraftMemoryLine3","Increase level of non-Corrupted Awakened Gem by 1",[188],"",6,"",[],"",0,1,1,""
64,"EinharMasterCraftMemoryLine4","Reroll an Awakened Support Gem",[189],"Cannot result in Awakened Empower, Enhance or Enlighten",6,"",[],"",0,1,1,""
65,"EinharMasterCraftMemoryLine5","Reroll a Synthesis Implicit Modifier",[190],"",6,"",[],"",0,1,1,""
66,"EinharMasterCraftMemoryLine6","Shaper Guardian, Elder Guardian or Conqueror Map",[191],"",3,"",[],"",0,1,1,""
67,"EinharMasterCraftMemoryLine7","Synthesis Unique Map",[192],"",3,"",[],"",0,1,1,""
68,"EinharMasterCraftMemoryLine8","Gain a free use of each Map Crafting Option",[193],"",14,"",[],"",0,1,1,""
69,"EinharMasterCraftMemoryLine9","Gain Five Kirac Missions",[194],"Colour of Missions based on Level of Red Beast",14,"",[],"",0,1,1,""
70,"EinharMasterCraftHardModeFlask1","Adds \""Used when an adjacent Flask is used\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
71,"EinharMasterCraftHardModeFlask2","Adds \""Reused at the end of this Flask's effect\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
72,"EinharMasterCraftHardModeFlask3","Adds \""Used when Charges reach full\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
73,"EinharMasterCraftHardModeFlask4","Adds \""Used when you Use a Guard Skill\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
74,"EinharMasterCraftHardModeFlask5","Adds \""Used when you Use a Travel Skill\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
75,"EinharMasterCraftHardModeFlask6","Adds \""Used when you Hit a Rare or Unique Enemy, if not already in effect\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
76,"EinharMasterCraftHardModeFlask7","Adds \""Used when you become Frozen\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
77,"EinharMasterCraftHardModeFlask8","Adds \""Used when you become Chilled\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
78,"EinharMasterCraftHardModeFlask9","Adds \""Used when you become Shocked\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
79,"EinharMasterCraftHardModeFlask10","Adds \""Used when you become Ignited\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
80,"EinharMasterCraftHardModeFlask11","Adds \""Used when you start Bleeding\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
81,"EinharMasterCraftHardModeFlask12","Adds \""Used when you become Poisoned\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
82,"EinharMasterCraftHardModeFlask13","Adds \""Used when you Block\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
83,"EinharMasterCraftHardModeFlask14","Adds \""Used when you take a Savage Hit\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
84,"EinharMasterCraftHardModeFlask15","Adds \""Used when you use a Life Flask\""",[185],"Replaces any existing Enchantment",15,"",[],"",0,0,2,""
85,"EinharMasterCraft1HardMode","Breakrib Talisman",[16],"",16,"",[],1,0,1,2,""
86,"EinharMasterCraft2HardMode","Ashscale Talisman",[32],"",16,"",[],1,0,1,2,""
87,"EinharMasterCraft3HardMode","Lone Antler Talisman",[31],"",16,"",[],1,0,1,2,""
88,"EinharMasterCraft4HardMode","Deep One Talisman",[33],"",16,"",[],1,0,1,2,""
89,"EinharMasterCraft5HardMode","Chrysalis Talisman",[1],"",16,"",[],1,0,1,2,""
90,"EinharMasterCraft6HardMode","Writhing Talisman",[4],"",16,"",[],1,0,1,2,""
91,"EinharMasterCraft7HardMode","Mandible Talisman",[5],"",16,"",[],1,0,1,2,""
92,"EinharMasterCraft8HardMode","Bonespire Talisman",[6],"",16,"",[],1,0,1,2,""
93,"EinharMasterCraft9HardMode","Deadhand Talisman",[10],"",16,"",[],1,0,1,2,""
94,"EinharMasterCraft10HardMode","Undying Flesh Talisman",[11],"",16,"",[],1,0,1,2,""
95,"EinharMasterCraft11HardMode","Black Maw Talisman",[14],"",16,"",[],1,0,1,2,""
96,"EinharMasterCraft12HardMode","Splitnewt Talisman",[26],"",16,"",[],1,0,1,2,""
97,"EinharMasterCraft13HardMode","Clutching Talisman",[29],"",16,"",[],1,0,1,2,""
98,"EinharMasterCraft14HardMode","Horned Talisman",[30],"",16,"",[],1,0,1,2,""
99,"EinharMasterCraft15HardMode","Primal Skull Talisman",[18],"",16,"",[],1,0,1,2,""
100,"EinharMasterCraft16HardMode","Hexclaw Talisman",[23],"",16,"",[],1,0,1,2,""
101,"EinharMasterCraft17HardMode","Fangjaw Talisman",[19],"",16,"",[],1,0,1,2,""
102,"EinharMasterCraft18HardMode","Wereclaw Talisman",[21],"",16,"",[],1,0,1,2,""
103,"EinharMasterCraft19HardMode","Monkey Twins Talisman",[13],"",16,"",[],1,0,1,2,""
104,"EinharMasterCraft20HardMode","Three Hands Talisman",[22],"",16,"",[],1,0,1,2,""
105,"EinharMasterCraft21HardMode","Longtooth Talisman",[12],"",16,"",[],1,0,1,2,""
106,"EinharMasterCraft22HardMode","Rotfeather Talisman",[8],"",16,"",[],1,0,1,2,""
107,"EinharMasterCraft23HardMode","Three Rat Talisman",[9],"",16,"",[],1,0,1,2,""
108,"EinharMasterCraft24HardMode","Avian Twins Talisman (Fire)",[24],"",16,"",[],1,0,1,2,""
109,"EinharMasterCraft25HardMode","Avian Twins Talisman (Lightning)",[15],"",16,"",[],1,0,1,2,""
110,"EinharMasterCraft26HardMode","Avian Twins Talisman (Cold)",[2],"",16,"",[],1,0,1,2,""
111,"EinharMasterCraft27HardMode","Monkey Paw Talisman (Power)",[3],"",16,"",[],1,0,1,2,""
112,"EinharMasterCraft28HardMode","Monkey Paw Talisman (Frenzy)",[7],"",16,"",[],1,0,1,2,""
113,"EinharMasterCraft29HardMode","Monkey Paw Talisman (Endurance)",[35],"",16,"",[],1,0,1,2,""
114,"EinharMasterCraft30HardMode","from an Amulet into a Talisman",[20],"Does not work on Influenced items",6,"",[],"",0,1,2,""
115,"EinharMasterCraft31HardMode","Of a Magic Item",[36],"",4,"",[],"",0,1,2,""
116,"EinharMasterCraft32HardMode","To have 30% Quality",[28],"",5,"",[],"",0,1,2,""
117,"EinharMasterCraft33HardMode","Into Another Random Unique Item",[27],"",9,"",[],"",0,1,2,""
118,"EinharMasterCraft34HardMode","Twice","[28,27]","",5,"",[],"",0,2,2,""
119,"EinharMasterCraft35HardMode","to Farrul's Den",[0],"",12,"",[],"",0,1,2,""
120,"EinharMasterCraft36HardMode","to Saqawal's Roost",[17],"",12,"",[],"",0,1,2,""
121,"EinharMasterCraft37HardMode","to Fenumus' Lair",[25],"",12,"",[],"",0,1,2,""
122,"EinharMasterCraft38HardMode","to Craiceann's Cove",[34],"",12,"",[],"",0,1,2,""
123,"EinharMasterCraft39HardMode","Level 20 Aspect of the Cat skill",[107],"",13,"",[],1,0,1,2,""
124,"EinharMasterCraft40HardMode","Level 20 Aspect of the Avian skill",[108],"",13,"",[],1,0,1,2,""
125,"EinharMasterCraft41HardMode","Level 20 Aspect of the Spider skill",[109],"",13,"",[],1,0,1,2,""
126,"EinharMasterCraft42HardMode","Level 20 Aspect of the Crab skill",[110],"",13,"",[],1,0,1,2,""
127,"EinharMasterCraftMorrigan1","Level 30 Aspect of the Cat skill","[107,111]","",13,"",[],"",0,2,1,""
128,"EinharMasterCraftMorrigan2","Level 30 Aspect of the Avian skill","[108,111]","",13,"",[],"",0,2,1,""
129,"EinharMasterCraftMorrigan3","Level 30 Aspect of the Spider skill","[109,111]","",13,"",[],"",0,2,1,""
130,"EinharMasterCraftMorrigan4","Level 30 Aspect of the Crab skill","[110,111]","",13,"",[],"",0,2,1,""
131,"EinharMasterCraftMorrigan5","To a Magic Item","[36,111]","",17,"",[],"",0,2,1,""
132,"EinharMasterCraftMorrigan6","Into Three Items, with Two Mods on Each Item","[24,111]","Does not work on Influenced or Split items",8,"",[],"",0,2,1,""
133,"EinharMasterCraftMorrigan7","to Have Maximum Possible Links","[31,111]","",18,"",[],"",0,2,1,""
134,"EinharMasterCraftMorrigan8","to Have Maximum Possible Number of Sockets","[32,111]","",18,"",[],"",0,2,1,""
135,"EinharMasterCraftMorrigan1HardMode","Level 30 Aspect of the Cat skill","[107,111]","",13,"",[],1,0,2,2,""
136,"EinharMasterCraftMorrigan2HardMode","Level 30 Aspect of the Avian skill","[108,111]","",13,"",[],1,0,2,2,""
137,"EinharMasterCraftMorrigan3HardMode","Level 30 Aspect of the Spider skill","[109,111]","",13,"",[],1,0,2,2,""
138,"EinharMasterCraftMorrigan4HardMode","Level 30 Aspect of the Crab skill","[110,111]","",13,"",[],1,0,2,2,""
139,"EinharMasterCraftMorrigan5HardMode","To a Magic Item","[36,111]","",17,"",[],"",0,2,2,""
