"rownum","Index","SkillGem1","Name1","SkillGem2","Name2","row"
41,42,[92],"Enfeeble","[98,99]","Summon Skeletons",46
42,43,[93],"Assassin's Mark",[261],"Glacial Shield Swipe",47
43,44,[94],"Sniper's Mark",[266],"Crushing Fist",48
44,45,[95],"Despair",[262],"Swordstorm",49
45,46,[96],"Lightning Warp",[100],"Heavy Strike",50
46,47,"[98,99]","Summon Skeletons","[102,726]","Dominating Blow",51
47,48,[261],"Glacial Shield Swipe","[103,104]","Rain of Arrows",52
48,49,[266],"Crushing Fist","[115,728]","Firestorm",53
49,50,[262],"Swordstorm","[116,117]","Lightning Strike",54
50,51,[100],"Heavy Strike",[118],"Tempest Shield",55
51,52,"[102,726]","Dominating Blow","[119,120]","Molten Shell",56
52,53,"[103,104]","Rain of Arrows","[121,122]","Power Siphon",57
53,54,"[115,728]","Firestorm",[123],"Puncture",58
54,55,"[116,117]","Lightning Strike","[124,724]","Lightning Arrow",59
55,56,[118],"Tempest Shield","[165,166]","Arc",60
56,57,"[119,120]","Molten Shell","[125,126]","Haste",61
57,58,"[121,122]","Power Siphon",[127],"Purity of Elements",62
58,59,[123],"Puncture",[128],"Vitality",63
59,60,"[124,724]","Lightning Arrow","[129,130]","Discipline",64
60,61,"[165,166]","Arc","[131,132]","Grace",65
61,62,"[125,126]","Haste",[133],"Determination",66
62,63,[127],"Purity of Elements",[134],"Anger",67
63,64,[128],"Vitality",[135],"Hatred",68
64,65,"[129,130]","Discipline",[136],"Wrath",69
65,66,"[131,132]","Grace","[137,138]","Burning Arrow",70
66,67,[133],"Determination","[141,142]","Clarity",71
67,68,[134],"Anger",[151],"Shockwave Totem",72
68,69,[135],"Hatred","[152,729]","Rejuvenation Totem",73
69,70,[136],"Wrath",[154],"Conversion Trap",74
70,71,"[137,138]","Burning Arrow",[155],"Bear Trap",75
71,72,"[141,142]","Clarity",[157],"Fire Trap",76
72,73,[151],"Shockwave Totem",[159],"Decoy Totem",77
73,74,"[152,729]","Rejuvenation Totem",[160],"Devouring Totem",78
74,75,[154],"Conversion Trap",[161],"Ethereal Knives",79
75,76,[155],"Bear Trap","[168,169]","Arctic Armour",80
76,77,[157],"Fire Trap",[170],"Holy Flame Totem",81
77,78,[159],"Decoy Totem",[180],"Flammability",82
78,79,[160],"Devouring Totem",[181],"Frostbite",83
79,80,[161],"Ethereal Knives",[182],"Conductivity",84
80,81,"[168,169]","Arctic Armour",[184],"Incinerate",85
81,82,[170],"Holy Flame Totem","[185,186]","Cyclone",86
82,83,[180],"Flammability",[191],"Searing Bond",87
83,84,[181],"Frostbite","[195,196]","Reave",88
84,85,[182],"Conductivity","[201,202]","Lightning Trap",89
85,86,[184],"Incinerate",[244],"Pyroclast Mine",90
86,87,"[185,186]","Cyclone",[153],"Icicle Mine",92
87,88,[191],"Searing Bond",[424],"Stormblast Mine",93
88,89,"[195,196]","Reave",[205],"Animate Guardian",94
89,90,"[201,202]","Lightning Trap","[207,208]","Spectral Throw",95
90,91,[244],"Pyroclast Mine","[214,723]","Animate Weapon",96
91,92,[203],"Smoke Mine","[216,217]","Purity of Fire",97
92,93,[153],"Icicle Mine","[218,219]","Purity of Ice",98
93,94,[424],"Stormblast Mine","[220,221]","Purity of Lightning",99
94,95,[205],"Animate Guardian","[222,223]","Storm Call",100
95,96,"[207,208]","Spectral Throw","[224,225]","Flameblast",101
96,97,"[214,723]","Animate Weapon",[226],"Barrage",102
97,98,"[216,217]","Purity of Fire",[227],"Ball Lightning",103
98,99,"[218,219]","Purity of Ice",[231],"Summon Raging Spirit",104
99,100,"[220,221]","Purity of Lightning",[232],"Flame Surge",105
100,101,"[222,223]","Storm Call",[234],"Desecrate",106
101,102,"[224,225]","Flameblast",[235],"Flesh Offering",107
102,103,[226],"Barrage",[236],"Bone Offering",108
103,104,[227],"Ball Lightning",[238],"Glacial Cascade",109
104,105,[231],"Summon Raging Spirit",[241],"Convocation",110
105,106,[232],"Flame Surge","[240,716]","Molten Strike",111
106,107,[234],"Desecrate",[245],"Tornado Shot",112
107,108,[235],"Flesh Offering",[247],"Herald of Ash",113
108,109,[236],"Bone Offering",[248],"Herald of Ice",114
109,110,[238],"Glacial Cascade",[249],"Herald of Thunder",115
110,111,[241],"Convocation",[252],"Poacher's Mark",116
111,112,"[240,716]","Molten Strike",[253],"Lightning Tendrils",117
112,113,[245],"Tornado Shot",[260],"Mirror Arrow",118
113,114,[247],"Herald of Ash",[257],"Kinetic Blast",120
114,115,[248],"Herald of Ice",[269],"Summon Chaos Golem",121
115,116,[249],"Herald of Thunder",[270],"Summon Ice Golem",122
116,117,[252],"Poacher's Mark",[271],"Summon Flame Golem",123
117,118,[253],"Lightning Tendrils",[272],"Summon Lightning Golem",124
118,119,[260],"Mirror Arrow",[274],"Ice Crash",125
119,120,[259],"Blink Arrow",[275],"Rallying Cry",126
120,121,[257],"Kinetic Blast",[276],"Infernal Cry",127
121,122,[269],"Summon Chaos Golem",[278],"Vigilant Strike",128
122,123,[270],"Summon Ice Golem",[284],"Rolling Magma",129
123,124,[271],"Summon Flame Golem",[280],"Frost Blades",131
124,125,[272],"Summon Lightning Golem",[286],"Wild Strike",132
125,126,[274],"Ice Crash",[289],"Galvanic Arrow",133
126,127,[275],"Rallying Cry",[288],"Blast Rain",134
127,128,[276],"Infernal Cry",[291],"Bladefall",135
128,129,[278],"Vigilant Strike",[296],"Siege Ballista",136
129,130,[284],"Rolling Magma","[292,293]","Blade Vortex",137
130,131,[277],"Flame Dash",[302],"Contagion",138
131,132,[280],"Frost Blades",[303],"Wither",139
132,133,[286],"Wild Strike",[305],"Essence Drain",140
133,134,[289],"Galvanic Arrow",[287],"Ice Trap",141
134,135,[288],"Blast Rain",[297],"Orb of Storms",142
135,136,[291],"Bladefall",[295],"Frost Bomb",143
136,137,[296],"Siege Ballista",[298],"Summon Stone Golem",144
137,138,"[292,293]","Blade Vortex",[263],"Eviscerate",145
138,139,[302],"Contagion",[733],"Snipe",146
139,140,[303],"Wither",[268],"Vengeful Cry",147
140,141,[305],"Essence Drain","[300,360]","Earthquake",148
141,142,[287],"Ice Trap",[314],"Sunder",149
142,143,[297],"Orb of Storms",[20],"Lacerate",150
143,144,[295],"Frost Bomb",[237],"Spirit Offering",151
144,145,[298],"Summon Stone Golem",[315],"Frostbolt",152
145,146,[263],"Eviscerate",[316],"Vortex",153
146,147,[733],"Snipe","[304,361]","Blight",154
147,148,[268],"Vengeful Cry",[322],"Scorching Ray",155
148,149,"[300,360]","Earthquake","[8,721]","Blade Flurry",156
149,150,[314],"Sunder",[321],"Dark Pact",158
150,151,[20],"Lacerate",[183],"Storm Burst",159
151,152,[237],"Spirit Offering",[342],"Cremation",160
152,153,[315],"Frostbolt",[29],"Volatile Dead",162
153,154,[316],"Vortex",[30],"Unearth",163
154,155,"[304,361]","Blight",[354],"Explosive Trap",164
155,156,[322],"Scorching Ray",[355],"Siphoning Trap",165
156,157,"[8,721]","Blade Flurry",[356],"Flamethrower Trap",166
157,158,[7],"Charged Dash",[357],"Lightning Spire Trap",167
158,159,[321],"Dark Pact",[358],"Seismic Trap",168
159,160,[183],"Storm Burst",[352],"Vulnerability",169
160,161,[342],"Cremation",[345],"Tectonic Slam",170
161,162,[343],"Bodyswap",[206],"Spectral Shield Throw",171
162,163,[29],"Volatile Dead",[251],"Herald of Purity",172
163,164,[30],"Unearth",[250],"Herald of Agony",173
164,165,[354],"Explosive Trap",[365],"Consecrated Path",174
165,166,[355],"Siphoning Trap","[366,720]","Smite",175
166,167,[356],"Flamethrower Trap",[367],"Scourge Arrow",176
167,168,[357],"Lightning Spire Trap",[368],"Toxic Rain",177
168,169,[358],"Seismic Trap",[369],"Summon Holy Relic",178
169,170,[352],"Vulnerability",[372],"Winter Orb",179
170,171,[345],"Tectonic Slam",[375],"Storm Brand",180
171,172,[206],"Spectral Shield Throw",[380],"Armageddon Brand",181
172,173,[251],"Herald of Purity",[381],"Brand Recall",182
173,174,[250],"Herald of Agony",[376],"War Banner",183
174,175,[365],"Consecrated Path",[377],"Dread Banner",184
175,176,"[366,720]","Smite",[378],"Shattering Steel",185
176,177,[367],"Scourge Arrow",[374],"Lancing Steel",186
177,178,[368],"Toxic Rain",[382],"Purifying Flame",187
178,179,[369],"Summon Holy Relic",[383],"Soulrend",188
179,180,[372],"Winter Orb",[384],"Bane",189
180,181,[375],"Storm Brand",[388],"Divine Ire",190
181,182,[380],"Armageddon Brand",[386],"Wave of Conviction",191
182,183,[381],"Brand Recall",[387],"Zealotry",192
183,184,[376],"War Banner",[389],"Malevolence",193
184,185,[377],"Dread Banner",[407],"Precision",194
185,186,[378],"Shattering Steel",[393],"Steelskin",195
186,187,[374],"Lancing Steel",[398],"Bladestorm",197
187,188,[382],"Purifying Flame",[399],"Blood and Sand",198
188,189,[383],"Soulrend",[400],"Berserk",199
189,190,[384],"Bane",[401],"Perforate",200
190,191,[388],"Divine Ire",[402],"Chain Hook",201
191,192,[386],"Wave of Conviction",[408],"Flesh and Stone",203
192,193,[387],"Zealotry",[411],"Pride",204
193,194,[389],"Malevolence",[414],"Cobra Lash",205
194,195,[407],"Precision",[425],"Summon Skitterbots",208
195,196,[393],"Steelskin",[417],"Plague Bearer",209
196,197,[395],"Dash",[428],"Pestilent Strike",210
197,198,[398],"Bladestorm",[415],"Summon Carrion Golem",211
198,199,[399],"Blood and Sand",[435],"Artillery Ballista",212
199,200,[400],"Berserk",[431],"Shrapnel Ballista",213
200,201,[401],"Perforate",[434],"Ensnaring Arrow",214
201,202,[402],"Chain Hook",[477],"Stormbind",215
202,203,[406],"Frostblink",[479],"Blade Blast",216
203,204,[408],"Flesh and Stone",[481],"Spellslinger",217
204,205,[411],"Pride",[478],"Kinetic Bolt",218
205,206,[414],"Cobra Lash",[475],"Arcane Cloak",219
206,207,[416],"Withering Step",[485],"Intimidating Cry",220
207,208,"[429,719]","Venom Gyre",[487],"Ancestral Cry",221
208,209,[425],"Summon Skitterbots",[486],"Seismic Cry",222
209,210,[417],"Plague Bearer",[491],"General's Cry",223
210,211,[428],"Pestilent Strike",[484],"Arcanist Brand",224
211,212,[415],"Summon Carrion Golem",[488],"Penance Brand",225
212,213,[435],"Artillery Ballista",[489],"Wintertide Brand",226
213,214,[431],"Shrapnel Ballista",[490],"Earthshatter",227
214,215,[434],"Ensnaring Arrow",[500],"Sigil of Power",228
215,216,[477],"Stormbind",[499],"Splitting Steel",229
216,217,[479],"Blade Blast",[501],"Flame Wall",230
217,218,[481],"Spellslinger",[495],"Blazing Salvo",231
218,219,[478],"Kinetic Bolt",[497],"Crackling Lance",232
219,220,[475],"Arcane Cloak",[496],"Void Sphere",233
220,221,[485],"Intimidating Cry",[498],"Frost Shield",234
221,222,[487],"Ancestral Cry",[506],"Hydrosphere",235
222,223,[486],"Seismic Cry",[503],"Hexblast",236
223,224,[491],"General's Cry",[512],"Exsanguinate",237
224,225,[484],"Arcanist Brand",[513],"Corrupting Fever",238
225,226,[488],"Penance Brand",[516],"Petrified Blood",239
226,227,[489],"Wintertide Brand","[515,722]","Reap",240
227,228,[490],"Earthshatter",[620],"Defiance Banner",241
228,229,[500],"Sigil of Power",[684],"Storm Rain",242
229,230,[499],"Splitting Steel",[622],"Rage Vortex",243
230,231,[501],"Flame Wall",[685],"Shield Crush",244
231,232,[495],"Blazing Salvo",[688],"Summon Reaper",245
232,233,[497],"Crackling Lance",[690],"Boneshatter",246
233,234,[496],"Void Sphere",[681],"Ambush",247
234,235,[498],"Frost Shield",[621],"Voltaxic Burst",248
235,236,[506],"Hydrosphere",[624],"Battlemage's Cry",249
236,237,[503],"Hexblast","[626,725]","Absolution",250
237,238,[512],"Exsanguinate",[692],"Eye of Winter",251
238,239,[513],"Corrupting Fever",[623],"Spectral Helix",252
239,240,[516],"Petrified Blood",[680],"Forbidden Rite",253
240,241,"[515,722]","Reap",[683],"Blade Trap",254
241,242,[620],"Defiance Banner",[682],"Manabond",255
242,243,[684],"Storm Rain",[691],"Explosive Concoction",256
243,244,[622],"Rage Vortex",[693],"Poisonous Concoction",257
244,245,[685],"Shield Crush",[695],"Temporal Rift",258
245,246,[688],"Summon Reaper",[697],"Energy Blade",259
246,247,[690],"Boneshatter",[696],"Tornado",260
247,248,[681],"Ambush",[698],"Soul Link",261
248,249,[621],"Voltaxic Burst",[699],"Flame Link",262
249,250,[624],"Battlemage's Cry",[702],"Intuitive Link",263
250,251,"[626,725]","Absolution",[701],"Protective Link",264
251,252,[692],"Eye of Winter",[700],"Vampiric Link",265
252,253,[623],"Spectral Helix",[703],"Destructive Link",266
253,254,[680],"Forbidden Rite",[709],"Galvanic Field",267
254,255,[683],"Blade Trap",[708],"Lightning Conduit",268
255,256,[682],"Manabond",[710],"Alchemist's Mark",269
256,257,[691],"Explosive Concoction",[713],"Frozen Legion",270
257,258,[693],"Poisonous Concoction","[711,712]","Volcanic Fissure",271
258,259,[695],"Temporal Rift",[749],"Automation",272
259,260,[697],"Energy Blade",[750],"Autoexertion",273
260,261,[696],"Tornado",[267],"Divine Retribution",274
261,262,[698],"Soul Link",[1],"Vaal Fireball",""
262,263,[699],"Flame Link",[1],"Vaal Fireball",""
263,264,[702],"Intuitive Link",[1],"Vaal Fireball",""
264,265,[701],"Protective Link",[1],"Vaal Fireball",""
265,266,[700],"Vampiric Link",[1],"Vaal Fireball",""
266,267,[703],"Destructive Link",[1],"Vaal Fireball",""
267,268,[709],"Galvanic Field",[1],"Vaal Fireball",""
268,269,[708],"Lightning Conduit",[1],"Vaal Fireball",""
269,270,[710],"Alchemist's Mark",[1],"Vaal Fireball",""
270,271,[713],"Frozen Legion",[1],"Vaal Fireball",""
271,272,"[711,712]","Volcanic Fissure",[1],"Vaal Fireball",""
272,273,[749],"Automation",[1],"Vaal Fireball",""
273,274,[750],"Autoexertion",[1],"Vaal Fireball",""
274,275,[267],"Divine Retribution",[1],"Vaal Fireball",""
