"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
31,"ForgottenReliquaryEaterOfWorlds",905,1192,0,[13498],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",526,[]
32,"ForgottenReliquaryMaven",906,1193,0,[13499],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",527,[]
33,"ForgottenReliquarySearingExarch",907,1194,0,[13500],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",528,[]
34,"ForgottenReliquarySirus",908,1195,0,[13501],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",529,[]
35,"ForgottenReliquaryShaper",909,1196,0,[13502],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",530,[]
36,"ForgottenReliquaryUberElder",910,1197,0,[13503],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",531,[]
37,"ForgottenReliquaryCosmic",911,1198,0,[13504],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",532,[]
38,"EmpyreanApparatus2",377,384,68,"[7671,7665,7733,8478]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",266,"[9356,9918]"
39,"EmpyreanApparatus3",377,384,72,"[7671,7665,7733,8478]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",267,"[9356,9918]"
40,"EmpyreanApparatus4",377,384,76,"[7671,7665,7733,8478]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",268,"[9356,9918]"
41,"EmpyreanApparatus5",377,384,80,"[7671,7665,7733,8478]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",269,"[9356,9918]"
42,"BookStandUniqueBox",968,665,0,[7635],0,[],"Metadata/Chests/StrongBoxes/BookStandStrongBox.ao","",[],"",282,[]
43,"VaalStrongboxSacrifice",1178,2166,0,[20568],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest02.ao",1,[],"",1661,"[9356,9918]"
44,"VaalStrongboxMortal",1179,2167,0,[20569],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest03.ao",1,[],"",1662,"[9356,9918]"
