"rownum","Id","QuestStates","[i32]","AchievementItems","NPCs","bool"
125,"ContractBreakingTheUnbreakable",[],[819],[7414],"[454,452,471]",""
126,"ContractHeartOfGlory",[],[822],[7415],"[454,452,471]",""
127,"ContractDeathToNarnaw",[],[828],[7416],"[454,452,471]",""
128,"TheMaven",[],[885],"[7676,7907]","[409,407]",""
129,"ExpeditionTutorial1",[],[1096],[7940],"[508,509,510,511,516,517,518,519]",""
130,"ExpeditionTutorial2",[],[1154],[7941],"[508,509,510,511,516,517,518,519]",""
131,"ScourgeTutorial",[],[1159],[8241],"[528,529,530]",""
132,"FavouriteMaps",[],"[355,356,357,358,359,360,361,362,363,364,365,366]","[10256,10538]",[],1
133,"Unlock5SlotMapDevice",[],[6],[9584],"[409,407]",""
134,"LakeQuestReroll",[],"[1216,1217,1218]",[8931],"[409,407]",""
135,"LakeQuestSkip",[],"[1219,1220,1221]",[8932],"[409,407]",""
136,"LakeQuestBanish",[],"[1222,1223,1274]",[8933],"[409,407]",""
137,"SanctumUnlockRelics",[],[1011],[9121],[558],""
138,"SanctumUnlockAllRelics",[],"[1011,1013,1023,1024,1025,1014,1015,1016,1017,1018,1020,1021,1022]",[9230],[558],""
139,"AzmeriEncounterDenizen",[],[],[10043],"[618,619,620,621]",""
140,"AtlasPassiveTrees",[],"[291,329,331]",[10178],"[409,407]",1
141,"Unlock6SlotMapDevice",[],[7],[10508],"[409,407]",""
142,"SettlersUnlockModules",[],"[1364,1375,1386,1397,1408,1419,1427,613]",[10365],[662],1
143,"SettlersFullyUpgradeModules",[],"[1353,1363,1374,1385,1396,1407,1418,1442,1432]",[10532],[662],""
