"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
47,"PowerPylonsMerciless_TempChains",4382,"",[],""
48,"PowerPylonsMerciless_EleWeakness",4386,"",[],""
49,"PowerPylonsMerciless_Vulnerability2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
50,"PowerPylonsMerciless_TempChains2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
51,"PowerPylonsMerciless_EleWeakness2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
52,"PowerPylonsEndgame_Vulnerability",4384,"",[],""
53,"PowerPylonsEndgame_TempChains",4382,"",[],""
54,"PowerPylonsEndgame_EleWeakness",4386,"",[],""
55,"PowerPylonsEndgame_Vulnerability2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
56,"PowerPylonsEndgame_TempChains2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
57,"PowerPylonsEndgame_EleWeakness2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
58,"ElementalNormal_Fire",965,619,[20],""
59,"ElementalNormal_Cold",966,621,[20],""
60,"ElementalNormal_Lightning",967,623,[20],""
61,"ElementalNormal_Fire2",968,620,"[20,500,667]",""
62,"ElementalNormal_Cold2",969,622,"[20,500,667]",""
63,"ElementalNormal_Lightning2",970,624,"[20,500,667]",""
64,"ElementalCruel_Fire",965,619,[30],""
65,"ElementalCruel_Cold",966,621,[30],""
66,"ElementalCruel_Lightning",967,623,[30],""
67,"ElementalCruel_Fire2",968,620,"[30,500,667]",""
68,"ElementalCruel_Cold2",969,622,"[30,500,667]",""
69,"ElementalCruel_Lightning2",970,624,"[30,500,667]",""
70,"ElementalMerciless_Fire",965,619,[40],""
71,"ElementalMerciless_Cold",966,621,[40],""
72,"ElementalMerciless_Lightning",967,623,[40],""
73,"ElementalMerciless_Fire2",968,620,"[40,500,667]",""
74,"ElementalMerciless_Cold2",969,622,"[40,500,667]",""
75,"ElementalMerciless_Lightning2",970,624,"[40,500,667]",""
76,"ElementalEndgame_Fire",965,619,[60],""
77,"ElementalEndgame_Cold",966,621,[60],""
78,"ElementalEndgame_Lightning",967,623,[60],""
79,"ElementalEndgame_Fire2",968,620,"[60,500,667]",""
80,"ElementalEndgame_Cold2",969,622,"[60,500,667]",""
81,"ElementalEndgame_Lightning2",970,624,"[60,500,667]",""
82,"PortalSummon1_Fire",4396,"",[],""
83,"PortalSummon1_Cold",4397,"",[],""
84,"PortalSummon1_Lightning",4398,"",[],""
85,"PortalSummon2_Fire",4399,655,"[500,667]",""
86,"PortalSummon2_Cold",4400,655,"[500,667]",""
87,"PortalSummon2_Lightning",4401,655,"[500,667]",""
88,"GargoylesNormal_Fire",4390,638,[-20],""
89,"GargoylesNormal_Cold",4389,636,"[20,20]",""
90,"GargoylesNormal_Lightning",4388,634,[12],""
91,"GargoylesNormal_Fire2",4393,639,"[-20,500,667]",""
92,"GargoylesNormal_Cold2",4392,637,"[20,20,500,667]",""
93,"GargoylesNormal_Lightning2",4391,635,"[12,500,667]",""
94,"GargoylesCruel_Fire",4390,638,[-20],""
95,"GargoylesCruel_Cold",4389,636,"[20,20]",""
96,"GargoylesCruel_Lightning",4388,634,[20],""
97,"GargoylesCruel_Fire2",4393,639,"[-20,500,667]",""
98,"GargoylesCruel_Cold2",4392,637,"[20,20,500,667]",""
99,"GargoylesCruel_Lightning2",4391,635,"[20,500,667]",""
100,"GargoylesMerciless_Fire",4390,638,[-20],""
101,"GargoylesMerciless_Cold",4389,636,"[20,20]",""
102,"GargoylesMerciless_Lightning",4388,634,[20],""
103,"GargoylesMerciless_Fire2",4393,639,"[-20,500,667]",""
104,"GargoylesMerciless_Cold2",4392,637,"[20,20,500,667]",""
105,"GargoylesMerciless_LIghtning2",4391,635,"[20,500,667]",""
106,"GargoylesEndgame_Fire",4390,638,[-25],""
107,"GargoylesEndgame_Cold",4389,636,"[30,30]",""
108,"GargoylesEndgame_Lightning",4388,634,[20],""
109,"GargoylesEndgame_Fire2",4393,639,"[-25,500,667]",""
110,"GargoylesEndgame_Cold2",4392,637,"[30,30,500,667]",""
111,"GargoylesEndgame_Lightning2",4391,635,"[20,500,667]",""
112,"ChronoStatues1_1",4402,"",[],""
113,"ChronoStatues1_2",4403,"",[],""
114,"ChronoStatues1_3",4404,"",[],""
115,"ChronoStatues2_1",4405,655,"[500,667]",""
116,"ChronoStatues2_2",4406,655,"[500,667]",""
117,"ChronoStatues2_3",4407,655,"[500,667]",""
118,"Pedestals1_1",4408,644,[10],""
119,"Pedestals1_2",4409,642,[25],""
120,"Pedestals1_3",4410,640,[10],""
121,"Pedestals2_1","",645,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
122,"Pedestals2_2","",643,"[50,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
123,"Pedestals2_3","",641,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
