"rownum","string","[rid]","[rid]","[rid]","[rid]","[string]","[rid]","[i32]","[rid]","string","i32","i32","[rid]","[rid]","[rid]"
21,"arcane_cloak",[111],[],"[12,14]",[],"[""Default"",""VoidEmperor""]",[116],"[18079,48015]",[],"愀氀",0,0,[],[1238],[]
22,"orb_of_storms","[113,116,119]",[6],[],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278]",[],"愀氀",0,0,[],[505],[]
23,"spark",[],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203]","[48,71]","愀氀",0,0,[],"[69,1033,70]",[]
24,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848]",[68],"ter",0,0,[],"[69,1033,70]",[]
25,"dual_strike","[122,124,127,128]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],"愀氀",0,0,[],[23],[]
26,"weapon_trap","[129,130,131,132]",[],[18],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1329],[]
27,"shield_waves","[133,134]",[],[],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1333],[]
28,"exsanguinate",[],"[9,10]",[],[],"[""Default"",""Celestial""]",[118],"[18079,27572]",[],"愀氀",0,0,[],[1312],[]
29,"void_burst","[135,136,137]",[],[],[],"[""Default""]",[120],[18079],[],"愀氀",0,0,[],[1324],[]
30,"bladefall","[138,144,150]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],"愀氀",0,0,[],[495],[]
31,"blade_blast","[158,162]",[],[],[],"[""Default"",""Illusionist"",""Sawblade""]",[],"[18079,54759,28838]",[],"愀氀",0,0,[],[1243],[]
32,"rage_slash","[166,167,168]",[],[21],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1325],[]
33,"ambush",[200],[],"[19,20]",[],"[""Default""]",[121],[18079],[],"愀氀",0,0,[],[1328],[]
34,"shock_nova","[169,175]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],"愀氀",0,0,[],[431],[]
35,"boneshatter",[181],[],[],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1337],[]
36,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[6],[419],[]
37,"flame_golem",[],[],[],[],"[""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[55723,15198,56503,18079,6258]",[],"愀氀",0,0,[4],[419],[]
38,"lightning_golem",[],[],[],[],"[""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[55723,15198,56503,18079,6258]",[],"愀氀",0,0,[10],[631],[]
39,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[12],[418],[]
40,"ice_golem",[],[],[],[],"[""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[55723,15198,56503,18079,6258]",[],"愀氀",0,0,[16],[418],[]
41,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[22],[417],[]
42,"chaos_golem",[],[],[],[],"[""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[55723,15198,56503,18079,6258]",[],"愀氀",0,0,[26],[417],[]
43,"stone_golem",[],[],[],[],"[""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[55723,15198,56503,18079,6258]",[],"愀氀",0,0,[21],[524],[]
44,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],"愀氀",0,0,[27],[1204],[]
45,"cold_snap","[182,187,188,193]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer""]",[122],"[18079,37316,62276,18886,5427]",[],"愀氀",0,0,[],"[39,40]",[]
46,"blood_rage",[198],[],[],[],"[""Default"",""Scavenger""]",[123],"[18079,46158]",[],"愀氀",0,0,[],[35],[]
47,"lightning_strike","[201,204,207,210]",[],"[23,26]",[],"[""Default"",""Alternate"",""Myrmidon""]",[125],"[18079,25075,27566]","[75,76]","愀氀",0,0,[],"[127,128]",[]
48,"vortex",[213],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],"愀氀",0,0,[],[607],[]
49,"burning_arrow","[215,216]",[],[29],[],"[""Default"",""Mystic""]",[281],"[18079,45462]","[81,82]","愀氀",0,0,[],"[159,160]",[]
50,"dash","[219,221,222,223]",[],"[31,32]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon""]",[],"[18079,28806,44071,55600,8701,27566]",[],"愀氀",0,0,[],[1179],[]
51,"cyclone","[224,225,226,227,228,286]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940]",[],"愀氀",0,0,[],"[211,210]",[]
52,"herald_of_ash",[302],[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[129,130]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[339],[]
53,"herald_of_ice",[344],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[194],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[340],[]
54,"herald_of_thunder",[323],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[172],"[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[341],[]
55,"herald_of_agony",[],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[238],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[31],[342],[]
56,"herald_of_purity","[365,376]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[260],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[52],[343],[]
