"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","i32","[i32]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","i32","i32","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","i32","AchievementItemsKey","ModsKeys","i32","i32","VaalArea_WorldAreasKeys","VaalArea_SpawnChance","Strongbox_SpawnChance","Strongbox_MaxCount","Strongbox_RarityWeight","bool","i32","MaxLevel","AreaType_TagsKeys","i32","i32","IsHideout","i32","i32","i32","i32","Inflection","i32","i32","i32","TagsKeys","IsVaalArea","i32","i32","i32","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","i32","i32","i32","TSIFile","rid","i32","i32","i32","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","i32","i32","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","i32","i32","i32","i32","i32","EnvironmentsKey","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","i32","bool","i32","i32","i32","i32","i32","i32","MetamorphChance","DeliriumChance","HarvestChance","HeistChance","RitualChance","[rid]","UltimatumChance","ExpeditionChance"
10,"1_1_6","The Climb",1,"",1,"[9,11]",7,62867,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",130,[25],6,"[65,66,67,68,69,70]",1,480,2565,2565,"[497,241]",[],[],[],"",[],"",20,"",[],0,0,[169],0,0,0,"[30,60,10,0]","",100,100,[92],0,15,"",0,0,0,0,"",7000,4000,40,[169],"",80,20,50,"","","","",80,20,20,"","",23,10,0,[],"","",13,0,"","","",0,0,92,0,2,0,15,60,15,0,0,16000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
11,"1_1_7_1","The Lower Prison",1,"",1,"[10,12]",8,37828,2,5,"Art/Textures/Interface/LoadingImages/Act1.dds",131,[25],6,"[71,72,73,74,75,76]",1,480,2565,2565,[495],[],[],[],"",[],"",20,"",[],0,0,[168],0,20,1,"[30,60,10,0]","",100,100,[93],0,15,"",0,0,0,0,"",6000,4000,35,"[61,158,159,361]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,0,"","","",0,0,92,0,2,0,16,60,15,0,0,20000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
12,"1_1_7_2","The Upper Prison",1,"","","[11,13]",9,29202,2,5,"Art/Textures/Interface/LoadingImages/Act1.dds",131,[25],6,[77],1,480,2565,2565,"[385,139]",[],[],[],"",[],"",20,"",[],0,0,[168],0,30,2,"[30,60,10,0]","",100,100,[93],0,15,"",0,0,0,0,"",6000,4000,30,"[61,158,159,307,361]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,0,"","","",0,0,92,0,2,0,17,60,15,0,0,25000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
13,"1_1_8","Prisoner's Gate",1,"",1,"[12,14,30]",10,30227,3,5,"Art/Textures/Interface/LoadingImages/Act1.dds",27,[6],6,"[78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93]",1,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,0,[169],12,20,2,"[30,60,10,0]","",100,100,"[92,94]",0,15,"",0,0,0,0,"",7000,4000,30,[364],"",80,20,80,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,80,6,2,0,20,60,15,0,0,23000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
14,"1_1_9","The Ship Graveyard",1,"",1,"[13,15,15,16]",11,55297,4,5,"Art/Textures/Interface/LoadingImages/Act1.dds",34,[6],6,"[94,95,96,97,98,99,100,101,102,103,104,106,107,108,109,110,111,112]",1,900,2565,2565,[490],[],[],[],"",[],"",20,"",[],0,0,"[169,166]",16,20,2,"[30,60,10,0]","",100,100,[90],0,15,"",0,0,0,0,"",7000,4000,30,"[169,392]","",80,20,40,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,80,6,2,5,21,60,15,0,0,29000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
15,"1_1_9a","The Ship Graveyard Cave",1,"","","[14,14]",12,11322,5,5,"Art/Textures/Interface/LoadingImages/Act1.dds",132,[6],6,"[113,114,115,116]",1,480,2565,2565,[918],[],[],[],"",[1376],"",20,"",[],0,0,[164],0,20,2,"[30,60,10,0]","",100,100,[90],0,15,"",0,0,0,0,"",6000,4000,30,"[61,392,397]","",40,20,0,"","","","",40,20,20,"","",11,10,0,[],"","",6,0,"","","",0,0,40,6,2,5,23,30,15,0,0,12000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
16,"1_1_11_1","The Cavern of Wrath",1,"",1,"[14,17]",12,14670,7,5,"Art/Textures/Interface/LoadingImages/Act1.dds",133,[6],6,"[117,118,119,120]",1,480,2565,2565,[460],[],[],[],"",[],"",20,"",[],0,10,[164],12,20,2,"[30,60,10,0]","",100,100,[95],0,15,"",0,0,0,0,"",6000,4000,30,"[61,158,159,169,385,397]","",80,20,35,"","","","",80,20,20,"","",11,10,0,[],"","",13,10,"","","",0,0,80,6,2,5,24,60,15,0,0,13000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
17,"1_1_11_2","The Cavern of Anger",1,"","","[16,19]",13,37116,7,5,"Art/Textures/Interface/LoadingImages/Act1.dds",133,[6],6,"[121,122,123,124]",1,480,2565,2565,"[458,146]",[147],[],[],"",[],"",20,"",[],0,10,[164],12,20,2,"[30,60,10,0]","",100,100,[95],0,15,"",0,0,0,0,"",6000,4000,30,"[61,158,159,169,385,397]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,80,6,2,5,25,60,15,0,0,13000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
18,"1_2_town","The Forest Encampment",2,1,1,"[19,20,28]",23,8755,0,0,"Art/Textures/Interface/LoadingImages/Act2.dds",134,[10],32,[439],"",900,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,[],1,0,100,[],0,15,"",0,0,0,0,"",7000,4000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",120,"",0,0,0,0,1,0,56,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
19,"1_2_1","The Southern Forest",2,"",1,"[17,18]",13,50717,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",11,[10],6,"[436,437,438]",1,480,2565,2565,[1],[],[],[],"",[],"",0,"",[],0,10,[176],0,0,0,"[33,33,33,0]","",100,100,[96],0,15,"",0,0,0,0,"",7000,4000,30,"[169,426]","",40,20,0,"","","","",40,20,20,"","",11,10,0,[],"","",6,0,"","","",0,0,38,8,2,5,30,30,15,0,0,0,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
20,"1_2_2","The Old Fields",2,"","","[18,21,21,22]",14,9731,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",135,[10],6,"[440,441,442,443,444,445]",18,900,2565,2565,[364],[],[],[],"",[],"",20,"",[],0,10,[173],15,30,2,"[33,33,33,0]","",100,100,[96],16,15,"",30,12,10,10,"",7000,4000,30,"[169,326,327,362,364,430]","",80,20,40,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,31,60,15,0,0,16000,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
21,"1_2_2a","The Den",2,"","","[20,20]",15,50108,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",136,[10],6,"[446,447,448,449,450,451,452,453]",18,480,2565,2565,[107],[],[],[],"",[],"",20,"",[],0,10,[172],15,30,2,"[33,33,33,0]","",100,100,[96],16,15,"",30,12,10,10,"",6000,4000,30,"[61,326,328,390,397]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,33,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
22,"1_2_3","The Crossroads",2,"",1,"[20,27,37,25]",15,38817,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",137,[10],6,[454],18,900,2565,2565,[724],[],[],[],"",[],"",20,"",[],0,10,[173],15,30,2,"[33,33,33,0]","",100,100,"[96,94]",16,15,"",30,12,10,10,"",7000,4000,30,"[169,326,364]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,34,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
23,"1_2_5_1","The Crypt Level 1",2,"",1,"[37,24]",17,55820,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",139,[10],6,"[461,462,463,464]",18,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,10,[174],12,30,2,"[33,33,33,0]","",100,100,[98],15,15,"",30,12,10,10,"",6000,4000,30,"[61,328,371]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,36,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
24,"1_2_5_2","The Crypt Level 2",2,"","",[23],18,44218,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",139,[10],6,"[465,466,467,468,469,470,471,472]",18,480,2565,2565,[487],[],[],[],"",[],"",20,"",[],0,10,[174],12,30,2,"[33,33,33,0]","",100,100,[98],15,15,"",30,12,10,10,"",6000,4000,30,"[61,328,371]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,37,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
25,"1_2_6_1","The Chamber of Sins Level 1",2,"",1,"[22,26]",15,3398,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",102,[10],6,"[473,474,475]",18,480,2565,2565,[794],[],[],[],"",[],"",20,"",[],0,10,[175],12,30,2,"[33,33,33,0]","",100,100,[99],15,15,"",30,12,10,10,"",6000,4000,30,"[61,328,363]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,38,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
26,"1_2_6_2","The Chamber of Sins Level 2",2,"","",[25],16,58279,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",102,[10],6,"[476,477,478,479]",18,480,2565,2565,[141],[],[],[],"",[],"",20,"",[],0,10,[175],12,30,2,"[33,33,33,0]","",100,100,[99],14,15,"",30,12,10,10,"",6000,4000,30,"[61,328,363]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,40,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
27,"1_2_4","The Broken Bridge",2,"",1,[22],16,47747,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",138,[10],6,"[455,456,457,458,459,460]",18,480,2565,2565,[32],[],[],[],"",[],"",20,"",[],0,10,[173],15,30,2,"[33,33,33,0]","",100,100,[96],14,15,"",30,12,10,10,"",7000,4000,30,"[169,327,364]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,35,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
28,"1_2_7","The Riverways",2,"",1,"[18,30,33]",15,3474,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",140,[10],6,"[480,481,482,483,484,485,486,487,488,489,490]",18,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,10,[171],15,30,2,"[33,33,33,0]","",100,100,[97],14,15,"",30,12,10,10,"",7000,4000,30,"[169,329,327,364,391]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,41,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
29,"1_2_8","The Northern Forest",2,"",1,"[32,34,35]",21,47696,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",141,[89],6,"[491,492,493,494,495,496,497,498,499,500,501,502]",18,900,2565,2565,[],[],[],[],"",[],"",20,"",[],0,10,[176],15,30,2,"[33,33,33,0]","",100,100,[97],13,15,"",30,12,10,10,"",7000,4000,30,"[169,326,330,327,427]","",80,20,40,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,43,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
30,"1_2_9","The Western Forest",2,"",1,"[28,31,13]",17,6216,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",142,[10],6,"[503,504,505,506]",18,480,2565,2565,"[29,1187]",[],[],[],"",[],"",20,"",[],0,10,[170],15,30,2,"[33,33,33,0]","",100,100,[100],13,15,"",30,12,10,10,"",7000,4000,30,"[328,327]","",80,20,100,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,44,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
31,"1_2_10","The Weaver's Chambers",2,"","",[30],18,19531,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",143,[10],6,"[507,508,509,510]",18,480,2565,2565,[796],[],[],[],"",[],"",20,"",[],0,10,[176],15,30,2,"[33,33,33,0]","",100,100,[101],13,15,"",30,12,10,10,"",6000,4000,30,"[61,331]","",80,20,30,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,45,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
32,"1_2_11","The Vaal Ruins",2,"","","[33,29]",20,59770,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",144,[100],6,"[511,512,513,514,515,516,517,518,519,520]",18,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,10,[177],12,30,2,"[50,50,50,1]","",100,100,[102],12,15,"",30,12,10,10,"",6000,4000,30,"[61,331,381]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,46,60,15,0,0,31000,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
33,"1_2_12","The Wetlands",2,"",1,"[28,32]",19,20334,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",145,[10],6,"[521,522,523,524,525,526,527,528,529]",18,900,2565,2565,[36],[],[],[],"",[],"",20,"",[],0,10,[170],15,30,2,"[50,50,50,1]","",100,100,[97],12,15,"",30,12,10,10,"",7000,4000,30,"[169,326,332]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,48,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
34,"1_2_13","The Dread Thicket",2,"","",[29],21,64768,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",146,[89],6,"[530,531,532,533]",18,480,2565,2565,[],[],[],[],"",[1370],"",20,"",[],0,10,[176],15,30,2,"[50,50,50,1]","",100,100,[97],12,15,"",30,12,0,10,"",6000,4000,30,"[61,327,329,376]","",80,20,50,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,49,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
35,"1_2_14_2","The Caverns",2,"",1,"[29,36]",22,17515,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",147,[89],6,"[534,535,536,537]",18,480,2565,2565,[2848],[],[],[],"",[],"",10,"",[],0,10,[177],10,30,1,"[50,50,50,1]","",100,100,[102],11,15,"",30,12,0,10,"",6000,4000,30,"[61,158,159,169,326,329,397]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,50,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
36,"1_2_14_3","The Ancient Pyramid",2,"","","[35,39]",23,14238,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",147,[89],6,[538],18,480,2565,2565,[],[],[],[],"",[],"",7,"",[],0,10,[177],10,30,1,"[50,50,50,1]","",100,100,[102],11,15,"",30,12,0,10,"",6000,4000,30,"[61,158,159,307,331,372]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,51,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
37,"1_2_15","The Fellshrine Ruins",2,"","","[22,23]",16,13302,7,5,"Art/Textures/Interface/LoadingImages/Act2.dds",148,[10],6,"[539,540,541]",18,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,10,[172],15,30,2,"[50,50,50,1]","",100,100,[96],11,15,"",30,12,10,10,"",7000,4000,30,"[169,333,364,389]","",80,20,40,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,76,8,2,5,55,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
38,"1_3_town","The Sarn Encampment",3,1,1,"[39,40,1284,448]",33,1073,0,0,"Art/Textures/Interface/LoadingImages/Act3.dds",151,[474],32,[542],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,"[50,50,50,1]",1,0,100,[],0,15,"",0,0,0,0,"",7000,4000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",121,"",0,0,0,0,1,0,117,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
39,"1_3_1","The City of Sarn",3,"",1,"[36,38]",23,20735,9,6,"Art/Textures/Interface/LoadingImages/Act3.dds",150,[474],6,[543],18,480,2565,2565,[1184],[],[],[],"",[],"",0,"",[],0,10,[185],0,30,2,"[50,50,50,1]","",100,100,[103],10,15,"",14,0,0,10,"",7000,3500,30,"[169,334,374]","",40,20,0,"","","","",40,20,20,"","",11,10,0,[],"","",6,0,"","","",0,0,36,15,2,5,84,30,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
40,"1_3_2","The Slums",3,"","","[38,41,48]",24,37655,9,6,"Art/Textures/Interface/LoadingImages/Act3.dds",152,[474],6,"[544,545,546,547,548,549]",38,1800,2565,2565,[1786],[],[],[],"",[],"",20,"",[],0,10,[178],18,30,2,"[50,50,50,1]","",100,100,[104],10,15,"",30,12,10,10,"",7000,3500,30,"[334,374,379]","",80,20,35,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,85,60,15,0,0,0,"",20,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
41,"1_3_3_1","The Crematorium",3,"",1,[40],25,20663,9,6,"Art/Textures/Interface/LoadingImages/Act3.dds",153,[474],6,"[644,645,646,647,648,649,650,651,652]",38,480,2565,2565,"[1398,1191]",[],[],[],"",[],"",20,"",[],8000,10,[179],18,30,2,"[50,50,50,1]","",100,100,"[106,93]",0,15,"",30,12,10,10,"",6000,3500,30,"[61,403,447]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,300,"","",0,0,72,15,2,5,86,60,15,0,0,0,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
