"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
102,"TwinnedCastleRuins",[3],[],[],[],1,"[1200,967,906]"
103,"TwinnedMoonTemple",[3],[],[],[],1,[1159]
104,"TwinnedDarkForest",[3],[],[],[],1,"[1219,1042,885,805]"
105,"TwinnedTemple",[3],[],[],[],1,"[1167,996,867,789]"
106,"TwinnedShipyard",[3],[],[],[],1,"[1174,1023,904,819]"
107,"TwinnedCursedCrypt",[3],[],[],[],1,"[1181,986,825,747]"
108,"TwinnedPrimordialPool",[3],[],[],[],1,"[1188,953]"
109,"TwinnedPit",[3],[],[],[],1,"[1194,951,830]"
110,"TwinnedVilla",[3],[],[],[],1,"[1202,945,866,788]"
111,"TwinnedRacecourse_",[3],[],[],[],1,"[1207,958]"
112,"TwinnedGhetto",[3],[],[],[],1,"[1209,929,842,765]"
113,"TwinnedCitySquare",[3],[],[],[],1,[1094]
114,"TwinnedPeninsula",[3],[],[8009],[],1,"[1089,948,886,806]"
115,"TwinnedVolcano",[3],[],[],[],1,"[1103,1038,897]"
116,"TwinnedArena",[3],[],[],[],1,"[1169,975,851]"
117,"TwinnedPort",[3],[],[],[],1,"[1090,1003]"
118,"TwinnedPrecinct",[3],[],[],[],1,"[1178,1011,901,817]"
119,"TwinnedPlateau",[3],[],[],[],1,"[1164,1020,895,814]"
120,"TwinnedCanyon",[3],[],[],[],1,"[1105,956,884,804]"
121,"TwinnedCourthouse",[3],[],[],[],1,[1096]
122,"TwinnedBurialChambers",[3],[],[8196],[],1,"[1091,947]"
