"rownum","InfluenceMod","UpgradedMod"
384,13345,13346
385,13346,23183
386,13347,13348
387,13348,23184
388,13349,13350
389,13350,23185
390,13351,13352
391,13352,13353
392,13353,23186
393,13354,13355
394,13355,13356
395,13356,23187
396,13357,13358
397,13358,13359
398,13359,23188
399,13360,13361
400,13361,13362
401,13362,23189
402,13363,23190
403,13364,23191
404,13365,23192
405,19101,23193
406,19102,23194
407,19103,19104
408,19104,23195
409,19105,19106
410,19106,23196
411,19107,19108
412,19108,23197
413,19109,19110
414,19110,19111
415,19111,23198
416,19112,19113
417,19113,19114
418,19114,23199
419,19115,19116
420,19116,19117
421,19117,23200
422,19118,19119
423,19119,23201
424,19120,23202
425,19121,23203
426,19122,23204
427,19123,19124
428,19124,23205
429,19128,19129
430,19129,23206
431,19130,19131
432,19131,23207
433,19132,19133
434,19133,23208
435,19136,23209
436,19137,23210
437,19138,23211
438,19139,19140
439,19140,23212
440,19141,19142
441,19142,23213
442,19143,23214
443,19144,19145
444,19145,19146
445,19146,23215
446,19147,19148
447,19148,19149
448,19149,23216
449,19150,19151
450,19151,23217
451,19152,19153
452,19153,23218
453,19154,23219
454,19155,23220
455,19156,19157
456,19157,23221
457,19158,19159
458,19159,23222
459,19160,19161
460,19161,19162
461,19162,23223
462,19163,23224
463,19164,19165
464,19165,23225
465,19166,19167
466,19167,23226
467,19168,19169
468,19169,23227
469,19319,19320
470,19320,23015
471,22992,22992
472,22993,22993
473,22994,22994
474,22995,22995
475,22996,22996
476,22997,22997
477,22998,22998
478,22999,22999
479,23000,23000
480,23001,23001
481,23002,23002
482,23003,23003
483,23004,23004
484,23005,23005
485,23006,23006
486,23007,23007
487,23008,23008
488,23009,23009
489,23010,23010
490,23011,23011
491,23012,23012
492,23013,23013
493,23016,23016
494,23017,23017
495,23018,23018
496,23019,23019
497,23020,23020
498,23021,23021
499,23022,23022
500,23023,23023
501,23024,23024
502,23025,23025
503,23026,23026
504,23027,23027
505,23028,23028
506,23029,23029
507,23030,23030
508,23031,23031
509,23032,23032
510,23033,23033
511,23034,23034
512,23035,23035
513,23036,23036
514,23037,23037
515,23038,23038
516,23039,23039
517,23040,23040
518,23041,23041
519,23042,23042
520,23043,23043
521,23044,23044
522,23045,23045
523,23046,23046
524,23047,23047
525,23048,23048
526,23049,23049
527,23050,23050
528,23052,23052
529,23053,23053
530,23054,23054
531,23055,23055
532,23056,23056
533,23057,23057
534,23058,23058
535,23059,23059
536,23060,23060
537,23061,23061
538,23062,23062
539,23063,23063
540,23064,23064
541,23065,23065
542,23066,23066
543,23067,23067
544,23068,23068
545,23069,23069
546,23070,23070
547,23071,23071
548,23072,23072
549,23073,23073
550,23074,23074
551,23075,23075
552,23076,23076
553,23077,23077
554,23078,23078
555,23079,23079
556,23080,23080
557,23081,23081
558,23082,23082
559,23083,23083
560,23084,23084
561,23085,23085
562,23086,23086
563,23087,23087
564,23088,23088
565,23089,23089
566,23090,23090
567,23091,23091
568,23092,23092
569,23093,23093
570,23094,23094
571,23095,23095
572,23096,23096
573,23097,23097
574,23098,23098
575,23099,23099
576,23100,23100
577,23101,23101
578,23102,23102
579,23103,23103
580,23104,23104
581,23105,23105
582,23106,23106
583,23107,23107
584,23108,23108
585,23109,23109
586,23110,23110
587,23111,23111
588,23112,23112
589,23113,23113
590,23114,23114
591,23115,23115
592,23116,23116
593,23117,23117
594,23119,23119
595,23120,23120
596,23121,23121
597,23122,23122
598,23123,23123
599,23124,23124
600,23125,23125
601,23126,23126
602,23127,23127
603,23128,23128
604,23129,23129
605,23130,23130
606,23131,23131
607,23132,23132
608,23133,23133
609,23134,23134
610,23135,23135
611,23136,23136
612,23137,23137
613,23138,23138
614,23139,23139
615,23140,23140
616,23141,23141
617,23142,23142
618,23143,23143
619,23144,23144
620,23145,23145
621,23146,23146
622,23147,23147
623,23148,23148
624,23149,23149
625,23150,23150
626,23151,23151
627,23152,23152
628,23153,23153
629,23154,23154
630,23155,23155
631,23156,23156
632,23157,23157
633,23158,23158
634,23159,23159
635,23160,23160
636,23161,23161
637,23162,23162
638,23163,23163
639,23164,23164
640,23165,23165
641,23166,23166
642,23167,23167
643,23168,23168
644,23169,23169
645,23170,23170
646,23171,23171
647,23172,23172
648,23173,23173
649,23174,23174
650,23175,23175
651,23176,23176
652,23177,23177
653,23178,23178
654,23179,23179
655,23180,23180
656,23181,23181
657,23182,23182
658,23183,23183
659,23184,23184
660,23185,23185
661,23186,23186
662,23187,23187
663,23188,23188
664,23189,23189
665,23190,23190
666,23191,23191
667,23192,23192
668,23193,23193
669,23194,23194
670,23195,23195
671,23196,23196
672,23197,23197
673,23198,23198
674,23199,23199
675,23200,23200
676,23201,23201
677,23202,23202
678,23203,23203
679,23204,23204
680,23205,23205
681,23206,23206
682,23207,23207
683,23208,23208
684,23209,23209
685,23210,23210
686,23211,23211
687,23212,23212
688,23213,23213
689,23214,23214
690,23215,23215
691,23216,23216
692,23217,23217
693,23218,23218
694,23219,23219
695,23220,23220
696,23221,23221
697,23222,23222
698,23223,23223
699,23224,23224
700,23225,23225
701,23226,23226
702,23227,23227
703,23015,23015
