"rownum","string","[rid]","i32","i32","rid"
80,"storm_rain_arrow",[5534],1,0,""
81,"storm_rain_impact",[5531],1,0,""
82,"storm_rain_muzzle_flash",[5550],1,0,""
83,"igniting_flask_flask",[5604],1,0,""
84,"igniting_flask_explode_base",[5587],1,0,""
85,"igniting_flask_explode_base_wall",[5602],1,0,""
86,"igniting_flask_explode_fire",[5588],1,0,14370
87,"igniting_flask_explode_cold",[5589],1,0,14391
88,"igniting_flask_explode_cold_wall",[5603],1,0,14391
89,"igniting_flask_explode_lightning",[5590],1,0,14389
90,"igniting_flask_explode_base_lite",[5658],1,0,""
91,"igniting_flask_explode_base_wall_lite",[5662],1,0,""
92,"igniting_flask_explode_fire_lite",[5659],1,0,14370
93,"igniting_flask_explode_cold_lite",[5660],1,0,14391
94,"igniting_flask_explode_cold_wall_lite",[5663],1,0,14391
95,"igniting_flask_explode_lightning_lite",[5661],1,0,14389
96,"infernal_blow_explode_big",[2146],3,0,""
97,"infernal_blow_explode_small",[2147],3,0,""
98,"infernal_blow_explode_big",[5570],3,1,""
99,"infernal_blow_explode_small",[5571],3,1,""
100,"smoke_mine_poof",[246],3,0,""
101,"smoke_mine_poof",[5573],3,1,""
102,"chain_strike_beam",[2994],3,0,""
103,"chain_strike_area",[2995],1,0,""
104,"chain_strike_area",[5575],1,1,""
105,"chain_strike_kickup",[2997],1,0,""
106,"chain_strike_kickup",[5577],1,1,""
107,"chain_strike_cone",[2996],1,0,""
108,"chain_strike_cone",[5576],1,1,""
109,"chain_strike_circle_area",[3305],1,0,""
110,"chain_strike_circle_area",[5578],1,1,""
111,"arcane_cloak_block",[3089],1,0,""
112,"arcane_cloak_block",[3089],1,1,""
113,"orb_of_storms_cloud",[664],1,0,""
114,"orb_of_storms_cloud",[1603],1,1,""
115,"orb_of_storms_cloud",[5582],1,2,""
116,"orb_of_storms_charged_cloud",[678],1,0,""
117,"orb_of_storms_charged_cloud",[1604],1,1,""
118,"orb_of_storms_charged_cloud",[5580],1,2,""
119,"orb_of_storms_range_indicator",[718],1,0,""
120,"orb_of_storms_range_indicator",[1606],1,1,""
121,"orb_of_storms_range_indicator",[5583],1,2,""
122,"dual_strike_impact_main",[3440],1,0,""
123,"dual_strike_impact_main",[5593],1,2,""
124,"dual_strike_impact_secondary",[3478],1,0,""
125,"dual_strike_impact_secondary",[5594],1,2,""
126,"dual_strike_audio",[156],1,0,""
127,"dual_strike_audio",[5592],1,2,""
128,"dual_strike_surge",[5595],1,2,""
129,"weapon_trap_spinner",[5598],1,0,""
130,"weapon_trap_start",[5599],1,0,""
131,"weapon_trap_end",[5600],1,0,""
132,"weapon_trap_trap",[5646],1,0,""
133,"shield_waves",[5597],1,0,""
134,"shield_waves_swipe",[5601],1,0,""
135,"void_burst",[5499],1,0,""
136,"void_burst_corpse_explosion",[5702],3,0,""
137,"void_burst_buildup",[5620],1,0,""
138,"bladefall",[653],1,0,""
139,"bladefall",[831],1,1,""
140,"bladefall",[1469],1,2,""
141,"bladefall",[654],1,5,""
142,"bladefall",[3960],1,6,""
143,"bladefall",[5624],1,7,""
144,"bladefall_ground_blade",[3919],3,0,11816
145,"bladefall_ground_blade",[3912],3,1,11816
146,"bladefall_ground_blade",[3911],3,2,11816
147,"bladefall_ground_blade","[3913,3914,3915,3916]",3,5,11816
148,"bladefall_ground_blade",[3962],3,6,11816
149,"bladefall_ground_blade",[5625],3,7,11816
150,"bladefall_lite",[3952],1,0,""
151,"bladefall_lite",[3956],1,1,""
152,"bladefall_lite",[3955],1,2,""
153,"bladefall_lite",[3002],1,3,""
154,"bladefall_lite",[3003],1,4,""
155,"bladefall_lite",[3953],1,5,""
156,"bladefall_lite",[3961],1,6,""
157,"bladefall_lite",[5626],1,7,""
158,"blade_blast",[3770],3,0,""
159,"blade_blast",[3947],3,1,""
160,"blade_blast",[3957],3,2,""
161,"blade_blast",[5627],3,3,""
162,"blade_blast_wide",[3902],3,0,""
163,"blade_blast_wide",[3948],3,1,""
164,"blade_blast_wide",[3958],3,2,""
165,"blade_blast_wide",[5628],3,3,""
166,"rage_slash",[5500],3,0,""
167,"rage_slash_spinner",[5632],1,0,""
168,"rage_slash_sweep",[5636],1,0,""
169,"shock_nova_circle",[3281],1,0,""
170,"shock_nova_circle",[979],1,1,""
171,"shock_nova_circle",[3186],1,2,""
172,"shock_nova_circle",[3443],1,3,""
173,"shock_nova_circle",[5633],1,4,""
174,"shock_nova_circle",[5650],1,5,""
175,"shock_nova_donut",[3282],1,0,""
176,"shock_nova_donut",[978],1,1,""
177,"shock_nova_donut",[5621],1,2,""
178,"shock_nova_donut",[3444],1,3,""
179,"shock_nova_donut",[5634],1,4,""
180,"shock_nova_donut",[5651],1,5,""
181,"boneshatter_shockwave",[5622],3,0,""
182,"cold_snap_impact",[2138],1,0,""
183,"cold_snap_impact",[166],1,1,""
184,"cold_snap_impact",[2229],1,2,""
185,"cold_snap_impact",[2229],1,3,""
186,"cold_snap_impact",[5652],1,4,""
187,"cold_snap_secondary_impact",[165],1,1,""
188,"cold_snap_ground_effect",[2139],1,0,""
189,"cold_snap_ground_effect",[2139],1,1,""
190,"cold_snap_ground_effect",[2230],1,2,""
191,"cold_snap_ground_effect",[2389],1,3,""
192,"cold_snap_ground_effect",[5653],1,4,""
193,"vaal_cold_snap_ground_effect",[2182],1,0,""
194,"vaal_cold_snap_ground_effect",[2182],1,1,""
195,"vaal_cold_snap_ground_effect",[2231],1,2,""
196,"vaal_cold_snap_ground_effect",[2231],1,3,""
197,"vaal_cold_snap_ground_effect",[5655],1,4,""
198,"blood_rage",[11],1,0,""
199,"blood_rage",[5656],1,1,""
200,"ambush_end",[5649],3,0,""
201,"lightning_strike_slash",[94],1,0,""
202,"lightning_strike_slash",[94],1,1,""
203,"lightning_strike_slash",[5668],1,2,""
204,"lightning_strike_projectile_ground","[92,93]",1,0,""
205,"lightning_strike_projectile_ground",[168],1,1,""
206,"lightning_strike_projectile_ground","[5669,5670]",1,2,""
207,"lightning_strike_vaal_orb",[2013],1,0,""
208,"lightning_strike_vaal_orb",[2013],1,1,""
209,"lightning_strike_vaal_orb",[5671],1,2,""
210,"lightning_strike_slash_lite",[95],1,0,""
211,"lightning_strike_slash_lite",[95],1,1,""
212,"lightning_strike_slash_lite",[5668],1,2,""
213,"vortex_explode",[935],1,0,""
214,"vortex_explode",[934],1,1,""
215,"burning_arrow_attached_arrow",[3560],1,0,""
216,"burning_arrow_vaal_explode",[68],1,0,""
217,"burning_arrow_attached_arrow",[5681],1,1,""
218,"burning_arrow_vaal_explode",[5682],1,1,""
219,"dash_start",[3258],1,1,""
220,"dash_start",[5727],1,5,""
221,"dash_audio_start",[3046],1,0,""
222,"dash_audio_end",[3048],1,0,""
223,"dash_audio_afterimage",[3047],1,0,""
224,"cyclone_spin",[2950],1,0,""
225,"cyclone_spin_scaled",[2948],1,0,""
226,"cyclone_spin_end",[176],1,1,""
227,"cyclone_impact_sound",[179],1,0,""
228,"cyclone_impact_ao",[3313],1,4,""
229,"dash_audio_start",[3046],1,1,""
230,"dash_audio_end",[3048],1,1,""
231,"dash_audio_afterimage",[3047],1,1,""
232,"dash_audio_start",[3046],1,2,""
233,"dash_audio_end",[3048],1,2,""
234,"dash_audio_afterimage",[3047],1,2,""
235,"dash_audio_start",[3046],1,3,""
236,"dash_audio_end",[3048],1,3,""
237,"dash_audio_afterimage",[3047],1,3,""
238,"dash_audio_start",[3046],1,4,""
239,"dash_audio_end",[3048],1,4,""
240,"dash_audio_afterimage",[3047],1,4,""
241,"dash_audio_start",[3046],1,5,""
242,"dash_audio_end",[3048],1,5,""
243,"dash_audio_afterimage",[3047],1,5,""
244,"cyclone_spin",[175],1,1,""
245,"cyclone_spin_scaled",[3129],1,1,""
246,"cyclone_impact_sound",[179],1,1,""
247,"cyclone_spin",[177],1,2,""
248,"cyclone_spin_scaled",[3130],1,2,""
249,"cyclone_impact_sound",[179],1,2,""
250,"cyclone_spin",[180],1,3,""
251,"cyclone_spin_scaled",[3131],1,3,""
252,"cyclone_impact_sound",[182],1,3,""
253,"cyclone_spin",[3310],1,4,""
254,"cyclone_spin_scaled",[3311],1,4,""
255,"cyclone_impact_sound",[179],1,4,""
256,"cyclone_spin",[3369],1,5,""
257,"cyclone_spin_scaled",[3370],1,5,""
258,"cyclone_impact_sound",[179],1,5,""
259,"cyclone_impact_sound",[179],1,6,""
260,"cyclone_impact_sound",[179],1,7,""
261,"cyclone_spin",[1528],1,8,""
262,"cyclone_spin_scaled",[3128],1,8,""
263,"cyclone_impact_sound",[179],1,8,""
264,"cyclone_spin",[2443],1,9,""
265,"cyclone_spin_scaled",[3132],1,9,""
266,"cyclone_impact_sound",[179],1,9,""
267,"cyclone_spin",[4001],1,10,""
268,"cyclone_spin_scaled",[4002],1,10,""
269,"cyclone_impact_sound",[179],1,10,""
270,"cyclone_spin",[4985],1,11,""
271,"cyclone_impact_sound",[179],1,11,""
272,"cyclone_spin",[5257],1,12,""
273,"cyclone_impact_sound",[179],1,12,""
274,"cyclone_spin",[5258],1,13,""
275,"cyclone_impact_sound",[179],1,13,""
276,"cyclone_spin_scaled",[5469],1,14,""
277,"cyclone_impact_sound",[179],1,14,""
278,"cyclone_spin",[5684],1,15,""
279,"cyclone_impact_ao",[3372],1,5,""
280,"cyclone_impact_ao",[4004],1,10,""
281,"cyclone_impact_ao",[5687],1,15,""
282,"cyclone_spin_end",[178],1,2,""
283,"cyclone_spin_end",[181],1,3,""
284,"cyclone_spin_end",[1529],1,8,""
285,"cyclone_spin_end",[2444],1,9,""
286,"cyclone_vaal_pull",[3301],1,0,""
287,"cyclone_vaal_pull",[3301],1,1,""
288,"cyclone_vaal_pull",[3301],1,2,""
289,"cyclone_vaal_pull",[3301],1,3,""
290,"cyclone_vaal_pull",[3312],1,4,""
291,"cyclone_vaal_pull",[3371],1,5,""
292,"cyclone_vaal_pull",[3301],1,6,""
293,"cyclone_vaal_pull",[3301],1,7,""
294,"cyclone_vaal_pull",[3301],1,8,""
295,"cyclone_vaal_pull",[3301],1,9,""
296,"cyclone_vaal_pull",[4003],1,10,""
297,"cyclone_vaal_pull",[3301],1,11,""
298,"cyclone_vaal_pull",[3301],1,12,""
299,"cyclone_vaal_pull",[3301],1,13,""
300,"cyclone_vaal_pull",[3301],1,14,""
301,"cyclone_vaal_pull",[5696],1,15,""
302,"herald_of_ash_impact",[407],3,0,""
303,"herald_of_ash_impact",[731],3,1,""
304,"herald_of_ash_impact",[969],3,2,""
305,"herald_of_ash_impact",[1216],3,3,""
306,"herald_of_ash_impact",[1219],3,4,""
307,"herald_of_ash_impact",[1533],3,5,""
308,"herald_of_ash_impact",[1892],3,6,""
309,"herald_of_ash_impact",[1896],3,7,""
310,"herald_of_ash_impact",[2152],3,8,""
311,"herald_of_ash_impact",[2163],3,9,""
312,"herald_of_ash_impact",[2200],3,10,""
313,"herald_of_ash_impact",[2232],3,11,""
314,"herald_of_ash_impact",[2254],3,12,""
315,"herald_of_ash_impact",[2943],3,13,""
316,"herald_of_ash_impact",[3028],3,14,""
317,"herald_of_ash_impact",[3490],3,15,""
318,"herald_of_ash_impact",[3903],3,16,""
319,"herald_of_ash_impact",[3970],3,17,""
320,"herald_of_ash_impact","[4042,4043,4044]",3,18,""
321,"herald_of_ash_impact",[4522],3,19,""
322,"herald_of_ash_impact","[5017,5018,5019,5020,5021]",3,20,""
323,"herald_of_thunder_strike",[450],3,0,""
324,"herald_of_thunder_strike",[312],3,1,""
325,"herald_of_thunder_strike",[971],3,2,""
326,"herald_of_thunder_strike",[1218],3,3,""
327,"herald_of_thunder_strike",[1221],3,4,""
328,"herald_of_thunder_strike",[1535],3,5,""
329,"herald_of_thunder_strike",[1894],3,6,""
330,"herald_of_thunder_strike",[1898],3,7,""
331,"herald_of_thunder_strike",[2154],3,8,""
332,"herald_of_thunder_strike",[2165],3,9,""
333,"herald_of_thunder_strike",[2202],3,10,""
334,"herald_of_thunder_strike",[2234],3,11,""
335,"herald_of_thunder_strike",[2259],3,12,""
336,"herald_of_thunder_strike",[2945],3,13,""
337,"herald_of_thunder_strike",[3032],3,14,""
338,"herald_of_thunder_strike",[3492],3,15,""
339,"herald_of_thunder_strike",[3905],3,16,""
340,"herald_of_thunder_strike",[3972],3,17,""
341,"herald_of_thunder_strike",[4046],3,18,""
342,"herald_of_thunder_strike",[4524],3,19,""
343,"herald_of_thunder_strike",[5027],3,20,""
344,"herald_of_ice_impact",[408],3,0,""
345,"herald_of_ice_impact",[408],3,1,""
346,"herald_of_ice_impact",[970],3,2,""
347,"herald_of_ice_impact",[1217],3,3,""
348,"herald_of_ice_impact",[1220],3,4,""
349,"herald_of_ice_impact",[1534],3,5,""
350,"herald_of_ice_impact",[1893],3,6,""
351,"herald_of_ice_impact",[1897],3,7,""
352,"herald_of_ice_impact",[2153],3,8,""
353,"herald_of_ice_impact",[2164],3,9,""
354,"herald_of_ice_impact",[2201],3,10,""
355,"herald_of_ice_impact",[2233],3,11,""
356,"herald_of_ice_impact","[2255,2256,2257,2258]",3,12,""
357,"herald_of_ice_impact",[2944],3,13,""
358,"herald_of_ice_impact","[3029,3030,3031]",3,14,""
359,"herald_of_ice_impact","[3491,3537,3538,3539]",3,15,""
360,"herald_of_ice_impact",[3904],3,16,""
361,"herald_of_ice_impact",[3971],3,17,""
362,"herald_of_ice_impact",[4045],3,18,""
363,"herald_of_ice_impact",[4523],3,19,""
364,"herald_of_ice_impact","[5022,5023,5024,5025]",3,20,""
365,"herald_of_purity_summon",[2459],3,10,""
366,"herald_of_purity_summon",[2406],3,11,""
367,"herald_of_purity_summon",[2426],3,12,""
368,"herald_of_purity_summon",[2953],3,13,""
369,"herald_of_purity_summon",[3033],3,14,""
370,"herald_of_purity_summon",[3493],3,15,""
371,"herald_of_purity_summon",[3906],3,16,""
372,"herald_of_purity_summon",[3966],3,17,""
373,"herald_of_purity_summon",[4039],3,18,""
374,"herald_of_purity_summon",[4519],3,19,""
375,"herald_of_purity_summon",[5014],3,20,""
376,"herald_of_purity_death",[2407],3,11,""
377,"herald_of_purity_death",[2954],3,13,""
378,"herald_of_purity_death",[3033],3,14,""
379,"herald_of_purity_death",[3493],3,15,""
380,"herald_of_purity_death",[3906],3,16,""
381,"herald_of_purity_death",[3966],3,17,""
382,"herald_of_purity_death",[4039],3,18,""
383,"herald_of_purity_death",[4519],3,19,""
384,"herald_of_purity_death",[5014],3,20,""
385,"cyclone_impact_sound",[179],1,15,""
386,"cyclone_spin",[5747],1,16,""
387,"cyclone_spin_scaled",[5748],1,16,""
388,"cyclone_impact_sound",[5749],1,16,""
389,"cyclone_vaal_pull",[5750],1,16,""
