"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffectsKey","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","TagsKeys","ModDomainsKey","IsDropDisabled","ItemVisualIdentityKey","i32","VendorRecipe_AchievementItemsKeys","RarePurchase_BaseItemTypesKeys","RarePurchase_Costs","UniquePurchase_BaseItemTypesKeys","UniquePurchase_Costs","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItemsKeys","ItemThemesKey","IdentifyMagic_AchievementItemsKeys","FragmentBaseItemTypesKey","bool","ItemShopType","rid","rid","bool"
25,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],29,1,25,1594034883,[],[],[],[],[],"","","",[],"",[],"","","","","",""
26,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],29,1,26,1280989466,[],[],[],[],[],"","","",[],"",[],"","","","","",""
27,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],29,1,27,216495198,[],[],[],[],[],"","","",[],"",[],"","","","","",""
28,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],29,1,28,-1225932478,[],[],[],[],[],"","","",[],"",[],"","","","","",""
29,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],29,1,34,2003183108,[],[],[],[],[],"","","",[],"",[],"","","","","",""
30,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],[],[],[],[],29,1,35,1639118317,[],[],[],[],[],"","","",[],"",[],"","","","","",""
31,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,1,36,-1778209926,[],[],[],[],[],"","","",[],"",[],"","","","","",""
32,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],[],[],[],[],29,"",37,118945160,[],[],[],[],[],"","","",[],"",[],"","","","","",""
33,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,1,39,1105850261,[],[],[],[],[],"","","",[],"",[],"","","","","",""
34,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,1,40,-373756366,[],[],[],[],[],"","","",[],"",[],"","","","","",""
35,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,1,41,770737543,[],[],[],[],[],"","","",[],"",[],"","","","","",""
36,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,1,42,-350425493,[],[],[],[],[],"","","",[],"",[],"","","","","",""
37,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],29,"",43,869188640,[],[],[],[],[],"","","",[],"",[],"","","","","",1
38,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],29,"",44,-1627937231,[],[],[],[],[],"","","",[],"",[],"","","","","",""
39,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",45,1684876054,[],[],[],[],[],"","","",[],"",[],"","","","","",""
40,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[2],[1],[],[],[],29,"",46,-642231840,[],[],[],[],[],"","","",[],"",[],"","","","","",""
41,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",47,1322399661,[],[],[],[],[],"","","",[],"",[],"","","","","",""
42,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",48,952467265,[],[],[],[],[],"","","",[],"",[],"","","","","",""
43,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",49,-758415450,[],[],[],[],[],"","","",[],"",[],"","","","","",""
44,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",50,1432765449,[],[],[],[],[],"","","",[],"",[],"","","","","",""
45,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],29,"",51,1575994632,[],[],[],[],[],"","","",[],"",[],"","","","","",""
46,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",52,-1948343582,[],[],[],[],[],"","","",[],"",[],"","","","","",""
47,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",53,-1964846163,[],[],[],[],[],"","","",[],"",[],"","","","","",""
48,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",54,-1933705530,[],[],[],[],[],"","","",[],"",[],"","","","","",""
49,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",55,-109051957,[],[],[],[],[],"","","",[],"",[],"","","","","",""
50,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",56,-1263630474,[],[],[],[],[],"","","",[],"",[],"","","","","",""
51,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",57,1368969315,[],[],[],[],[],"","","",[],"",[],"","","","","",""
52,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",58,-913101815,[],[],[],[],[],"","","",[],"",[],"","","","","",""
53,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",59,-1371001890,[],[],[],[],[],"","","",[],"",[],"","","","","",""
54,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Decadent Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",60,358205216,[],[],[],[],[],"","","",[],"",[],"","","","","",""
55,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",61,2026013751,[],[],[],[],[],"","","",[],"",[],"","","","","",""
56,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",62,1664903587,[],[],[],[],[],"","","",[],"",[],"","","","","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",63,-306946215,[],[],[],[],[],"","","",[],"",[],"","","","","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",64,-768400989,[],[],[],[],[],"","","",[],"",[],"","","","","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",65,243322328,[],[],[],[],[],"","","",[],"",[],"","","","","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",66,2076808891,[],[],[],[],[],"","","",[],"",[],"","","","","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Portentous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",67,1150272452,[],[],[],[],[],"","","",[],"",[],"","","","","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",68,1404182465,[],[],[],[],[],"","","",[],"",[],"","","","","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,1,69,-117882756,[],[],[],[],[],"","","",[],"",[],"","","","","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",70,-1736338822,[],[],[],[],[],"","","",[],"",[],"","","","","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",71,-404905148,[],[],[],[],[],"","","",[],"",[],"","","","","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",72,1738859609,[],[],[],[],[],"","","",[],"",[],"","","","","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",73,-1728487329,[],[],[],[],[],"","","",[],"",[],"","","","","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],29,"",74,2005344760,[],[],[],[],[],"","","",[],"",[],"","","","","",""
69,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],29,"",9544,-1010710615,[],[],[],[],[],"","","",[],"",[],"","","","","",""
70,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],29,"",9545,1794042691,[],[],[],[],[],"","","",[],"",[],"","","","","",""
71,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],29,"",9546,-1926556014,[],[],[],[],[],"","","",[],"",[],"","","","","",""
72,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],29,"",9547,1130285480,[],[],[],[],[],"","","",[],"",[],"","","","","",""
73,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],29,"",9548,2062300730,[],[],[],[],[],"","","",[],"",[],"","","","","",""
74,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],29,"",9549,-2071586625,[],[],[],[],[],"","","",[],"",[],"","","","","",""
75,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],29,"",9550,1769493148,[],[],[],[],[],"","","",[],"",[],"","","","","",""
76,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],29,"",9551,-777397213,[],[],[],[],[],"","","",[],"",[],"","","","","",""
77,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],29,"",9552,1672586153,[],[],[],[],[],"","","",[],"",[],"","","","","",""
78,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],29,"",9553,1828846209,[],[],[],[],[],"","","",[],"",[],"","","","","",""
79,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],29,"",9554,-1245983058,[],[],[],[],[],"","","",[],"",[],"","","","","",""
80,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],29,"",9555,-182539987,[],[],[],[],[],"","","",[],"",[],"","","","","",""
81,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],29,"",9556,910335598,[],[],[],[],[],"","","",[],"",[],"","","","","",""
82,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],29,"",9557,1591416724,[],[],[],[],[],"","","",[],"",[],"","","","","",""
83,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],29,"",9558,1724552963,[],[],[],[],[],"","","",[],"",[],"","","","","",""
84,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],29,"",9559,-1337235593,[],[],[],[],[],"","","",[],"",[],"","","","","",""
85,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],29,"",9560,1334812465,[],[],[],[],[],"","","",[],"",[],"","","","","",""
86,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],29,"",9561,-669856137,[],[],[],[],[],"","","",[],"",[],"","","","","",""
87,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],29,"",9562,181619222,[],[],[],[],[],"","","",[],"",[],"","","","","",""
88,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],29,"",9563,2059925248,[],[],[],[],[],"","","",[],"",[],"","","","","",""
89,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],29,"",9564,-1356244188,[],[],[],[],[],"","","",[],"",[],"","","","","",""
90,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],29,"",9565,1018082169,[],[],[],[],[],"","","",[],"",[],"","","","","",""
91,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],29,"",9566,829889309,[],[],[],[],[],"","","",[],"",[],"","","","","",""
92,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],29,"",9567,2051179612,[],[],[],[],[],"","","",[],"",[],"","","","","",""
93,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],29,"",9568,-743698363,[],[],[],[],[],"","","",[],"",[],"","","","","",""
94,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],29,"",9569,-205989316,[],[],[],[],[],"","","",[],"",[],"","","","","",""
95,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],29,"",9570,-1738015661,[],[],[],[],[],"","","",[],"",[],"","","","","",""
96,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],29,"",9571,1330507188,[],[],[],[],[],"","","",[],"",[],"","","","","",""
97,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],29,"",9572,535092733,[],[],[],[],[],"","","",[],"",[],"","","","","",""
98,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],29,"",9573,-267836319,[],[],[],[],[],"","","",[],"",[],"","","","","",""
99,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],29,"",9574,-880120152,[],[],[],[],[],"","","",[],"",[],"","","","","",""
100,"Metadata/Items/Currency/CurrencyEssenceSorrow4",30,1,1,"Screaming Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],29,"",9575,1066624914,[],[],[],[],[],"","","",[],"",[],"","","","","",""
101,"Metadata/Items/Currency/CurrencyEssenceSorrow5",30,1,1,"Shrieking Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],29,"",9576,993214565,[],[],[],[],[],"","","",[],"",[],"","","","","",""
102,"Metadata/Items/Currency/CurrencyEssenceSorrow6",30,1,1,"Deafening Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],29,"",9577,-558420537,[],[],[],[],[],"","","",[],"",[],"","","","","",""
